symbol,ts,open,high,low,close,volume
AAPL,2018-05-01 08:00:00+00:00,166.4,166.4,166.0,166.0,1828.0
AAPL,2018-05-01 09:00:00+00:00,165.76,165.76,165.75,165.75,100.0
AAPL,2018-05-01 10:00:00+00:00,165.89,166.11,165.6,166.11,1360.0
AAPL,2018-05-01 11:00:00+00:00,166.0,167.0,166.0,166.38,24984.0
AAPL,2018-05-01 12:00:00+00:00,166.38,166.7,166.23,166.37,13542.0
AAPL,2018-05-01 13:00:00+00:00,166.3,167.17,165.27,166.81,1343259.0
AAPL,2018-05-01 14:00:00+00:00,166.81,168.13,166.75,166.98,1740937.0
AAPL,2018-05-01 15:00:00+00:00,166.97,167.28,166.5,167.1,930774.0
AAPL,2018-05-01 16:00:00+00:00,167.09,168.2,167.08,167.56,1068659.0
AAPL,2018-05-01 17:00:00+00:00,167.57,168.08,166.93,168.04,738701.0
AAPL,2018-05-01 18:00:00+00:00,168.04,168.14,167.54,167.94,849380.0
AAPL,2018-05-01 19:00:00+00:00,167.93,169.2,167.81,169.01,2279914.0
AAPL,2018-05-01 20:00:00+00:00,169.1,178.0,168.4,175.4,3501757.0
AAPL,2018-05-01 21:00:00+00:00,175.49,175.59,171.6,175.0,622771.0
AAPL,2018-05-01 22:00:00+00:00,174.9,175.89,174.6,174.89,143458.0
AAPL,2018-05-01 23:00:00+00:00,174.89,175.38,174.77,175.2,21452.0
AAPL,2018-05-02 08:00:00+00:00,174.92,175.2,173.81,173.81,56745.0
AAPL,2018-05-02 09:00:00+00:00,173.95,175.06,173.66,174.93,26355.0
AAPL,2018-05-02 10:00:00+00:00,174.98,175.0,174.16,174.7,24619.0
AAPL,2018-05-02 11:00:00+00:00,174.63,176.96,174.63,176.95,144231.0
AAPL,2018-05-02 12:00:00+00:00,176.85,177.25,175.01,175.64,316125.0
AAPL,2018-05-02 13:00:00+00:00,175.7,176.09,173.8,175.44,4481449.0
AAPL,2018-05-02 14:00:00+00:00,175.48,176.75,175.48,175.91,2079922.0
AAPL,2018-05-02 15:00:00+00:00,175.92,176.59,175.22,175.98,1427281.0
AAPL,2018-05-02 16:00:00+00:00,175.98,176.74,175.76,176.24,902502.0
AAPL,2018-05-02 17:00:00+00:00,176.22,177.0,176.17,176.99,808962.0
AAPL,2018-05-02 18:00:00+00:00,176.99,177.75,176.87,177.43,1636525.0
AAPL,2018-05-02 19:00:00+00:00,177.45,177.65,176.14,176.62,2248186.0
AAPL,2018-05-02 20:00:00+00:00,176.57,176.76,176.35,176.38,2305187.0
AAPL,2018-05-02 21:00:00+00:00,176.42,176.58,176.4,176.55,5262.0
AAPL,2018-05-02 22:00:00+00:00,176.52,176.6,176.5,176.59,1667.0
AAPL,2018-05-02 23:00:00+00:00,176.55,176.69,176.5,176.5,6363.0
AAPL,2018-05-03 08:00:00+00:00,176.2,176.35,176.0,176.04,4318.0
AAPL,2018-05-03 09:00:00+00:00,176.04,176.23,175.76,175.83,1870.0
AAPL,2018-05-03 10:00:00+00:00,176.05,176.31,176.0,176.2,3129.0
AAPL,2018-05-03 11:00:00+00:00,176.38,176.45,175.71,175.75,9882.0
AAPL,2018-05-03 12:00:00+00:00,175.8,176.05,175.62,175.85,24041.0
AAPL,2018-05-03 13:00:00+00:00,175.85,176.75,174.81,176.7,1822751.0
AAPL,2018-05-03 14:00:00+00:00,176.66,176.71,174.46,174.79,1478333.0
AAPL,2018-05-03 15:00:00+00:00,174.8,175.73,174.49,175.5,951524.0
AAPL,2018-05-03 16:00:00+00:00,175.52,176.89,174.97,176.86,861695.0
AAPL,2018-05-03 17:00:00+00:00,176.84,177.34,176.44,176.93,1013640.0
AAPL,2018-05-03 18:00:00+00:00,176.95,177.5,176.6,176.89,915232.0
AAPL,2018-05-03 19:00:00+00:00,176.9,177.21,176.51,176.9,1690646.0
AAPL,2018-05-03 20:00:00+00:00,176.89,177.3,176.84,177.04,1459999.0
AAPL,2018-05-03 21:00:00+00:00,176.97,177.0,176.96,177.0,415.0
AAPL,2018-05-03 22:00:00+00:00,177.05,177.24,177.05,177.11,462.0
AAPL,2018-05-03 23:00:00+00:00,177.08,177.1,176.82,176.9,856.0
AAPL,2018-05-04 08:00:00+00:00,177.95,178.18,177.48,178.0,7113.0
AAPL,2018-05-04 09:00:00+00:00,177.56,177.9,177.56,177.9,1563.0
AAPL,2018-05-04 10:00:00+00:00,178.0,178.9,178.0,178.71,25101.0
AAPL,2018-05-04 11:00:00+00:00,178.71,179.25,178.55,178.8,32925.0
AAPL,2018-05-04 12:00:00+00:00,178.81,179.15,178.5,178.98,68603.0
AAPL,2018-05-04 13:00:00+00:00,178.94,181.21,178.15,181.18,3098053.0
AAPL,2018-05-04 14:00:00+00:00,181.19,183.65,180.57,182.88,2988722.0
AAPL,2018-05-04 15:00:00+00:00,182.875,183.22,182.52,182.71,1213474.0
AAPL,2018-05-04 16:00:00+00:00,182.71,183.87,182.56,183.36,1211150.0
AAPL,2018-05-04 17:00:00+00:00,183.38,183.67,182.73,183.66,876319.0
AAPL,2018-05-04 18:00:00+00:00,183.65,184.0,183.28,183.7,1008376.0
AAPL,2018-05-04 19:00:00+00:00,183.7,184.25,183.55,183.83,2420219.0
AAPL,2018-05-04 20:00:00+00:00,183.84,183.99,183.79,183.9,1588129.0
AAPL,2018-05-04 21:00:00+00:00,183.97,184.04,183.89,183.9,11814.0
AAPL,2018-05-04 22:00:00+00:00,184.0,184.05,183.98,184.05,1187.0
AAPL,2018-05-04 23:00:00+00:00,184.05,184.1,184.05,184.1,2464.0
AAPL,2018-05-07 08:00:00+00:00,184.45,184.85,184.25,184.85,5279.0
AAPL,2018-05-07 09:00:00+00:00,184.57,184.9,184.5,184.5,4067.0
AAPL,2018-05-07 10:00:00+00:00,184.6,184.75,184.5,184.5,1506.0
AAPL,2018-05-07 11:00:00+00:00,184.55,184.9,184.4,184.75,17166.0
AAPL,2018-05-07 12:00:00+00:00,184.65,185.5,184.65,185.11,42624.0
AAPL,2018-05-07 13:00:00+00:00,185.08,186.88,185.04,186.5,2226533.0
AAPL,2018-05-07 14:00:00+00:00,186.49,187.66,185.91,187.37,1707084.0
AAPL,2018-05-07 15:00:00+00:00,187.37,187.48,186.82,187.38,788659.0
AAPL,2018-05-07 16:00:00+00:00,187.39,187.41,185.17,185.67,1033903.0
AAPL,2018-05-07 17:00:00+00:00,185.67,186.4,184.83,186.26,771876.0
AAPL,2018-05-07 18:00:00+00:00,186.26,186.58,185.29,185.5,713641.0
AAPL,2018-05-07 19:00:00+00:00,185.48,185.97,184.75,185.13,1526032.0
AAPL,2018-05-07 20:00:00+00:00,185.16,185.25,185.02,185.02,1138629.0
AAPL,2018-05-07 21:00:00+00:00,185.05,185.05,184.91,184.91,2233.0
AAPL,2018-05-07 22:00:00+00:00,184.92,184.98,184.92,184.97,628.0
AAPL,2018-05-07 23:00:00+00:00,184.99,185.08,184.99,185.0,1720.0
AAPL,2018-05-08 09:00:00+00:00,184.35,184.45,184.21,184.45,324.0
AAPL,2018-05-08 10:00:00+00:00,184.5,184.5,184.2,184.2,1019.0
AAPL,2018-05-08 11:00:00+00:00,184.2,184.89,184.2,184.8,5441.0
AAPL,2018-05-08 12:00:00+00:00,184.72,185.2,184.7,185.2,18714.0
AAPL,2018-05-08 13:00:00+00:00,185.18,185.18,183.67,184.36,1130737.0
AAPL,2018-05-08 14:00:00+00:00,184.38,185.65,184.31,185.17,902837.0
AAPL,2018-05-08 15:00:00+00:00,185.13,186.22,184.96,185.21,747632.0
AAPL,2018-05-08 16:00:00+00:00,185.2,185.625,184.87,185.13,442592.0
AAPL,2018-05-08 17:00:00+00:00,185.12,185.47,185.0,185.06,435061.0
AAPL,2018-05-08 18:00:00+00:00,185.06,185.83,184.46,184.94,793466.0
AAPL,2018-05-08 19:00:00+00:00,184.96,186.07,184.79,186.04,1098340.0
AAPL,2018-05-08 20:00:00+00:00,186.05,186.05,185.9,186.0,1815755.0
AAPL,2018-05-08 21:00:00+00:00,186.04,186.04,185.95,186.0,248.0
AAPL,2018-05-08 22:00:00+00:00,186.0,186.07,185.97,186.07,795.0
AAPL,2018-05-08 23:00:00+00:00,186.01,186.1,185.96,186.0,5408.0
AAPL,2018-05-09 11:00:00+00:00,186.4,186.73,186.4,186.7,2600.0
AAPL,2018-05-09 12:00:00+00:00,186.62,186.7,186.51,186.64,3180.0
AAPL,2018-05-09 13:00:00+00:00,186.52,186.69,185.66,185.71,883130.0
AAPL,2018-05-09 14:00:00+00:00,185.71,186.12,185.22,185.49,737203.0
AAPL,2018-05-09 15:00:00+00:00,185.5,185.99,185.36,185.9,534011.0
AAPL,2018-05-09 16:00:00+00:00,185.91,186.44,185.67,186.25,533462.0
AAPL,2018-05-09 17:00:00+00:00,186.25,186.84,186.09,186.82,625412.0
AAPL,2018-05-09 18:00:00+00:00,186.82,186.99,186.52,186.96,543373.0
AAPL,2018-05-09 19:00:00+00:00,186.94,187.37,186.91,187.35,1442899.0
AAPL,2018-05-09 20:00:00+00:00,187.36,187.5,187.2,187.4,1297554.0
