symbol,ts,open,high,low,close,volume
ABNB,2020-12-10 18:00:00+00:00,146.0,165.0,145.0,147.51,18823262.0
ABNB,2020-12-10 19:00:00+00:00,147.51,151.4,141.26,149.26,6555623.0
ABNB,2020-12-10 20:00:00+00:00,149.26,149.89,144.0,144.05,3640533.0
ABNB,2020-12-10 21:00:00+00:00,144.21,146.15,143.0,145.68,373875.0
ABNB,2020-12-10 22:00:00+00:00,145.68,145.9,143.93,144.9,11700.0
ABNB,2020-12-10 23:00:00+00:00,144.9,145.15,144.4,145.0,8992.0
ABNB,2020-12-11 09:00:00+00:00,143.29,145.0,139.1,141.57,11014.0
ABNB,2020-12-11 10:00:00+00:00,141.57,142.5,140.24,141.5,6443.0
ABNB,2020-12-11 11:00:00+00:00,141.79,142.4,140.7,142.25,5680.0
ABNB,2020-12-11 12:00:00+00:00,142.47,143.67,140.55,142.72,14276.0
ABNB,2020-12-11 13:00:00+00:00,142.95,143.09,139.17,141.72,55804.0
ABNB,2020-12-11 14:00:00+00:00,141.7,151.41,141.67,147.67,2272357.0
ABNB,2020-12-11 15:00:00+00:00,147.8,149.62,146.33,147.92,736524.0
ABNB,2020-12-11 16:00:00+00:00,148.01,150.4,147.6,150.0,1067056.0
ABNB,2020-12-11 17:00:00+00:00,150.0,150.5,142.55,145.19,782550.0
ABNB,2020-12-11 18:00:00+00:00,145.19,146.83,144.25,146.74,240185.0
ABNB,2020-12-11 19:00:00+00:00,146.66,147.41,135.11,138.65,1066172.0
ABNB,2020-12-11 20:00:00+00:00,138.64,141.75,137.55,139.18,998921.0
ABNB,2020-12-11 21:00:00+00:00,139.25,139.85,137.88,137.88,84940.0
ABNB,2020-12-11 22:00:00+00:00,137.8,137.95,137.36,137.42,4150.0
ABNB,2020-12-11 23:00:00+00:00,137.53,137.83,137.47,137.6,642.0
ABNB,2020-12-14 09:00:00+00:00,136.99,137.8,135.0,135.02,14185.0
ABNB,2020-12-14 10:00:00+00:00,135.02,135.89,133.0,135.0,13252.0
ABNB,2020-12-14 11:00:00+00:00,135.0,136.77,134.8,135.6,7773.0
ABNB,2020-12-14 12:00:00+00:00,135.6,136.45,134.5,135.3,17620.0
ABNB,2020-12-14 13:00:00+00:00,135.35,137.15,134.8,136.37,22135.0
ABNB,2020-12-14 14:00:00+00:00,136.5,136.5,125.5,126.99,1495065.0
ABNB,2020-12-14 15:00:00+00:00,127.0,129.43,125.4,127.8,933800.0
ABNB,2020-12-14 16:00:00+00:00,127.85,130.34,125.55,126.78,486834.0
ABNB,2020-12-14 17:00:00+00:00,126.71,128.25,125.17,127.51,326505.0
ABNB,2020-12-14 18:00:00+00:00,127.64,129.76,127.14,129.74,159630.0
ABNB,2020-12-14 19:00:00+00:00,129.7,131.2,128.2,130.8,292189.0
ABNB,2020-12-14 20:00:00+00:00,130.77,131.08,128.25,129.99,205402.0
ABNB,2020-12-14 21:00:00+00:00,130.0,130.0,128.32,128.5,61295.0
ABNB,2020-12-14 22:00:00+00:00,128.33,128.69,128.33,128.41,649.0
ABNB,2020-12-14 23:00:00+00:00,128.4,128.4,127.51,127.55,3673.0
ABNB,2020-12-15 09:00:00+00:00,126.0,127.0,124.88,125.14,13820.0
ABNB,2020-12-15 10:00:00+00:00,125.16,126.22,125.16,125.99,3728.0
ABNB,2020-12-15 11:00:00+00:00,125.5,126.46,125.42,125.72,2940.0
ABNB,2020-12-15 12:00:00+00:00,126.11,126.48,125.2,125.21,21760.0
ABNB,2020-12-15 13:00:00+00:00,125.21,126.88,125.08,126.74,18277.0
ABNB,2020-12-15 14:00:00+00:00,126.74,128.6,121.5,121.91,763533.0
ABNB,2020-12-15 15:00:00+00:00,121.91,127.43,121.9,125.15,566063.0
ABNB,2020-12-15 16:00:00+00:00,125.02,125.95,122.02,123.28,295329.0
ABNB,2020-12-15 17:00:00+00:00,123.24,124.32,122.815,123.56,218010.0
ABNB,2020-12-15 18:00:00+00:00,123.61,123.99,123.0,123.57,120898.0
ABNB,2020-12-15 19:00:00+00:00,123.6,124.0,123.01,123.68,134165.0
ABNB,2020-12-15 20:00:00+00:00,123.65,125.19,123.51,124.61,469403.0
ABNB,2020-12-15 21:00:00+00:00,124.8,124.85,123.77,123.8,67619.0
ABNB,2020-12-15 22:00:00+00:00,123.8,123.94,123.5,123.7,690.0
ABNB,2020-12-15 23:00:00+00:00,123.76,124.6,123.76,124.01,2000.0
ABNB,2020-12-16 09:00:00+00:00,124.8,125.1,124.0,124.0,1566.0
ABNB,2020-12-16 10:00:00+00:00,124.05,125.0,124.05,125.0,1436.0
ABNB,2020-12-16 11:00:00+00:00,125.0,125.26,124.72,124.8,273.0
ABNB,2020-12-16 12:00:00+00:00,125.2,125.49,124.06,125.4,2890.0
ABNB,2020-12-16 13:00:00+00:00,125.47,127.36,125.47,126.95,15338.0
ABNB,2020-12-16 14:00:00+00:00,126.8,134.33,124.95,133.0,917401.0
ABNB,2020-12-16 15:00:00+00:00,133.01,139.49,132.39,138.63,851934.0
ABNB,2020-12-16 16:00:00+00:00,138.74,140.98,137.22,138.17,605694.0
ABNB,2020-12-16 17:00:00+00:00,138.09,140.73,137.2,140.54,369357.0
ABNB,2020-12-16 18:00:00+00:00,140.56,142.0,139.77,140.17,325477.0
ABNB,2020-12-16 19:00:00+00:00,140.18,140.41,138.16,139.01,222379.0
ABNB,2020-12-16 20:00:00+00:00,139.025,139.89,135.0,138.3,579146.0
ABNB,2020-12-16 21:00:00+00:00,137.99,138.4,136.96,136.96,1593406.0
ABNB,2020-12-16 22:00:00+00:00,136.62,139.87,136.61,139.69,4079.0
ABNB,2020-12-16 23:00:00+00:00,139.72,139.85,139.0,139.08,1486.0
ABNB,2020-12-17 09:00:00+00:00,137.0,141.6,137.0,141.0,6475.0
ABNB,2020-12-17 10:00:00+00:00,141.07,141.6,140.78,141.22,2762.0
ABNB,2020-12-17 11:00:00+00:00,141.3,141.74,140.65,141.0,5108.0
ABNB,2020-12-17 12:00:00+00:00,141.08,143.18,141.08,142.69,10516.0
ABNB,2020-12-17 13:00:00+00:00,142.58,142.98,141.0,142.88,13878.0
ABNB,2020-12-17 14:00:00+00:00,142.94,147.74,141.99,146.28,614455.0
ABNB,2020-12-17 15:00:00+00:00,146.31,148.5,144.05,146.57,398231.0
ABNB,2020-12-17 16:00:00+00:00,146.68,148.99,145.77,148.76,219182.0
ABNB,2020-12-17 17:00:00+00:00,148.65,149.49,147.4,149.34,275472.0
ABNB,2020-12-17 18:00:00+00:00,149.3,151.94,148.25,151.78,372088.0
ABNB,2020-12-17 19:00:00+00:00,151.76,152.45,148.0,149.45,265345.0
ABNB,2020-12-17 20:00:00+00:00,149.52,150.6,147.0,147.5,419840.0
ABNB,2020-12-17 21:00:00+00:00,147.05,149.3,147.0,148.69,115389.0
ABNB,2020-12-17 22:00:00+00:00,148.59,148.6,147.05,147.05,5841.0
ABNB,2020-12-17 23:00:00+00:00,147.08,148.04,147.05,147.51,2711.0
ABNB,2020-12-18 09:00:00+00:00,149.1,151.46,148.1,148.37,6500.0
ABNB,2020-12-18 10:00:00+00:00,148.37,148.37,148.11,148.11,1224.0
ABNB,2020-12-18 11:00:00+00:00,148.3,149.78,148.23,149.5,2358.0
ABNB,2020-12-18 12:00:00+00:00,149.78,153.92,148.57,153.92,13050.0
ABNB,2020-12-18 13:00:00+00:00,153.8,154.5,152.05,153.5,28366.0
ABNB,2020-12-18 14:00:00+00:00,153.4,159.0,150.26,156.37,728079.0
ABNB,2020-12-18 15:00:00+00:00,156.2,157.6,152.07,153.84,419158.0
ABNB,2020-12-18 16:00:00+00:00,153.89,154.4,151.02,152.97,181855.0
ABNB,2020-12-18 17:00:00+00:00,152.86,158.1,152.74,157.07,232314.0
ABNB,2020-12-18 18:00:00+00:00,157.17,157.75,155.76,157.22,121627.0
ABNB,2020-12-18 19:00:00+00:00,157.18,158.75,156.55,158.45,214848.0
ABNB,2020-12-18 20:00:00+00:00,158.5,158.5,153.93,157.47,397190.0
ABNB,2020-12-18 21:00:00+00:00,157.3,157.5,156.48,157.24,2501496.0
ABNB,2020-12-18 22:00:00+00:00,157.24,157.29,157.0,157.15,1087.0
ABNB,2020-12-18 23:00:00+00:00,157.15,159.74,157.15,159.74,9105.0
ABNB,2020-12-21 09:00:00+00:00,156.0,156.0,151.35,151.71,1122.0
ABNB,2020-12-21 10:00:00+00:00,152.0,152.48,148.6,148.6,9872.0
ABNB,2020-12-21 11:00:00+00:00,148.5,152.0,148.12,151.01,10388.0
ABNB,2020-12-21 12:00:00+00:00,151.05,154.1,151.0,153.35,25468.0
ABNB,2020-12-21 13:00:00+00:00,153.2,153.75,150.75,151.7,19934.0
ABNB,2020-12-21 14:00:00+00:00,151.65,156.27,145.5,147.135,565429.0
ABNB,2020-12-21 15:00:00+00:00,146.94,151.85,145.11,151.77,409362.0
ABNB,2020-12-21 16:00:00+00:00,151.83,152.45,150.1,151.99,167917.0
ABNB,2020-12-21 17:00:00+00:00,151.99,162.98,151.57,161.695,331584.0
ABNB,2020-12-21 18:00:00+00:00,161.705,171.99,160.37,169.0,730848.0
ABNB,2020-12-21 19:00:00+00:00,169.0,169.63,164.17,167.21,415862.0
ABNB,2020-12-21 20:00:00+00:00,167.29,167.5,160.38,162.87,413996.0
ABNB,2020-12-21 21:00:00+00:00,162.8,163.33,160.85,162.26,70607.0
ABNB,2020-12-21 22:00:00+00:00,162.34,162.66,160.8,162.09,3488.0
ABNB,2020-12-21 23:00:00+00:00,162.35,163.87,162.08,163.85,3274.0
ABNB,2020-12-22 09:00:00+00:00,167.0,167.57,166.18,167.57,2229.0
