symbol,ts,open,high,low,close,volume
ACGL,2018-05-01 13:00:00+00:00,80.08,80.14,79.31,79.51,14669.0
ACGL,2018-05-01 14:00:00+00:00,79.51,80.19,79.46,79.72,25636.0
ACGL,2018-05-01 15:00:00+00:00,79.7,79.88,79.48,79.48,15741.0
ACGL,2018-05-01 16:00:00+00:00,79.505,79.95,79.33,79.95,11944.0
ACGL,2018-05-01 17:00:00+00:00,79.94,80.32,79.69,80.32,24225.0
ACGL,2018-05-01 18:00:00+00:00,80.31,80.59,80.12,80.49,27480.0
ACGL,2018-05-01 19:00:00+00:00,80.51,80.68,80.17,80.63,72236.0
ACGL,2018-05-01 20:00:00+00:00,80.63,80.65,80.63,80.65,27936.0
ACGL,2018-05-02 13:00:00+00:00,88.4,88.4,79.41,79.94,14208.0
ACGL,2018-05-02 14:00:00+00:00,79.82,80.75,78.85,78.85,51682.0
ACGL,2018-05-02 15:00:00+00:00,79.01,79.01,77.51,77.76,51281.0
ACGL,2018-05-02 16:00:00+00:00,77.77,78.19,77.68,77.93,37006.0
ACGL,2018-05-02 17:00:00+00:00,77.94,78.55,77.8,78.48,40991.0
ACGL,2018-05-02 18:00:00+00:00,78.43,79.02,77.63,78.76,55860.0
ACGL,2018-05-02 19:00:00+00:00,78.75,78.99,78.59,78.94,109404.0
ACGL,2018-05-02 20:00:00+00:00,78.93,78.93,78.93,78.93,67730.0
ACGL,2018-05-03 13:00:00+00:00,78.63,79.065,78.0,78.4,29163.0
ACGL,2018-05-03 14:00:00+00:00,78.51,78.54,77.13,77.41,92510.0
ACGL,2018-05-03 15:00:00+00:00,77.41,78.01,77.41,78.0,74801.0
ACGL,2018-05-03 16:00:00+00:00,78.0,78.6,78.0,78.6,50882.0
ACGL,2018-05-03 17:00:00+00:00,78.585,78.95,78.48,78.94,41878.0
ACGL,2018-05-03 18:00:00+00:00,78.92,78.92,78.43,78.66,55651.0
ACGL,2018-05-03 19:00:00+00:00,78.68,78.79,77.86,77.96,112240.0
ACGL,2018-05-03 20:00:00+00:00,77.95,77.96,77.95,77.96,66738.0
ACGL,2018-05-04 13:00:00+00:00,78.05,78.43,77.89,78.18,16027.0
ACGL,2018-05-04 14:00:00+00:00,78.19,79.1,77.99,79.05,31214.0
ACGL,2018-05-04 15:00:00+00:00,79.035,79.09,78.83,78.97,31516.0
ACGL,2018-05-04 16:00:00+00:00,78.96,79.29,78.91,79.29,27459.0
ACGL,2018-05-04 17:00:00+00:00,79.3,79.47,79.18,79.34,32219.0
ACGL,2018-05-04 18:00:00+00:00,79.35,79.42,78.9,78.9,47017.0
ACGL,2018-05-04 19:00:00+00:00,78.89,79.25,78.78,78.83,69810.0
ACGL,2018-05-04 20:00:00+00:00,78.83,78.85,78.83,78.85,30551.0
ACGL,2018-05-07 13:00:00+00:00,79.02,80.37,78.54,79.04,22985.0
ACGL,2018-05-07 14:00:00+00:00,79.05,79.43,78.82,79.28,57106.0
ACGL,2018-05-07 15:00:00+00:00,79.29,79.42,78.8,79.12,53426.0
ACGL,2018-05-07 16:00:00+00:00,79.15,79.38,78.8,79.38,61000.0
ACGL,2018-05-07 17:00:00+00:00,79.39,79.63,79.24,79.28,38024.0
ACGL,2018-05-07 18:00:00+00:00,79.29,79.57,79.28,79.48,46419.0
ACGL,2018-05-07 19:00:00+00:00,79.47,79.73,79.06,79.13,115716.0
ACGL,2018-05-07 20:00:00+00:00,79.13,79.13,79.13,79.13,69251.0
ACGL,2018-05-07 22:00:00+00:00,79.13,79.13,79.13,79.13,100.0
ACGL,2018-05-08 13:00:00+00:00,79.22,79.22,78.66,78.875,9397.0
ACGL,2018-05-08 14:00:00+00:00,78.98,80.355,78.93,80.14,23296.0
ACGL,2018-05-08 15:00:00+00:00,80.18,80.36,80.04,80.07,14693.0
ACGL,2018-05-08 16:00:00+00:00,80.04,80.31,79.94,80.12,58432.0
ACGL,2018-05-08 17:00:00+00:00,80.11,80.37,80.11,80.22,16507.0
ACGL,2018-05-08 18:00:00+00:00,80.19,80.25,80.04,80.21,26748.0
ACGL,2018-05-08 19:00:00+00:00,80.18,80.24,79.89,80.0,76958.0
ACGL,2018-05-08 20:00:00+00:00,79.99,79.99,79.99,79.99,78569.0
ACGL,2018-05-09 13:00:00+00:00,79.79,79.85,79.34,79.8,12554.0
ACGL,2018-05-09 14:00:00+00:00,79.68,79.84,79.62,79.69,12185.0
ACGL,2018-05-09 15:00:00+00:00,79.67,79.67,79.48,79.52,33582.0
ACGL,2018-05-09 16:00:00+00:00,79.52,79.55,79.43,79.51,28268.0
