symbol,ts,open,high,low,close,volume
ADP,2018-05-01 13:00:00+00:00,115.56,117.66,112.12,117.15,98807.0
ADP,2018-05-01 14:00:00+00:00,117.07,118.3,117.07,118.09,85987.0
ADP,2018-05-01 15:00:00+00:00,118.03,118.08,117.34,117.34,64526.0
ADP,2018-05-01 16:00:00+00:00,117.41,117.83,117.39,117.44,41442.0
ADP,2018-05-01 17:00:00+00:00,117.42,118.07,117.06,118.07,53550.0
ADP,2018-05-01 18:00:00+00:00,118.07,119.11,118.01,119.09,89748.0
ADP,2018-05-01 19:00:00+00:00,119.08,119.14,118.48,118.8,236928.0
ADP,2018-05-01 20:00:00+00:00,118.8,119.27,118.8,119.27,155830.0
ADP,2018-05-01 21:00:00+00:00,119.27,119.49,118.8,119.49,460.0
ADP,2018-05-02 11:00:00+00:00,122.0,122.5,122.0,122.5,325.0
ADP,2018-05-02 12:00:00+00:00,123.81,124.0,123.0,123.06,740.0
ADP,2018-05-02 13:00:00+00:00,123.11,123.85,121.81,122.5,163494.0
ADP,2018-05-02 14:00:00+00:00,122.49,122.78,121.37,122.17,159840.0
ADP,2018-05-02 15:00:00+00:00,122.18,122.245,120.33,120.67,111294.0
ADP,2018-05-02 16:00:00+00:00,120.64,121.43,120.44,121.04,104365.0
ADP,2018-05-02 17:00:00+00:00,121.05,122.82,120.95,122.82,104708.0
ADP,2018-05-02 18:00:00+00:00,122.82,123.75,122.69,123.02,146538.0
ADP,2018-05-02 19:00:00+00:00,123.01,123.33,121.95,122.07,279552.0
ADP,2018-05-02 20:00:00+00:00,122.06,122.06,122.04,122.04,317179.0
ADP,2018-05-02 21:00:00+00:00,121.6,121.6,121.6,121.6,237.0
ADP,2018-05-03 13:00:00+00:00,121.66,122.58,120.01,122.58,72330.0
ADP,2018-05-03 14:00:00+00:00,122.59,122.76,121.65,122.3,131176.0
ADP,2018-05-03 15:00:00+00:00,122.28,122.89,122.19,122.69,96749.0
ADP,2018-05-03 16:00:00+00:00,122.71,123.04,122.26,122.89,85957.0
ADP,2018-05-03 17:00:00+00:00,122.88,123.34,122.67,123.18,88138.0
ADP,2018-05-03 18:00:00+00:00,123.18,123.59,122.91,123.03,111833.0
ADP,2018-05-03 19:00:00+00:00,123.05,123.22,122.67,123.12,277180.0
ADP,2018-05-03 20:00:00+00:00,123.1,123.14,123.1,123.14,248234.0
ADP,2018-05-04 13:00:00+00:00,122.5,122.82,121.75,122.2,55722.0
ADP,2018-05-04 14:00:00+00:00,122.2,124.56,122.19,124.15,80976.0
ADP,2018-05-04 15:00:00+00:00,124.12,124.9,124.05,124.72,65126.0
ADP,2018-05-04 16:00:00+00:00,124.73,125.34,124.68,125.02,73877.0
ADP,2018-05-04 17:00:00+00:00,125.02,125.72,124.95,125.62,73023.0
ADP,2018-05-04 18:00:00+00:00,125.62,125.93,125.46,125.75,75339.0
ADP,2018-05-04 19:00:00+00:00,125.75,125.81,125.12,125.38,180692.0
ADP,2018-05-04 20:00:00+00:00,125.36,125.39,125.36,125.39,134138.0
ADP,2018-05-07 13:00:00+00:00,125.47,125.7,125.03,125.6,59424.0
ADP,2018-05-07 14:00:00+00:00,125.57,125.65,124.91,125.16,80097.0
ADP,2018-05-07 15:00:00+00:00,125.18,125.72,125.04,125.53,69294.0
ADP,2018-05-07 16:00:00+00:00,125.52,125.62,125.27,125.47,43657.0
ADP,2018-05-07 17:00:00+00:00,125.48,125.61,125.33,125.53,47635.0
ADP,2018-05-07 18:00:00+00:00,125.55,125.86,125.41,125.52,95184.0
ADP,2018-05-07 19:00:00+00:00,125.51,125.65,125.03,125.57,160984.0
ADP,2018-05-07 20:00:00+00:00,125.57,125.57,125.56,125.56,531337.0
ADP,2018-05-08 13:00:00+00:00,125.6,125.64,124.86,125.07,38906.0
ADP,2018-05-08 14:00:00+00:00,125.1,125.74,124.93,125.52,58405.0
ADP,2018-05-08 15:00:00+00:00,125.52,126.03,125.38,125.78,56871.0
ADP,2018-05-08 16:00:00+00:00,125.8,125.84,125.42,125.61,55164.0
ADP,2018-05-08 17:00:00+00:00,125.56,125.8,125.36,125.45,52241.0
ADP,2018-05-08 18:00:00+00:00,125.49,125.71,124.94,125.22,70019.0
ADP,2018-05-08 19:00:00+00:00,125.22,125.78,125.1,125.77,123439.0
ADP,2018-05-08 20:00:00+00:00,125.77,125.77,125.77,125.77,642464.0
ADP,2018-05-09 13:00:00+00:00,126.0,126.43,125.92,126.16,41989.0
ADP,2018-05-09 14:00:00+00:00,126.11,126.5,125.99,126.06,69348.0
ADP,2018-05-09 15:00:00+00:00,126.09,126.5,126.09,126.49,50124.0
ADP,2018-05-09 16:00:00+00:00,126.51,127.3,126.36,127.12,46223.0
ADP,2018-05-09 17:00:00+00:00,127.13,127.84,127.13,127.83,37062.0
ADP,2018-05-09 18:00:00+00:00,127.84,127.92,127.47,127.48,72115.0
ADP,2018-05-09 19:00:00+00:00,127.48,127.54,126.88,127.03,198485.0
ADP,2018-05-09 20:00:00+00:00,127.04,127.29,127.04,127.29,674349.0
ADP,2018-05-10 13:00:00+00:00,127.61,127.67,127.06,127.2,30973.0
ADP,2018-05-10 14:00:00+00:00,127.2,127.46,127.03,127.2,70227.0
ADP,2018-05-10 15:00:00+00:00,127.23,127.26,126.94,126.99,45589.0
ADP,2018-05-10 16:00:00+00:00,126.99,127.42,126.96,127.42,60122.0
ADP,2018-05-10 17:00:00+00:00,127.42,127.67,127.35,127.45,52301.0
ADP,2018-05-10 18:00:00+00:00,127.45,127.7,126.96,126.99,91712.0
ADP,2018-05-10 19:00:00+00:00,127.0,127.47,126.79,127.39,190800.0
ADP,2018-05-10 20:00:00+00:00,127.38,127.39,127.38,127.39,141901.0
ADP,2018-05-11 13:00:00+00:00,127.51,127.58,126.62,127.14,46278.0
ADP,2018-05-11 14:00:00+00:00,127.23,127.61,127.04,127.57,44138.0
ADP,2018-05-11 15:00:00+00:00,127.61,127.74,127.2,127.59,34453.0
ADP,2018-05-11 16:00:00+00:00,127.64,127.78,127.28,127.76,44037.0
ADP,2018-05-11 17:00:00+00:00,127.77,127.89,127.51,127.76,36101.0
ADP,2018-05-11 18:00:00+00:00,127.76,127.86,127.47,127.61,44405.0
ADP,2018-05-11 19:00:00+00:00,127.6,127.65,127.07,127.34,180507.0
ADP,2018-05-11 20:00:00+00:00,127.34,127.36,127.34,127.36,236617.0
ADP,2018-05-14 12:00:00+00:00,127.2,127.2,127.2,127.2,25.0
ADP,2018-05-14 13:00:00+00:00,127.52,127.77,126.47,127.11,50931.0
ADP,2018-05-14 14:00:00+00:00,127.17,127.75,127.12,127.12,39128.0
ADP,2018-05-14 15:00:00+00:00,127.12,127.56,127.09,127.15,43332.0
ADP,2018-05-14 16:00:00+00:00,127.16,127.4,126.81,126.86,56746.0
ADP,2018-05-14 17:00:00+00:00,126.84,127.02,126.42,126.58,69474.0
ADP,2018-05-14 18:00:00+00:00,126.58,126.76,126.22,126.76,61868.0
ADP,2018-05-14 19:00:00+00:00,126.77,126.9,126.39,126.68,148120.0
ADP,2018-05-14 20:00:00+00:00,126.68,126.68,126.64,126.64,218621.0
ADP,2018-05-15 13:00:00+00:00,125.73,126.04,125.3,125.57,69927.0
ADP,2018-05-15 14:00:00+00:00,125.46,126.53,125.46,125.76,44609.0
ADP,2018-05-15 15:00:00+00:00,125.85,126.49,125.85,126.08,47606.0
ADP,2018-05-15 16:00:00+00:00,126.04,126.59,125.95,126.46,82308.0
ADP,2018-05-15 17:00:00+00:00,126.44,126.75,126.28,126.445,34492.0
ADP,2018-05-15 18:00:00+00:00,126.455,127.13,126.41,126.94,54101.0
ADP,2018-05-15 19:00:00+00:00,126.94,129.51,126.28,127.08,298324.0
ADP,2018-05-15 20:00:00+00:00,127.07,127.1,127.04,127.04,177542.0
ADP,2018-05-16 13:00:00+00:00,127.13,127.62,127.0,127.53,32350.0
ADP,2018-05-16 14:00:00+00:00,127.5,127.52,126.94,127.49,49853.0
ADP,2018-05-16 15:00:00+00:00,127.46,127.6,127.2,127.35,30196.0
ADP,2018-05-16 16:00:00+00:00,127.37,127.97,127.37,127.87,27172.0
ADP,2018-05-16 17:00:00+00:00,127.87,128.48,127.84,128.47,34600.0
ADP,2018-05-16 18:00:00+00:00,128.46,128.56,128.08,128.24,41895.0
ADP,2018-05-16 19:00:00+00:00,128.21,128.22,127.63,128.01,125303.0
ADP,2018-05-16 20:00:00+00:00,128.0,128.02,128.0,128.02,161823.0
ADP,2018-05-17 13:00:00+00:00,127.9,128.1,127.0,127.33,50203.0
ADP,2018-05-17 14:00:00+00:00,127.38,129.05,127.38,129.01,46360.0
ADP,2018-05-17 15:00:00+00:00,128.94,128.97,128.34,128.42,41216.0
ADP,2018-05-17 16:00:00+00:00,128.44,128.47,127.94,127.94,31845.0
ADP,2018-05-17 17:00:00+00:00,127.92,128.04,127.24,127.24,36317.0
ADP,2018-05-17 18:00:00+00:00,127.26,127.81,127.13,127.8,44281.0
ADP,2018-05-17 19:00:00+00:00,127.82,128.11,127.61,127.98,142430.0
ADP,2018-05-17 20:00:00+00:00,127.99,127.99,127.99,127.99,128507.0
ADP,2018-05-18 13:00:00+00:00,128.26,128.36,127.68,128.09,110901.0
ADP,2018-05-18 14:00:00+00:00,128.06,128.93,127.93,128.93,51815.0
ADP,2018-05-18 15:00:00+00:00,128.92,129.25,128.79,129.02,47120.0
ADP,2018-05-18 16:00:00+00:00,129.0,129.03,128.54,128.78,40993.0
ADP,2018-05-18 17:00:00+00:00,128.78,128.82,128.52,128.75,37861.0
ADP,2018-05-18 18:00:00+00:00,128.75,129.14,128.71,129.07,44949.0
ADP,2018-05-18 19:00:00+00:00,129.08,129.11,128.73,128.91,138224.0
ADP,2018-05-18 20:00:00+00:00,128.91,128.91,128.91,128.91,205427.0
ADP,2018-05-21 13:00:00+00:00,129.21,129.52,128.84,128.96,49723.0
ADP,2018-05-21 14:00:00+00:00,128.84,129.66,128.77,129.62,32695.0
ADP,2018-05-21 15:00:00+00:00,129.6,129.67,128.92,129.36,43309.0
