symbol,ts,open,high,low,close,volume
AEE,2018-05-01 13:00:00+00:00,58.55,58.63,58.45,58.56,7555.0
AEE,2018-05-01 14:00:00+00:00,58.55,58.84,58.45,58.74,15434.0
AEE,2018-05-01 15:00:00+00:00,58.75,58.82,58.6,58.62,17449.0
AEE,2018-05-01 16:00:00+00:00,58.625,58.69,58.5,58.62,19720.0
AEE,2018-05-01 17:00:00+00:00,58.63,58.75,58.53,58.75,16102.0
AEE,2018-05-01 18:00:00+00:00,58.78,58.8,58.62,58.66,20357.0
AEE,2018-05-01 19:00:00+00:00,58.645,58.67,58.29,58.34,58293.0
AEE,2018-05-02 13:00:00+00:00,58.36,58.41,58.04,58.08,3861.0
AEE,2018-05-02 14:00:00+00:00,58.06,58.62,58.02,58.62,14032.0
AEE,2018-05-02 15:00:00+00:00,58.61,58.67,58.23,58.23,7735.0
AEE,2018-05-02 16:00:00+00:00,58.22,58.25,58.035,58.23,8814.0
AEE,2018-05-02 17:00:00+00:00,58.23,58.39,58.19,58.36,7736.0
AEE,2018-05-02 18:00:00+00:00,58.36,58.57,58.36,58.39,16767.0
AEE,2018-05-02 19:00:00+00:00,58.4,58.4,58.21,58.39,46065.0
AEE,2018-05-03 13:00:00+00:00,58.12,58.12,57.7,57.95,8179.0
AEE,2018-05-03 14:00:00+00:00,57.97,58.04,57.65,58.04,27283.0
AEE,2018-05-03 15:00:00+00:00,58.05,58.54,58.01,58.46,29042.0
AEE,2018-05-03 16:00:00+00:00,58.45,58.64,58.33,58.64,26067.0
AEE,2018-05-03 17:00:00+00:00,58.62,58.92,58.48,58.91,24054.0
AEE,2018-05-03 18:00:00+00:00,58.88,58.9,58.6,58.68,15352.0
AEE,2018-05-03 19:00:00+00:00,58.68,58.78,58.64,58.74,36482.0
AEE,2018-05-04 13:00:00+00:00,58.9,58.91,58.71,58.91,8982.0
AEE,2018-05-04 14:00:00+00:00,58.89,59.03,58.79,58.93,22545.0
AEE,2018-05-04 15:00:00+00:00,58.91,58.97,58.75,58.83,18510.0
AEE,2018-05-04 16:00:00+00:00,58.83,58.95,58.82,58.93,10596.0
AEE,2018-05-04 17:00:00+00:00,58.9,59.11,58.9,58.96,9529.0
AEE,2018-05-04 18:00:00+00:00,58.96,59.18,58.91,59.025,9556.0
AEE,2018-05-04 19:00:00+00:00,59.025,59.11,58.81,58.9,31599.0
AEE,2018-05-07 13:00:00+00:00,58.93,58.97,58.67,58.75,4832.0
AEE,2018-05-07 14:00:00+00:00,58.76,58.79,58.48,58.53,9880.0
AEE,2018-05-07 15:00:00+00:00,58.49,58.63,58.47,58.57,12275.0
AEE,2018-05-07 16:00:00+00:00,58.59,58.71,58.58,58.62,17896.0
AEE,2018-05-07 17:00:00+00:00,58.62,58.72,58.56,58.72,10453.0
AEE,2018-05-07 18:00:00+00:00,58.72,58.84,58.72,58.79,14843.0
AEE,2018-05-07 19:00:00+00:00,58.79,58.79,58.45,58.54,50971.0
AEE,2018-05-08 13:00:00+00:00,58.16,58.16,57.43,57.43,11351.0
AEE,2018-05-08 14:00:00+00:00,57.43,57.57,57.1,57.31,33743.0
AEE,2018-05-08 15:00:00+00:00,57.3,57.69,57.25,57.5,35513.0
AEE,2018-05-08 16:00:00+00:00,57.52,57.6,57.31,57.33,25727.0
AEE,2018-05-08 17:00:00+00:00,57.33,57.37,57.19,57.29,32899.0
AEE,2018-05-08 18:00:00+00:00,57.27,57.27,56.84,56.89,63725.0
AEE,2018-05-08 19:00:00+00:00,56.88,57.14,56.76,56.91,122356.0
AEE,2018-05-09 13:00:00+00:00,57.74,57.77,56.26,56.65,22111.0
AEE,2018-05-09 14:00:00+00:00,56.665,56.95,56.155,56.6,42021.0
AEE,2018-05-09 15:00:00+00:00,56.61,56.85,56.48,56.53,30914.0
AEE,2018-05-09 16:00:00+00:00,56.55,56.62,56.29,56.32,24069.0
AEE,2018-05-09 17:00:00+00:00,56.32,56.47,56.25,56.3,34562.0
AEE,2018-05-09 18:00:00+00:00,56.3,56.49,56.27,56.48,28011.0
AEE,2018-05-09 19:00:00+00:00,56.48,56.49,56.08,56.2,101184.0
AEE,2018-05-10 13:00:00+00:00,56.65,56.77,56.22,56.27,11564.0
AEE,2018-05-10 14:00:00+00:00,56.29,56.45,56.1,56.12,26441.0
AEE,2018-05-10 15:00:00+00:00,56.11,56.31,56.09,56.29,23202.0
AEE,2018-05-10 16:00:00+00:00,56.29,56.34,56.24,56.26,16031.0
AEE,2018-05-10 17:00:00+00:00,56.26,56.53,56.26,56.49,16075.0
AEE,2018-05-10 18:00:00+00:00,56.49,56.54,56.3,56.37,25019.0
AEE,2018-05-10 19:00:00+00:00,56.36,56.43,56.18,56.35,66469.0
AEE,2018-05-11 13:00:00+00:00,56.37,56.57,56.34,56.41,3316.0
AEE,2018-05-11 14:00:00+00:00,56.41,56.88,56.35,56.88,76094.0
AEE,2018-05-11 15:00:00+00:00,56.88,56.975,56.75,56.95,42773.0
AEE,2018-05-11 16:00:00+00:00,56.945,57.015,56.835,57.0,33368.0
AEE,2018-05-11 17:00:00+00:00,57.005,57.03,56.98,57.02,20255.0
AEE,2018-05-11 18:00:00+00:00,57.015,57.015,56.85,56.86,32148.0
AEE,2018-05-11 19:00:00+00:00,56.86,56.915,56.72,56.86,87819.0
AEE,2018-05-14 13:00:00+00:00,56.96,57.03,56.805,56.88,3943.0
AEE,2018-05-14 14:00:00+00:00,56.865,56.97,56.81,56.86,12758.0
AEE,2018-05-14 15:00:00+00:00,56.87,56.92,56.48,56.52,23889.0
AEE,2018-05-14 16:00:00+00:00,56.505,56.51,56.09,56.41,33863.0
AEE,2018-05-14 17:00:00+00:00,56.44,56.47,56.26,56.27,13677.0
AEE,2018-05-14 18:00:00+00:00,56.29,56.39,56.23,56.39,22748.0
AEE,2018-05-14 19:00:00+00:00,56.4,56.59,56.35,56.59,53526.0
AEE,2018-05-15 13:00:00+00:00,56.32,56.64,56.14,56.215,35300.0
AEE,2018-05-15 14:00:00+00:00,56.23,56.45,56.13,56.45,33438.0
AEE,2018-05-15 15:00:00+00:00,56.43,56.43,56.185,56.19,37306.0
AEE,2018-05-15 16:00:00+00:00,56.18,56.24,56.09,56.19,18575.0
AEE,2018-05-15 17:00:00+00:00,56.18,56.29,56.1,56.19,21433.0
AEE,2018-05-15 18:00:00+00:00,56.19,56.3,56.11,56.14,22429.0
AEE,2018-05-15 19:00:00+00:00,56.15,56.47,56.12,56.42,91863.0
AEE,2018-05-16 13:00:00+00:00,56.46,56.56,56.3,56.42,9882.0
AEE,2018-05-16 14:00:00+00:00,56.42,56.51,55.83,55.92,37073.0
AEE,2018-05-16 15:00:00+00:00,55.92,56.1,55.83,55.985,71990.0
AEE,2018-05-16 16:00:00+00:00,55.985,56.06,55.84,55.89,33696.0
AEE,2018-05-16 17:00:00+00:00,55.89,56.03,55.84,55.97,31550.0
AEE,2018-05-16 18:00:00+00:00,55.97,56.01,55.87,55.96,39950.0
AEE,2018-05-16 19:00:00+00:00,55.955,55.955,55.84,55.93,74106.0
AEE,2018-05-17 13:00:00+00:00,56.19,56.26,56.02,56.22,27592.0
AEE,2018-05-17 14:00:00+00:00,56.2,56.22,55.89,56.1,33857.0
AEE,2018-05-17 15:00:00+00:00,56.1,56.14,55.91,55.98,33012.0
AEE,2018-05-17 16:00:00+00:00,55.97,56.07,55.9,55.95,19340.0
AEE,2018-05-17 17:00:00+00:00,55.93,55.94,55.85,55.905,15357.0
AEE,2018-05-17 18:00:00+00:00,55.9,56.03,55.81,55.89,26728.0
AEE,2018-05-17 19:00:00+00:00,55.885,55.895,55.73,55.83,60280.0
AEE,2018-05-18 13:00:00+00:00,56.04,56.21,55.81,56.13,13948.0
AEE,2018-05-18 14:00:00+00:00,56.15,56.51,56.15,56.25,46033.0
AEE,2018-05-18 15:00:00+00:00,56.22,56.22,55.88,56.0,33555.0
AEE,2018-05-18 16:00:00+00:00,55.99,56.09,55.95,55.95,36936.0
AEE,2018-05-18 17:00:00+00:00,55.93,56.03,55.87,55.99,28512.0
AEE,2018-05-18 18:00:00+00:00,55.98,56.18,55.98,56.18,15613.0
AEE,2018-05-18 19:00:00+00:00,56.17,56.3,56.08,56.26,62767.0
AEE,2018-05-21 13:00:00+00:00,56.25,56.29,55.88,55.89,7168.0
AEE,2018-05-21 14:00:00+00:00,55.96,56.11,55.81,56.06,15262.0
AEE,2018-05-21 15:00:00+00:00,56.04,56.1,55.98,56.0,18338.0
AEE,2018-05-21 16:00:00+00:00,55.98,56.19,55.98,56.17,11500.0
AEE,2018-05-21 17:00:00+00:00,56.18,56.36,56.18,56.36,14403.0
AEE,2018-05-21 18:00:00+00:00,56.35,56.47,56.3,56.46,25827.0
AEE,2018-05-21 19:00:00+00:00,56.45,56.48,56.26,56.35,43414.0
AEE,2018-05-22 13:00:00+00:00,56.64,56.64,56.25,56.53,9383.0
AEE,2018-05-22 14:00:00+00:00,56.52,56.87,56.48,56.8,38420.0
AEE,2018-05-22 15:00:00+00:00,56.81,56.86,56.65,56.69,19034.0
AEE,2018-05-22 16:00:00+00:00,56.69,56.86,56.62,56.63,20306.0
AEE,2018-05-22 17:00:00+00:00,56.64,56.64,56.49,56.62,18682.0
AEE,2018-05-22 18:00:00+00:00,56.62,56.71,56.56,56.71,22619.0
AEE,2018-05-22 19:00:00+00:00,56.71,56.79,56.62,56.715,49345.0
AEE,2018-05-22 20:00:00+00:00,57.19,57.19,57.19,57.19,500.0
AEE,2018-05-23 13:00:00+00:00,57.07,57.58,57.02,57.52,60575.0
AEE,2018-05-23 14:00:00+00:00,57.51,57.89,57.45,57.78,63990.0
AEE,2018-05-23 15:00:00+00:00,57.77,57.78,57.44,57.58,29583.0
AEE,2018-05-23 16:00:00+00:00,57.58,57.71,57.44,57.71,36392.0
AEE,2018-05-23 17:00:00+00:00,57.7,57.79,57.605,57.7,22091.0
