symbol,ts,open,high,low,close,volume
AEP,2018-05-01 13:00:00+00:00,69.97,69.97,69.69,69.7,49606.0
AEP,2018-05-01 14:00:00+00:00,69.72,69.99,69.41,69.88,114454.0
AEP,2018-05-01 15:00:00+00:00,69.885,69.9,69.66,69.68,71039.0
AEP,2018-05-01 16:00:00+00:00,69.69,69.71,69.47,69.56,52601.0
AEP,2018-05-01 17:00:00+00:00,69.55,69.69,69.405,69.67,30890.0
AEP,2018-05-01 18:00:00+00:00,69.69,69.69,69.43,69.51,39159.0
AEP,2018-05-01 19:00:00+00:00,69.5,69.58,69.31,69.44,87020.0
AEP,2018-05-02 13:00:00+00:00,69.4,69.52,68.91,68.91,36679.0
AEP,2018-05-02 14:00:00+00:00,68.93,69.51,68.84,69.49,53946.0
AEP,2018-05-02 15:00:00+00:00,69.5,69.63,69.07,69.07,33574.0
AEP,2018-05-02 16:00:00+00:00,69.085,69.3,69.02,69.28,35766.0
AEP,2018-05-02 17:00:00+00:00,69.28,69.46,69.28,69.37,39271.0
AEP,2018-05-02 18:00:00+00:00,69.36,69.51,69.35,69.37,70191.0
AEP,2018-05-02 19:00:00+00:00,69.38,69.38,69.03,69.2,105567.0
AEP,2018-05-03 13:00:00+00:00,69.04,69.04,68.54,68.83,34707.0
AEP,2018-05-03 14:00:00+00:00,68.83,68.93,68.53,68.93,96849.0
AEP,2018-05-03 15:00:00+00:00,68.95,69.39,68.93,69.29,41308.0
AEP,2018-05-03 16:00:00+00:00,69.3,69.43,69.14,69.38,30521.0
AEP,2018-05-03 17:00:00+00:00,69.36,69.7,69.17,69.7,33727.0
AEP,2018-05-03 18:00:00+00:00,69.68,69.68,69.15,69.21,37209.0
AEP,2018-05-03 19:00:00+00:00,69.25,69.39,69.2,69.23,86866.0
AEP,2018-05-04 13:00:00+00:00,69.24,69.52,69.17,69.47,28815.0
AEP,2018-05-04 14:00:00+00:00,69.47,69.54,69.29,69.34,53626.0
AEP,2018-05-04 15:00:00+00:00,69.34,69.47,69.19,69.4,38958.0
AEP,2018-05-04 16:00:00+00:00,69.42,69.58,69.395,69.52,19559.0
AEP,2018-05-04 17:00:00+00:00,69.52,69.66,69.5,69.56,21738.0
AEP,2018-05-04 18:00:00+00:00,69.555,69.81,69.41,69.63,26489.0
AEP,2018-05-04 19:00:00+00:00,69.63,69.76,69.33,69.39,60051.0
AEP,2018-05-07 13:00:00+00:00,69.36,69.44,69.15,69.19,21789.0
AEP,2018-05-07 14:00:00+00:00,69.19,69.25,68.78,68.84,41631.0
AEP,2018-05-07 15:00:00+00:00,68.81,68.86,68.64,68.79,28897.0
AEP,2018-05-07 16:00:00+00:00,68.79,68.96,68.79,68.91,18170.0
AEP,2018-05-07 17:00:00+00:00,68.9,68.975,68.79,68.975,26988.0
AEP,2018-05-07 18:00:00+00:00,68.975,69.165,68.975,69.11,24202.0
AEP,2018-05-07 19:00:00+00:00,69.11,69.11,68.705,68.79,86992.0
AEP,2018-05-08 12:00:00+00:00,68.78,68.78,68.78,68.78,50.0
AEP,2018-05-08 13:00:00+00:00,68.55,68.57,67.87,67.92,103434.0
AEP,2018-05-08 14:00:00+00:00,67.9,67.94,67.5,67.6,78430.0
AEP,2018-05-08 15:00:00+00:00,67.58,67.88,67.525,67.56,66822.0
AEP,2018-05-08 16:00:00+00:00,67.57,67.67,67.5,67.56,39714.0
AEP,2018-05-08 17:00:00+00:00,67.57,67.59,67.4,67.44,47368.0
AEP,2018-05-08 18:00:00+00:00,67.43,67.43,67.09,67.26,66420.0
AEP,2018-05-08 19:00:00+00:00,67.26,67.47,67.15,67.25,126065.0
AEP,2018-05-09 13:00:00+00:00,66.81,66.99,66.58,66.63,70102.0
AEP,2018-05-09 14:00:00+00:00,66.63,66.78,66.32,66.55,140882.0
AEP,2018-05-09 15:00:00+00:00,66.55,66.55,66.35,66.45,59718.0
AEP,2018-05-09 16:00:00+00:00,66.46,66.52,66.26,66.3,67841.0
AEP,2018-05-09 17:00:00+00:00,66.32,66.42,66.13,66.14,51617.0
AEP,2018-05-09 18:00:00+00:00,66.13,66.3,66.03,66.25,54259.0
AEP,2018-05-09 19:00:00+00:00,66.25,66.33,66.1,66.27,92954.0
AEP,2018-05-10 13:00:00+00:00,66.55,66.75,66.34,66.46,30175.0
AEP,2018-05-10 14:00:00+00:00,66.46,66.78,66.46,66.7,28320.0
AEP,2018-05-10 15:00:00+00:00,66.71,66.89,66.66,66.8,28845.0
AEP,2018-05-10 16:00:00+00:00,66.78,66.94,66.76,66.86,20721.0
AEP,2018-05-10 17:00:00+00:00,66.86,67.0,66.83,66.96,17185.0
AEP,2018-05-10 18:00:00+00:00,66.96,67.02,66.79,66.92,31523.0
AEP,2018-05-10 19:00:00+00:00,66.91,67.03,66.79,67.02,59257.0
AEP,2018-05-11 13:00:00+00:00,67.17,67.22,66.96,67.01,13243.0
AEP,2018-05-11 14:00:00+00:00,67.02,67.2,66.86,67.2,23926.0
AEP,2018-05-11 15:00:00+00:00,67.21,67.3,67.07,67.24,17237.0
AEP,2018-05-11 16:00:00+00:00,67.27,67.28,67.08,67.26,18006.0
AEP,2018-05-11 17:00:00+00:00,67.26,67.33,67.26,67.3,12209.0
AEP,2018-05-11 18:00:00+00:00,67.29,67.29,67.09,67.11,20490.0
AEP,2018-05-11 19:00:00+00:00,67.11,67.195,67.07,67.16,39428.0
AEP,2018-05-14 13:00:00+00:00,67.39,67.39,67.14,67.3,17212.0
AEP,2018-05-14 14:00:00+00:00,67.3,67.34,67.18,67.285,49513.0
AEP,2018-05-14 15:00:00+00:00,67.28,67.38,67.23,67.23,39834.0
AEP,2018-05-14 16:00:00+00:00,67.22,67.22,66.74,67.07,43821.0
AEP,2018-05-14 17:00:00+00:00,67.06,67.06,66.82,66.85,30651.0
AEP,2018-05-14 18:00:00+00:00,66.835,66.93,66.75,66.93,34185.0
AEP,2018-05-14 19:00:00+00:00,66.915,67.1,66.88,67.1,62028.0
AEP,2018-05-15 13:00:00+00:00,66.71,67.06,66.52,66.6,65491.0
AEP,2018-05-15 14:00:00+00:00,66.59,66.965,66.42,66.965,100069.0
AEP,2018-05-15 15:00:00+00:00,66.97,67.08,66.85,66.975,281652.0
AEP,2018-05-15 16:00:00+00:00,66.97,67.01,66.79,66.97,102081.0
AEP,2018-05-15 17:00:00+00:00,66.89,66.89,66.53,66.69,47191.0
AEP,2018-05-15 18:00:00+00:00,66.69,66.73,66.53,66.59,58929.0
AEP,2018-05-15 19:00:00+00:00,66.59,66.8,66.52,66.79,166448.0
AEP,2018-05-16 13:00:00+00:00,66.85,66.86,66.65,66.7,16564.0
AEP,2018-05-16 14:00:00+00:00,66.66,66.7,65.97,66.04,50980.0
AEP,2018-05-16 15:00:00+00:00,66.03,66.26,65.92,66.0,76334.0
AEP,2018-05-16 16:00:00+00:00,65.99,66.08,65.91,65.93,91004.0
AEP,2018-05-16 17:00:00+00:00,65.92,66.15,65.9,66.11,40737.0
AEP,2018-05-16 18:00:00+00:00,66.08,66.11,65.94,66.05,73149.0
AEP,2018-05-16 19:00:00+00:00,66.04,66.19,65.95,66.16,217011.0
AEP,2018-05-17 13:00:00+00:00,66.27,66.43,66.03,66.07,34887.0
AEP,2018-05-17 14:00:00+00:00,66.03,66.03,65.74,65.95,36699.0
AEP,2018-05-17 15:00:00+00:00,65.98,65.99,65.57,65.65,43212.0
AEP,2018-05-17 16:00:00+00:00,65.63,65.7,65.43,65.46,41451.0
AEP,2018-05-17 17:00:00+00:00,65.47,65.47,65.29,65.37,28018.0
AEP,2018-05-17 18:00:00+00:00,65.39,65.51,65.155,65.24,40003.0
AEP,2018-05-17 19:00:00+00:00,65.24,65.25,65.005,65.22,98234.0
AEP,2018-05-18 13:00:00+00:00,65.42,65.52,65.14,65.21,18086.0
AEP,2018-05-18 14:00:00+00:00,65.22,65.55,65.15,65.16,69452.0
AEP,2018-05-18 15:00:00+00:00,65.16,65.16,64.61,64.81,75382.0
AEP,2018-05-18 16:00:00+00:00,64.82,64.92,64.62,64.62,53792.0
AEP,2018-05-18 17:00:00+00:00,64.62,64.645,64.46,64.59,37501.0
AEP,2018-05-18 18:00:00+00:00,64.6,64.835,64.6,64.825,30544.0
AEP,2018-05-18 19:00:00+00:00,64.82,65.01,64.71,64.94,135701.0
AEP,2018-05-21 13:00:00+00:00,65.05,65.05,64.6,64.66,22268.0
AEP,2018-05-21 14:00:00+00:00,64.65,64.95,64.63,64.8,40931.0
AEP,2018-05-21 15:00:00+00:00,64.79,64.82,64.71,64.75,34727.0
AEP,2018-05-21 16:00:00+00:00,64.77,65.0,64.77,64.96,17718.0
AEP,2018-05-21 17:00:00+00:00,64.96,65.18,64.96,65.18,20002.0
AEP,2018-05-21 18:00:00+00:00,65.16,65.24,65.09,65.14,32742.0
AEP,2018-05-21 19:00:00+00:00,65.15,65.17,64.89,65.08,99212.0
AEP,2018-05-22 13:00:00+00:00,65.2,65.45,65.11,65.42,22523.0
AEP,2018-05-22 14:00:00+00:00,65.41,65.66,65.32,65.46,44207.0
AEP,2018-05-22 15:00:00+00:00,65.47,65.51,65.33,65.35,32782.0
AEP,2018-05-22 16:00:00+00:00,65.36,65.51,65.26,65.28,44109.0
AEP,2018-05-22 17:00:00+00:00,65.28,65.3,65.1,65.3,34835.0
AEP,2018-05-22 18:00:00+00:00,65.3,65.48,65.26,65.48,35073.0
AEP,2018-05-22 19:00:00+00:00,65.49,65.56,65.36,65.46,86342.0
AEP,2018-05-23 13:00:00+00:00,65.59,65.88,65.55,65.88,30189.0
AEP,2018-05-23 14:00:00+00:00,65.87,66.4,65.86,66.26,67066.0
AEP,2018-05-23 15:00:00+00:00,66.25,66.25,65.94,65.96,47026.0
AEP,2018-05-23 16:00:00+00:00,65.97,66.07,65.85,66.06,34721.0
AEP,2018-05-23 17:00:00+00:00,66.06,66.3,66.0,66.09,41072.0
AEP,2018-05-23 18:00:00+00:00,66.1,66.37,66.06,66.37,50008.0
AEP,2018-05-23 19:00:00+00:00,66.38,66.5,66.3,66.46,89177.0
AEP,2018-05-24 13:00:00+00:00,65.75,66.7,65.75,66.36,64948.0
AEP,2018-05-24 14:00:00+00:00,66.37,66.92,66.23,66.86,60783.0
AEP,2018-05-24 15:00:00+00:00,66.85,66.87,66.52,66.54,72050.0
AEP,2018-05-24 16:00:00+00:00,66.53,66.81,66.5,66.68,48408.0
AEP,2018-05-24 17:00:00+00:00,66.68,66.8,66.6,66.74,35967.0
AEP,2018-05-24 18:00:00+00:00,66.74,66.745,66.58,66.68,59941.0
AEP,2018-05-24 19:00:00+00:00,66.67,66.865,66.6,66.84,101285.0
AEP,2018-05-25 13:00:00+00:00,66.81,66.99,66.75,66.98,22355.0
AEP,2018-05-25 14:00:00+00:00,66.96,67.295,66.86,67.23,71553.0
AEP,2018-05-25 15:00:00+00:00,67.22,67.34,67.14,67.28,42306.0
AEP,2018-05-25 16:00:00+00:00,67.29,67.29,67.19,67.22,37638.0
AEP,2018-05-25 17:00:00+00:00,67.21,67.34,67.17,67.24,28678.0
AEP,2018-05-25 18:00:00+00:00,67.24,67.31,67.2,67.26,38249.0
AEP,2018-05-25 19:00:00+00:00,67.26,67.395,67.22,67.23,78201.0
AEP,2018-05-25 20:00:00+00:00,66.97,66.97,66.95,66.95,432.0
AEP,2018-05-29 13:00:00+00:00,66.94,67.35,66.9,67.01,27235.0
AEP,2018-05-29 14:00:00+00:00,67.01,67.68,66.98,67.58,56343.0
AEP,2018-05-29 15:00:00+00:00,67.59,67.89,67.56,67.75,45122.0
AEP,2018-05-29 16:00:00+00:00,67.75,67.79,67.42,67.53,30476.0
AEP,2018-05-29 17:00:00+00:00,67.53,67.58,67.36,67.47,28578.0
AEP,2018-05-29 18:00:00+00:00,67.46,67.48,67.31,67.34,30575.0
AEP,2018-05-29 19:00:00+00:00,67.345,67.71,67.22,67.63,138017.0
AEP,2018-05-30 13:00:00+00:00,67.35,67.62,67.1,67.62,38035.0
AEP,2018-05-30 14:00:00+00:00,67.63,67.86,67.37,67.82,90836.0
AEP,2018-05-30 15:00:00+00:00,67.81,67.97,67.61,67.87,62654.0
AEP,2018-05-30 16:00:00+00:00,67.86,67.95,67.735,67.91,86974.0
AEP,2018-05-30 17:00:00+00:00,67.91,68.19,67.91,67.98,82252.0
AEP,2018-05-30 18:00:00+00:00,67.985,68.21,67.985,68.16,87980.0
AEP,2018-05-30 19:00:00+00:00,68.17,68.17,67.95,68.02,134589.0
AEP,2018-05-31 13:00:00+00:00,67.89,67.9,67.55,67.71,35203.0
AEP,2018-05-31 14:00:00+00:00,67.75,68.22,67.49,68.04,63604.0
AEP,2018-05-31 15:00:00+00:00,68.03,68.36,67.96,68.3,57389.0
AEP,2018-05-31 16:00:00+00:00,68.31,68.43,68.19,68.21,37769.0
AEP,2018-05-31 17:00:00+00:00,68.2,68.2,67.93,68.01,44703.0
AEP,2018-05-31 18:00:00+00:00,68.02,68.03,67.72,67.79,46103.0
AEP,2018-05-31 19:00:00+00:00,67.81,68.025,67.73,67.94,90193.0
AEP,2018-06-01 13:00:00+00:00,67.64,67.8,67.14,67.27,34750.0
AEP,2018-06-01 14:00:00+00:00,67.27,67.49,66.91,66.95,69592.0
AEP,2018-06-01 15:00:00+00:00,66.96,66.98,66.44,66.59,68445.0
AEP,2018-06-01 16:00:00+00:00,66.61,66.76,66.54,66.72,41630.0
AEP,2018-06-01 17:00:00+00:00,66.71,66.82,66.51,66.54,34536.0
AEP,2018-06-01 18:00:00+00:00,66.55,66.97,66.55,66.85,57302.0
AEP,2018-06-01 19:00:00+00:00,66.83,66.85,66.62,66.67,98688.0
AEP,2018-06-04 13:00:00+00:00,66.99,67.13,66.73,67.025,36336.0
AEP,2018-06-04 14:00:00+00:00,67.0,67.01,65.98,66.01,56048.0
AEP,2018-06-04 15:00:00+00:00,66.03,66.32,66.03,66.21,37679.0
AEP,2018-06-04 16:00:00+00:00,66.25,66.28,66.02,66.14,18301.0
AEP,2018-06-04 17:00:00+00:00,66.14,66.17,65.95,66.02,20014.0
AEP,2018-06-04 18:00:00+00:00,66.03,66.41,66.03,66.32,33849.0
AEP,2018-06-04 19:00:00+00:00,66.32,66.36,66.04,66.05,68770.0
AEP,2018-06-05 13:00:00+00:00,65.81,66.05,65.65,65.88,38314.0
AEP,2018-06-05 14:00:00+00:00,65.895,65.93,65.66,65.91,92326.0
AEP,2018-06-05 15:00:00+00:00,65.91,65.95,65.59,65.59,122035.0
AEP,2018-06-05 16:00:00+00:00,65.6,65.75,65.32,65.32,38896.0
AEP,2018-06-05 17:00:00+00:00,65.31,65.35,65.12,65.27,54203.0
AEP,2018-06-05 18:00:00+00:00,65.27,65.46,65.26,65.33,22446.0
AEP,2018-06-05 19:00:00+00:00,65.34,65.44,65.26,65.3,83842.0
AEP,2018-06-06 13:00:00+00:00,65.39,65.39,64.72,64.74,45260.0
AEP,2018-06-06 14:00:00+00:00,64.73,64.73,64.22,64.43,60009.0
AEP,2018-06-06 15:00:00+00:00,64.4,64.4,64.09,64.25,68430.0
AEP,2018-06-06 16:00:00+00:00,64.25,64.48,64.22,64.29,34163.0
AEP,2018-06-06 17:00:00+00:00,64.28,64.28,63.89,63.91,52276.0
AEP,2018-06-06 18:00:00+00:00,63.92,64.05,63.75,63.85,43358.0
AEP,2018-06-06 19:00:00+00:00,63.84,63.93,63.67,63.79,140809.0
