symbol,ts,open,high,low,close,volume
AES,2018-05-01 13:00:00+00:00,12.26,12.26,12.17,12.19,65483.0
AES,2018-05-01 14:00:00+00:00,12.185,12.22,12.115,12.12,126172.0
AES,2018-05-01 15:00:00+00:00,12.115,12.22,12.1,12.21,121270.0
AES,2018-05-01 16:00:00+00:00,12.2,12.2,12.175,12.185,91565.0
AES,2018-05-01 17:00:00+00:00,12.18,12.2,12.15,12.19,107779.0
AES,2018-05-01 18:00:00+00:00,12.195,12.205,12.18,12.185,45425.0
AES,2018-05-01 19:00:00+00:00,12.19,12.23,12.18,12.21,218760.0
AES,2018-05-02 13:00:00+00:00,12.15,12.21,12.135,12.17,71226.0
AES,2018-05-02 14:00:00+00:00,12.175,12.295,12.175,12.26,83797.0
AES,2018-05-02 15:00:00+00:00,12.26,12.26,12.18,12.21,78949.0
AES,2018-05-02 16:00:00+00:00,12.2,12.27,12.18,12.23,83029.0
AES,2018-05-02 17:00:00+00:00,12.23,12.28,12.225,12.25,74044.0
AES,2018-05-02 18:00:00+00:00,12.26,12.28,12.225,12.23,119233.0
AES,2018-05-02 19:00:00+00:00,12.235,12.235,12.155,12.195,133013.0
AES,2018-05-03 13:00:00+00:00,12.2,12.2,12.06,12.15,59580.0
AES,2018-05-03 14:00:00+00:00,12.15,12.24,12.14,12.225,84943.0
AES,2018-05-03 15:00:00+00:00,12.23,12.25,12.175,12.22,98452.0
AES,2018-05-03 16:00:00+00:00,12.215,12.24,12.165,12.24,87898.0
AES,2018-05-03 17:00:00+00:00,12.235,12.315,12.205,12.3,55773.0
AES,2018-05-03 18:00:00+00:00,12.29,12.3,12.235,12.24,84493.0
AES,2018-05-03 19:00:00+00:00,12.24,12.3,12.24,12.295,240239.0
AES,2018-05-04 13:00:00+00:00,12.28,12.36,12.24,12.345,25332.0
AES,2018-05-04 14:00:00+00:00,12.34,12.37,12.315,12.325,58240.0
AES,2018-05-04 15:00:00+00:00,12.32,12.33,12.285,12.3,49265.0
AES,2018-05-04 16:00:00+00:00,12.295,12.39,12.295,12.37,41747.0
AES,2018-05-04 17:00:00+00:00,12.37,12.4,12.355,12.385,46965.0
