symbol,ts,open,high,low,close,volume
AIG,2018-05-01 13:00:00+00:00,55.91,55.91,55.39,55.8,34953.0
AIG,2018-05-01 14:00:00+00:00,55.745,56.07,55.74,55.8,77474.0
AIG,2018-05-01 15:00:00+00:00,55.8,55.91,55.66,55.66,67099.0
AIG,2018-05-01 16:00:00+00:00,55.67,55.85,55.62,55.8,77295.0
AIG,2018-05-01 17:00:00+00:00,55.79,55.96,55.655,55.94,66066.0
AIG,2018-05-01 18:00:00+00:00,55.95,56.12,55.92,56.09,75634.0
AIG,2018-05-01 19:00:00+00:00,56.1,56.325,55.89,56.29,168690.0
AIG,2018-05-01 20:00:00+00:00,56.49,56.49,56.49,56.49,200.0
AIG,2018-05-01 21:00:00+00:00,55.76,55.76,55.76,55.76,200.0
AIG,2018-05-01 23:00:00+00:00,56.38,56.4,56.38,56.4,280.0
AIG,2018-05-02 13:00:00+00:00,55.93,55.93,55.575,55.6,51577.0
AIG,2018-05-02 14:00:00+00:00,55.6,55.68,54.95,55.18,174879.0
AIG,2018-05-02 15:00:00+00:00,55.185,55.23,54.86,54.92,96285.0
AIG,2018-05-02 16:00:00+00:00,54.915,54.95,54.83,54.865,59602.0
AIG,2018-05-02 17:00:00+00:00,54.865,55.0,54.845,54.96,59693.0
AIG,2018-05-02 18:00:00+00:00,54.95,55.0,54.71,54.76,110643.0
AIG,2018-05-02 19:00:00+00:00,54.76,54.9,54.59,54.83,252916.0
AIG,2018-05-02 20:00:00+00:00,54.82,54.82,51.77,51.9,13123.0
AIG,2018-05-02 21:00:00+00:00,51.8,51.8,51.65,51.8,4742.0
AIG,2018-05-02 22:00:00+00:00,51.6,51.6,51.6,51.6,194.0
AIG,2018-05-02 23:00:00+00:00,51.8,51.8,51.77,51.8,475.0
AIG,2018-05-03 10:00:00+00:00,52.04,52.04,51.77,51.77,525.0
AIG,2018-05-03 11:00:00+00:00,52.0,52.14,51.5,51.5,2262.0
AIG,2018-05-03 12:00:00+00:00,51.45,51.53,50.65,50.74,30130.0
AIG,2018-05-03 13:00:00+00:00,50.81,51.33,50.01,50.15,419638.0
AIG,2018-05-03 14:00:00+00:00,50.16,50.37,49.62,49.78,432550.0
AIG,2018-05-03 15:00:00+00:00,49.78,50.09,49.57,49.94,264612.0
AIG,2018-05-03 16:00:00+00:00,49.94,50.89,49.94,50.88,234092.0
AIG,2018-05-03 17:00:00+00:00,50.88,51.92,50.69,51.48,263037.0
AIG,2018-05-03 18:00:00+00:00,51.46,51.71,51.39,51.52,143883.0
AIG,2018-05-03 19:00:00+00:00,51.52,51.99,51.34,51.95,388334.0
AIG,2018-05-03 20:00:00+00:00,51.93,51.93,51.93,51.93,300.0
AIG,2018-05-03 21:00:00+00:00,51.6,51.6,51.6,51.6,80.0
AIG,2018-05-04 11:00:00+00:00,51.93,51.93,51.93,51.93,20.0
