symbol,ts,open,high,low,close,volume
ALB,2018-05-01 13:00:00+00:00,96.45,96.74,96.0,96.62,6355.0
ALB,2018-05-01 14:00:00+00:00,96.34,96.48,95.76,95.86,23426.0
ALB,2018-05-01 15:00:00+00:00,95.85,96.17,95.69,95.98,32824.0
ALB,2018-05-01 16:00:00+00:00,96.02,96.26,95.92,95.92,23083.0
ALB,2018-05-01 17:00:00+00:00,95.9,96.68,95.83,96.64,22075.0
ALB,2018-05-01 18:00:00+00:00,96.63,97.09,96.49,96.87,17120.0
ALB,2018-05-01 19:00:00+00:00,96.87,97.6,96.76,97.58,56047.0
ALB,2018-05-01 20:00:00+00:00,97.89,97.89,97.89,97.89,5.0
ALB,2018-05-02 13:00:00+00:00,97.6,98.19,97.55,97.895,7531.0
ALB,2018-05-02 14:00:00+00:00,97.88,99.22,97.84,98.94,28236.0
ALB,2018-05-02 15:00:00+00:00,98.86,98.94,98.4,98.55,18023.0
ALB,2018-05-02 16:00:00+00:00,98.505,99.29,98.45,99.1,28460.0
ALB,2018-05-02 17:00:00+00:00,99.1,99.31,98.74,98.91,23498.0
ALB,2018-05-02 18:00:00+00:00,98.88,99.75,98.81,98.97,41100.0
ALB,2018-05-02 19:00:00+00:00,98.99,98.99,97.67,97.82,61747.0
ALB,2018-05-02 21:00:00+00:00,97.31,97.31,97.31,97.31,150.0
ALB,2018-05-03 13:00:00+00:00,98.0,99.19,98.0,98.54,14510.0
ALB,2018-05-03 14:00:00+00:00,98.57,98.62,96.57,96.71,40257.0
ALB,2018-05-03 15:00:00+00:00,96.7,97.29,96.51,96.93,25087.0
ALB,2018-05-03 16:00:00+00:00,96.92,98.3,96.59,98.17,45391.0
ALB,2018-05-03 17:00:00+00:00,98.23,98.67,97.78,98.17,34060.0
ALB,2018-05-03 18:00:00+00:00,98.15,98.21,97.72,97.79,33154.0
ALB,2018-05-03 19:00:00+00:00,97.8,98.02,97.68,97.87,63419.0
ALB,2018-05-03 20:00:00+00:00,97.91,97.91,97.91,97.91,1.0
ALB,2018-05-04 13:00:00+00:00,98.0,98.52,97.62,97.86,9548.0
ALB,2018-05-04 14:00:00+00:00,97.78,98.46,97.605,98.43,20580.0
ALB,2018-05-04 15:00:00+00:00,98.39,100.2,98.29,100.14,39751.0
ALB,2018-05-04 16:00:00+00:00,100.24,100.59,100.05,100.44,24289.0
ALB,2018-05-04 17:00:00+00:00,100.44,100.52,100.09,100.33,12599.0
ALB,2018-05-04 18:00:00+00:00,100.325,100.78,100.13,100.15,27041.0
ALB,2018-05-04 19:00:00+00:00,100.17,100.57,99.9,100.07,70871.0
ALB,2018-05-04 20:00:00+00:00,100.07,100.07,100.07,100.07,100.0
ALB,2018-05-04 21:00:00+00:00,100.1,100.1,100.1,100.1,10.0
ALB,2018-05-04 22:00:00+00:00,100.17,100.2,100.17,100.2,81.0
ALB,2018-05-07 13:00:00+00:00,100.57,102.29,100.12,102.22,17800.0
ALB,2018-05-07 14:00:00+00:00,102.1,102.14,100.72,101.21,21130.0
ALB,2018-05-07 15:00:00+00:00,101.18,101.87,100.6,100.88,21578.0
ALB,2018-05-07 16:00:00+00:00,100.89,101.07,100.48,100.79,21699.0
ALB,2018-05-07 17:00:00+00:00,100.78,100.86,100.53,100.65,11842.0
ALB,2018-05-07 18:00:00+00:00,100.6,100.85,99.87,99.96,24353.0
ALB,2018-05-07 19:00:00+00:00,99.965,100.11,99.69,100.1,43788.0
ALB,2018-05-07 21:00:00+00:00,100.89,100.89,100.89,100.89,4.0
ALB,2018-05-08 13:00:00+00:00,100.0,100.77,99.84,100.17,20806.0
ALB,2018-05-08 14:00:00+00:00,100.21,101.36,100.21,101.11,21862.0
ALB,2018-05-08 15:00:00+00:00,101.11,101.25,100.78,101.11,22166.0
ALB,2018-05-08 16:00:00+00:00,101.06,101.1,100.5,100.61,18280.0
ALB,2018-05-08 17:00:00+00:00,100.6,101.01,100.53,100.63,14559.0
ALB,2018-05-08 18:00:00+00:00,100.65,100.86,100.01,100.4,42537.0
ALB,2018-05-08 19:00:00+00:00,100.39,100.84,100.28,100.7,58182.0
ALB,2018-05-08 20:00:00+00:00,100.84,100.84,100.84,100.84,50.0
ALB,2018-05-08 21:00:00+00:00,101.5,101.5,101.5,101.5,50.0
ALB,2018-05-09 13:00:00+00:00,101.38,102.78,100.61,100.82,14445.0
ALB,2018-05-09 14:00:00+00:00,100.785,101.49,100.47,100.62,38124.0
ALB,2018-05-09 15:00:00+00:00,100.63,100.97,100.2,100.35,30234.0
ALB,2018-05-09 16:00:00+00:00,100.42,101.45,100.39,101.36,18371.0
ALB,2018-05-09 17:00:00+00:00,101.42,101.54,100.99,101.47,20412.0
ALB,2018-05-09 18:00:00+00:00,101.46,101.71,101.33,101.64,27632.0
ALB,2018-05-09 19:00:00+00:00,101.64,102.03,101.4,101.75,63953.0
ALB,2018-05-09 20:00:00+00:00,102.0,104.25,99.2,99.49,5830.0
ALB,2018-05-09 21:00:00+00:00,100.9,100.9,100.52,100.52,43.0
ALB,2018-05-10 13:00:00+00:00,102.5,102.5,96.79,99.35,58536.0
ALB,2018-05-10 14:00:00+00:00,99.35,100.02,97.16,98.8,66963.0
ALB,2018-05-10 15:00:00+00:00,98.71,98.73,97.96,98.38,39621.0
ALB,2018-05-10 16:00:00+00:00,98.31,99.48,98.31,98.45,55707.0
ALB,2018-05-10 17:00:00+00:00,98.415,99.3,98.415,98.82,67638.0
ALB,2018-05-10 18:00:00+00:00,98.81,98.84,97.95,97.95,73606.0
ALB,2018-05-10 19:00:00+00:00,97.93,98.52,97.61,98.37,142025.0
ALB,2018-05-10 20:00:00+00:00,98.39,98.39,98.39,98.39,20.0
ALB,2018-05-11 13:00:00+00:00,97.99,98.55,97.9,98.49,19497.0
ALB,2018-05-11 14:00:00+00:00,98.5,99.03,98.1,99.03,27817.0
ALB,2018-05-11 15:00:00+00:00,99.0,99.0,98.25,98.42,24678.0
ALB,2018-05-11 16:00:00+00:00,98.48,98.86,97.98,98.27,30585.0
ALB,2018-05-11 17:00:00+00:00,98.27,98.63,98.15,98.63,17321.0
ALB,2018-05-11 18:00:00+00:00,98.61,98.63,98.19,98.42,15290.0
ALB,2018-05-11 19:00:00+00:00,98.44,98.61,98.25,98.52,46637.0
