symbol,ts,open,high,low,close,volume
ALGN,2018-05-01 11:00:00+00:00,249.75,249.75,249.75,249.75,2.0
ALGN,2018-05-01 13:00:00+00:00,249.21,251.1,247.69,251.1,19140.0
ALGN,2018-05-01 14:00:00+00:00,251.18,252.71,249.2,251.32,25567.0
ALGN,2018-05-01 15:00:00+00:00,251.31,251.78,249.9,250.83,21554.0
ALGN,2018-05-01 16:00:00+00:00,250.755,251.36,249.45,250.18,17116.0
ALGN,2018-05-01 17:00:00+00:00,250.25,250.91,248.35,250.865,16794.0
ALGN,2018-05-01 18:00:00+00:00,250.88,251.84,250.41,250.74,16299.0
ALGN,2018-05-01 19:00:00+00:00,250.86,251.51,250.17,251.33,53655.0
ALGN,2018-05-01 20:00:00+00:00,251.34,251.4,251.34,251.4,24572.0
ALGN,2018-05-02 13:00:00+00:00,250.4,252.53,249.41,250.98,28411.0
ALGN,2018-05-02 14:00:00+00:00,251.16,252.94,251.03,251.47,28000.0
ALGN,2018-05-02 15:00:00+00:00,251.71,252.12,249.45,250.04,22094.0
ALGN,2018-05-02 16:00:00+00:00,250.11,251.51,249.62,251.3,15585.0
ALGN,2018-05-02 17:00:00+00:00,251.42,251.99,250.31,250.6,20649.0
ALGN,2018-05-02 18:00:00+00:00,250.62,252.38,250.58,251.01,38695.0
ALGN,2018-05-02 19:00:00+00:00,251.24,251.24,249.14,249.47,86301.0
ALGN,2018-05-02 20:00:00+00:00,249.47,249.47,249.47,249.47,41310.0
ALGN,2018-05-02 21:00:00+00:00,249.1,249.1,249.0,249.0,6.0
ALGN,2018-05-03 13:00:00+00:00,249.0,251.84,247.62,251.46,26860.0
ALGN,2018-05-03 14:00:00+00:00,251.43,251.43,244.46,245.26,53097.0
ALGN,2018-05-03 15:00:00+00:00,245.3,247.22,244.58,246.4,40211.0
ALGN,2018-05-03 16:00:00+00:00,246.37,252.15,246.23,252.1,42086.0
ALGN,2018-05-03 17:00:00+00:00,251.81,252.6,250.1,252.03,30447.0
ALGN,2018-05-03 18:00:00+00:00,252.01,254.88,251.73,254.27,45343.0
ALGN,2018-05-03 19:00:00+00:00,254.56,255.44,253.86,255.14,100403.0
ALGN,2018-05-03 20:00:00+00:00,255.14,255.23,255.0,255.14,31481.0
ALGN,2018-05-03 21:00:00+00:00,255.77,256.0,254.01,254.01,109.0
ALGN,2018-05-04 12:00:00+00:00,254.0,254.0,253.0,253.0,375.0
ALGN,2018-05-04 13:00:00+00:00,253.0,253.0,246.5,249.65,59791.0
ALGN,2018-05-04 14:00:00+00:00,249.95,254.9,249.65,254.83,50683.0
ALGN,2018-05-04 15:00:00+00:00,254.88,257.0,254.0,255.43,49037.0
ALGN,2018-05-04 16:00:00+00:00,255.43,256.65,254.74,255.71,18763.0
ALGN,2018-05-04 17:00:00+00:00,255.91,258.72,255.71,258.64,24376.0
ALGN,2018-05-04 18:00:00+00:00,258.65,260.25,258.13,259.46,37242.0
ALGN,2018-05-04 19:00:00+00:00,259.49,260.0,258.12,258.99,98939.0
ALGN,2018-05-04 20:00:00+00:00,258.97,258.97,258.75,258.75,40338.0
ALGN,2018-05-07 10:00:00+00:00,258.97,258.97,258.97,258.97,60.0
ALGN,2018-05-07 11:00:00+00:00,258.97,258.97,258.97,258.97,60.0
ALGN,2018-05-07 12:00:00+00:00,260.0,260.0,260.0,260.0,25.0
ALGN,2018-05-07 13:00:00+00:00,259.25,264.5,259.0,264.0,41719.0
ALGN,2018-05-07 14:00:00+00:00,264.0,264.08,262.0,263.18,49390.0
ALGN,2018-05-07 15:00:00+00:00,263.01,265.4,262.96,264.3,38723.0
ALGN,2018-05-07 16:00:00+00:00,264.29,265.16,263.5,265.16,34425.0
ALGN,2018-05-07 17:00:00+00:00,264.99,266.31,264.99,266.25,31362.0
ALGN,2018-05-07 18:00:00+00:00,266.17,267.09,265.22,265.44,37394.0
ALGN,2018-05-07 19:00:00+00:00,265.45,265.51,263.07,264.98,75810.0
ALGN,2018-05-07 20:00:00+00:00,265.03,265.03,265.03,265.03,81522.0
ALGN,2018-05-08 13:00:00+00:00,264.12,264.12,260.2,261.44,22681.0
ALGN,2018-05-08 14:00:00+00:00,261.45,264.14,261.01,262.95,28150.0
ALGN,2018-05-08 15:00:00+00:00,262.98,264.89,262.49,264.65,30129.0
ALGN,2018-05-08 16:00:00+00:00,264.5,264.93,263.57,264.05,27650.0
ALGN,2018-05-08 17:00:00+00:00,264.29,266.08,263.8,263.8,28659.0
ALGN,2018-05-08 18:00:00+00:00,263.88,264.67,262.36,263.87,37560.0
ALGN,2018-05-08 19:00:00+00:00,263.71,265.54,263.25,265.45,85539.0
ALGN,2018-05-08 20:00:00+00:00,265.46,265.46,265.46,265.46,64677.0
ALGN,2018-05-09 12:00:00+00:00,265.5,265.5,265.5,265.5,5.0
ALGN,2018-05-09 13:00:00+00:00,265.48,269.08,265.15,266.37,32550.0
ALGN,2018-05-09 14:00:00+00:00,266.37,267.96,265.85,266.42,37226.0
ALGN,2018-05-09 15:00:00+00:00,266.57,267.9,266.18,267.46,27589.0
ALGN,2018-05-09 16:00:00+00:00,267.57,268.58,267.4,268.34,19003.0
ALGN,2018-05-09 17:00:00+00:00,268.38,269.63,267.89,269.63,32839.0
ALGN,2018-05-09 18:00:00+00:00,269.57,270.7,269.35,269.97,31907.0
ALGN,2018-05-09 19:00:00+00:00,269.85,269.94,267.71,268.0,79400.0
ALGN,2018-05-09 20:00:00+00:00,268.0,268.0,267.97,267.97,30730.0
ALGN,2018-05-10 13:00:00+00:00,268.27,269.85,267.25,269.72,19830.0
ALGN,2018-05-10 14:00:00+00:00,269.95,276.24,269.76,275.85,85170.0
ALGN,2018-05-10 15:00:00+00:00,275.95,279.0,275.95,277.96,64434.0
ALGN,2018-05-10 16:00:00+00:00,278.09,279.59,276.88,279.36,50110.0
ALGN,2018-05-10 17:00:00+00:00,279.37,280.24,277.68,277.85,30234.0
ALGN,2018-05-10 18:00:00+00:00,277.8,279.07,276.38,277.81,39137.0
ALGN,2018-05-10 19:00:00+00:00,277.91,278.13,276.93,277.69,74134.0
ALGN,2018-05-10 20:00:00+00:00,277.73,277.73,276.01,276.01,29746.0
ALGN,2018-05-11 12:00:00+00:00,279.62,279.67,279.62,279.67,200.0
ALGN,2018-05-11 13:00:00+00:00,278.29,282.37,278.08,282.1,61028.0
ALGN,2018-05-11 14:00:00+00:00,282.22,285.6,280.73,285.32,70636.0
ALGN,2018-05-11 15:00:00+00:00,285.47,288.34,285.21,287.2,72390.0
ALGN,2018-05-11 16:00:00+00:00,287.24,287.64,284.26,286.88,45293.0
ALGN,2018-05-11 17:00:00+00:00,286.9,287.75,285.08,286.01,35332.0
