symbol,ts,open,high,low,close,volume
AMCR,2019-06-11 13:00:00+00:00,11.12,11.19,11.07,11.12,130715.0
AMCR,2019-06-11 14:00:00+00:00,11.12,11.22,11.12,11.2,263286.0
AMCR,2019-06-11 15:00:00+00:00,11.2,11.22,11.18,11.19,91405.0
AMCR,2019-06-11 16:00:00+00:00,11.18,11.19,11.13,11.135,74389.0
AMCR,2019-06-11 17:00:00+00:00,11.135,11.14,11.13,11.14,67854.0
AMCR,2019-06-11 18:00:00+00:00,11.14,11.29,11.14,11.24,335092.0
AMCR,2019-06-11 19:00:00+00:00,11.235,11.35,11.09,11.18,2617741.0
AMCR,2019-06-11 20:00:00+00:00,11.17,11.18,11.11,11.14,23120.0
AMCR,2019-06-12 11:00:00+00:00,11.18,11.18,11.18,11.18,147.0
AMCR,2019-06-12 12:00:00+00:00,11.07,11.07,11.07,11.07,500.0
AMCR,2019-06-12 13:00:00+00:00,11.14,11.29,11.08,11.275,244257.0
AMCR,2019-06-12 14:00:00+00:00,11.275,11.35,11.19,11.2,189900.0
AMCR,2019-06-12 15:00:00+00:00,11.2,11.27,11.2,11.25,101050.0
AMCR,2019-06-12 16:00:00+00:00,11.25,11.28,11.17,11.28,127543.0
AMCR,2019-06-12 17:00:00+00:00,11.28,11.28,11.21,11.255,110510.0
AMCR,2019-06-12 18:00:00+00:00,11.255,11.29,11.235,11.255,85732.0
AMCR,2019-06-12 19:00:00+00:00,11.25,11.26,11.175,11.24,389851.0
AMCR,2019-06-13 12:00:00+00:00,11.2,11.2,11.2,11.2,3800.0
AMCR,2019-06-13 13:00:00+00:00,11.19,11.19,11.02,11.11,52693.0
AMCR,2019-06-13 14:00:00+00:00,11.105,11.105,10.79,10.86,187548.0
AMCR,2019-06-13 15:00:00+00:00,10.86,10.99,10.86,10.98,75056.0
AMCR,2019-06-13 16:00:00+00:00,10.98,10.99,10.9,10.97,108163.0
AMCR,2019-06-13 17:00:00+00:00,10.97,10.98,10.9,10.96,54942.0
AMCR,2019-06-13 18:00:00+00:00,10.97,11.01,10.94,10.98,124584.0
AMCR,2019-06-13 19:00:00+00:00,10.985,11.03,10.9,11.02,188560.0
AMCR,2019-06-14 12:00:00+00:00,10.89,10.94,10.87,10.92,39550.0
AMCR,2019-06-14 13:00:00+00:00,10.91,11.04,10.86,10.99,97692.0
AMCR,2019-06-14 14:00:00+00:00,11.0,11.0,10.94,10.965,55375.0
AMCR,2019-06-14 15:00:00+00:00,10.965,10.97,10.95,10.955,55498.0
AMCR,2019-06-14 16:00:00+00:00,10.955,10.955,10.89,10.895,52379.0
AMCR,2019-06-14 17:00:00+00:00,10.89,10.9,10.87,10.87,95860.0
AMCR,2019-06-14 18:00:00+00:00,10.875,10.895,10.86,10.885,87435.0
AMCR,2019-06-14 19:00:00+00:00,10.885,10.94,10.855,10.92,289396.0
AMCR,2019-06-14 20:00:00+00:00,10.91,10.91,10.91,10.91,20000.0
AMCR,2019-06-17 11:00:00+00:00,10.83,10.83,10.83,10.83,200.0
AMCR,2019-06-17 12:00:00+00:00,10.83,10.83,10.8,10.8,600.0
AMCR,2019-06-17 13:00:00+00:00,10.8,10.825,10.71,10.825,27836.0
AMCR,2019-06-17 14:00:00+00:00,10.82,10.83,10.715,10.755,63284.0
AMCR,2019-06-17 15:00:00+00:00,10.76,10.78,10.715,10.775,88499.0
