symbol,ts,open,high,low,close,volume
AMT,2018-05-01 13:00:00+00:00,137.01,138.6,136.17,136.44,39373.0
AMT,2018-05-01 14:00:00+00:00,136.35,137.0,134.77,135.15,57755.0
AMT,2018-05-01 15:00:00+00:00,135.2,135.59,134.465,134.91,56037.0
AMT,2018-05-01 16:00:00+00:00,134.91,135.07,134.12,134.32,64185.0
AMT,2018-05-01 17:00:00+00:00,134.32,134.77,133.88,134.42,55468.0
AMT,2018-05-01 18:00:00+00:00,134.46,134.95,134.26,134.74,65842.0
AMT,2018-05-01 19:00:00+00:00,134.81,135.23,134.16,135.2,181532.0
AMT,2018-05-02 13:00:00+00:00,134.95,136.33,134.51,136.07,28336.0
AMT,2018-05-02 14:00:00+00:00,136.06,137.68,136.06,137.44,45399.0
AMT,2018-05-02 15:00:00+00:00,137.46,137.6,136.69,137.04,45089.0
AMT,2018-05-02 16:00:00+00:00,137.09,137.09,136.105,136.62,37523.0
AMT,2018-05-02 17:00:00+00:00,136.63,136.93,136.54,136.8,34494.0
AMT,2018-05-02 18:00:00+00:00,136.73,137.05,136.55,137.0,35989.0
AMT,2018-05-02 19:00:00+00:00,136.91,136.91,136.13,136.46,120637.0
AMT,2018-05-03 13:00:00+00:00,135.59,135.96,135.06,135.96,14043.0
AMT,2018-05-03 14:00:00+00:00,136.0,136.26,135.37,136.26,28827.0
AMT,2018-05-03 15:00:00+00:00,136.2,136.73,135.73,136.6,29100.0
AMT,2018-05-03 16:00:00+00:00,136.56,137.75,136.465,137.73,53389.0
AMT,2018-05-03 17:00:00+00:00,137.75,137.88,137.27,137.68,36514.0
AMT,2018-05-03 18:00:00+00:00,137.67,137.95,137.155,137.38,49505.0
AMT,2018-05-03 19:00:00+00:00,137.39,137.65,137.11,137.59,107539.0
AMT,2018-05-04 13:00:00+00:00,137.75,138.5,137.49,138.31,31815.0
AMT,2018-05-04 14:00:00+00:00,138.23,138.87,138.15,138.63,50180.0
AMT,2018-05-04 15:00:00+00:00,138.6,139.15,138.56,138.78,53579.0
AMT,2018-05-04 16:00:00+00:00,138.76,139.19,138.72,139.09,35390.0
AMT,2018-05-04 17:00:00+00:00,139.07,139.21,138.66,139.04,27075.0
AMT,2018-05-04 18:00:00+00:00,139.02,139.69,138.98,139.38,42490.0
AMT,2018-05-04 19:00:00+00:00,139.42,139.46,138.63,138.85,105076.0
AMT,2018-05-07 13:00:00+00:00,138.64,139.69,138.63,139.34,23886.0
AMT,2018-05-07 14:00:00+00:00,139.43,139.55,138.35,138.48,30459.0
AMT,2018-05-07 15:00:00+00:00,138.43,138.72,137.77,137.94,26819.0
AMT,2018-05-07 16:00:00+00:00,137.9,138.25,137.75,137.75,29448.0
AMT,2018-05-07 17:00:00+00:00,137.77,137.86,137.64,137.74,29234.0
AMT,2018-05-07 18:00:00+00:00,137.77,138.02,137.69,137.92,37681.0
AMT,2018-05-07 19:00:00+00:00,137.95,138.34,137.34,138.14,104015.0
AMT,2018-05-08 13:00:00+00:00,137.64,137.99,136.49,136.81,32866.0
AMT,2018-05-08 14:00:00+00:00,136.81,137.58,136.48,137.18,44679.0
AMT,2018-05-08 15:00:00+00:00,137.13,137.55,136.34,136.34,69183.0
AMT,2018-05-08 16:00:00+00:00,136.34,136.64,135.93,136.03,53969.0
AMT,2018-05-08 17:00:00+00:00,136.04,136.27,135.86,135.98,46735.0
AMT,2018-05-08 18:00:00+00:00,135.99,136.44,135.93,136.14,76816.0
AMT,2018-05-08 19:00:00+00:00,136.14,137.12,136.03,137.0,127633.0
AMT,2018-05-08 20:00:00+00:00,137.07,137.12,137.07,137.12,300.0
AMT,2018-05-09 13:00:00+00:00,137.23,137.81,136.2,136.88,30309.0
AMT,2018-05-09 14:00:00+00:00,136.99,137.43,136.92,137.0,48269.0
AMT,2018-05-09 15:00:00+00:00,137.01,137.32,136.77,137.32,44716.0
AMT,2018-05-09 16:00:00+00:00,137.27,137.5,137.03,137.27,36164.0
AMT,2018-05-09 17:00:00+00:00,137.26,137.97,137.11,137.97,38850.0
AMT,2018-05-09 18:00:00+00:00,137.97,138.12,137.65,138.12,46304.0
AMT,2018-05-09 19:00:00+00:00,138.07,138.23,137.53,137.93,111742.0
AMT,2018-05-10 12:00:00+00:00,137.85,137.85,137.85,137.85,230.0
AMT,2018-05-10 13:00:00+00:00,138.86,141.01,138.86,140.84,29786.0
AMT,2018-05-10 14:00:00+00:00,140.78,140.9,139.33,139.67,53735.0
AMT,2018-05-10 15:00:00+00:00,139.62,140.67,139.61,140.55,43850.0
AMT,2018-05-10 16:00:00+00:00,140.58,140.79,140.34,140.53,28368.0
AMT,2018-05-10 17:00:00+00:00,140.57,140.64,139.67,139.89,31451.0
AMT,2018-05-10 18:00:00+00:00,139.83,140.1,139.36,139.89,48205.0
AMT,2018-05-10 19:00:00+00:00,139.83,139.98,139.58,139.9,88427.0
AMT,2018-05-11 13:00:00+00:00,139.75,140.36,139.51,140.07,12504.0
AMT,2018-05-11 14:00:00+00:00,140.13,140.24,139.8,139.92,36998.0
AMT,2018-05-11 15:00:00+00:00,139.88,139.89,139.36,139.51,20295.0
AMT,2018-05-11 16:00:00+00:00,139.45,139.47,138.64,138.64,26044.0
AMT,2018-05-11 17:00:00+00:00,138.63,138.84,138.46,138.71,19934.0
AMT,2018-05-11 18:00:00+00:00,138.72,138.73,138.41,138.65,28567.0
AMT,2018-05-11 19:00:00+00:00,138.6,138.86,138.47,138.82,48501.0
AMT,2018-05-14 13:00:00+00:00,138.69,139.41,138.69,138.79,9967.0
AMT,2018-05-14 14:00:00+00:00,138.78,139.17,138.51,138.51,19854.0
AMT,2018-05-14 15:00:00+00:00,138.5,138.54,138.19,138.36,22348.0
AMT,2018-05-14 16:00:00+00:00,138.31,138.355,137.46,137.7,27772.0
AMT,2018-05-14 17:00:00+00:00,137.68,138.11,137.54,137.9,23128.0
AMT,2018-05-14 18:00:00+00:00,137.95,138.36,137.75,138.24,31346.0
AMT,2018-05-14 19:00:00+00:00,138.29,138.36,138.01,138.3,80701.0
AMT,2018-05-15 13:00:00+00:00,137.43,137.56,135.86,136.04,25921.0
AMT,2018-05-15 14:00:00+00:00,136.19,137.24,136.14,136.8,41824.0
AMT,2018-05-15 15:00:00+00:00,136.76,136.76,136.02,136.02,41665.0
AMT,2018-05-15 16:00:00+00:00,136.02,136.44,135.28,135.57,45135.0
AMT,2018-05-15 17:00:00+00:00,135.55,136.42,135.55,136.01,35801.0
AMT,2018-05-15 18:00:00+00:00,135.94,136.38,135.82,135.9,48217.0
AMT,2018-05-15 19:00:00+00:00,135.92,136.76,135.82,136.53,98574.0
AMT,2018-05-16 13:00:00+00:00,136.95,137.33,136.39,137.06,48113.0
AMT,2018-05-16 14:00:00+00:00,137.06,137.19,136.47,136.56,41376.0
AMT,2018-05-16 15:00:00+00:00,136.59,136.82,136.36,136.42,24929.0
AMT,2018-05-16 16:00:00+00:00,136.38,136.59,136.25,136.42,24509.0
AMT,2018-05-16 17:00:00+00:00,136.38,136.47,135.91,135.92,25287.0
AMT,2018-05-16 18:00:00+00:00,135.9,136.33,135.9,136.26,31313.0
AMT,2018-05-16 19:00:00+00:00,136.26,136.47,136.03,136.45,103768.0
AMT,2018-05-17 13:00:00+00:00,136.45,136.94,136.08,136.4,16298.0
AMT,2018-05-17 14:00:00+00:00,136.39,136.87,136.21,136.77,34122.0
AMT,2018-05-17 15:00:00+00:00,136.81,136.88,136.39,136.62,43100.0
AMT,2018-05-17 16:00:00+00:00,136.62,137.0,136.6,136.97,31802.0
AMT,2018-05-17 17:00:00+00:00,136.94,137.31,136.79,136.8,44761.0
AMT,2018-05-17 18:00:00+00:00,136.79,137.28,136.68,137.25,56542.0
AMT,2018-05-17 19:00:00+00:00,137.25,137.43,136.68,136.9,97739.0
AMT,2018-05-18 13:00:00+00:00,136.92,138.58,136.76,138.17,29461.0
AMT,2018-05-18 14:00:00+00:00,138.14,138.54,137.03,137.03,45725.0
AMT,2018-05-18 15:00:00+00:00,136.98,137.02,136.34,136.69,38156.0
AMT,2018-05-18 16:00:00+00:00,136.63,136.67,136.09,136.17,33916.0
AMT,2018-05-18 17:00:00+00:00,136.18,136.39,135.98,136.31,31734.0
AMT,2018-05-18 18:00:00+00:00,136.3,137.11,136.28,137.08,40391.0
AMT,2018-05-18 19:00:00+00:00,137.09,137.13,136.72,137.04,96865.0
AMT,2018-05-21 13:00:00+00:00,137.5,137.5,136.28,136.5,19429.0
AMT,2018-05-21 14:00:00+00:00,136.55,136.7,136.25,136.52,33403.0
AMT,2018-05-21 15:00:00+00:00,136.52,136.96,136.43,136.69,30960.0
AMT,2018-05-21 16:00:00+00:00,136.67,137.64,136.66,137.36,34919.0
AMT,2018-05-21 17:00:00+00:00,137.36,137.6,137.3,137.56,22442.0
AMT,2018-05-21 18:00:00+00:00,137.56,137.56,137.19,137.26,24243.0
AMT,2018-05-21 19:00:00+00:00,137.26,137.43,136.98,137.37,62110.0
AMT,2018-05-22 13:00:00+00:00,137.6,137.6,136.94,136.96,14576.0
AMT,2018-05-22 14:00:00+00:00,136.93,136.93,135.86,136.25,19899.0
AMT,2018-05-22 15:00:00+00:00,136.28,136.56,136.19,136.35,14801.0
AMT,2018-05-22 16:00:00+00:00,136.35,136.53,136.34,136.39,24146.0
AMT,2018-05-22 17:00:00+00:00,136.38,136.59,136.3,136.4,16376.0
AMT,2018-05-22 18:00:00+00:00,136.4,136.69,136.31,136.5,24764.0
AMT,2018-05-22 19:00:00+00:00,136.53,137.15,136.33,137.12,106906.0
AMT,2018-05-23 13:00:00+00:00,137.17,137.17,136.23,136.81,20547.0
AMT,2018-05-23 14:00:00+00:00,136.86,137.51,136.73,137.39,28084.0
AMT,2018-05-23 15:00:00+00:00,137.42,137.49,136.67,136.86,30776.0
AMT,2018-05-23 16:00:00+00:00,136.91,137.06,136.71,136.82,24688.0
AMT,2018-05-23 17:00:00+00:00,136.82,136.99,136.52,136.55,19260.0
AMT,2018-05-23 18:00:00+00:00,136.57,136.95,136.57,136.67,52593.0
AMT,2018-05-23 19:00:00+00:00,136.74,137.035,136.46,136.83,100118.0
AMT,2018-05-24 13:00:00+00:00,136.9,137.46,135.82,135.92,17963.0
AMT,2018-05-24 14:00:00+00:00,135.95,136.42,135.69,136.21,39749.0
AMT,2018-05-24 15:00:00+00:00,136.17,136.2,135.3,135.54,30307.0
AMT,2018-05-24 16:00:00+00:00,135.55,135.8,135.42,135.62,44382.0
AMT,2018-05-24 17:00:00+00:00,135.61,135.66,135.23,135.46,33659.0
AMT,2018-05-24 18:00:00+00:00,135.45,135.45,135.07,135.28,42877.0
AMT,2018-05-24 19:00:00+00:00,135.28,135.57,135.18,135.5,125543.0
AMT,2018-05-25 13:00:00+00:00,135.94,136.66,135.64,136.6,31020.0
AMT,2018-05-25 14:00:00+00:00,136.54,137.51,136.47,137.38,42413.0
AMT,2018-05-25 15:00:00+00:00,137.39,137.69,136.54,136.8,34875.0
AMT,2018-05-25 16:00:00+00:00,136.84,136.86,136.24,136.37,24948.0
AMT,2018-05-25 17:00:00+00:00,136.37,136.45,136.17,136.34,29567.0
AMT,2018-05-25 18:00:00+00:00,136.33,136.45,136.03,136.17,32417.0
AMT,2018-05-25 19:00:00+00:00,136.18,136.51,136.12,136.32,67133.0
AMT,2018-05-29 13:00:00+00:00,135.7,135.9,134.9,135.61,27901.0
AMT,2018-05-29 14:00:00+00:00,135.55,135.86,135.21,135.53,49046.0
AMT,2018-05-29 15:00:00+00:00,135.53,136.74,135.44,136.695,32048.0
AMT,2018-05-29 16:00:00+00:00,136.67,136.67,136.02,136.16,33015.0
AMT,2018-05-29 17:00:00+00:00,136.12,136.21,135.63,135.96,21062.0
AMT,2018-05-29 18:00:00+00:00,135.93,135.93,135.43,135.45,27706.0
AMT,2018-05-29 19:00:00+00:00,135.54,136.24,135.5,135.99,77975.0
AMT,2018-05-30 13:00:00+00:00,135.94,136.86,135.63,135.81,17594.0
AMT,2018-05-30 14:00:00+00:00,135.8,137.39,135.79,137.39,48087.0
AMT,2018-05-30 15:00:00+00:00,137.4,138.26,137.24,138.16,56714.0
AMT,2018-05-30 16:00:00+00:00,138.19,138.19,137.24,137.93,42984.0
AMT,2018-05-30 17:00:00+00:00,137.91,138.27,137.72,137.88,41448.0
AMT,2018-05-30 18:00:00+00:00,137.94,138.17,137.83,138.01,48088.0
AMT,2018-05-30 19:00:00+00:00,138.0,138.075,137.83,137.83,96352.0
AMT,2018-05-31 13:00:00+00:00,137.52,137.72,136.0,137.72,24278.0
AMT,2018-05-31 14:00:00+00:00,137.66,138.18,137.47,137.86,44767.0
AMT,2018-05-31 15:00:00+00:00,137.89,138.57,137.78,138.35,44172.0
AMT,2018-05-31 16:00:00+00:00,138.33,138.38,137.87,138.16,24771.0
AMT,2018-05-31 17:00:00+00:00,138.07,138.1,137.58,137.72,23501.0
AMT,2018-05-31 18:00:00+00:00,137.68,137.77,137.23,137.45,51049.0
AMT,2018-05-31 19:00:00+00:00,137.5,138.53,137.43,138.36,176806.0
AMT,2018-05-31 21:00:00+00:00,138.27,138.27,138.27,138.27,100.0
AMT,2018-05-31 22:00:00+00:00,138.27,138.27,138.27,138.27,200.0
AMT,2018-05-31 23:00:00+00:00,138.27,138.27,138.27,138.27,100.0
AMT,2018-06-01 13:00:00+00:00,138.06,138.73,136.84,137.57,45181.0
AMT,2018-06-01 14:00:00+00:00,137.53,138.46,137.16,138.42,56111.0
AMT,2018-06-01 15:00:00+00:00,138.43,138.43,137.96,138.28,36417.0
AMT,2018-06-01 16:00:00+00:00,138.29,138.59,138.02,138.37,39133.0
AMT,2018-06-01 17:00:00+00:00,138.37,138.58,138.21,138.23,27204.0
AMT,2018-06-01 18:00:00+00:00,138.26,138.81,138.26,138.55,33554.0
AMT,2018-06-01 19:00:00+00:00,138.49,138.52,138.14,138.475,80156.0
AMT,2018-06-04 13:00:00+00:00,139.62,139.75,139.09,139.66,15417.0
AMT,2018-06-04 14:00:00+00:00,139.67,139.82,138.9,139.18,34261.0
AMT,2018-06-04 15:00:00+00:00,139.24,139.44,138.81,139.25,21949.0
AMT,2018-06-04 16:00:00+00:00,139.36,140.23,139.22,140.06,28684.0
AMT,2018-06-04 17:00:00+00:00,140.02,140.04,139.52,139.67,21382.0
AMT,2018-06-04 18:00:00+00:00,139.62,140.05,139.59,139.88,25061.0
AMT,2018-06-04 19:00:00+00:00,139.88,140.16,139.82,140.04,88713.0
AMT,2018-06-05 13:00:00+00:00,140.06,140.42,139.02,139.88,14366.0
AMT,2018-06-05 14:00:00+00:00,139.9,139.92,138.86,138.96,33032.0
AMT,2018-06-05 15:00:00+00:00,138.99,139.01,138.07,138.2,45704.0
AMT,2018-06-05 16:00:00+00:00,138.16,138.62,137.97,138.29,32339.0
AMT,2018-06-05 17:00:00+00:00,138.31,138.32,137.94,137.98,22990.0
AMT,2018-06-05 18:00:00+00:00,137.95,138.71,137.76,138.71,39407.0
AMT,2018-06-05 19:00:00+00:00,138.73,139.11,138.24,138.9,103574.0
AMT,2018-06-06 13:00:00+00:00,139.09,139.24,138.12,138.27,9977.0
AMT,2018-06-06 14:00:00+00:00,138.27,138.41,137.74,137.96,29089.0
AMT,2018-06-06 15:00:00+00:00,137.91,138.12,137.58,138.0,24794.0
AMT,2018-06-06 16:00:00+00:00,137.97,138.27,137.93,138.27,18121.0
AMT,2018-06-06 17:00:00+00:00,138.27,138.3,137.97,138.02,10781.0
AMT,2018-06-06 18:00:00+00:00,138.04,138.79,138.01,138.74,12596.0
AMT,2018-06-06 19:00:00+00:00,138.74,139.065,138.51,139.03,73155.0
AMT,2018-06-07 13:00:00+00:00,139.1,139.16,138.6,139.13,5495.0
AMT,2018-06-07 14:00:00+00:00,139.1,139.1,138.3,138.7,29760.0
AMT,2018-06-07 15:00:00+00:00,138.68,138.89,137.63,137.79,29030.0
AMT,2018-06-07 16:00:00+00:00,137.79,138.23,137.68,138.17,36441.0
AMT,2018-06-07 17:00:00+00:00,138.19,138.58,138.07,138.12,33915.0
AMT,2018-06-07 18:00:00+00:00,138.12,138.49,138.12,138.18,35445.0
AMT,2018-06-07 19:00:00+00:00,138.17,138.39,137.86,138.13,123321.0
AMT,2018-06-08 13:00:00+00:00,138.18,139.2,138.17,139.12,14097.0
AMT,2018-06-08 14:00:00+00:00,139.11,139.11,138.19,138.28,24995.0
AMT,2018-06-08 15:00:00+00:00,138.24,138.3,137.93,138.0,42512.0
AMT,2018-06-08 16:00:00+00:00,137.98,138.33,137.94,138.2,40624.0
AMT,2018-06-08 17:00:00+00:00,138.24,138.27,137.86,138.02,34268.0
AMT,2018-06-08 18:00:00+00:00,137.98,138.6,137.94,138.35,55485.0
AMT,2018-06-08 19:00:00+00:00,138.35,138.61,138.27,138.55,92086.0
AMT,2018-06-11 13:00:00+00:00,138.2,139.33,138.2,139.33,19495.0
AMT,2018-06-11 14:00:00+00:00,139.3,139.4,138.61,138.78,42876.0
AMT,2018-06-11 15:00:00+00:00,138.77,140.14,138.75,140.14,26785.0
AMT,2018-06-11 16:00:00+00:00,140.15,140.49,140.15,140.34,31438.0
AMT,2018-06-11 17:00:00+00:00,140.32,140.51,140.28,140.36,23727.0
AMT,2018-06-11 18:00:00+00:00,140.36,140.65,139.81,139.81,34047.0
AMT,2018-06-11 19:00:00+00:00,139.79,139.95,139.58,139.64,84709.0
AMT,2018-06-12 13:00:00+00:00,139.19,139.42,138.0,139.06,24921.0
AMT,2018-06-12 14:00:00+00:00,139.05,140.61,139.05,139.84,47363.0
AMT,2018-06-12 15:00:00+00:00,139.79,140.3,139.66,140.05,38585.0
AMT,2018-06-12 16:00:00+00:00,140.04,140.36,139.96,140.16,46502.0
AMT,2018-06-12 17:00:00+00:00,140.18,140.5,140.01,140.46,39127.0
