symbol,ts,open,high,low,close,volume
ANET,2018-05-01 13:00:00+00:00,264.65,265.01,260.9,262.11,6495.0
ANET,2018-05-01 14:00:00+00:00,262.21,263.72,260.81,261.77,14549.0
ANET,2018-05-01 15:00:00+00:00,261.42,262.21,260.81,260.88,7533.0
ANET,2018-05-01 16:00:00+00:00,261.15,261.75,260.59,261.35,5281.0
ANET,2018-05-01 17:00:00+00:00,261.33,262.79,260.89,262.67,3693.0
ANET,2018-05-01 18:00:00+00:00,262.77,264.16,261.92,263.81,8484.0
ANET,2018-05-01 19:00:00+00:00,263.945,265.35,263.75,265.35,15376.0
ANET,2018-05-01 21:00:00+00:00,266.15,266.15,266.15,266.15,60.0
ANET,2018-05-02 12:00:00+00:00,267.27,270.0,267.27,270.0,143.0
ANET,2018-05-02 13:00:00+00:00,267.76,271.27,267.0,270.0,10076.0
ANET,2018-05-02 14:00:00+00:00,269.65,272.43,269.5,270.18,27980.0
ANET,2018-05-02 15:00:00+00:00,269.98,269.98,266.22,267.96,8656.0
ANET,2018-05-02 16:00:00+00:00,267.77,267.88,266.19,266.39,11158.0
ANET,2018-05-02 17:00:00+00:00,266.92,266.95,266.48,266.9,3995.0
ANET,2018-05-02 18:00:00+00:00,266.78,268.24,266.78,267.57,15520.0
ANET,2018-05-02 19:00:00+00:00,267.48,268.3,265.4,265.47,29047.0
ANET,2018-05-02 20:00:00+00:00,265.46,265.46,265.46,265.46,10.0
ANET,2018-05-02 23:00:00+00:00,265.7,265.7,265.7,265.7,20.0
ANET,2018-05-03 13:00:00+00:00,262.41,265.78,260.28,265.23,7273.0
ANET,2018-05-03 14:00:00+00:00,265.64,265.68,261.65,261.87,17890.0
ANET,2018-05-03 15:00:00+00:00,262.48,264.7,261.78,264.7,9588.0
ANET,2018-05-03 16:00:00+00:00,264.8,270.28,264.8,270.26,14138.0
ANET,2018-05-03 17:00:00+00:00,270.12,270.52,269.21,269.23,10513.0
ANET,2018-05-03 18:00:00+00:00,269.35,270.75,268.7,269.34,9767.0
ANET,2018-05-03 19:00:00+00:00,269.6,270.38,266.69,267.2,42695.0
ANET,2018-05-03 20:00:00+00:00,269.5,269.5,242.8,245.0,34506.0
ANET,2018-05-03 21:00:00+00:00,245.0,248.5,243.88,248.5,2137.0
ANET,2018-05-03 22:00:00+00:00,248.39,248.47,247.94,247.99,498.0
ANET,2018-05-03 23:00:00+00:00,247.5,249.0,246.8,246.8,217.0
ANET,2018-05-04 11:00:00+00:00,247.0,247.0,242.0,243.0,1164.0
ANET,2018-05-04 12:00:00+00:00,244.25,244.25,239.0,240.4,6389.0
ANET,2018-05-04 13:00:00+00:00,240.5,245.0,235.31,242.21,113704.0
ANET,2018-05-04 14:00:00+00:00,241.96,243.18,237.71,242.1,64131.0
ANET,2018-05-04 15:00:00+00:00,242.15,244.95,240.3,240.62,35698.0
ANET,2018-05-04 16:00:00+00:00,240.84,244.42,240.73,243.53,34121.0
ANET,2018-05-04 17:00:00+00:00,243.32,247.85,242.14,247.52,34338.0
ANET,2018-05-04 18:00:00+00:00,247.03,248.99,246.86,247.24,30255.0
ANET,2018-05-04 19:00:00+00:00,247.24,247.73,244.54,245.01,80667.0
ANET,2018-05-04 20:00:00+00:00,245.03,245.2,245.02,245.2,410.0
ANET,2018-05-07 13:00:00+00:00,248.05,251.78,247.01,248.02,27513.0
ANET,2018-05-07 14:00:00+00:00,248.09,248.44,245.43,248.36,46525.0
ANET,2018-05-07 15:00:00+00:00,248.36,250.85,248.12,250.85,30840.0
ANET,2018-05-07 16:00:00+00:00,250.85,252.21,250.44,251.5,23146.0
ANET,2018-05-07 17:00:00+00:00,251.56,254.62,251.56,253.93,21530.0
ANET,2018-05-07 18:00:00+00:00,253.84,254.79,253.27,254.11,23517.0
ANET,2018-05-07 19:00:00+00:00,253.97,254.42,251.485,251.85,43341.0
ANET,2018-05-07 23:00:00+00:00,251.2,251.2,251.2,251.2,150.0
ANET,2018-05-08 13:00:00+00:00,251.5,255.59,251.17,255.1,15962.0
ANET,2018-05-08 14:00:00+00:00,255.28,259.9,254.96,259.55,44244.0
ANET,2018-05-08 15:00:00+00:00,259.54,260.01,258.0,259.8,25664.0
ANET,2018-05-08 16:00:00+00:00,259.75,260.54,258.66,258.66,12091.0
ANET,2018-05-08 17:00:00+00:00,258.64,260.0,258.46,258.465,9583.0
ANET,2018-05-08 18:00:00+00:00,258.52,260.0,258.08,258.43,19058.0
ANET,2018-05-08 19:00:00+00:00,258.38,259.32,257.87,259.26,25914.0
ANET,2018-05-09 12:00:00+00:00,260.6,260.6,260.6,260.6,20.0
ANET,2018-05-09 13:00:00+00:00,261.0,261.0,257.01,258.4,8447.0
ANET,2018-05-09 14:00:00+00:00,258.79,260.11,257.85,258.6,12765.0
ANET,2018-05-09 15:00:00+00:00,258.68,261.0,258.61,260.93,10243.0
ANET,2018-05-09 16:00:00+00:00,260.875,260.905,260.04,260.54,4132.0
ANET,2018-05-09 17:00:00+00:00,260.7,260.755,259.75,259.75,8718.0
ANET,2018-05-09 18:00:00+00:00,259.89,259.89,257.91,259.11,9687.0
ANET,2018-05-09 19:00:00+00:00,258.91,259.72,257.74,259.51,17549.0
ANET,2018-05-10 13:00:00+00:00,259.89,260.635,259.02,260.5,4737.0
ANET,2018-05-10 14:00:00+00:00,260.17,262.12,260.17,261.29,7820.0
ANET,2018-05-10 15:00:00+00:00,261.17,261.86,260.94,261.86,8180.0
