symbol,ts,open,high,low,close,volume
AON,2018-05-01 13:00:00+00:00,142.16,143.09,142.09,143.09,6391.0
AON,2018-05-01 14:00:00+00:00,143.11,143.11,142.3,142.43,11275.0
AON,2018-05-01 15:00:00+00:00,142.42,142.44,141.55,141.55,11451.0
AON,2018-05-01 16:00:00+00:00,141.52,141.91,141.5,141.65,12617.0
AON,2018-05-01 17:00:00+00:00,141.72,142.38,141.31,142.37,9232.0
AON,2018-05-01 18:00:00+00:00,142.37,142.79,142.32,142.62,16096.0
AON,2018-05-01 19:00:00+00:00,142.63,142.99,142.16,142.85,31186.0
AON,2018-05-02 13:00:00+00:00,142.4,142.88,141.14,141.14,13001.0
AON,2018-05-02 14:00:00+00:00,141.06,141.23,140.2,140.56,14744.0
AON,2018-05-02 15:00:00+00:00,140.55,140.86,140.33,140.69,13040.0
AON,2018-05-02 16:00:00+00:00,140.58,141.05,140.58,141.02,25375.0
AON,2018-05-02 17:00:00+00:00,141.07,141.68,141.06,141.57,22131.0
AON,2018-05-02 18:00:00+00:00,141.55,141.76,140.9,140.95,22334.0
AON,2018-05-02 19:00:00+00:00,140.93,140.98,139.69,139.79,54798.0
AON,2018-05-03 13:00:00+00:00,138.85,139.32,138.35,138.69,12472.0
AON,2018-05-03 14:00:00+00:00,138.71,138.71,137.3,137.67,33526.0
AON,2018-05-03 15:00:00+00:00,137.59,138.55,137.59,138.5,18990.0
AON,2018-05-03 16:00:00+00:00,138.49,139.6,138.26,139.6,15501.0
AON,2018-05-03 17:00:00+00:00,139.59,140.14,139.19,139.96,19256.0
AON,2018-05-03 18:00:00+00:00,139.97,140.31,139.65,139.8,23161.0
AON,2018-05-03 19:00:00+00:00,139.84,140.31,139.64,139.9,44809.0
AON,2018-05-04 13:00:00+00:00,139.1,140.17,137.37,138.88,22280.0
AON,2018-05-04 14:00:00+00:00,138.88,139.85,138.78,139.7,31153.0
AON,2018-05-04 15:00:00+00:00,139.76,140.08,139.13,139.62,24694.0
AON,2018-05-04 16:00:00+00:00,139.61,139.93,138.94,139.13,32410.0
AON,2018-05-04 17:00:00+00:00,139.09,140.09,138.9,140.08,35716.0
AON,2018-05-04 18:00:00+00:00,140.04,140.41,139.78,139.97,41331.0
AON,2018-05-04 19:00:00+00:00,139.94,140.15,139.27,139.56,67690.0
AON,2018-05-07 13:00:00+00:00,139.83,140.72,139.51,140.72,7319.0
AON,2018-05-07 14:00:00+00:00,140.645,141.25,140.48,141.14,20415.0
AON,2018-05-07 15:00:00+00:00,141.25,141.25,140.55,140.98,18248.0
AON,2018-05-07 16:00:00+00:00,141.02,141.15,140.73,141.02,14781.0
AON,2018-05-07 17:00:00+00:00,141.02,141.14,140.52,140.69,22045.0
AON,2018-05-07 18:00:00+00:00,140.72,140.84,140.31,140.4,17991.0
AON,2018-05-07 19:00:00+00:00,140.5,140.76,140.21,140.32,50522.0
AON,2018-05-08 13:00:00+00:00,140.46,140.53,139.76,140.06,5662.0
AON,2018-05-08 14:00:00+00:00,140.155,140.68,139.77,140.42,13540.0
AON,2018-05-08 15:00:00+00:00,140.4,141.12,140.4,140.77,17935.0
AON,2018-05-08 16:00:00+00:00,140.71,141.35,140.63,140.99,19112.0
AON,2018-05-08 17:00:00+00:00,141.03,141.38,140.99,141.01,12714.0
AON,2018-05-08 18:00:00+00:00,141.04,141.18,140.29,140.31,24363.0
AON,2018-05-08 19:00:00+00:00,140.33,141.05,140.19,140.89,45132.0
AON,2018-05-09 13:00:00+00:00,141.83,141.84,140.9,140.92,9266.0
AON,2018-05-09 14:00:00+00:00,140.92,141.07,140.47,140.47,16937.0
AON,2018-05-09 15:00:00+00:00,140.55,140.73,140.39,140.59,22197.0
AON,2018-05-09 16:00:00+00:00,140.63,141.24,140.49,141.08,37255.0
AON,2018-05-09 17:00:00+00:00,141.11,141.54,140.95,141.5,35469.0
AON,2018-05-09 18:00:00+00:00,141.5,141.68,141.25,141.47,36261.0
