symbol,ts,open,high,low,close,volume
APA,2018-05-01 13:00:00+00:00,40.67,40.76,40.35,40.5,23205.0
APA,2018-05-01 14:00:00+00:00,40.5,40.55,40.03,40.16,78866.0
APA,2018-05-01 15:00:00+00:00,40.11,40.5,40.02,40.37,63810.0
APA,2018-05-01 16:00:00+00:00,40.35,40.54,40.35,40.49,43639.0
APA,2018-05-01 17:00:00+00:00,40.49,40.49,40.12,40.21,43784.0
APA,2018-05-01 18:00:00+00:00,40.21,40.47,40.18,40.46,53915.0
APA,2018-05-01 19:00:00+00:00,40.46,40.51,40.325,40.45,146781.0
APA,2018-05-01 23:00:00+00:00,40.5,40.5,40.5,40.5,100.0
APA,2018-05-02 13:00:00+00:00,40.44,40.59,40.07,40.54,46745.0
APA,2018-05-02 14:00:00+00:00,40.54,40.98,40.51,40.82,144731.0
APA,2018-05-02 15:00:00+00:00,40.82,41.02,40.74,40.9,92912.0
APA,2018-05-02 16:00:00+00:00,40.92,41.05,40.88,40.91,66321.0
APA,2018-05-02 17:00:00+00:00,40.92,41.28,40.88,41.26,106514.0
APA,2018-05-02 18:00:00+00:00,41.26,41.575,41.24,41.29,141853.0
APA,2018-05-02 19:00:00+00:00,41.3,41.345,40.89,41.03,196119.0
APA,2018-05-03 13:00:00+00:00,41.51,41.54,39.11,39.58,76465.0
APA,2018-05-03 14:00:00+00:00,39.57,39.58,38.28,38.4,196428.0
APA,2018-05-03 15:00:00+00:00,38.41,38.79,38.08,38.51,160162.0
APA,2018-05-03 16:00:00+00:00,38.5,39.19,38.5,39.19,164722.0
APA,2018-05-03 17:00:00+00:00,39.2,39.71,39.04,39.16,139261.0
APA,2018-05-03 18:00:00+00:00,39.17,39.2,38.81,38.83,63261.0
APA,2018-05-03 19:00:00+00:00,38.84,38.9,38.46,38.53,196425.0
APA,2018-05-04 12:00:00+00:00,38.9,38.9,38.83,38.84,720.0
APA,2018-05-04 13:00:00+00:00,38.6,39.3,38.54,39.17,55067.0
APA,2018-05-04 14:00:00+00:00,39.15,39.59,39.06,39.56,89989.0
APA,2018-05-04 15:00:00+00:00,39.57,39.7,39.37,39.7,54001.0
APA,2018-05-04 16:00:00+00:00,39.71,39.79,39.64,39.69,46548.0
APA,2018-05-04 17:00:00+00:00,39.695,39.77,39.6,39.66,46478.0
APA,2018-05-04 18:00:00+00:00,39.65,39.65,39.41,39.42,89387.0
APA,2018-05-04 19:00:00+00:00,39.42,39.57,39.325,39.51,176229.0
APA,2018-05-04 20:00:00+00:00,39.55,39.65,39.55,39.65,2000.0
APA,2018-05-07 13:00:00+00:00,39.95,41.08,39.95,40.93,33503.0
APA,2018-05-07 14:00:00+00:00,40.94,41.31,40.79,40.85,108359.0
APA,2018-05-07 15:00:00+00:00,40.845,40.93,40.49,40.57,106820.0
APA,2018-05-07 16:00:00+00:00,40.56,40.63,40.425,40.48,52723.0
APA,2018-05-07 17:00:00+00:00,40.48,40.51,40.295,40.31,55101.0
APA,2018-05-07 18:00:00+00:00,40.32,40.34,39.73,39.74,119546.0
APA,2018-05-07 19:00:00+00:00,39.75,39.75,39.35,39.47,175715.0
APA,2018-05-08 13:00:00+00:00,39.49,39.99,39.24,39.52,60502.0
APA,2018-05-08 14:00:00+00:00,39.54,39.59,39.27,39.31,57864.0
APA,2018-05-08 15:00:00+00:00,39.3,39.45,38.56,39.28,144390.0
APA,2018-05-08 16:00:00+00:00,39.26,39.31,39.01,39.07,75670.0
APA,2018-05-08 17:00:00+00:00,39.125,39.4,39.09,39.14,38306.0
APA,2018-05-08 18:00:00+00:00,39.13,40.06,39.07,39.66,98373.0
APA,2018-05-08 19:00:00+00:00,39.68,40.13,39.68,40.13,136319.0
APA,2018-05-08 20:00:00+00:00,40.13,40.18,40.13,40.18,1000.0
APA,2018-05-09 13:00:00+00:00,40.77,41.97,40.77,41.9,77393.0
APA,2018-05-09 14:00:00+00:00,41.92,42.25,41.31,41.31,215049.0
APA,2018-05-09 15:00:00+00:00,41.31,41.46,41.04,41.16,120505.0
APA,2018-05-09 16:00:00+00:00,41.17,41.43,41.16,41.39,69917.0
APA,2018-05-09 17:00:00+00:00,41.39,41.47,41.3,41.38,44874.0
APA,2018-05-09 18:00:00+00:00,41.39,41.49,41.22,41.4,65936.0
APA,2018-05-09 19:00:00+00:00,41.39,41.46,41.12,41.25,128396.0
APA,2018-05-10 13:00:00+00:00,41.58,41.83,41.31,41.73,32498.0
APA,2018-05-10 14:00:00+00:00,41.77,41.77,41.15,41.38,95348.0
APA,2018-05-10 15:00:00+00:00,41.39,41.88,41.36,41.85,50479.0
APA,2018-05-10 16:00:00+00:00,41.85,41.88,41.54,41.59,31969.0
