symbol,ts,open,high,low,close,volume
APD,2018-05-01 13:00:00+00:00,161.31,161.7,160.83,160.94,9933.0
APD,2018-05-01 14:00:00+00:00,160.89,160.89,159.49,160.29,46548.0
APD,2018-05-01 15:00:00+00:00,160.34,160.63,160.01,160.01,23764.0
APD,2018-05-01 16:00:00+00:00,160.0,160.24,159.82,160.17,25030.0
APD,2018-05-01 17:00:00+00:00,160.13,160.82,159.78,160.77,15225.0
APD,2018-05-01 18:00:00+00:00,160.75,161.59,160.6,161.59,21544.0
APD,2018-05-01 19:00:00+00:00,161.61,162.51,161.61,162.49,59250.0
APD,2018-05-01 21:00:00+00:00,163.12,163.12,163.12,163.12,7.0
APD,2018-05-02 13:00:00+00:00,162.48,162.97,161.83,161.84,11697.0
APD,2018-05-02 14:00:00+00:00,161.76,162.46,161.54,161.93,30452.0
APD,2018-05-02 15:00:00+00:00,161.89,162.32,161.57,161.95,28659.0
APD,2018-05-02 16:00:00+00:00,161.93,162.62,161.86,162.55,27524.0
APD,2018-05-02 17:00:00+00:00,162.55,162.63,162.27,162.43,21430.0
APD,2018-05-02 18:00:00+00:00,162.39,163.24,162.3,162.71,22512.0
APD,2018-05-02 19:00:00+00:00,162.74,162.74,161.27,161.67,43344.0
APD,2018-05-03 13:00:00+00:00,161.17,161.83,160.91,161.67,8806.0
APD,2018-05-03 14:00:00+00:00,161.63,161.7,159.05,159.5,18326.0
APD,2018-05-03 15:00:00+00:00,159.47,160.32,159.44,160.24,21380.0
APD,2018-05-03 16:00:00+00:00,160.18,161.29,159.64,161.24,21274.0
APD,2018-05-03 17:00:00+00:00,161.19,161.78,160.58,161.28,16917.0
APD,2018-05-03 18:00:00+00:00,161.08,161.22,160.62,160.84,21414.0
APD,2018-05-03 19:00:00+00:00,160.86,161.05,160.11,160.42,47611.0
APD,2018-05-04 13:00:00+00:00,159.46,160.78,159.46,159.88,6156.0
APD,2018-05-04 14:00:00+00:00,159.95,161.11,159.8,160.86,25510.0
APD,2018-05-04 15:00:00+00:00,160.86,162.39,160.72,162.38,23951.0
APD,2018-05-04 16:00:00+00:00,162.38,162.555,162.17,162.45,17286.0
APD,2018-05-04 17:00:00+00:00,162.52,163.24,162.38,163.13,12114.0
APD,2018-05-04 18:00:00+00:00,163.08,163.37,162.82,162.82,14258.0
APD,2018-05-04 19:00:00+00:00,162.82,163.08,162.51,162.77,32860.0
APD,2018-05-07 13:00:00+00:00,163.0,163.73,162.85,163.7,4418.0
APD,2018-05-07 14:00:00+00:00,163.64,164.32,163.12,164.3,15357.0
APD,2018-05-07 15:00:00+00:00,164.25,164.6,164.07,164.19,11696.0
APD,2018-05-07 16:00:00+00:00,164.25,164.25,163.91,163.98,12053.0
APD,2018-05-07 17:00:00+00:00,163.98,164.12,163.83,164.0,8912.0
APD,2018-05-07 18:00:00+00:00,163.99,164.26,163.4,163.43,10649.0
APD,2018-05-07 19:00:00+00:00,163.38,163.64,162.98,163.47,32377.0
APD,2018-05-08 13:00:00+00:00,163.64,163.64,162.66,162.72,7851.0
APD,2018-05-08 14:00:00+00:00,162.75,163.7,162.75,163.49,11424.0
APD,2018-05-08 15:00:00+00:00,163.35,164.09,163.08,163.83,16715.0
APD,2018-05-08 16:00:00+00:00,163.85,163.92,162.96,163.13,11044.0
APD,2018-05-08 17:00:00+00:00,163.13,163.78,163.02,163.34,9862.0
APD,2018-05-08 18:00:00+00:00,163.4,163.96,162.73,163.18,13226.0
APD,2018-05-08 19:00:00+00:00,163.14,163.57,163.1,163.5,26375.0
APD,2018-05-09 13:00:00+00:00,164.32,164.95,163.0,163.53,7454.0
APD,2018-05-09 14:00:00+00:00,163.53,164.4,163.44,164.12,13888.0
APD,2018-05-09 15:00:00+00:00,164.2,164.3,163.62,163.86,12420.0
APD,2018-05-09 16:00:00+00:00,163.9,164.65,163.9,164.57,9291.0
APD,2018-05-09 17:00:00+00:00,164.66,165.11,164.57,165.03,14226.0
APD,2018-05-09 18:00:00+00:00,165.03,165.07,164.77,164.92,11544.0
APD,2018-05-09 19:00:00+00:00,164.88,164.96,164.47,164.85,30666.0
APD,2018-05-10 13:00:00+00:00,164.87,165.48,164.78,165.48,5381.0
APD,2018-05-10 14:00:00+00:00,165.65,165.81,164.88,164.88,20131.0
APD,2018-05-10 15:00:00+00:00,164.96,165.5,164.88,165.17,26782.0
APD,2018-05-10 16:00:00+00:00,165.25,166.02,165.2,165.77,28059.0
APD,2018-05-10 17:00:00+00:00,165.8,166.04,165.38,165.75,16617.0
APD,2018-05-10 18:00:00+00:00,165.7,166.02,165.12,165.54,18741.0
APD,2018-05-10 19:00:00+00:00,165.53,165.81,165.14,165.6,44238.0
APD,2018-05-10 20:00:00+00:00,165.64,165.64,165.64,165.64,200.0
APD,2018-05-10 21:00:00+00:00,165.62,165.62,165.6,165.6,200.0
APD,2018-05-11 13:00:00+00:00,166.13,166.88,165.66,166.855,4669.0
APD,2018-05-11 14:00:00+00:00,166.865,167.49,166.77,167.06,19710.0
APD,2018-05-11 15:00:00+00:00,167.09,167.135,166.12,166.45,18175.0
APD,2018-05-11 16:00:00+00:00,166.43,167.09,166.06,166.98,14847.0
APD,2018-05-11 17:00:00+00:00,166.96,167.01,166.39,166.71,14991.0
APD,2018-05-11 18:00:00+00:00,166.67,166.9,166.33,166.56,16040.0
APD,2018-05-11 19:00:00+00:00,166.54,166.59,166.09,166.29,32576.0
APD,2018-05-14 13:00:00+00:00,166.27,167.88,166.27,167.13,8973.0
APD,2018-05-14 14:00:00+00:00,167.11,167.13,166.44,166.86,18302.0
APD,2018-05-14 15:00:00+00:00,166.77,167.25,166.77,167.08,11759.0
APD,2018-05-14 16:00:00+00:00,167.1,167.275,166.34,166.41,14227.0
APD,2018-05-14 17:00:00+00:00,166.32,166.41,165.75,166.27,12867.0
APD,2018-05-14 18:00:00+00:00,166.26,166.66,166.02,166.66,11819.0
APD,2018-05-14 19:00:00+00:00,166.61,166.83,166.19,166.76,31438.0
APD,2018-05-15 13:00:00+00:00,166.18,166.56,165.05,165.14,8263.0
APD,2018-05-15 14:00:00+00:00,165.04,165.65,164.69,165.62,23372.0
APD,2018-05-15 15:00:00+00:00,165.69,166.36,165.57,165.94,18806.0
APD,2018-05-15 16:00:00+00:00,165.99,166.53,165.76,166.34,14222.0
APD,2018-05-15 17:00:00+00:00,166.33,166.33,165.95,166.06,12749.0
APD,2018-05-15 18:00:00+00:00,166.06,166.48,165.92,166.19,17633.0
APD,2018-05-15 19:00:00+00:00,166.25,166.27,165.315,166.08,45718.0
APD,2018-05-16 13:00:00+00:00,166.69,167.52,166.41,167.52,4071.0
APD,2018-05-16 14:00:00+00:00,167.48,167.79,166.82,166.94,10369.0
APD,2018-05-16 15:00:00+00:00,166.88,166.9,166.39,166.88,9309.0
APD,2018-05-16 16:00:00+00:00,166.9,167.23,166.69,166.85,7376.0
APD,2018-05-16 17:00:00+00:00,166.78,166.8,166.33,166.53,5484.0
APD,2018-05-16 18:00:00+00:00,166.48,166.83,166.46,166.75,6406.0
APD,2018-05-16 19:00:00+00:00,166.73,166.73,165.96,166.55,21563.0
APD,2018-05-17 13:00:00+00:00,165.79,166.74,165.79,166.65,6470.0
APD,2018-05-17 14:00:00+00:00,166.64,167.39,166.64,167.21,11820.0
APD,2018-05-17 15:00:00+00:00,167.18,167.19,166.25,166.29,30156.0
APD,2018-05-17 16:00:00+00:00,166.38,166.68,166.23,166.31,10471.0
APD,2018-05-17 17:00:00+00:00,166.32,166.67,166.07,166.19,11644.0
APD,2018-05-17 18:00:00+00:00,166.19,166.24,165.72,166.03,27968.0
APD,2018-05-17 19:00:00+00:00,166.01,166.87,165.94,166.77,45304.0
APD,2018-05-18 13:00:00+00:00,167.18,167.72,166.76,167.05,3896.0
APD,2018-05-18 14:00:00+00:00,167.12,167.75,166.94,167.75,12918.0
APD,2018-05-18 15:00:00+00:00,167.78,167.81,167.38,167.62,18392.0
APD,2018-05-18 16:00:00+00:00,167.62,168.21,167.41,168.21,18697.0
APD,2018-05-18 17:00:00+00:00,168.15,168.5,168.03,168.41,19193.0
APD,2018-05-18 18:00:00+00:00,168.36,168.84,168.33,168.8,15344.0
APD,2018-05-18 19:00:00+00:00,168.75,168.75,168.25,168.26,32826.0
APD,2018-05-21 13:00:00+00:00,168.95,170.22,168.87,168.87,8152.0
APD,2018-05-21 14:00:00+00:00,168.77,169.385,168.4,169.05,20043.0
APD,2018-05-21 15:00:00+00:00,169.06,169.3,168.72,169.27,13774.0
APD,2018-05-21 16:00:00+00:00,169.27,169.39,168.9,168.99,14746.0
APD,2018-05-21 17:00:00+00:00,168.9,169.39,168.72,169.39,10154.0
APD,2018-05-21 18:00:00+00:00,169.26,169.56,169.09,169.48,14206.0
APD,2018-05-21 19:00:00+00:00,169.46,169.69,169.21,169.44,36960.0
APD,2018-05-22 11:00:00+00:00,171.32,171.32,171.32,171.32,38.0
APD,2018-05-22 13:00:00+00:00,169.73,169.75,169.22,169.68,5277.0
APD,2018-05-22 14:00:00+00:00,169.69,170.03,169.48,169.55,9471.0
APD,2018-05-22 15:00:00+00:00,169.55,170.15,169.36,169.86,21677.0
APD,2018-05-22 16:00:00+00:00,169.86,169.88,168.81,168.81,21658.0
APD,2018-05-22 17:00:00+00:00,168.73,168.84,168.35,168.8,17146.0
APD,2018-05-22 18:00:00+00:00,168.81,169.16,168.27,168.29,54980.0
APD,2018-05-22 19:00:00+00:00,168.31,168.4,167.53,167.74,31754.0
APD,2018-05-23 13:00:00+00:00,166.65,166.9,165.8,166.0,7039.0
APD,2018-05-23 14:00:00+00:00,166.02,166.35,165.54,165.54,14827.0
APD,2018-05-23 15:00:00+00:00,165.56,166.27,165.52,165.865,14181.0
APD,2018-05-23 16:00:00+00:00,165.87,166.03,165.15,165.49,21147.0
APD,2018-05-23 17:00:00+00:00,165.59,166.17,165.5,166.11,9534.0
APD,2018-05-23 18:00:00+00:00,166.17,167.25,166.08,167.25,21114.0
APD,2018-05-23 19:00:00+00:00,167.2,167.33,166.72,167.02,29110.0
APD,2018-05-24 13:00:00+00:00,166.79,167.13,165.33,165.33,6620.0
APD,2018-05-24 14:00:00+00:00,165.47,165.745,165.05,165.05,14284.0
APD,2018-05-24 15:00:00+00:00,165.04,166.02,165.04,165.87,7352.0
APD,2018-05-24 16:00:00+00:00,165.93,166.17,165.85,166.06,6287.0
APD,2018-05-24 17:00:00+00:00,166.08,166.33,166.08,166.08,2748.0
APD,2018-05-24 18:00:00+00:00,166.05,166.05,165.53,165.61,3949.0
APD,2018-05-24 19:00:00+00:00,165.59,166.21,165.42,166.05,26419.0
APD,2018-05-25 13:00:00+00:00,165.73,165.73,164.67,164.84,2134.0
APD,2018-05-25 14:00:00+00:00,164.85,165.08,164.61,164.72,14982.0
APD,2018-05-25 15:00:00+00:00,164.8,165.38,164.8,165.05,5102.0
APD,2018-05-25 16:00:00+00:00,165.03,165.05,164.43,164.49,6137.0
APD,2018-05-25 17:00:00+00:00,164.6,164.77,164.24,164.41,4514.0
APD,2018-05-25 18:00:00+00:00,164.36,164.74,164.27,164.43,6130.0
APD,2018-05-25 19:00:00+00:00,164.4,165.05,164.32,164.96,22338.0
APD,2018-05-25 20:00:00+00:00,164.75,164.75,164.75,164.75,24.0
APD,2018-05-29 13:00:00+00:00,163.89,164.19,163.33,164.04,6317.0
APD,2018-05-29 14:00:00+00:00,164.04,164.12,163.19,163.19,9436.0
APD,2018-05-29 15:00:00+00:00,163.27,163.35,162.26,162.29,9681.0
APD,2018-05-29 16:00:00+00:00,162.28,162.35,161.61,162.19,11010.0
APD,2018-05-29 17:00:00+00:00,162.17,162.17,161.43,161.5,11423.0
APD,2018-05-29 18:00:00+00:00,161.41,161.87,161.06,161.06,19821.0
APD,2018-05-29 19:00:00+00:00,161.05,161.98,160.93,161.82,51092.0
APD,2018-05-30 13:00:00+00:00,163.08,163.11,162.35,162.4,7660.0
APD,2018-05-30 14:00:00+00:00,162.51,163.54,162.23,163.24,24236.0
APD,2018-05-30 15:00:00+00:00,163.33,163.43,162.74,163.3,11085.0
APD,2018-05-30 16:00:00+00:00,163.3,163.53,163.09,163.15,6592.0
