symbol,ts,open,high,low,close,volume
APO,2018-05-01 13:00:00+00:00,28.62,28.76,28.62,28.67,1295.0
APO,2018-05-01 14:00:00+00:00,28.68,28.68,28.3,28.3,5439.0
APO,2018-05-01 15:00:00+00:00,28.3,28.34,28.13,28.22,9444.0
APO,2018-05-01 16:00:00+00:00,28.19,28.21,28.09,28.16,5834.0
APO,2018-05-01 17:00:00+00:00,28.15,28.36,28.09,28.36,10209.0
APO,2018-05-01 18:00:00+00:00,28.36,28.72,28.36,28.62,30175.0
APO,2018-05-01 19:00:00+00:00,28.62,28.76,28.44,28.575,47439.0
APO,2018-05-02 13:00:00+00:00,28.78,28.95,28.5,28.94,8317.0
APO,2018-05-02 14:00:00+00:00,28.91,29.0,28.72,28.85,18262.0
APO,2018-05-02 15:00:00+00:00,28.86,29.25,28.86,29.125,14915.0
APO,2018-05-02 16:00:00+00:00,29.125,29.13,29.04,29.08,6818.0
APO,2018-05-02 17:00:00+00:00,29.08,29.16,29.05,29.1,4509.0
APO,2018-05-02 18:00:00+00:00,29.09,29.46,29.08,29.46,14170.0
APO,2018-05-02 19:00:00+00:00,29.46,29.67,29.25,29.57,47599.0
APO,2018-05-03 13:00:00+00:00,28.3,30.29,28.3,29.91,116629.0
APO,2018-05-03 14:00:00+00:00,29.9,30.76,29.545,29.69,70440.0
APO,2018-05-03 15:00:00+00:00,29.72,30.24,29.72,30.23,58759.0
APO,2018-05-03 16:00:00+00:00,30.19,30.32,30.11,30.16,9720.0
APO,2018-05-03 17:00:00+00:00,30.21,30.35,29.98,30.31,26832.0
APO,2018-05-03 18:00:00+00:00,30.29,30.88,30.29,30.58,20910.0
APO,2018-05-03 19:00:00+00:00,30.6,30.96,30.6,30.67,79952.0
APO,2018-05-04 13:00:00+00:00,30.41,31.0,30.41,30.88,12822.0
APO,2018-05-04 14:00:00+00:00,30.96,32.0,30.96,31.89,39646.0
APO,2018-05-04 15:00:00+00:00,31.83,31.87,31.7,31.75,25717.0
APO,2018-05-04 16:00:00+00:00,31.74,31.75,31.42,31.45,16430.0
APO,2018-05-04 17:00:00+00:00,31.46,31.47,31.34,31.39,23649.0
APO,2018-05-04 18:00:00+00:00,31.37,31.5,31.29,31.29,21897.0
APO,2018-05-04 19:00:00+00:00,31.29,31.36,31.145,31.145,31908.0
APO,2018-05-07 13:00:00+00:00,31.15,31.59,31.15,31.57,8499.0
APO,2018-05-07 14:00:00+00:00,31.49,31.7,31.44,31.49,12047.0
APO,2018-05-07 15:00:00+00:00,31.48,31.61,31.42,31.61,9893.0
APO,2018-05-07 16:00:00+00:00,31.61,31.63,31.54,31.57,11590.0
APO,2018-05-07 17:00:00+00:00,31.56,31.65,31.53,31.55,12052.0
APO,2018-05-07 18:00:00+00:00,31.55,31.64,31.53,31.53,13831.0
APO,2018-05-07 19:00:00+00:00,31.52,31.54,31.35,31.39,27125.0
APO,2018-05-08 12:00:00+00:00,31.6,31.62,31.6,31.62,2000.0
APO,2018-05-08 13:00:00+00:00,31.41,31.41,30.64,30.9,13126.0
APO,2018-05-08 14:00:00+00:00,30.89,31.14,30.72,30.74,10265.0
APO,2018-05-08 15:00:00+00:00,30.71,30.92,30.71,30.76,6735.0
APO,2018-05-08 16:00:00+00:00,30.73,30.73,30.56,30.56,5632.0
APO,2018-05-08 17:00:00+00:00,30.63,30.93,30.62,30.82,11216.0
APO,2018-05-08 18:00:00+00:00,30.83,30.83,30.59,30.59,9546.0
APO,2018-05-08 19:00:00+00:00,30.58,30.71,30.58,30.705,34138.0
APO,2018-05-09 13:00:00+00:00,30.84,30.92,30.63,30.63,16963.0
APO,2018-05-09 14:00:00+00:00,30.58,30.67,30.49,30.53,16250.0
APO,2018-05-09 15:00:00+00:00,30.52,30.54,30.06,30.19,22346.0
