symbol,ts,open,high,low,close,volume
ARE,2018-05-01 13:00:00+00:00,124.95,127.34,124.65,127.34,11414.0
ARE,2018-05-01 14:00:00+00:00,127.77,127.78,126.225,126.225,19257.0
ARE,2018-05-01 15:00:00+00:00,126.245,127.76,125.77,127.36,22220.0
ARE,2018-05-01 16:00:00+00:00,127.38,127.84,127.19,127.5,14896.0
ARE,2018-05-01 17:00:00+00:00,127.44,128.52,127.4,128.43,18454.0
ARE,2018-05-01 18:00:00+00:00,128.445,129.63,128.36,129.63,40343.0
ARE,2018-05-01 19:00:00+00:00,129.65,130.53,129.135,129.68,109896.0
ARE,2018-05-02 13:00:00+00:00,128.75,128.75,126.545,126.545,11071.0
ARE,2018-05-02 14:00:00+00:00,126.5,128.84,126.41,128.76,22377.0
ARE,2018-05-02 15:00:00+00:00,128.72,128.94,128.04,128.04,22116.0
ARE,2018-05-02 16:00:00+00:00,128.02,128.26,127.51,127.99,18344.0
ARE,2018-05-02 17:00:00+00:00,127.98,128.64,127.59,128.55,18448.0
ARE,2018-05-02 18:00:00+00:00,128.48,128.92,128.2,128.64,29667.0
ARE,2018-05-02 19:00:00+00:00,128.55,128.6,127.3,127.55,54444.0
ARE,2018-05-03 13:00:00+00:00,126.96,127.4,126.96,127.4,4032.0
ARE,2018-05-03 14:00:00+00:00,127.34,127.45,126.59,126.73,11527.0
ARE,2018-05-03 15:00:00+00:00,126.71,127.59,126.67,127.49,11063.0
ARE,2018-05-03 16:00:00+00:00,127.41,127.41,126.84,127.21,9622.0
ARE,2018-05-03 17:00:00+00:00,127.27,127.49,126.88,127.0,8440.0
ARE,2018-05-03 18:00:00+00:00,127.0,127.04,126.4,126.475,20715.0
ARE,2018-05-03 19:00:00+00:00,126.5,126.76,126.14,126.72,34362.0
ARE,2018-05-04 13:00:00+00:00,126.32,127.31,126.16,127.31,3287.0
ARE,2018-05-04 14:00:00+00:00,127.27,127.67,127.11,127.29,12101.0
ARE,2018-05-04 15:00:00+00:00,127.35,127.96,127.23,127.64,14188.0
ARE,2018-05-04 16:00:00+00:00,127.52,128.29,127.52,128.11,14263.0
ARE,2018-05-04 17:00:00+00:00,128.1,128.5,128.04,128.08,10189.0
ARE,2018-05-04 18:00:00+00:00,128.07,128.76,128.07,128.55,13200.0
ARE,2018-05-04 19:00:00+00:00,128.55,128.92,128.42,128.55,23942.0
ARE,2018-05-07 13:00:00+00:00,129.02,129.03,128.5,128.63,3406.0
ARE,2018-05-07 14:00:00+00:00,128.82,128.82,128.3,128.74,8863.0
ARE,2018-05-07 15:00:00+00:00,128.62,129.02,128.55,129.01,5829.0
ARE,2018-05-07 16:00:00+00:00,129.12,129.18,129.0,129.09,4928.0
ARE,2018-05-07 17:00:00+00:00,129.06,129.1,128.85,129.01,3817.0
ARE,2018-05-07 18:00:00+00:00,128.98,129.64,128.91,129.61,9106.0
ARE,2018-05-07 19:00:00+00:00,129.64,130.06,129.35,129.8,35102.0
ARE,2018-05-08 13:00:00+00:00,129.07,129.23,128.44,128.56,4638.0
ARE,2018-05-08 14:00:00+00:00,128.55,128.77,128.32,128.53,8444.0
ARE,2018-05-08 15:00:00+00:00,128.51,128.92,128.43,128.79,15878.0
ARE,2018-05-08 16:00:00+00:00,128.77,128.81,128.35,128.49,17044.0
ARE,2018-05-08 17:00:00+00:00,128.5,128.62,128.34,128.4,7428.0
ARE,2018-05-08 18:00:00+00:00,128.42,128.45,127.9,128.07,16544.0
ARE,2018-05-08 19:00:00+00:00,128.05,128.625,127.99,128.35,31190.0
ARE,2018-05-09 13:00:00+00:00,128.46,128.68,128.27,128.43,3602.0
ARE,2018-05-09 14:00:00+00:00,128.685,129.34,128.63,129.1,11275.0
ARE,2018-05-09 15:00:00+00:00,129.03,129.34,128.85,129.21,8934.0
ARE,2018-05-09 16:00:00+00:00,129.145,129.6,129.06,129.59,9431.0
ARE,2018-05-09 17:00:00+00:00,129.64,129.68,129.36,129.68,4533.0
ARE,2018-05-09 18:00:00+00:00,129.72,129.87,129.6,129.72,4119.0
ARE,2018-05-09 19:00:00+00:00,129.7,129.91,129.31,129.83,16613.0
ARE,2018-05-10 13:00:00+00:00,129.96,130.39,129.82,130.02,3734.0
ARE,2018-05-10 14:00:00+00:00,129.94,130.18,129.55,129.55,5096.0
ARE,2018-05-10 15:00:00+00:00,129.55,130.08,129.51,130.0,7804.0
ARE,2018-05-10 16:00:00+00:00,129.99,130.15,129.51,129.55,9488.0
ARE,2018-05-10 17:00:00+00:00,129.54,129.65,129.21,129.58,5689.0
ARE,2018-05-10 18:00:00+00:00,129.53,129.55,129.23,129.38,11438.0
ARE,2018-05-10 19:00:00+00:00,129.39,129.48,128.82,129.34,28251.0
ARE,2018-05-11 13:00:00+00:00,129.76,129.85,129.5,129.72,3049.0
ARE,2018-05-11 14:00:00+00:00,129.705,129.91,129.43,129.58,6632.0
ARE,2018-05-11 15:00:00+00:00,129.7,129.74,129.23,129.25,4347.0
ARE,2018-05-11 16:00:00+00:00,129.23,129.34,129.13,129.13,5921.0
ARE,2018-05-11 17:00:00+00:00,129.11,129.11,128.8,128.82,12762.0
ARE,2018-05-11 18:00:00+00:00,128.825,128.97,128.68,128.68,13185.0
ARE,2018-05-11 19:00:00+00:00,128.665,128.72,127.95,128.08,53717.0
ARE,2018-05-14 13:00:00+00:00,128.1,128.47,128.07,128.07,1815.0
ARE,2018-05-14 14:00:00+00:00,127.98,127.98,127.52,127.52,13029.0
ARE,2018-05-14 15:00:00+00:00,127.49,127.57,127.02,127.04,7626.0
ARE,2018-05-14 16:00:00+00:00,127.12,127.12,126.37,126.61,9106.0
ARE,2018-05-14 17:00:00+00:00,126.61,126.62,126.43,126.44,6098.0
ARE,2018-05-14 18:00:00+00:00,126.46,126.895,126.42,126.895,8635.0
ARE,2018-05-14 19:00:00+00:00,126.905,127.11,126.69,126.97,31627.0
ARE,2018-05-15 13:00:00+00:00,126.06,126.24,125.43,125.49,5725.0
ARE,2018-05-15 14:00:00+00:00,125.52,126.17,125.46,125.6,11520.0
ARE,2018-05-15 15:00:00+00:00,125.66,125.68,124.73,124.73,16959.0
ARE,2018-05-15 16:00:00+00:00,124.74,125.15,124.6,124.6,11025.0
ARE,2018-05-15 17:00:00+00:00,124.62,124.74,124.21,124.21,19676.0
ARE,2018-05-15 18:00:00+00:00,124.3,124.58,123.91,124.36,25569.0
ARE,2018-05-15 19:00:00+00:00,124.4,124.41,123.81,124.15,32337.0
ARE,2018-05-16 13:00:00+00:00,124.51,124.68,123.82,123.82,3583.0
ARE,2018-05-16 14:00:00+00:00,123.77,123.79,122.65,122.73,27236.0
ARE,2018-05-16 15:00:00+00:00,122.75,123.0,122.71,122.9,17609.0
ARE,2018-05-16 16:00:00+00:00,122.89,123.25,122.88,123.14,23843.0
ARE,2018-05-16 17:00:00+00:00,123.08,123.28,122.92,123.15,18836.0
ARE,2018-05-16 18:00:00+00:00,123.17,123.38,122.99,123.11,9388.0
ARE,2018-05-16 19:00:00+00:00,123.11,123.12,122.43,122.65,48865.0
ARE,2018-05-17 13:00:00+00:00,122.71,123.18,122.07,122.07,5923.0
ARE,2018-05-17 14:00:00+00:00,122.02,122.41,122.02,122.17,8015.0
ARE,2018-05-17 15:00:00+00:00,122.13,122.27,121.7,122.15,9286.0
ARE,2018-05-17 16:00:00+00:00,122.21,122.36,122.14,122.25,5371.0
ARE,2018-05-17 17:00:00+00:00,122.21,122.38,121.93,121.95,6982.0
ARE,2018-05-17 18:00:00+00:00,121.95,122.09,121.88,121.88,9343.0
ARE,2018-05-17 19:00:00+00:00,121.88,121.97,121.66,121.79,21856.0
ARE,2018-05-18 13:00:00+00:00,121.75,121.93,121.0,121.0,9011.0
ARE,2018-05-18 14:00:00+00:00,121.1,121.41,120.77,120.9,15284.0
ARE,2018-05-18 15:00:00+00:00,120.89,121.05,120.58,120.85,17092.0
ARE,2018-05-18 16:00:00+00:00,120.84,121.1,120.78,121.04,11703.0
ARE,2018-05-18 17:00:00+00:00,121.01,121.14,120.86,120.93,12893.0
ARE,2018-05-18 18:00:00+00:00,120.92,121.22,120.87,121.18,14304.0
ARE,2018-05-18 19:00:00+00:00,121.17,121.29,120.97,121.23,37427.0
ARE,2018-05-21 13:00:00+00:00,122.0,122.14,120.8,120.8,11367.0
ARE,2018-05-21 14:00:00+00:00,120.76,122.11,120.75,122.11,12726.0
ARE,2018-05-21 15:00:00+00:00,122.12,122.43,121.92,122.27,15004.0
ARE,2018-05-21 16:00:00+00:00,122.29,123.0,122.27,122.82,16646.0
ARE,2018-05-21 17:00:00+00:00,122.825,123.4,122.76,123.4,13750.0
ARE,2018-05-21 18:00:00+00:00,123.36,123.63,123.22,123.58,19268.0
ARE,2018-05-21 19:00:00+00:00,123.6,123.8,123.31,123.44,42489.0
ARE,2018-05-22 13:00:00+00:00,123.67,123.86,123.01,123.35,2930.0
ARE,2018-05-22 14:00:00+00:00,123.35,123.38,122.9,123.24,6316.0
ARE,2018-05-22 15:00:00+00:00,123.23,123.58,123.12,123.58,8246.0
ARE,2018-05-22 16:00:00+00:00,123.58,123.58,123.06,123.27,7856.0
ARE,2018-05-22 17:00:00+00:00,123.285,123.295,123.05,123.2,7528.0
ARE,2018-05-22 18:00:00+00:00,123.21,123.92,123.18,123.88,15011.0
ARE,2018-05-22 19:00:00+00:00,123.87,124.02,123.55,123.82,34621.0
ARE,2018-05-23 13:00:00+00:00,123.5,124.6,123.42,124.6,3958.0
ARE,2018-05-23 14:00:00+00:00,124.71,125.94,124.71,125.69,7892.0
ARE,2018-05-23 15:00:00+00:00,125.67,125.78,125.13,125.13,9000.0
ARE,2018-05-23 16:00:00+00:00,125.07,125.24,124.89,125.17,10035.0
ARE,2018-05-23 17:00:00+00:00,125.11,125.64,125.11,125.62,10885.0
ARE,2018-05-23 18:00:00+00:00,125.64,126.25,125.64,126.25,21466.0
ARE,2018-05-23 19:00:00+00:00,126.2,126.25,125.7,125.79,43525.0
ARE,2018-05-24 13:00:00+00:00,125.7,125.94,125.01,125.05,5498.0
ARE,2018-05-24 14:00:00+00:00,125.29,125.55,124.84,124.98,7429.0
ARE,2018-05-24 15:00:00+00:00,124.98,124.99,124.0,124.17,18748.0
ARE,2018-05-24 16:00:00+00:00,124.19,124.19,123.84,123.87,12014.0
ARE,2018-05-24 17:00:00+00:00,123.87,123.88,123.43,123.5,12870.0
ARE,2018-05-24 18:00:00+00:00,123.51,123.51,123.01,123.01,14372.0
ARE,2018-05-24 19:00:00+00:00,123.0,123.8,122.95,123.8,36028.0
ARE,2018-05-25 13:00:00+00:00,123.8,124.285,123.665,124.03,2902.0
ARE,2018-05-25 14:00:00+00:00,124.025,124.025,123.64,123.87,7912.0
ARE,2018-05-25 15:00:00+00:00,123.855,123.97,123.55,123.67,6450.0
ARE,2018-05-25 16:00:00+00:00,123.65,123.65,123.32,123.41,8442.0
ARE,2018-05-25 17:00:00+00:00,123.42,123.56,123.37,123.56,10381.0
ARE,2018-05-25 18:00:00+00:00,123.57,123.68,123.41,123.5,11936.0
ARE,2018-05-25 19:00:00+00:00,123.51,123.64,123.32,123.52,32941.0
ARE,2018-05-29 13:00:00+00:00,123.12,123.47,122.8,123.28,4888.0
ARE,2018-05-29 14:00:00+00:00,123.3,123.69,123.3,123.66,13871.0
ARE,2018-05-29 15:00:00+00:00,123.63,123.67,123.16,123.43,24950.0
ARE,2018-05-29 16:00:00+00:00,123.43,123.57,123.09,123.55,8065.0
ARE,2018-05-29 17:00:00+00:00,123.59,123.61,123.24,123.54,6956.0
ARE,2018-05-29 18:00:00+00:00,123.5,123.67,123.24,123.33,11286.0
