symbol,ts,open,high,low,close,volume
ARES,2018-05-01 13:00:00+00:00,22.25,22.3,22.2,22.25,571.0
ARES,2018-05-01 14:00:00+00:00,22.15,22.55,22.15,22.375,4697.0
ARES,2018-05-01 15:00:00+00:00,22.3,22.3,22.1,22.15,1610.0
ARES,2018-05-01 16:00:00+00:00,22.2,22.25,22.2,22.2,441.0
ARES,2018-05-01 17:00:00+00:00,22.15,22.225,22.05,22.225,300.0
ARES,2018-05-01 18:00:00+00:00,22.25,22.3,22.25,22.3,959.0
ARES,2018-05-01 19:00:00+00:00,22.4,22.45,22.35,22.4,2372.0
ARES,2018-05-02 13:00:00+00:00,22.45,22.45,22.45,22.45,100.0
ARES,2018-05-02 14:00:00+00:00,22.4,22.675,22.4,22.6,2443.0
ARES,2018-05-02 15:00:00+00:00,22.65,22.725,22.6,22.6,925.0
ARES,2018-05-02 16:00:00+00:00,22.725,22.725,22.7,22.7,104.0
ARES,2018-05-02 17:00:00+00:00,22.725,22.725,22.625,22.65,770.0
ARES,2018-05-02 18:00:00+00:00,22.6,22.6,22.6,22.6,200.0
ARES,2018-05-02 19:00:00+00:00,22.6,22.6,22.4,22.45,2648.0
ARES,2018-05-03 13:00:00+00:00,22.55,22.6,22.5,22.6,158.0
ARES,2018-05-03 14:00:00+00:00,22.6,22.6,22.4,22.4,2529.0
ARES,2018-05-03 15:00:00+00:00,22.35,22.4,22.25,22.25,484.0
ARES,2018-05-03 16:00:00+00:00,22.25,22.325,22.2,22.25,117.0
ARES,2018-05-03 17:00:00+00:00,22.2,22.2,22.1,22.2,1226.0
ARES,2018-05-03 18:00:00+00:00,22.2,22.25,22.2,22.2,228.0
ARES,2018-05-03 19:00:00+00:00,22.175,22.2,22.0,22.2,2029.0
ARES,2018-05-03 20:00:00+00:00,22.25,22.25,22.25,22.25,10.0
ARES,2018-05-04 14:00:00+00:00,22.0,22.0,21.9,21.95,833.0
ARES,2018-05-04 15:00:00+00:00,21.875,21.9,21.8,21.9,922.0
ARES,2018-05-04 16:00:00+00:00,21.975,21.975,21.75,21.85,3307.0
ARES,2018-05-04 17:00:00+00:00,21.875,21.875,21.825,21.85,1103.0
ARES,2018-05-04 18:00:00+00:00,21.875,21.95,21.875,21.95,519.0
ARES,2018-05-04 19:00:00+00:00,21.925,21.925,21.6,21.75,4216.0
ARES,2018-05-07 13:00:00+00:00,22.0,22.1,21.95,21.95,1007.0
ARES,2018-05-07 14:00:00+00:00,21.925,22.025,21.925,21.975,3258.0
ARES,2018-05-07 15:00:00+00:00,22.0,22.275,22.0,22.25,2898.0
ARES,2018-05-07 16:00:00+00:00,22.325,22.325,22.325,22.325,1672.0
ARES,2018-05-07 17:00:00+00:00,22.325,22.325,22.25,22.25,3126.0
ARES,2018-05-07 18:00:00+00:00,22.275,22.275,22.25,22.25,900.0
ARES,2018-05-07 19:00:00+00:00,22.275,22.3,22.25,22.3,2044.0
ARES,2018-05-08 13:00:00+00:00,22.3,22.3,22.3,22.3,360.0
ARES,2018-05-08 14:00:00+00:00,22.3,22.4,22.2,22.225,1150.0
ARES,2018-05-08 15:00:00+00:00,22.2,22.2,22.125,22.125,2489.0
ARES,2018-05-08 16:00:00+00:00,22.125,22.125,22.0,22.0,2910.0
ARES,2018-05-08 17:00:00+00:00,22.025,22.025,22.0,22.025,460.0
ARES,2018-05-08 18:00:00+00:00,22.025,22.025,21.875,21.875,2287.0
ARES,2018-05-08 19:00:00+00:00,21.95,22.05,21.9,21.975,3209.0
ARES,2018-05-09 14:00:00+00:00,22.05,22.05,22.05,22.05,700.0
ARES,2018-05-09 15:00:00+00:00,22.0,22.0,21.95,22.0,993.0
ARES,2018-05-09 16:00:00+00:00,21.95,22.0,21.95,22.0,1460.0
ARES,2018-05-09 17:00:00+00:00,22.0,22.0,22.0,22.0,400.0
ARES,2018-05-09 18:00:00+00:00,22.05,22.075,22.0,22.0,1099.0
ARES,2018-05-09 19:00:00+00:00,22.0,22.1,22.0,22.1,2954.0
ARES,2018-05-10 14:00:00+00:00,22.125,22.2,22.1,22.15,1504.0
ARES,2018-05-10 15:00:00+00:00,22.125,22.125,22.1,22.125,600.0
ARES,2018-05-10 16:00:00+00:00,22.125,22.175,22.125,22.15,1400.0
ARES,2018-05-10 17:00:00+00:00,22.15,22.15,22.15,22.15,100.0
ARES,2018-05-10 18:00:00+00:00,22.175,22.175,22.15,22.175,500.0
