symbol,ts,open,high,low,close,volume
AZO,2018-05-01 13:00:00+00:00,620.09,628.58,616.14,628.58,2412.0
AZO,2018-05-01 14:00:00+00:00,627.55,628.7,622.98,622.98,4481.0
AZO,2018-05-01 15:00:00+00:00,622.48,628.74,622.03,625.12,7100.0
AZO,2018-05-01 16:00:00+00:00,625.74,627.97,624.49,626.0,6668.0
AZO,2018-05-01 17:00:00+00:00,626.07,629.39,623.9,627.88,7642.0
AZO,2018-05-01 18:00:00+00:00,628.36,632.96,627.93,632.33,6530.0
AZO,2018-05-01 19:00:00+00:00,631.79,632.34,630.73,632.24,12705.0
AZO,2018-05-02 13:00:00+00:00,628.35,630.55,624.81,625.1,2741.0
AZO,2018-05-02 14:00:00+00:00,624.72,632.27,624.68,631.14,7305.0
AZO,2018-05-02 15:00:00+00:00,631.12,635.38,630.79,634.7,3927.0
AZO,2018-05-02 16:00:00+00:00,634.4,636.97,633.05,636.97,10655.0
AZO,2018-05-02 17:00:00+00:00,637.03,637.69,635.25,636.4,6557.0
AZO,2018-05-02 18:00:00+00:00,636.99,637.45,634.6,635.14,9209.0
AZO,2018-05-02 19:00:00+00:00,634.84,634.84,629.47,630.605,16276.0
AZO,2018-05-03 13:00:00+00:00,630.93,636.75,628.87,636.74,1973.0
AZO,2018-05-03 14:00:00+00:00,637.29,637.29,626.56,627.77,6374.0
AZO,2018-05-03 15:00:00+00:00,628.2,635.93,626.58,634.87,12132.0
AZO,2018-05-03 16:00:00+00:00,634.84,636.86,631.63,636.86,9826.0
AZO,2018-05-03 17:00:00+00:00,637.44,641.3,634.0,640.51,13060.0
AZO,2018-05-03 18:00:00+00:00,639.9,640.69,634.76,635.97,9046.0
AZO,2018-05-03 19:00:00+00:00,636.12,637.66,634.51,636.98,9423.0
AZO,2018-05-04 13:00:00+00:00,636.14,644.15,635.47,643.6,6755.0
AZO,2018-05-04 14:00:00+00:00,643.5,658.06,643.5,656.7,27145.0
AZO,2018-05-04 15:00:00+00:00,656.13,656.13,648.91,651.22,12732.0
