symbol,ts,open,high,low,close,volume
BDX,2018-05-01 13:00:00+00:00,231.89,231.95,230.99,230.99,8477.0
BDX,2018-05-01 14:00:00+00:00,230.79,232.76,230.68,232.29,16798.0
BDX,2018-05-01 15:00:00+00:00,232.35,232.59,231.71,232.01,13447.0
BDX,2018-05-01 16:00:00+00:00,232.1,232.27,231.49,231.53,7869.0
BDX,2018-05-01 17:00:00+00:00,231.53,232.06,230.64,232.06,11171.0
BDX,2018-05-01 18:00:00+00:00,232.01,232.66,231.86,232.39,13900.0
BDX,2018-05-01 19:00:00+00:00,232.5,233.8,232.44,233.69,75616.0
BDX,2018-05-02 13:00:00+00:00,233.3,233.45,232.43,232.46,7906.0
BDX,2018-05-02 14:00:00+00:00,232.42,233.66,231.95,233.65,23010.0
BDX,2018-05-02 15:00:00+00:00,233.66,234.04,232.135,232.81,38141.0
BDX,2018-05-02 16:00:00+00:00,232.85,232.86,231.7,232.09,25804.0
BDX,2018-05-02 17:00:00+00:00,232.145,232.57,231.52,231.92,27000.0
BDX,2018-05-02 18:00:00+00:00,231.85,233.12,231.79,232.24,37480.0
BDX,2018-05-02 19:00:00+00:00,232.32,232.39,230.4,230.82,83423.0
BDX,2018-05-03 13:00:00+00:00,228.4,229.44,225.42,225.42,18882.0
BDX,2018-05-03 14:00:00+00:00,225.07,225.11,222.36,224.43,52936.0
BDX,2018-05-03 15:00:00+00:00,224.39,225.66,223.83,225.41,39093.0
BDX,2018-05-03 16:00:00+00:00,225.47,227.36,224.94,227.27,33187.0
BDX,2018-05-03 17:00:00+00:00,227.23,228.02,226.32,226.91,19638.0
BDX,2018-05-03 18:00:00+00:00,226.9,227.745,226.39,227.1,36037.0
BDX,2018-05-03 19:00:00+00:00,227.25,227.76,226.68,227.08,67149.0
BDX,2018-05-04 13:00:00+00:00,226.17,226.17,223.55,223.98,10756.0
BDX,2018-05-04 14:00:00+00:00,224.3,224.91,222.94,224.09,32012.0
BDX,2018-05-04 15:00:00+00:00,223.99,225.45,223.97,224.22,24082.0
BDX,2018-05-04 16:00:00+00:00,224.25,225.14,224.19,224.32,21420.0
BDX,2018-05-04 17:00:00+00:00,224.325,225.17,224.28,225.06,33411.0
