symbol,ts,open,high,low,close,volume
BF.B,2018-05-01 13:00:00+00:00,55.74,55.74,55.19,55.19,6449.0
BF.B,2018-05-01 14:00:00+00:00,55.18,55.38,54.92,55.1,16513.0
BF.B,2018-05-01 15:00:00+00:00,55.09,55.35,55.04,55.15,10553.0
BF.B,2018-05-01 16:00:00+00:00,55.16,55.35,55.16,55.23,7654.0
BF.B,2018-05-01 17:00:00+00:00,55.2,55.23,54.96,55.2,11745.0
BF.B,2018-05-01 18:00:00+00:00,55.24,55.34,55.1,55.3,11135.0
BF.B,2018-05-01 19:00:00+00:00,55.305,55.52,55.23,55.48,29272.0
BF.B,2018-05-02 13:00:00+00:00,55.15,55.15,54.01,54.05,12135.0
BF.B,2018-05-02 14:00:00+00:00,54.02,54.3,53.93,54.15,25549.0
BF.B,2018-05-02 15:00:00+00:00,54.13,54.24,53.93,54.22,22312.0
BF.B,2018-05-02 16:00:00+00:00,54.21,54.32,54.17,54.22,15006.0
BF.B,2018-05-02 17:00:00+00:00,54.22,54.26,54.12,54.16,16251.0
BF.B,2018-05-02 18:00:00+00:00,54.135,54.36,54.02,54.07,30333.0
BF.B,2018-05-02 19:00:00+00:00,54.07,54.16,53.59,53.73,86670.0
BF.B,2018-05-03 13:00:00+00:00,53.56,54.22,53.56,54.2,15396.0
BF.B,2018-05-03 14:00:00+00:00,54.2,54.51,54.13,54.28,22446.0
BF.B,2018-05-03 15:00:00+00:00,54.34,54.86,54.32,54.86,12562.0
BF.B,2018-05-03 16:00:00+00:00,54.86,55.1,54.61,55.1,10654.0
BF.B,2018-05-03 17:00:00+00:00,55.08,55.2,54.81,55.01,17367.0
BF.B,2018-05-03 18:00:00+00:00,54.98,55.05,54.83,54.9,17384.0
BF.B,2018-05-03 19:00:00+00:00,54.9,55.29,54.9,55.25,58934.0
BF.B,2018-05-04 13:00:00+00:00,55.18,55.24,55.0,55.0,8272.0
BF.B,2018-05-04 14:00:00+00:00,54.98,55.32,54.93,55.32,17924.0
BF.B,2018-05-04 15:00:00+00:00,55.29,55.6,55.26,55.58,17216.0
BF.B,2018-05-04 16:00:00+00:00,55.55,55.75,55.55,55.73,10823.0
BF.B,2018-05-04 17:00:00+00:00,55.74,56.01,55.72,55.88,22573.0
BF.B,2018-05-04 18:00:00+00:00,55.86,56.06,55.83,55.95,14310.0
BF.B,2018-05-04 19:00:00+00:00,55.96,56.02,55.76,55.86,53920.0
BF.B,2018-05-07 13:00:00+00:00,55.9,56.07,55.8,55.88,4314.0
BF.B,2018-05-07 14:00:00+00:00,55.885,55.885,55.42,55.51,10972.0
BF.B,2018-05-07 15:00:00+00:00,55.53,55.79,55.5,55.6,12185.0
BF.B,2018-05-07 16:00:00+00:00,55.61,55.7,55.52,55.59,10076.0
BF.B,2018-05-07 17:00:00+00:00,55.58,55.67,55.47,55.64,12839.0
BF.B,2018-05-07 18:00:00+00:00,55.6,55.75,55.59,55.59,12396.0
BF.B,2018-05-07 19:00:00+00:00,55.6,55.645,55.29,55.63,30188.0
BF.B,2018-05-08 13:00:00+00:00,55.23,55.41,55.225,55.41,2566.0
BF.B,2018-05-08 14:00:00+00:00,55.42,55.69,55.35,55.52,7396.0
BF.B,2018-05-08 15:00:00+00:00,55.52,55.76,55.51,55.55,12266.0
BF.B,2018-05-08 16:00:00+00:00,55.56,55.7,55.5,55.63,6483.0
BF.B,2018-05-08 17:00:00+00:00,55.62,55.7,55.51,55.52,7583.0
BF.B,2018-05-08 18:00:00+00:00,55.52,55.56,55.23,55.31,13568.0
BF.B,2018-05-08 19:00:00+00:00,55.3,55.48,55.28,55.45,21403.0
BF.B,2018-05-09 13:00:00+00:00,55.58,55.92,55.37,55.92,6755.0
BF.B,2018-05-09 14:00:00+00:00,55.94,56.53,55.88,56.48,25915.0
