symbol,ts,open,high,low,close,volume
BIIB,2018-05-01 13:00:00+00:00,275.16,279.4,274.53,278.94,106954.0
BIIB,2018-05-01 14:00:00+00:00,278.95,279.09,273.84,273.84,115105.0
BIIB,2018-05-01 15:00:00+00:00,273.6,273.98,271.69,273.29,91825.0
BIIB,2018-05-01 16:00:00+00:00,273.35,275.56,273.24,274.29,56642.0
BIIB,2018-05-01 17:00:00+00:00,274.22,275.5,273.14,275.39,51314.0
BIIB,2018-05-01 18:00:00+00:00,275.39,275.55,273.58,273.69,53376.0
BIIB,2018-05-01 19:00:00+00:00,273.77,275.43,272.96,274.51,110594.0
BIIB,2018-05-01 20:00:00+00:00,274.61,274.75,273.78,274.75,109854.0
BIIB,2018-05-02 11:00:00+00:00,274.18,274.18,272.05,272.05,256.0
BIIB,2018-05-02 12:00:00+00:00,272.26,272.26,272.26,272.26,23.0
BIIB,2018-05-02 13:00:00+00:00,272.95,274.15,265.53,266.41,99410.0
BIIB,2018-05-02 14:00:00+00:00,266.3,268.12,264.0,268.12,119038.0
BIIB,2018-05-02 15:00:00+00:00,268.24,272.85,268.24,271.44,163952.0
BIIB,2018-05-02 16:00:00+00:00,271.14,273.76,270.71,271.83,108373.0
BIIB,2018-05-02 17:00:00+00:00,271.97,275.1,271.97,275.1,92451.0
BIIB,2018-05-02 18:00:00+00:00,275.11,276.97,274.9,276.09,114431.0
BIIB,2018-05-02 19:00:00+00:00,276.08,277.57,274.02,274.15,235316.0
BIIB,2018-05-02 20:00:00+00:00,274.15,274.25,272.43,274.24,237312.0
BIIB,2018-05-02 23:00:00+00:00,274.13,274.13,274.13,274.13,10.0
BIIB,2018-05-03 13:00:00+00:00,272.84,275.0,271.31,274.28,63296.0
BIIB,2018-05-03 14:00:00+00:00,274.35,274.44,267.37,268.0,93344.0
BIIB,2018-05-03 15:00:00+00:00,267.85,268.63,265.66,268.05,86234.0
BIIB,2018-05-03 16:00:00+00:00,268.07,269.65,267.03,269.6,51514.0
BIIB,2018-05-03 17:00:00+00:00,269.61,269.71,266.82,266.88,53956.0
BIIB,2018-05-03 18:00:00+00:00,266.89,267.49,264.54,265.98,65640.0
BIIB,2018-05-03 19:00:00+00:00,266.14,266.98,265.65,266.43,124730.0
BIIB,2018-05-03 20:00:00+00:00,266.44,268.47,266.37,268.47,112944.0
BIIB,2018-05-03 23:00:00+00:00,267.0,267.0,267.0,267.0,8.0
BIIB,2018-05-04 11:00:00+00:00,266.88,266.88,266.88,266.88,447.0
BIIB,2018-05-04 12:00:00+00:00,267.0,267.0,267.0,267.0,1.0
BIIB,2018-05-04 13:00:00+00:00,267.0,271.81,264.53,270.94,85280.0
BIIB,2018-05-04 14:00:00+00:00,270.93,271.35,268.33,269.49,113391.0
BIIB,2018-05-04 15:00:00+00:00,269.57,271.5,269.32,270.73,101672.0
BIIB,2018-05-04 16:00:00+00:00,270.75,270.77,268.91,269.67,56097.0
BIIB,2018-05-04 17:00:00+00:00,269.58,270.34,268.33,270.25,45817.0
BIIB,2018-05-04 18:00:00+00:00,270.31,272.59,270.07,271.18,66862.0
BIIB,2018-05-04 19:00:00+00:00,271.21,272.2,269.7,270.34,141288.0
BIIB,2018-05-04 20:00:00+00:00,270.34,270.34,270.21,270.21,96715.0
BIIB,2018-05-07 11:00:00+00:00,270.0,270.0,269.0,269.0,20.0
BIIB,2018-05-07 12:00:00+00:00,272.03,272.03,269.0,269.0,158.0
BIIB,2018-05-07 13:00:00+00:00,270.88,273.72,270.0,272.71,58344.0
