symbol,ts,open,high,low,close,volume
BK,2018-05-01 13:00:00+00:00,54.4,54.4,54.23,54.3,72952.0
BK,2018-05-01 14:00:00+00:00,54.29,54.42,54.2,54.24,122533.0
BK,2018-05-01 15:00:00+00:00,54.24,54.24,53.84,53.84,71113.0
BK,2018-05-01 16:00:00+00:00,53.85,53.92,53.61,53.67,95382.0
BK,2018-05-01 17:00:00+00:00,53.66,53.91,53.46,53.91,87305.0
BK,2018-05-01 18:00:00+00:00,53.9,54.12,53.83,54.0,75755.0
BK,2018-05-01 19:00:00+00:00,54.0,54.2,53.74,54.17,150296.0
BK,2018-05-02 13:00:00+00:00,54.02,54.09,53.57,53.61,36951.0
BK,2018-05-02 14:00:00+00:00,53.59,53.84,53.375,53.74,100265.0
BK,2018-05-02 15:00:00+00:00,53.73,53.97,53.71,53.9,37005.0
BK,2018-05-02 16:00:00+00:00,53.89,54.16,53.85,54.15,44293.0
BK,2018-05-02 17:00:00+00:00,54.15,54.35,54.15,54.33,56233.0
BK,2018-05-02 18:00:00+00:00,54.34,54.44,54.21,54.275,124399.0
BK,2018-05-02 19:00:00+00:00,54.28,54.43,53.82,53.98,159161.0
BK,2018-05-03 13:00:00+00:00,53.87,53.87,53.46,53.67,39359.0
BK,2018-05-03 14:00:00+00:00,53.67,53.68,52.67,52.75,82406.0
BK,2018-05-03 15:00:00+00:00,52.8,53.12,52.76,53.05,64622.0
BK,2018-05-03 16:00:00+00:00,53.05,53.81,53.05,53.8,65319.0
BK,2018-05-03 17:00:00+00:00,53.8,53.97,53.48,53.85,93552.0
BK,2018-05-03 18:00:00+00:00,53.87,54.22,53.8,53.92,135932.0
BK,2018-05-03 19:00:00+00:00,53.93,54.075,53.7,53.85,194786.0
BK,2018-05-04 13:00:00+00:00,53.37,53.8,53.21,53.78,21219.0
BK,2018-05-04 14:00:00+00:00,53.74,54.16,53.68,54.08,52443.0
BK,2018-05-04 15:00:00+00:00,54.09,54.51,54.06,54.51,49606.0
BK,2018-05-04 16:00:00+00:00,54.51,54.61,54.48,54.54,42467.0
BK,2018-05-04 17:00:00+00:00,54.55,54.71,54.54,54.71,33264.0
BK,2018-05-04 18:00:00+00:00,54.71,54.85,54.62,54.62,51425.0
BK,2018-05-04 19:00:00+00:00,54.62,54.72,54.42,54.5,103174.0
BK,2018-05-07 13:00:00+00:00,54.76,54.76,54.42,54.68,30274.0
BK,2018-05-07 14:00:00+00:00,54.68,54.92,54.45,54.92,73078.0
BK,2018-05-07 15:00:00+00:00,54.93,55.04,54.765,55.02,37590.0
BK,2018-05-07 16:00:00+00:00,55.02,55.33,55.01,55.3,40614.0
