symbol,ts,open,high,low,close,volume
BLDR,2018-05-01 13:00:00+00:00,18.2,18.45,18.2,18.41,36151.0
BLDR,2018-05-01 14:00:00+00:00,18.39,18.39,18.19,18.21,57014.0
BLDR,2018-05-01 15:00:00+00:00,18.21,18.5,18.19,18.43,33844.0
BLDR,2018-05-01 16:00:00+00:00,18.425,18.61,18.39,18.51,35175.0
BLDR,2018-05-01 17:00:00+00:00,18.51,18.53,18.41,18.42,28077.0
BLDR,2018-05-01 18:00:00+00:00,18.42,18.58,18.42,18.56,35748.0
BLDR,2018-05-01 19:00:00+00:00,18.57,18.82,18.57,18.81,108676.0
BLDR,2018-05-01 20:00:00+00:00,18.8,18.8,18.8,18.8,33883.0
BLDR,2018-05-02 13:00:00+00:00,18.85,18.85,18.63,18.72,23759.0
BLDR,2018-05-02 14:00:00+00:00,18.71,18.98,18.68,18.88,28693.0
BLDR,2018-05-02 15:00:00+00:00,18.89,18.89,18.76,18.79,21640.0
BLDR,2018-05-02 16:00:00+00:00,18.78,18.79,18.66,18.75,17643.0
BLDR,2018-05-02 17:00:00+00:00,18.75,18.76,18.65,18.67,21134.0
BLDR,2018-05-02 18:00:00+00:00,18.68,18.82,18.67,18.67,26615.0
BLDR,2018-05-02 19:00:00+00:00,18.67,18.7,18.58,18.59,80447.0
BLDR,2018-05-02 20:00:00+00:00,18.59,18.59,18.59,18.59,51609.0
BLDR,2018-05-03 13:00:00+00:00,18.54,18.68,18.48,18.63,14564.0
BLDR,2018-05-03 14:00:00+00:00,18.63,18.63,18.2,18.28,30196.0
BLDR,2018-05-03 15:00:00+00:00,18.3,18.53,18.23,18.53,30707.0
BLDR,2018-05-03 16:00:00+00:00,18.53,18.62,18.44,18.62,22681.0
BLDR,2018-05-03 17:00:00+00:00,18.62,18.67,18.56,18.61,20402.0
BLDR,2018-05-03 18:00:00+00:00,18.6,18.67,18.56,18.61,19778.0
BLDR,2018-05-03 19:00:00+00:00,18.61,18.64,18.52,18.575,46882.0
BLDR,2018-05-03 20:00:00+00:00,18.57,18.57,18.57,18.57,32822.0
BLDR,2018-05-04 12:00:00+00:00,18.62,18.62,18.62,18.62,824.0
BLDR,2018-05-04 13:00:00+00:00,18.62,18.62,18.38,18.44,26133.0
BLDR,2018-05-04 14:00:00+00:00,18.43,18.62,18.4,18.52,30704.0
BLDR,2018-05-04 15:00:00+00:00,18.52,18.69,18.44,18.59,31267.0
BLDR,2018-05-04 16:00:00+00:00,18.58,18.64,18.58,18.62,29950.0
BLDR,2018-05-04 17:00:00+00:00,18.62,18.64,18.59,18.63,25001.0
BLDR,2018-05-04 18:00:00+00:00,18.64,18.7,18.63,18.63,14319.0
BLDR,2018-05-04 19:00:00+00:00,18.63,18.7,18.54,18.58,73869.0
BLDR,2018-05-04 20:00:00+00:00,18.58,18.58,18.58,18.58,101659.0
BLDR,2018-05-07 13:00:00+00:00,18.72,18.76,18.6,18.67,18787.0
BLDR,2018-05-07 14:00:00+00:00,18.67,18.74,18.62,18.72,14139.0
BLDR,2018-05-07 15:00:00+00:00,18.72,18.81,18.72,18.74,16418.0
