symbol,ts,open,high,low,close,volume
BLK,2018-05-01 13:00:00+00:00,518.95,520.82,516.63,520.56,3039.0
BLK,2018-05-01 14:00:00+00:00,520.6,520.6,515.56,516.02,5385.0
BLK,2018-05-01 15:00:00+00:00,515.63,515.63,513.0,513.0,6513.0
BLK,2018-05-01 16:00:00+00:00,512.7,514.57,512.03,514.23,4237.0
BLK,2018-05-01 17:00:00+00:00,513.95,515.42,512.16,515.42,7283.0
BLK,2018-05-01 18:00:00+00:00,515.75,516.81,514.74,516.14,8222.0
BLK,2018-05-01 19:00:00+00:00,516.035,517.99,514.18,517.91,17016.0
BLK,2018-05-01 21:00:00+00:00,517.5,517.5,517.5,517.5,4.0
BLK,2018-05-02 12:00:00+00:00,517.0,517.0,517.0,517.0,6.0
BLK,2018-05-02 13:00:00+00:00,517.25,517.73,515.01,516.43,2490.0
BLK,2018-05-02 14:00:00+00:00,515.86,517.1,514.95,515.97,6521.0
BLK,2018-05-02 15:00:00+00:00,516.605,518.76,516.605,517.28,5279.0
BLK,2018-05-02 16:00:00+00:00,517.37,519.39,516.91,519.03,3168.0
BLK,2018-05-02 17:00:00+00:00,519.4,521.09,519.29,520.59,4158.0
BLK,2018-05-02 18:00:00+00:00,520.27,521.78,519.61,519.61,3867.0
BLK,2018-05-02 19:00:00+00:00,519.53,520.44,514.09,514.8,11005.0
BLK,2018-05-02 21:00:00+00:00,514.78,514.78,514.78,514.78,20.0
BLK,2018-05-03 12:00:00+00:00,519.8,519.8,519.8,519.8,50.0
BLK,2018-05-03 13:00:00+00:00,513.01,513.84,510.19,513.3,3923.0
BLK,2018-05-03 14:00:00+00:00,513.82,513.82,500.78,501.99,13033.0
BLK,2018-05-03 15:00:00+00:00,502.81,507.65,502.32,507.65,9338.0
BLK,2018-05-03 16:00:00+00:00,507.07,510.78,505.86,510.78,13507.0
BLK,2018-05-03 17:00:00+00:00,510.89,512.25,508.03,511.63,8315.0
BLK,2018-05-03 18:00:00+00:00,511.82,513.97,510.58,510.7,12264.0
BLK,2018-05-03 19:00:00+00:00,510.84,512.97,510.28,511.59,22072.0
BLK,2018-05-04 13:00:00+00:00,507.22,509.64,506.14,509.01,5552.0
BLK,2018-05-04 14:00:00+00:00,508.74,515.03,507.85,515.03,11427.0
BLK,2018-05-04 15:00:00+00:00,514.45,519.65,514.45,518.59,11206.0
BLK,2018-05-04 16:00:00+00:00,518.665,521.6,518.57,521.41,9723.0
BLK,2018-05-04 17:00:00+00:00,521.47,525.31,521.14,525.31,10883.0
BLK,2018-05-04 18:00:00+00:00,525.28,527.48,523.51,523.51,16404.0
BLK,2018-05-04 19:00:00+00:00,523.48,524.4,519.55,520.57,28231.0
BLK,2018-05-07 13:00:00+00:00,522.31,525.23,522.31,522.67,3360.0
BLK,2018-05-07 14:00:00+00:00,522.945,522.945,519.0,521.88,7917.0
BLK,2018-05-07 15:00:00+00:00,521.97,522.6,520.27,522.16,5797.0
BLK,2018-05-07 16:00:00+00:00,522.66,524.46,522.35,523.78,2575.0
BLK,2018-05-07 17:00:00+00:00,523.8,525.79,523.6,524.79,3902.0
BLK,2018-05-07 18:00:00+00:00,525.22,526.74,523.7,523.78,3954.0
BLK,2018-05-07 19:00:00+00:00,523.62,525.17,522.32,523.71,14074.0
BLK,2018-05-07 21:00:00+00:00,524.65,524.65,524.65,524.65,95.0
BLK,2018-05-08 11:00:00+00:00,521.0,521.0,521.0,521.0,40.0
BLK,2018-05-08 13:00:00+00:00,522.65,524.25,521.18,524.1,6973.0
BLK,2018-05-08 14:00:00+00:00,524.34,526.1,522.34,525.23,10137.0
BLK,2018-05-08 15:00:00+00:00,525.21,527.99,522.97,522.97,5128.0
BLK,2018-05-08 16:00:00+00:00,523.37,523.48,520.56,521.315,5638.0
BLK,2018-05-08 17:00:00+00:00,521.31,522.97,521.12,521.5,5092.0
BLK,2018-05-08 18:00:00+00:00,521.75,522.42,518.49,519.02,7420.0
BLK,2018-05-08 19:00:00+00:00,519.01,520.91,518.41,519.73,22059.0
BLK,2018-05-09 13:00:00+00:00,522.25,525.82,522.11,525.13,5041.0
BLK,2018-05-09 14:00:00+00:00,523.96,526.93,523.91,525.74,14457.0
BLK,2018-05-09 15:00:00+00:00,525.1,526.32,524.19,526.32,6214.0
BLK,2018-05-09 16:00:00+00:00,526.56,529.24,525.95,528.94,6187.0
BLK,2018-05-09 17:00:00+00:00,529.26,532.36,529.08,531.95,5670.0
BLK,2018-05-09 18:00:00+00:00,531.74,532.47,530.54,530.68,6512.0
BLK,2018-05-09 19:00:00+00:00,530.67,531.5,529.85,531.315,12710.0
BLK,2018-05-09 20:00:00+00:00,531.35,531.35,531.35,531.35,1.0
BLK,2018-05-09 22:00:00+00:00,535.0,535.0,535.0,535.0,12.0
BLK,2018-05-10 13:00:00+00:00,532.03,535.32,528.5,534.52,4312.0
BLK,2018-05-10 14:00:00+00:00,534.05,536.19,533.63,534.63,5710.0
BLK,2018-05-10 15:00:00+00:00,535.0,537.84,535.0,537.03,8862.0
BLK,2018-05-10 16:00:00+00:00,537.32,538.82,536.61,538.11,8817.0
BLK,2018-05-10 17:00:00+00:00,538.0,538.6,535.59,536.05,7809.0
BLK,2018-05-10 18:00:00+00:00,536.12,538.96,535.37,537.72,12744.0
BLK,2018-05-10 19:00:00+00:00,537.63,538.47,535.35,536.13,24012.0
BLK,2018-05-11 12:00:00+00:00,538.57,538.57,538.57,538.57,1.0
BLK,2018-05-11 13:00:00+00:00,537.76,539.49,536.05,539.49,4591.0
BLK,2018-05-11 14:00:00+00:00,539.53,542.43,539.07,541.42,8170.0
BLK,2018-05-11 15:00:00+00:00,541.44,541.49,538.61,539.37,5471.0
BLK,2018-05-11 16:00:00+00:00,539.36,540.36,538.58,539.89,5205.0
BLK,2018-05-11 17:00:00+00:00,539.82,541.35,539.44,539.98,6161.0
BLK,2018-05-11 18:00:00+00:00,539.85,540.75,538.27,540.73,6367.0
BLK,2018-05-11 19:00:00+00:00,540.57,541.01,539.23,540.28,14499.0
BLK,2018-05-14 13:00:00+00:00,542.0,544.395,540.8,540.8,6149.0
BLK,2018-05-14 14:00:00+00:00,540.855,542.47,539.27,540.17,11009.0
BLK,2018-05-14 15:00:00+00:00,539.65,539.93,538.43,538.49,9479.0
BLK,2018-05-14 16:00:00+00:00,538.76,539.89,537.02,537.02,7290.0
BLK,2018-05-14 17:00:00+00:00,536.97,538.82,536.09,538.74,7614.0
BLK,2018-05-14 18:00:00+00:00,538.665,541.17,537.87,541.17,10358.0
BLK,2018-05-14 19:00:00+00:00,541.17,542.04,539.12,539.98,21394.0
BLK,2018-05-15 13:00:00+00:00,536.1,538.01,536.1,536.84,6201.0
BLK,2018-05-15 14:00:00+00:00,536.6,536.98,533.06,535.3,17827.0
BLK,2018-05-15 15:00:00+00:00,535.5,537.22,535.18,535.28,13808.0
BLK,2018-05-15 16:00:00+00:00,535.51,537.17,533.01,535.89,12104.0
BLK,2018-05-15 17:00:00+00:00,535.87,536.13,532.19,532.5,9816.0
BLK,2018-05-15 18:00:00+00:00,532.12,535.16,532.12,532.71,12751.0
BLK,2018-05-15 19:00:00+00:00,533.13,533.28,530.77,533.24,18694.0
BLK,2018-05-15 20:00:00+00:00,532.84,533.21,532.84,533.21,19.0
BLK,2018-05-15 21:00:00+00:00,534.28,534.28,534.28,534.28,96.0
BLK,2018-05-16 13:00:00+00:00,534.29,535.45,530.63,534.69,7372.0
BLK,2018-05-16 14:00:00+00:00,534.91,537.07,533.86,535.48,13217.0
BLK,2018-05-16 15:00:00+00:00,535.33,535.33,532.88,535.29,6036.0
BLK,2018-05-16 16:00:00+00:00,535.23,537.43,534.7,535.32,6681.0
BLK,2018-05-16 17:00:00+00:00,535.83,536.47,535.36,536.06,3241.0
BLK,2018-05-16 18:00:00+00:00,535.99,536.9,534.5,535.17,6025.0
BLK,2018-05-16 19:00:00+00:00,534.87,534.87,532.94,533.66,14469.0
BLK,2018-05-16 20:00:00+00:00,533.7,533.7,533.7,533.7,100.0
BLK,2018-05-17 13:00:00+00:00,534.0,535.54,531.0,533.72,8647.0
BLK,2018-05-17 14:00:00+00:00,534.23,536.25,533.5,535.15,11027.0
BLK,2018-05-17 15:00:00+00:00,535.09,536.8,533.66,535.7,8439.0
BLK,2018-05-17 16:00:00+00:00,535.73,536.4,534.42,534.77,7161.0
BLK,2018-05-17 17:00:00+00:00,535.35,535.98,533.01,533.445,7269.0
BLK,2018-05-17 18:00:00+00:00,533.6,535.73,532.19,535.63,10394.0
BLK,2018-05-17 19:00:00+00:00,535.65,535.97,534.06,535.61,13079.0
