symbol,ts,open,high,low,close,volume
BMY,2018-05-01 13:00:00+00:00,52.1,52.24,51.655,51.72,78370.0
BMY,2018-05-01 14:00:00+00:00,51.73,51.89,51.62,51.84,137022.0
BMY,2018-05-01 15:00:00+00:00,51.84,52.34,51.72,51.97,140905.0
BMY,2018-05-01 16:00:00+00:00,51.98,52.41,51.96,52.4,165048.0
BMY,2018-05-01 17:00:00+00:00,52.39,52.47,52.13,52.42,163859.0
BMY,2018-05-01 18:00:00+00:00,52.43,52.73,52.37,52.59,180561.0
BMY,2018-05-01 19:00:00+00:00,52.59,52.73,52.44,52.67,368984.0
BMY,2018-05-01 20:00:00+00:00,52.68,52.68,52.68,52.68,100.0
BMY,2018-05-02 12:00:00+00:00,52.68,52.68,52.68,52.68,100.0
BMY,2018-05-02 13:00:00+00:00,52.4,52.4,51.97,52.07,52570.0
BMY,2018-05-02 14:00:00+00:00,52.05,52.16,51.59,51.84,133614.0
BMY,2018-05-02 15:00:00+00:00,51.83,52.12,51.75,51.94,76344.0
BMY,2018-05-02 16:00:00+00:00,51.93,52.02,51.65,51.69,104563.0
BMY,2018-05-02 17:00:00+00:00,51.68,51.79,51.625,51.76,71753.0
BMY,2018-05-02 18:00:00+00:00,51.755,51.875,51.44,51.46,131194.0
BMY,2018-05-02 19:00:00+00:00,51.46,51.555,51.28,51.49,260430.0
BMY,2018-05-03 12:00:00+00:00,51.46,51.46,51.26,51.32,355.0
BMY,2018-05-03 13:00:00+00:00,51.48,51.85,51.21,51.35,39686.0
BMY,2018-05-03 14:00:00+00:00,51.35,51.35,50.77,50.86,106028.0
BMY,2018-05-03 15:00:00+00:00,50.84,51.11,50.78,51.0,91934.0
BMY,2018-05-03 16:00:00+00:00,51.01,51.32,50.94,51.32,75696.0
BMY,2018-05-03 17:00:00+00:00,51.32,51.57,51.17,51.51,95450.0
BMY,2018-05-03 18:00:00+00:00,51.52,51.54,51.34,51.38,74812.0
BMY,2018-05-03 19:00:00+00:00,51.37,51.45,51.24,51.44,174221.0
BMY,2018-05-04 13:00:00+00:00,51.0,51.21,50.68,50.96,76721.0
BMY,2018-05-04 14:00:00+00:00,50.93,51.24,50.87,51.08,84131.0
BMY,2018-05-04 15:00:00+00:00,51.1,51.24,50.96,51.11,83558.0
BMY,2018-05-04 16:00:00+00:00,51.12,51.2,51.01,51.12,61036.0
BMY,2018-05-04 17:00:00+00:00,51.11,51.21,51.11,51.18,39076.0
BMY,2018-05-04 18:00:00+00:00,51.185,51.5,51.15,51.38,79203.0
BMY,2018-05-04 19:00:00+00:00,51.39,51.47,51.25,51.32,147332.0
BMY,2018-05-04 20:00:00+00:00,51.26,51.26,51.26,51.26,100.0
BMY,2018-05-07 13:00:00+00:00,51.29,51.68,51.21,51.27,65312.0
BMY,2018-05-07 14:00:00+00:00,51.27,51.27,51.08,51.16,86823.0
BMY,2018-05-07 15:00:00+00:00,51.16,51.25,51.04,51.22,70130.0
BMY,2018-05-07 16:00:00+00:00,51.21,51.22,51.1,51.21,52804.0
BMY,2018-05-07 17:00:00+00:00,51.2,51.31,51.17,51.24,57417.0
BMY,2018-05-07 18:00:00+00:00,51.24,51.53,51.24,51.49,101394.0
BMY,2018-05-07 19:00:00+00:00,51.49,51.56,51.24,51.33,246799.0
BMY,2018-05-08 13:00:00+00:00,51.2,51.2,50.86,50.94,57098.0
BMY,2018-05-08 14:00:00+00:00,50.95,50.98,50.58,50.6,124554.0
BMY,2018-05-08 15:00:00+00:00,50.6,50.68,50.4,50.47,158467.0
BMY,2018-05-08 16:00:00+00:00,50.47,50.53,50.36,50.385,134273.0
BMY,2018-05-08 17:00:00+00:00,50.39,50.48,50.24,50.26,95039.0
BMY,2018-05-08 18:00:00+00:00,50.25,50.3,49.97,50.2,196737.0
BMY,2018-05-08 19:00:00+00:00,50.19,50.56,50.15,50.53,220381.0
BMY,2018-05-08 20:00:00+00:00,50.51,50.51,50.45,50.45,650.0
BMY,2018-05-09 12:00:00+00:00,50.63,50.63,50.63,50.63,300.0
BMY,2018-05-09 13:00:00+00:00,50.52,50.74,50.37,50.56,66465.0
BMY,2018-05-09 14:00:00+00:00,50.55,50.58,50.4,50.43,85860.0
BMY,2018-05-09 15:00:00+00:00,50.43,50.71,50.37,50.62,129122.0
BMY,2018-05-09 16:00:00+00:00,50.62,50.98,50.62,50.95,144636.0
BMY,2018-05-09 17:00:00+00:00,50.97,51.19,50.96,51.12,124247.0
BMY,2018-05-09 18:00:00+00:00,51.12,51.14,50.91,51.1,134378.0
BMY,2018-05-09 19:00:00+00:00,51.09,51.21,50.97,51.08,329433.0
BMY,2018-05-09 20:00:00+00:00,51.01,51.01,51.01,51.01,100.0
BMY,2018-05-10 13:00:00+00:00,51.28,51.7,51.2,51.46,62890.0
BMY,2018-05-10 14:00:00+00:00,51.46,51.69,51.39,51.5,84370.0
BMY,2018-05-10 15:00:00+00:00,51.5,51.55,51.31,51.42,77446.0
BMY,2018-05-10 16:00:00+00:00,51.42,51.58,51.39,51.48,65791.0
BMY,2018-05-10 17:00:00+00:00,51.48,51.63,51.45,51.48,60881.0
BMY,2018-05-10 18:00:00+00:00,51.48,51.48,50.995,51.05,159181.0
BMY,2018-05-10 19:00:00+00:00,51.055,51.27,51.01,51.14,186831.0
BMY,2018-05-10 20:00:00+00:00,51.14,51.14,51.03,51.03,147.0
BMY,2018-05-10 23:00:00+00:00,51.2,51.2,51.2,51.2,50.0
BMY,2018-05-11 12:00:00+00:00,51.08,51.08,51.08,51.08,20.0
BMY,2018-05-11 13:00:00+00:00,51.2,52.1,51.15,51.78,141088.0
BMY,2018-05-11 14:00:00+00:00,51.78,51.86,51.41,51.61,115699.0
