symbol,ts,open,high,low,close,volume
BRO,2018-05-01 13:00:00+00:00,27.23,27.23,27.12,27.2,4827.0
BRO,2018-05-01 14:00:00+00:00,27.19,27.19,26.8,26.815,40590.0
BRO,2018-05-01 15:00:00+00:00,26.81,27.0,26.715,26.93,34570.0
BRO,2018-05-01 16:00:00+00:00,26.925,27.0,26.92,26.96,15201.0
BRO,2018-05-01 17:00:00+00:00,26.96,27.05,26.89,27.05,11972.0
BRO,2018-05-01 18:00:00+00:00,27.065,27.17,27.05,27.15,11218.0
BRO,2018-05-01 19:00:00+00:00,27.15,27.26,27.1,27.23,46389.0
BRO,2018-05-02 13:00:00+00:00,27.26,27.26,26.92,26.92,6994.0
BRO,2018-05-02 14:00:00+00:00,26.89,26.91,26.75,26.91,16361.0
BRO,2018-05-02 15:00:00+00:00,26.92,27.18,26.92,27.02,29475.0
BRO,2018-05-02 16:00:00+00:00,27.02,27.04,26.98,27.0,7519.0
BRO,2018-05-02 17:00:00+00:00,27.01,27.09,26.99,27.08,6352.0
BRO,2018-05-02 18:00:00+00:00,27.09,27.14,26.97,27.02,17907.0
BRO,2018-05-02 19:00:00+00:00,27.01,27.04,26.87,26.935,33475.0
BRO,2018-05-03 13:00:00+00:00,26.79,26.91,26.79,26.89,5343.0
BRO,2018-05-03 14:00:00+00:00,26.92,26.95,26.64,26.71,17029.0
BRO,2018-05-03 15:00:00+00:00,26.71,26.84,26.71,26.83,13472.0
BRO,2018-05-03 16:00:00+00:00,26.82,26.97,26.785,26.96,12380.0
BRO,2018-05-03 17:00:00+00:00,26.93,27.09,26.89,27.07,9035.0
BRO,2018-05-03 18:00:00+00:00,27.05,27.11,27.02,27.04,12173.0
BRO,2018-05-03 19:00:00+00:00,27.045,27.13,27.03,27.085,26896.0
BRO,2018-05-04 13:00:00+00:00,26.98,27.1,26.97,27.06,3899.0
BRO,2018-05-04 14:00:00+00:00,27.05,27.26,27.05,27.24,14053.0
BRO,2018-05-04 15:00:00+00:00,27.25,27.35,27.2,27.33,11170.0
BRO,2018-05-04 16:00:00+00:00,27.33,27.4,27.31,27.4,8561.0
BRO,2018-05-04 17:00:00+00:00,27.41,27.51,27.41,27.51,10286.0
BRO,2018-05-04 18:00:00+00:00,27.52,27.72,27.52,27.59,15664.0
BRO,2018-05-04 19:00:00+00:00,27.58,27.63,27.49,27.52,24220.0
BRO,2018-05-07 13:00:00+00:00,27.48,27.63,27.39,27.52,18824.0
BRO,2018-05-07 14:00:00+00:00,27.53,27.56,27.41,27.5,19133.0
BRO,2018-05-07 15:00:00+00:00,27.5,27.51,27.4,27.44,13784.0
BRO,2018-05-07 16:00:00+00:00,27.44,27.5,27.44,27.5,13556.0
BRO,2018-05-07 17:00:00+00:00,27.51,27.54,27.49,27.53,21522.0
BRO,2018-05-07 18:00:00+00:00,27.52,27.62,27.52,27.59,21299.0
BRO,2018-05-07 19:00:00+00:00,27.58,27.63,27.51,27.535,42539.0
BRO,2018-05-08 13:00:00+00:00,27.52,27.55,27.3,27.33,8281.0
BRO,2018-05-08 14:00:00+00:00,27.33,27.34,27.23,27.3,13967.0
BRO,2018-05-08 15:00:00+00:00,27.3,27.42,27.3,27.31,12812.0
BRO,2018-05-08 16:00:00+00:00,27.31,27.38,27.31,27.35,8789.0
BRO,2018-05-08 17:00:00+00:00,27.35,27.46,27.35,27.42,7035.0
BRO,2018-05-08 18:00:00+00:00,27.42,27.5,27.39,27.42,21487.0
BRO,2018-05-08 19:00:00+00:00,27.41,27.45,27.39,27.4,37167.0
BRO,2018-05-09 13:00:00+00:00,27.51,27.54,27.31,27.31,2157.0
BRO,2018-05-09 14:00:00+00:00,27.33,27.35,27.24,27.24,6702.0
BRO,2018-05-09 15:00:00+00:00,27.24,27.33,27.21,27.31,6463.0
BRO,2018-05-09 16:00:00+00:00,27.315,27.42,27.3,27.4,8192.0
BRO,2018-05-09 17:00:00+00:00,27.4,27.5,27.39,27.45,6859.0
BRO,2018-05-09 18:00:00+00:00,27.46,27.49,27.43,27.46,8263.0
BRO,2018-05-09 19:00:00+00:00,27.46,27.53,27.38,27.43,37719.0
BRO,2018-05-10 13:00:00+00:00,27.36,27.52,27.36,27.5,2346.0
BRO,2018-05-10 14:00:00+00:00,27.5,27.51,27.44,27.46,9803.0
BRO,2018-05-10 15:00:00+00:00,27.49,27.56,27.49,27.52,8110.0
BRO,2018-05-10 16:00:00+00:00,27.52,27.58,27.48,27.57,8320.0
BRO,2018-05-10 17:00:00+00:00,27.57,27.58,27.43,27.46,18932.0
BRO,2018-05-10 18:00:00+00:00,27.46,27.51,27.4,27.44,18028.0
BRO,2018-05-10 19:00:00+00:00,27.45,27.51,27.43,27.5,27658.0
BRO,2018-05-11 13:00:00+00:00,27.6,27.63,27.55,27.61,4053.0
BRO,2018-05-11 14:00:00+00:00,27.615,27.64,27.56,27.59,11978.0
BRO,2018-05-11 15:00:00+00:00,27.6,27.6,27.49,27.49,6898.0
BRO,2018-05-11 16:00:00+00:00,27.48,27.53,27.45,27.49,9390.0
BRO,2018-05-11 17:00:00+00:00,27.5,27.51,27.43,27.46,13705.0
BRO,2018-05-11 18:00:00+00:00,27.47,27.47,27.36,27.43,14065.0
BRO,2018-05-11 19:00:00+00:00,27.465,27.505,27.435,27.46,21618.0
BRO,2018-05-14 13:00:00+00:00,27.51,27.52,27.44,27.52,3746.0
BRO,2018-05-14 14:00:00+00:00,27.53,27.57,27.43,27.43,5640.0
BRO,2018-05-14 15:00:00+00:00,27.43,27.45,27.34,27.36,13073.0
BRO,2018-05-14 16:00:00+00:00,27.36,27.415,27.3,27.4,19914.0
