symbol,ts,open,high,low,close,volume
BSX,2018-05-01 13:00:00+00:00,28.73,29.19,28.71,29.15,71747.0
BSX,2018-05-01 14:00:00+00:00,29.14,29.34,29.07,29.29,172396.0
BSX,2018-05-01 15:00:00+00:00,29.29,29.345,29.12,29.31,161850.0
BSX,2018-05-01 16:00:00+00:00,29.31,29.36,29.27,29.32,150639.0
BSX,2018-05-01 17:00:00+00:00,29.32,29.36,29.24,29.34,107729.0
BSX,2018-05-01 18:00:00+00:00,29.34,29.455,29.34,29.4,95875.0
BSX,2018-05-01 19:00:00+00:00,29.405,29.47,29.325,29.46,190557.0
BSX,2018-05-02 13:00:00+00:00,29.35,29.42,29.26,29.34,60981.0
BSX,2018-05-02 14:00:00+00:00,29.32,29.35,29.14,29.3,53256.0
BSX,2018-05-02 15:00:00+00:00,29.29,29.43,29.17,29.23,74563.0
BSX,2018-05-02 16:00:00+00:00,29.22,29.355,29.19,29.355,68744.0
BSX,2018-05-02 17:00:00+00:00,29.36,29.475,29.35,29.42,49020.0
BSX,2018-05-02 18:00:00+00:00,29.42,29.585,29.41,29.43,71331.0
BSX,2018-05-02 19:00:00+00:00,29.42,29.44,29.215,29.265,162312.0
BSX,2018-05-03 13:00:00+00:00,29.13,29.25,29.07,29.2,53389.0
BSX,2018-05-03 14:00:00+00:00,29.2,29.2,28.87,28.95,149690.0
BSX,2018-05-03 15:00:00+00:00,28.94,29.3,28.93,29.25,122847.0
BSX,2018-05-03 16:00:00+00:00,29.25,29.35,29.13,29.32,94224.0
BSX,2018-05-03 17:00:00+00:00,29.32,29.6,29.23,29.4,99608.0
BSX,2018-05-03 18:00:00+00:00,29.39,29.45,29.29,29.32,84418.0
BSX,2018-05-03 19:00:00+00:00,29.33,29.43,29.27,29.43,179941.0
BSX,2018-05-04 13:00:00+00:00,29.31,29.33,29.19,29.25,44715.0
BSX,2018-05-04 14:00:00+00:00,29.25,29.4,29.18,29.37,39894.0
BSX,2018-05-04 15:00:00+00:00,29.37,29.52,29.36,29.43,45062.0
BSX,2018-05-04 16:00:00+00:00,29.42,29.56,29.41,29.53,52104.0
BSX,2018-05-04 17:00:00+00:00,29.54,29.58,29.505,29.58,43844.0
BSX,2018-05-04 18:00:00+00:00,29.575,29.72,29.57,29.68,53536.0
BSX,2018-05-04 19:00:00+00:00,29.675,29.705,29.525,29.55,102069.0
BSX,2018-05-07 13:00:00+00:00,29.6,29.91,29.6,29.87,39626.0
BSX,2018-05-07 14:00:00+00:00,29.88,29.89,29.75,29.84,51136.0
BSX,2018-05-07 15:00:00+00:00,29.84,29.965,29.8,29.965,48581.0
BSX,2018-05-07 16:00:00+00:00,29.965,30.06,29.925,29.935,106345.0
BSX,2018-05-07 17:00:00+00:00,29.93,30.045,29.93,30.045,51151.0
BSX,2018-05-07 18:00:00+00:00,30.045,30.15,29.95,29.955,52800.0
