symbol,ts,open,high,low,close,volume
BXP,2018-05-01 13:00:00+00:00,121.54,121.97,121.27,121.71,4027.0
BXP,2018-05-01 14:00:00+00:00,121.57,121.885,120.98,120.98,11183.0
BXP,2018-05-01 15:00:00+00:00,120.95,121.61,120.91,121.34,15463.0
BXP,2018-05-01 16:00:00+00:00,121.38,121.47,121.22,121.39,8305.0
BXP,2018-05-01 17:00:00+00:00,121.34,122.28,121.34,122.28,12370.0
BXP,2018-05-01 18:00:00+00:00,122.21,122.87,122.13,122.87,13673.0
BXP,2018-05-01 19:00:00+00:00,122.88,122.99,122.315,122.65,48315.0
BXP,2018-05-02 13:00:00+00:00,122.08,122.08,119.02,119.02,25680.0
BXP,2018-05-02 14:00:00+00:00,118.92,120.07,118.68,119.93,38136.0
BXP,2018-05-02 15:00:00+00:00,120.0,120.88,119.83,119.93,18540.0
BXP,2018-05-02 16:00:00+00:00,119.95,120.3,119.77,120.12,10236.0
BXP,2018-05-02 17:00:00+00:00,120.14,120.79,119.98,120.79,7903.0
BXP,2018-05-02 18:00:00+00:00,120.69,121.23,120.64,120.99,14006.0
BXP,2018-05-02 19:00:00+00:00,120.93,121.22,120.61,120.81,34930.0
BXP,2018-05-03 13:00:00+00:00,120.69,121.24,120.28,121.11,4047.0
BXP,2018-05-03 14:00:00+00:00,121.24,121.89,121.04,121.84,25390.0
BXP,2018-05-03 15:00:00+00:00,121.825,122.29,121.7,122.17,15782.0
BXP,2018-05-03 16:00:00+00:00,122.17,122.17,121.59,122.11,12064.0
BXP,2018-05-03 17:00:00+00:00,122.05,122.33,121.71,122.1,10392.0
BXP,2018-05-03 18:00:00+00:00,122.09,122.21,121.68,121.85,12793.0
BXP,2018-05-03 19:00:00+00:00,121.85,122.03,121.69,121.81,26834.0
BXP,2018-05-04 13:00:00+00:00,121.99,122.62,121.83,122.29,4322.0
BXP,2018-05-04 14:00:00+00:00,122.22,122.68,122.16,122.61,8448.0
BXP,2018-05-04 15:00:00+00:00,122.61,123.41,122.41,123.04,12874.0
BXP,2018-05-04 16:00:00+00:00,123.01,123.62,122.99,123.44,9870.0
BXP,2018-05-04 17:00:00+00:00,123.445,124.14,123.38,123.78,17043.0
BXP,2018-05-04 18:00:00+00:00,123.77,124.49,123.73,124.11,15096.0
BXP,2018-05-04 19:00:00+00:00,124.16,124.37,123.94,124.05,24957.0
BXP,2018-05-07 13:00:00+00:00,124.59,124.59,124.12,124.23,3603.0
BXP,2018-05-07 14:00:00+00:00,124.31,124.61,124.09,124.37,14779.0
BXP,2018-05-07 15:00:00+00:00,124.27,124.78,124.27,124.78,6171.0
BXP,2018-05-07 16:00:00+00:00,124.88,124.88,124.63,124.75,4017.0
BXP,2018-05-07 17:00:00+00:00,124.73,124.73,124.51,124.71,3952.0
BXP,2018-05-07 18:00:00+00:00,124.69,124.69,124.17,124.18,9659.0
BXP,2018-05-07 19:00:00+00:00,124.23,124.29,123.77,124.15,33478.0
BXP,2018-05-08 13:00:00+00:00,123.72,123.72,122.54,122.73,18730.0
BXP,2018-05-08 14:00:00+00:00,122.81,123.41,122.79,122.87,23158.0
BXP,2018-05-08 15:00:00+00:00,122.87,123.205,122.58,122.58,13662.0
BXP,2018-05-08 16:00:00+00:00,122.56,122.63,122.12,122.21,16881.0
BXP,2018-05-08 17:00:00+00:00,122.2,122.78,122.13,122.55,14289.0
BXP,2018-05-08 18:00:00+00:00,122.57,122.655,121.89,122.13,22609.0
BXP,2018-05-08 19:00:00+00:00,122.11,122.86,122.02,122.77,54629.0
BXP,2018-05-09 13:00:00+00:00,122.38,123.03,122.38,123.03,3890.0
BXP,2018-05-09 14:00:00+00:00,123.15,123.98,123.12,123.83,18546.0
BXP,2018-05-09 15:00:00+00:00,123.79,123.84,123.27,123.65,9687.0
BXP,2018-05-09 16:00:00+00:00,123.64,124.05,123.55,124.04,7585.0
BXP,2018-05-09 17:00:00+00:00,124.02,124.4,123.92,124.28,15005.0
BXP,2018-05-09 18:00:00+00:00,124.23,124.38,124.05,124.26,13081.0
BXP,2018-05-09 19:00:00+00:00,124.21,124.27,123.79,124.25,36872.0
BXP,2018-05-10 13:00:00+00:00,124.73,124.895,123.98,124.64,4194.0
BXP,2018-05-10 14:00:00+00:00,124.6,124.63,123.94,124.32,6867.0
BXP,2018-05-10 15:00:00+00:00,124.295,125.09,124.295,125.03,9454.0
BXP,2018-05-10 16:00:00+00:00,125.0,125.13,124.63,124.74,6854.0
BXP,2018-05-10 17:00:00+00:00,124.77,124.81,124.47,124.73,5719.0
BXP,2018-05-10 18:00:00+00:00,124.67,125.01,124.67,124.9,9723.0
BXP,2018-05-10 19:00:00+00:00,124.95,125.02,124.58,124.89,40128.0
BXP,2018-05-11 13:00:00+00:00,124.91,125.17,124.74,124.9,2636.0
BXP,2018-05-11 14:00:00+00:00,124.73,124.87,124.34,124.84,10691.0
BXP,2018-05-11 15:00:00+00:00,124.85,124.89,124.4,124.5,7052.0
BXP,2018-05-11 16:00:00+00:00,124.44,124.61,124.43,124.47,7190.0
BXP,2018-05-11 17:00:00+00:00,124.32,124.39,124.03,124.19,6448.0
BXP,2018-05-11 18:00:00+00:00,124.17,124.44,124.09,124.34,8346.0
BXP,2018-05-11 19:00:00+00:00,124.36,124.39,124.15,124.37,21983.0
BXP,2018-05-14 13:00:00+00:00,124.35,124.35,123.82,124.3,3380.0
BXP,2018-05-14 14:00:00+00:00,124.13,124.23,123.53,123.53,7979.0
BXP,2018-05-14 15:00:00+00:00,123.53,123.76,123.37,123.48,10071.0
BXP,2018-05-14 16:00:00+00:00,123.46,123.51,122.33,122.58,15369.0
BXP,2018-05-14 17:00:00+00:00,122.53,122.69,122.3,122.42,7458.0
BXP,2018-05-14 18:00:00+00:00,122.37,122.59,122.26,122.58,7142.0
BXP,2018-05-14 19:00:00+00:00,122.64,122.66,122.29,122.48,28067.0
BXP,2018-05-15 13:00:00+00:00,122.03,122.03,120.86,120.86,6856.0
BXP,2018-05-15 14:00:00+00:00,120.85,121.1,120.29,120.72,19011.0
BXP,2018-05-15 15:00:00+00:00,120.73,120.73,119.88,119.88,15616.0
BXP,2018-05-15 16:00:00+00:00,119.88,120.25,119.8,119.87,14465.0
BXP,2018-05-15 17:00:00+00:00,119.92,119.96,119.46,119.47,32641.0
BXP,2018-05-15 18:00:00+00:00,119.5,119.545,118.98,119.11,31355.0
BXP,2018-05-15 19:00:00+00:00,119.17,119.17,118.71,118.98,61320.0
BXP,2018-05-16 13:00:00+00:00,119.46,119.765,118.82,118.83,6174.0
BXP,2018-05-16 14:00:00+00:00,118.69,118.69,117.31,117.41,38223.0
BXP,2018-05-16 15:00:00+00:00,117.4,117.6,117.08,117.28,46031.0
BXP,2018-05-16 16:00:00+00:00,117.29,117.42,117.03,117.03,19904.0
BXP,2018-05-16 17:00:00+00:00,117.01,117.04,116.74,116.74,19908.0
