symbol,ts,open,high,low,close,volume
CBRE,2018-05-01 13:00:00+00:00,45.31,45.54,45.28,45.31,15398.0
CBRE,2018-05-01 14:00:00+00:00,45.35,45.4,45.21,45.32,25299.0
CBRE,2018-05-01 15:00:00+00:00,45.31,45.38,45.18,45.3,34077.0
CBRE,2018-05-01 16:00:00+00:00,45.31,45.34,45.24,45.3,20274.0
CBRE,2018-05-01 17:00:00+00:00,45.29,45.48,45.24,45.48,25321.0
CBRE,2018-05-01 18:00:00+00:00,45.48,45.66,45.44,45.61,33785.0
CBRE,2018-05-01 19:00:00+00:00,45.62,45.81,45.48,45.78,88904.0
CBRE,2018-05-02 12:00:00+00:00,46.5,46.5,46.5,46.5,100.0
CBRE,2018-05-02 13:00:00+00:00,46.5,46.51,45.1,45.82,29546.0
CBRE,2018-05-02 14:00:00+00:00,45.79,46.03,45.73,45.84,55071.0
CBRE,2018-05-02 15:00:00+00:00,45.85,45.95,45.64,45.75,57236.0
CBRE,2018-05-02 16:00:00+00:00,45.73,45.81,45.65,45.75,36045.0
CBRE,2018-05-02 17:00:00+00:00,45.73,46.14,45.73,46.14,49908.0
CBRE,2018-05-02 18:00:00+00:00,46.13,46.34,46.13,46.17,71238.0
CBRE,2018-05-02 19:00:00+00:00,46.18,46.35,46.07,46.28,187474.0
CBRE,2018-05-03 13:00:00+00:00,46.03,46.45,45.82,46.1,25204.0
CBRE,2018-05-03 14:00:00+00:00,46.09,46.09,45.16,45.24,35456.0
CBRE,2018-05-03 15:00:00+00:00,45.26,45.46,45.21,45.39,33154.0
CBRE,2018-05-03 16:00:00+00:00,45.39,45.84,45.36,45.84,26982.0
CBRE,2018-05-03 17:00:00+00:00,45.85,45.96,45.66,45.92,35149.0
CBRE,2018-05-03 18:00:00+00:00,45.92,45.99,45.79,45.82,39781.0
CBRE,2018-05-03 19:00:00+00:00,45.83,46.0,45.79,45.98,184155.0
CBRE,2018-05-04 13:00:00+00:00,45.79,46.38,45.7,46.37,11936.0
CBRE,2018-05-04 14:00:00+00:00,46.35,46.67,46.26,46.59,22873.0
CBRE,2018-05-04 15:00:00+00:00,46.59,46.78,46.59,46.77,19887.0
CBRE,2018-05-04 16:00:00+00:00,46.77,46.77,46.59,46.64,15906.0
CBRE,2018-05-04 17:00:00+00:00,46.65,46.82,46.65,46.81,21111.0
CBRE,2018-05-04 18:00:00+00:00,46.81,47.02,46.8,47.0,30572.0
CBRE,2018-05-04 19:00:00+00:00,46.99,47.02,46.67,46.74,50067.0
CBRE,2018-05-07 13:00:00+00:00,46.95,47.25,46.71,46.87,46885.0
CBRE,2018-05-07 14:00:00+00:00,46.89,46.9,46.35,46.5,28351.0
CBRE,2018-05-07 15:00:00+00:00,46.47,46.47,46.12,46.2,20733.0
CBRE,2018-05-07 16:00:00+00:00,46.21,46.35,46.21,46.29,15794.0
CBRE,2018-05-07 17:00:00+00:00,46.3,46.47,46.27,46.37,20495.0
CBRE,2018-05-07 18:00:00+00:00,46.38,46.42,46.225,46.26,27371.0
CBRE,2018-05-07 19:00:00+00:00,46.27,46.36,46.11,46.3,76552.0
CBRE,2018-05-08 13:00:00+00:00,46.31,46.67,46.19,46.51,40686.0
CBRE,2018-05-08 14:00:00+00:00,46.52,46.61,46.33,46.39,46985.0
CBRE,2018-05-08 15:00:00+00:00,46.38,46.62,46.25,46.31,31680.0
CBRE,2018-05-08 16:00:00+00:00,46.29,46.38,46.18,46.24,21559.0
CBRE,2018-05-08 17:00:00+00:00,46.23,46.31,46.16,46.19,19445.0
CBRE,2018-05-08 18:00:00+00:00,46.2,46.27,46.06,46.16,33676.0
CBRE,2018-05-08 19:00:00+00:00,46.17,46.48,46.13,46.47,89838.0
CBRE,2018-05-09 13:00:00+00:00,46.47,46.57,46.04,46.57,11884.0
CBRE,2018-05-09 14:00:00+00:00,46.555,46.555,46.27,46.48,29117.0
CBRE,2018-05-09 15:00:00+00:00,46.5,46.51,46.29,46.3,29089.0
CBRE,2018-05-09 16:00:00+00:00,46.31,46.52,46.3,46.5,30442.0
CBRE,2018-05-09 17:00:00+00:00,46.5,46.83,46.46,46.72,36020.0
CBRE,2018-05-09 18:00:00+00:00,46.73,46.73,46.49,46.55,35283.0
CBRE,2018-05-09 19:00:00+00:00,46.55,46.72,46.49,46.7,73172.0
CBRE,2018-05-10 13:00:00+00:00,47.06,47.35,46.99,47.22,10330.0
CBRE,2018-05-10 14:00:00+00:00,47.19,47.535,47.12,47.48,20186.0
CBRE,2018-05-10 15:00:00+00:00,47.46,47.68,47.4,47.4,26594.0
CBRE,2018-05-10 16:00:00+00:00,47.39,47.69,47.34,47.58,27486.0
CBRE,2018-05-10 17:00:00+00:00,47.58,47.64,47.22,47.3,21531.0
CBRE,2018-05-10 18:00:00+00:00,47.31,47.41,47.22,47.26,22544.0
CBRE,2018-05-10 19:00:00+00:00,47.26,47.29,47.13,47.25,63249.0
CBRE,2018-05-11 13:00:00+00:00,47.38,47.76,47.28,47.56,20475.0
CBRE,2018-05-11 14:00:00+00:00,47.48,47.51,47.055,47.12,22828.0
CBRE,2018-05-11 15:00:00+00:00,47.16,47.19,46.6,46.63,28314.0
CBRE,2018-05-11 16:00:00+00:00,46.625,46.84,46.6,46.675,39681.0
CBRE,2018-05-11 17:00:00+00:00,46.675,47.0,46.67,46.97,26155.0
CBRE,2018-05-11 18:00:00+00:00,46.98,47.01,46.84,46.92,30169.0
CBRE,2018-05-11 19:00:00+00:00,46.92,47.045,46.92,47.03,59410.0
CBRE,2018-05-14 13:00:00+00:00,47.2,47.23,46.86,47.02,13791.0
CBRE,2018-05-14 14:00:00+00:00,47.01,47.01,46.82,46.84,21460.0
CBRE,2018-05-14 15:00:00+00:00,46.83,47.1,46.81,47.03,25351.0
CBRE,2018-05-14 16:00:00+00:00,47.04,47.13,46.9,46.93,20100.0
CBRE,2018-05-14 17:00:00+00:00,46.92,46.99,46.8,46.94,19349.0
CBRE,2018-05-14 18:00:00+00:00,46.94,47.03,46.85,47.0,23994.0
CBRE,2018-05-14 19:00:00+00:00,47.0,47.06,46.87,46.94,60617.0
CBRE,2018-05-15 13:00:00+00:00,46.71,47.16,46.7,46.995,16662.0
CBRE,2018-05-15 14:00:00+00:00,46.97,47.18,46.88,47.13,38769.0
CBRE,2018-05-15 15:00:00+00:00,47.12,47.14,46.85,46.85,27495.0
CBRE,2018-05-15 16:00:00+00:00,46.83,47.08,46.83,47.05,19470.0
CBRE,2018-05-15 17:00:00+00:00,47.04,47.04,46.78,46.81,22145.0
CBRE,2018-05-15 18:00:00+00:00,46.79,47.035,46.79,46.91,31464.0
CBRE,2018-05-15 19:00:00+00:00,46.93,46.93,46.76,46.92,74091.0
CBRE,2018-05-16 13:00:00+00:00,46.85,47.13,46.79,47.07,7038.0
CBRE,2018-05-16 14:00:00+00:00,47.06,47.42,47.03,47.35,16088.0
CBRE,2018-05-16 15:00:00+00:00,47.35,47.47,47.29,47.45,20627.0
CBRE,2018-05-16 16:00:00+00:00,47.47,47.62,47.44,47.53,21426.0
CBRE,2018-05-16 17:00:00+00:00,47.53,47.66,47.53,47.63,20793.0
CBRE,2018-05-16 18:00:00+00:00,47.635,47.64,47.53,47.63,17108.0
CBRE,2018-05-16 19:00:00+00:00,47.61,47.61,47.36,47.44,39811.0
CBRE,2018-05-17 13:00:00+00:00,47.37,47.37,46.85,47.27,6932.0
CBRE,2018-05-17 14:00:00+00:00,47.26,47.42,47.19,47.19,15769.0
CBRE,2018-05-17 15:00:00+00:00,47.2,47.31,47.07,47.14,20401.0
CBRE,2018-05-17 16:00:00+00:00,47.14,47.43,47.13,47.37,12834.0
CBRE,2018-05-17 17:00:00+00:00,47.35,47.41,47.17,47.18,14904.0
CBRE,2018-05-17 18:00:00+00:00,47.18,47.42,47.15,47.39,16505.0
CBRE,2018-05-17 19:00:00+00:00,47.4,47.45,47.31,47.43,50305.0
CBRE,2018-05-18 13:00:00+00:00,47.5,47.64,47.48,47.52,12970.0
CBRE,2018-05-18 14:00:00+00:00,47.5,47.585,47.41,47.57,31284.0
CBRE,2018-05-18 15:00:00+00:00,47.56,47.68,47.5,47.54,21786.0
CBRE,2018-05-18 16:00:00+00:00,47.53,47.53,47.4,47.45,21244.0
CBRE,2018-05-18 17:00:00+00:00,47.46,47.525,47.37,47.42,15308.0
CBRE,2018-05-18 18:00:00+00:00,47.42,47.435,47.33,47.38,19860.0
CBRE,2018-05-18 19:00:00+00:00,47.39,47.44,47.27,47.42,31119.0
CBRE,2018-05-21 13:00:00+00:00,47.53,47.83,47.49,47.82,12511.0
CBRE,2018-05-21 14:00:00+00:00,47.83,47.84,47.76,47.76,27774.0
CBRE,2018-05-21 15:00:00+00:00,47.76,47.88,47.73,47.88,21324.0
CBRE,2018-05-21 16:00:00+00:00,47.89,47.98,47.84,47.92,18954.0
CBRE,2018-05-21 17:00:00+00:00,47.93,47.95,47.85,47.86,21539.0
CBRE,2018-05-21 18:00:00+00:00,47.86,47.86,47.685,47.7,21661.0
CBRE,2018-05-21 19:00:00+00:00,47.71,47.73,47.62,47.72,50714.0
CBRE,2018-05-22 13:00:00+00:00,47.83,47.84,47.5,47.55,8838.0
CBRE,2018-05-22 14:00:00+00:00,47.53,47.65,47.45,47.49,21325.0
CBRE,2018-05-22 15:00:00+00:00,47.49,47.61,47.48,47.5,17066.0
CBRE,2018-05-22 16:00:00+00:00,47.49,47.61,47.48,47.6,14270.0
CBRE,2018-05-22 17:00:00+00:00,47.59,47.64,47.57,47.61,12043.0
CBRE,2018-05-22 18:00:00+00:00,47.61,47.68,47.55,47.55,14987.0
