symbol,ts,open,high,low,close,volume
CCL,2018-05-01 11:00:00+00:00,63.68,63.72,63.5,63.59,5456.0
CCL,2018-05-01 13:00:00+00:00,63.22,63.51,63.18,63.49,51608.0
CCL,2018-05-01 14:00:00+00:00,63.46,63.59,63.1,63.15,59144.0
CCL,2018-05-01 15:00:00+00:00,63.15,63.51,62.92,63.23,87652.0
CCL,2018-05-01 16:00:00+00:00,63.23,63.43,63.225,63.27,56511.0
CCL,2018-05-01 17:00:00+00:00,63.27,63.765,63.11,63.765,60156.0
CCL,2018-05-01 18:00:00+00:00,63.77,64.13,63.53,63.82,86832.0
CCL,2018-05-01 19:00:00+00:00,63.82,64.14,63.78,64.1,106622.0
CCL,2018-05-02 12:00:00+00:00,64.59,64.72,64.59,64.66,350.0
CCL,2018-05-02 13:00:00+00:00,64.64,64.64,63.75,63.79,65191.0
CCL,2018-05-02 14:00:00+00:00,63.78,64.09,63.63,63.83,104681.0
CCL,2018-05-02 15:00:00+00:00,63.83,64.0,63.43,63.5,42047.0
CCL,2018-05-02 16:00:00+00:00,63.5,63.51,63.03,63.08,47032.0
CCL,2018-05-02 17:00:00+00:00,63.09,63.32,63.08,63.14,33861.0
CCL,2018-05-02 18:00:00+00:00,63.13,63.34,63.02,63.02,44930.0
CCL,2018-05-02 19:00:00+00:00,63.03,63.11,62.7,62.84,102400.0
CCL,2018-05-03 08:00:00+00:00,63.66,63.67,63.65,63.65,400.0
CCL,2018-05-03 09:00:00+00:00,63.48,63.48,63.47,63.47,464.0
CCL,2018-05-03 11:00:00+00:00,63.35,63.36,63.33,63.34,648.0
CCL,2018-05-03 13:00:00+00:00,63.06,63.22,62.66,63.07,44478.0
CCL,2018-05-03 14:00:00+00:00,63.05,63.06,62.28,62.34,80611.0
CCL,2018-05-03 15:00:00+00:00,62.34,62.69,62.33,62.62,82201.0
CCL,2018-05-03 16:00:00+00:00,62.66,63.135,62.57,63.12,45247.0
CCL,2018-05-03 17:00:00+00:00,63.13,63.21,62.88,63.17,47547.0
CCL,2018-05-03 18:00:00+00:00,63.16,63.33,63.07,63.13,61859.0
CCL,2018-05-03 19:00:00+00:00,63.13,63.31,63.03,63.3,96698.0
CCL,2018-05-04 12:00:00+00:00,63.24,63.24,62.99,62.99,200.0
CCL,2018-05-04 13:00:00+00:00,63.01,63.04,62.62,62.77,28425.0
CCL,2018-05-04 14:00:00+00:00,62.73,63.42,62.73,63.28,49890.0
CCL,2018-05-04 15:00:00+00:00,63.24,63.53,63.18,63.34,39182.0
CCL,2018-05-04 16:00:00+00:00,63.34,63.46,63.19,63.37,31758.0
CCL,2018-05-04 17:00:00+00:00,63.38,63.61,63.33,63.56,28566.0
CCL,2018-05-04 18:00:00+00:00,63.56,63.8,63.51,63.66,32294.0
CCL,2018-05-04 19:00:00+00:00,63.66,63.79,63.49,63.56,75406.0
CCL,2018-05-07 13:00:00+00:00,63.5,63.5,63.01,63.06,32048.0
CCL,2018-05-07 14:00:00+00:00,63.06,63.27,62.67,63.03,62908.0
CCL,2018-05-07 15:00:00+00:00,63.03,63.08,62.82,62.9,40457.0
CCL,2018-05-07 16:00:00+00:00,62.91,62.98,62.73,62.75,34076.0
CCL,2018-05-07 17:00:00+00:00,62.74,62.77,62.59,62.74,43941.0
CCL,2018-05-07 18:00:00+00:00,62.74,62.87,62.68,62.69,50050.0
CCL,2018-05-07 19:00:00+00:00,62.7,62.94,62.62,62.92,109995.0
CCL,2018-05-08 08:00:00+00:00,63.61,63.61,63.51,63.51,500.0
CCL,2018-05-08 10:00:00+00:00,63.48,63.5,63.41,63.45,586.0
CCL,2018-05-08 11:00:00+00:00,63.43,63.43,63.27,63.36,4200.0
CCL,2018-05-08 12:00:00+00:00,63.39,63.44,63.35,63.44,6157.0
CCL,2018-05-08 13:00:00+00:00,63.35,63.56,63.16,63.19,32617.0
CCL,2018-05-08 14:00:00+00:00,63.2,63.62,62.99,63.58,45973.0
CCL,2018-05-08 15:00:00+00:00,63.51,63.97,63.42,63.58,83861.0
CCL,2018-05-08 16:00:00+00:00,63.57,63.6,63.29,63.37,41987.0
CCL,2018-05-08 17:00:00+00:00,63.35,63.55,63.23,63.38,35534.0
CCL,2018-05-08 18:00:00+00:00,63.4,63.46,62.97,63.01,68877.0
CCL,2018-05-08 19:00:00+00:00,63.01,63.19,62.95,63.14,82310.0
CCL,2018-05-09 09:00:00+00:00,63.52,63.52,63.51,63.51,200.0
CCL,2018-05-09 10:00:00+00:00,63.81,63.9,63.71,63.9,4350.0
CCL,2018-05-09 11:00:00+00:00,63.69,63.69,63.62,63.64,844.0
CCL,2018-05-09 12:00:00+00:00,63.64,63.77,63.62,63.64,3238.0
CCL,2018-05-09 13:00:00+00:00,63.7,63.92,63.35,63.73,40339.0
CCL,2018-05-09 14:00:00+00:00,63.73,63.75,63.3,63.31,71511.0
CCL,2018-05-09 15:00:00+00:00,63.32,63.62,63.22,63.45,56373.0
CCL,2018-05-09 16:00:00+00:00,63.45,63.8,63.38,63.78,25185.0
CCL,2018-05-09 17:00:00+00:00,63.8,63.85,63.71,63.8,30672.0
CCL,2018-05-09 18:00:00+00:00,63.81,63.95,63.76,63.8,40889.0
CCL,2018-05-09 19:00:00+00:00,63.79,63.96,63.69,63.94,88381.0
CCL,2018-05-10 12:00:00+00:00,64.08,64.08,64.08,64.08,5.0
CCL,2018-05-10 13:00:00+00:00,63.88,64.55,63.86,64.255,31964.0
CCL,2018-05-10 14:00:00+00:00,64.26,64.32,64.13,64.24,31090.0
CCL,2018-05-10 15:00:00+00:00,64.23,64.31,64.11,64.14,29455.0
CCL,2018-05-10 16:00:00+00:00,64.11,64.47,64.09,64.33,31553.0
CCL,2018-05-10 17:00:00+00:00,64.33,64.39,64.08,64.1,30813.0
CCL,2018-05-10 18:00:00+00:00,64.11,64.12,63.97,64.11,28181.0
CCL,2018-05-10 19:00:00+00:00,64.13,64.17,63.97,64.05,80655.0
CCL,2018-05-11 11:00:00+00:00,64.26,64.26,64.26,64.26,50.0
CCL,2018-05-11 13:00:00+00:00,64.12,64.36,63.91,64.11,30350.0
CCL,2018-05-11 14:00:00+00:00,64.16,64.44,64.08,64.11,41846.0
CCL,2018-05-11 15:00:00+00:00,64.12,64.2,63.93,63.98,29252.0
CCL,2018-05-11 16:00:00+00:00,63.95,63.95,63.53,63.86,29525.0
CCL,2018-05-11 17:00:00+00:00,63.85,63.95,63.78,63.94,23246.0
CCL,2018-05-11 18:00:00+00:00,63.94,64.0,63.75,63.98,40550.0
CCL,2018-05-11 19:00:00+00:00,63.98,64.16,63.97,64.03,62263.0
CCL,2018-05-14 13:00:00+00:00,64.01,64.31,63.79,64.23,50656.0
CCL,2018-05-14 14:00:00+00:00,64.23,64.88,64.18,64.55,38617.0
CCL,2018-05-14 15:00:00+00:00,64.48,65.18,64.48,64.845,55918.0
CCL,2018-05-14 16:00:00+00:00,64.84,65.09,64.74,64.955,38513.0
CCL,2018-05-14 17:00:00+00:00,64.95,64.95,64.795,64.9,43468.0
CCL,2018-05-14 18:00:00+00:00,64.89,64.93,64.8,64.82,26533.0
CCL,2018-05-14 19:00:00+00:00,64.82,64.86,64.76,64.82,71849.0
CCL,2018-05-14 20:00:00+00:00,65.03,65.76,65.03,65.76,1292.0
CCL,2018-05-15 10:00:00+00:00,65.28,65.28,65.25,65.25,200.0
CCL,2018-05-15 11:00:00+00:00,65.26,65.26,65.16,65.19,594.0
CCL,2018-05-15 12:00:00+00:00,65.19,65.19,65.19,65.19,6.0
CCL,2018-05-15 13:00:00+00:00,64.89,65.32,64.85,64.9,46788.0
CCL,2018-05-15 14:00:00+00:00,64.91,65.01,64.65,64.94,45494.0
CCL,2018-05-15 15:00:00+00:00,64.94,65.23,64.84,64.85,39728.0
CCL,2018-05-15 16:00:00+00:00,64.87,65.15,64.73,65.0,49827.0
CCL,2018-05-15 17:00:00+00:00,64.96,64.99,64.85,64.86,34555.0
CCL,2018-05-15 18:00:00+00:00,64.86,65.27,64.86,65.13,72750.0
CCL,2018-05-15 19:00:00+00:00,65.14,65.21,65.0,65.18,88082.0
CCL,2018-05-15 23:00:00+00:00,65.1,65.1,65.1,65.1,100.0
CCL,2018-05-16 13:00:00+00:00,65.23,65.78,65.12,65.7,32602.0
CCL,2018-05-16 14:00:00+00:00,65.7,65.99,65.66,65.86,59346.0
CCL,2018-05-16 15:00:00+00:00,65.84,65.95,65.71,65.83,48799.0
CCL,2018-05-16 16:00:00+00:00,65.84,65.91,65.7,65.7,35172.0
CCL,2018-05-16 17:00:00+00:00,65.71,65.825,65.68,65.81,29473.0
CCL,2018-05-16 18:00:00+00:00,65.815,65.815,65.6,65.79,33641.0
CCL,2018-05-16 19:00:00+00:00,65.78,65.78,65.35,65.46,100642.0
CCL,2018-05-17 11:00:00+00:00,65.8,65.8,65.8,65.8,349.0
CCL,2018-05-17 12:00:00+00:00,65.62,65.63,65.58,65.63,450.0
CCL,2018-05-17 13:00:00+00:00,65.65,65.68,64.995,65.16,43765.0
CCL,2018-05-17 14:00:00+00:00,65.18,65.5,65.11,65.46,46903.0
CCL,2018-05-17 15:00:00+00:00,65.46,65.47,65.07,65.07,68950.0
CCL,2018-05-17 16:00:00+00:00,65.06,65.07,64.76,64.81,65263.0
CCL,2018-05-17 17:00:00+00:00,64.81,64.97,64.67,64.67,39731.0
CCL,2018-05-17 18:00:00+00:00,64.67,64.79,64.58,64.75,46097.0
CCL,2018-05-17 19:00:00+00:00,64.75,64.89,64.7,64.8,65348.0
CCL,2018-05-18 09:00:00+00:00,65.37,65.37,65.2,65.2,700.0
CCL,2018-05-18 10:00:00+00:00,65.24,65.24,65.19,65.19,200.0
CCL,2018-05-18 11:00:00+00:00,65.22,65.22,65.22,65.22,200.0
CCL,2018-05-18 12:00:00+00:00,64.95,64.95,64.93,64.93,200.0
CCL,2018-05-18 13:00:00+00:00,64.84,64.99,64.22,64.23,52603.0
CCL,2018-05-18 14:00:00+00:00,64.225,64.98,64.2,64.88,59746.0
CCL,2018-05-18 15:00:00+00:00,64.89,64.97,64.82,64.9,47948.0
CCL,2018-05-18 16:00:00+00:00,64.91,64.91,64.73,64.76,35126.0
CCL,2018-05-18 17:00:00+00:00,64.77,64.77,64.65,64.71,26407.0
CCL,2018-05-18 18:00:00+00:00,64.71,64.99,64.7,64.96,22606.0
CCL,2018-05-18 19:00:00+00:00,64.98,64.98,64.8,64.84,69238.0
CCL,2018-05-21 13:00:00+00:00,65.0,65.34,64.87,65.2,29304.0
CCL,2018-05-21 14:00:00+00:00,65.21,65.51,65.15,65.39,41071.0
CCL,2018-05-21 15:00:00+00:00,65.39,65.47,65.02,65.08,39690.0
CCL,2018-05-21 16:00:00+00:00,65.08,65.18,64.97,65.09,27355.0
CCL,2018-05-21 17:00:00+00:00,65.1,65.1,64.93,65.05,27496.0
CCL,2018-05-21 18:00:00+00:00,65.05,65.05,64.795,64.89,39086.0
CCL,2018-05-21 19:00:00+00:00,64.89,64.9,64.585,64.78,117663.0
CCL,2018-05-22 13:00:00+00:00,64.9,65.07,64.73,65.03,56909.0
CCL,2018-05-22 14:00:00+00:00,65.01,65.09,64.82,64.96,98013.0
CCL,2018-05-22 15:00:00+00:00,64.96,65.23,64.95,64.99,64967.0
CCL,2018-05-22 16:00:00+00:00,64.995,65.09,64.93,65.06,51412.0
CCL,2018-05-22 17:00:00+00:00,65.06,65.14,65.0,65.04,46904.0
CCL,2018-05-22 18:00:00+00:00,65.05,65.37,65.05,65.28,57054.0
CCL,2018-05-22 19:00:00+00:00,65.285,65.34,65.0,65.06,121528.0
CCL,2018-05-23 13:00:00+00:00,64.88,65.32,64.88,65.03,56622.0
CCL,2018-05-23 14:00:00+00:00,65.01,65.07,64.12,64.31,120545.0
CCL,2018-05-23 15:00:00+00:00,64.31,64.6,64.13,64.13,45213.0
CCL,2018-05-23 16:00:00+00:00,64.14,64.28,64.04,64.2,45613.0
CCL,2018-05-23 17:00:00+00:00,64.24,64.25,64.04,64.17,37825.0
CCL,2018-05-23 18:00:00+00:00,64.2,64.6,64.19,64.54,41812.0
CCL,2018-05-23 19:00:00+00:00,64.54,64.71,64.53,64.67,80824.0
CCL,2018-05-24 13:00:00+00:00,64.47,64.535,64.12,64.12,38673.0
CCL,2018-05-24 14:00:00+00:00,64.11,64.19,63.87,63.89,83983.0
CCL,2018-05-24 15:00:00+00:00,63.89,64.03,63.74,63.88,98546.0
CCL,2018-05-24 16:00:00+00:00,63.87,63.89,63.72,63.75,46110.0
CCL,2018-05-24 17:00:00+00:00,63.75,64.27,63.72,64.24,60881.0
CCL,2018-05-24 18:00:00+00:00,64.23,64.27,64.07,64.19,51136.0
CCL,2018-05-24 19:00:00+00:00,64.18,64.24,64.11,64.15,92473.0
CCL,2018-05-25 13:00:00+00:00,64.4,64.43,64.03,64.26,87703.0
CCL,2018-05-25 14:00:00+00:00,64.22,64.52,64.195,64.43,97779.0
CCL,2018-05-25 15:00:00+00:00,64.44,64.63,64.36,64.57,66485.0
CCL,2018-05-25 16:00:00+00:00,64.56,64.56,64.28,64.39,61035.0
CCL,2018-05-25 17:00:00+00:00,64.39,64.46,64.28,64.33,36392.0
CCL,2018-05-25 18:00:00+00:00,64.33,64.44,64.27,64.27,34775.0
CCL,2018-05-25 19:00:00+00:00,64.28,64.41,64.24,64.27,108896.0
CCL,2018-05-29 12:00:00+00:00,63.6,63.6,63.6,63.6,50.0
CCL,2018-05-29 13:00:00+00:00,63.75,63.75,63.03,63.19,89125.0
CCL,2018-05-29 14:00:00+00:00,63.19,63.33,62.98,63.01,87026.0
CCL,2018-05-29 15:00:00+00:00,63.02,63.02,62.34,62.43,89555.0
CCL,2018-05-29 16:00:00+00:00,62.43,62.55,62.22,62.49,81411.0
CCL,2018-05-29 17:00:00+00:00,62.49,62.74,62.27,62.6,70486.0
CCL,2018-05-29 18:00:00+00:00,62.6,62.715,62.45,62.45,84464.0
CCL,2018-05-29 19:00:00+00:00,62.44,62.565,62.31,62.54,113746.0
CCL,2018-05-29 20:00:00+00:00,62.51,62.51,62.51,62.51,10.0
CCL,2018-05-30 12:00:00+00:00,63.05,63.08,63.02,63.02,489.0
CCL,2018-05-30 13:00:00+00:00,63.07,63.07,62.36,62.5,72996.0
CCL,2018-05-30 14:00:00+00:00,62.5,62.94,62.5,62.92,78387.0
CCL,2018-05-30 15:00:00+00:00,62.93,62.99,62.77,62.91,58268.0
CCL,2018-05-30 16:00:00+00:00,62.9,63.09,62.845,62.91,46344.0
CCL,2018-05-30 17:00:00+00:00,62.915,63.08,62.88,63.02,42504.0
CCL,2018-05-30 18:00:00+00:00,63.02,63.07,62.89,62.9,37384.0
CCL,2018-05-30 19:00:00+00:00,62.91,62.98,62.76,62.87,92288.0
CCL,2018-05-31 12:00:00+00:00,63.44,63.6,63.33,63.33,2665.0
CCL,2018-05-31 13:00:00+00:00,63.2,63.33,62.72,62.97,77851.0
CCL,2018-05-31 14:00:00+00:00,62.96,63.1,62.74,62.8,104589.0
CCL,2018-05-31 15:00:00+00:00,62.79,62.79,62.53,62.57,62923.0
CCL,2018-05-31 16:00:00+00:00,62.58,62.58,62.36,62.41,31293.0
CCL,2018-05-31 17:00:00+00:00,62.41,62.41,62.145,62.18,40990.0
CCL,2018-05-31 18:00:00+00:00,62.18,62.41,62.14,62.35,54417.0
CCL,2018-05-31 19:00:00+00:00,62.36,62.47,62.23,62.29,162506.0
CCL,2018-06-01 12:00:00+00:00,62.68,62.8,62.68,62.8,484.0
CCL,2018-06-01 13:00:00+00:00,62.8,63.01,62.61,63.01,56181.0
CCL,2018-06-01 14:00:00+00:00,63.0,63.05,62.71,62.87,87284.0
CCL,2018-06-01 15:00:00+00:00,62.87,62.93,62.62,62.66,48992.0
CCL,2018-06-01 16:00:00+00:00,62.65,62.94,62.65,62.87,43886.0
CCL,2018-06-01 17:00:00+00:00,62.89,63.16,62.86,63.09,39807.0
CCL,2018-06-01 18:00:00+00:00,63.1,63.21,62.945,63.13,39772.0
CCL,2018-06-01 19:00:00+00:00,63.14,63.215,63.03,63.17,71040.0
CCL,2018-06-04 13:00:00+00:00,63.38,63.53,63.21,63.51,30025.0
CCL,2018-06-04 14:00:00+00:00,63.5,63.58,63.35,63.44,51901.0
CCL,2018-06-04 15:00:00+00:00,63.44,63.48,63.24,63.37,39344.0
CCL,2018-06-04 16:00:00+00:00,63.37,63.37,63.23,63.28,20911.0
CCL,2018-06-04 17:00:00+00:00,63.27,63.32,63.04,63.09,35717.0
CCL,2018-06-04 18:00:00+00:00,63.09,63.18,63.05,63.1,39044.0
CCL,2018-06-04 19:00:00+00:00,63.09,63.45,63.08,63.34,124411.0
CCL,2018-06-05 11:00:00+00:00,60.32,60.77,60.32,60.6,10400.0
CCL,2018-06-05 12:00:00+00:00,60.6,60.76,60.28,60.7,25128.0
CCL,2018-06-05 13:00:00+00:00,60.7,61.38,60.47,60.88,441949.0
CCL,2018-06-05 14:00:00+00:00,60.87,61.71,60.6,60.795,227644.0
CCL,2018-06-05 15:00:00+00:00,60.81,61.03,60.505,60.7,204492.0
CCL,2018-06-05 16:00:00+00:00,60.69,60.765,60.56,60.64,85873.0
CCL,2018-06-05 17:00:00+00:00,60.66,60.74,60.51,60.61,84209.0
CCL,2018-06-05 18:00:00+00:00,60.61,60.68,60.515,60.67,100166.0
CCL,2018-06-05 19:00:00+00:00,60.665,60.76,60.55,60.57,221870.0
CCL,2018-06-05 20:00:00+00:00,60.55,60.55,60.55,60.55,100.0
CCL,2018-06-05 21:00:00+00:00,60.61,60.61,60.61,60.61,25.0
CCL,2018-06-05 23:00:00+00:00,60.67,60.67,60.67,60.67,50.0
CCL,2018-06-06 08:00:00+00:00,59.98,59.98,59.98,59.98,20.0
CCL,2018-06-06 12:00:00+00:00,60.72,60.72,60.7,60.7,700.0
CCL,2018-06-06 13:00:00+00:00,60.72,60.87,60.36,60.59,76608.0
CCL,2018-06-06 14:00:00+00:00,60.6,60.96,60.49,60.94,87167.0
CCL,2018-06-06 15:00:00+00:00,60.93,61.17,60.805,61.075,90309.0
CCL,2018-06-06 16:00:00+00:00,61.08,61.19,61.04,61.09,37832.0
CCL,2018-06-06 17:00:00+00:00,61.09,61.39,61.07,61.37,43587.0
CCL,2018-06-06 18:00:00+00:00,61.37,61.49,61.37,61.45,31416.0
CCL,2018-06-06 19:00:00+00:00,61.44,61.5,61.32,61.44,128734.0
CCL,2018-06-07 13:00:00+00:00,61.16,61.78,61.07,61.77,44564.0
CCL,2018-06-07 14:00:00+00:00,61.77,61.94,61.49,61.61,85584.0
CCL,2018-06-07 15:00:00+00:00,61.61,61.61,61.0,61.24,61127.0
