symbol,ts,open,high,low,close,volume
CDNS,2018-05-01 13:00:00+00:00,40.06,40.06,39.76,39.88,87306.0
CDNS,2018-05-01 14:00:00+00:00,39.86,39.92,39.57,39.78,115545.0
CDNS,2018-05-01 15:00:00+00:00,39.78,39.985,39.73,39.85,61975.0
CDNS,2018-05-01 16:00:00+00:00,39.85,39.98,39.82,39.92,64875.0
CDNS,2018-05-01 17:00:00+00:00,39.92,40.11,39.775,40.11,39537.0
CDNS,2018-05-01 18:00:00+00:00,40.11,40.26,40.1,40.2,60321.0
CDNS,2018-05-01 19:00:00+00:00,40.21,40.375,40.14,40.33,152149.0
CDNS,2018-05-01 20:00:00+00:00,40.34,40.35,40.31,40.35,106473.0
CDNS,2018-05-02 13:00:00+00:00,40.03,40.32,39.89,40.23,69794.0
CDNS,2018-05-02 14:00:00+00:00,40.16,40.26,40.09,40.13,52977.0
CDNS,2018-05-02 15:00:00+00:00,40.14,40.15,39.75,39.98,72130.0
CDNS,2018-05-02 16:00:00+00:00,39.96,40.15,39.95,40.14,43286.0
CDNS,2018-05-02 17:00:00+00:00,40.13,40.14,40.0,40.1,43455.0
CDNS,2018-05-02 18:00:00+00:00,40.1,40.26,40.01,40.06,79958.0
CDNS,2018-05-02 19:00:00+00:00,40.07,40.085,39.85,39.97,223577.0
CDNS,2018-05-02 20:00:00+00:00,39.97,39.97,39.96,39.96,187617.0
CDNS,2018-05-03 13:00:00+00:00,39.57,39.99,39.55,39.95,54292.0
CDNS,2018-05-03 14:00:00+00:00,39.94,39.99,39.58,39.68,93604.0
CDNS,2018-05-03 15:00:00+00:00,39.67,39.86,39.63,39.79,70910.0
CDNS,2018-05-03 16:00:00+00:00,39.78,40.19,39.69,40.17,77167.0
CDNS,2018-05-03 17:00:00+00:00,40.16,40.19,39.94,40.05,79908.0
CDNS,2018-05-03 18:00:00+00:00,40.04,40.32,39.9,40.09,69898.0
CDNS,2018-05-03 19:00:00+00:00,40.11,40.28,40.055,40.24,203484.0
CDNS,2018-05-03 20:00:00+00:00,40.25,40.28,40.25,40.28,156120.0
CDNS,2018-05-04 13:00:00+00:00,40.15,40.31,39.97,40.29,50501.0
CDNS,2018-05-04 14:00:00+00:00,40.24,40.66,40.16,40.6,53656.0
CDNS,2018-05-04 15:00:00+00:00,40.6,40.75,40.55,40.62,48194.0
CDNS,2018-05-04 16:00:00+00:00,40.62,40.68,40.52,40.58,54467.0
CDNS,2018-05-04 17:00:00+00:00,40.585,40.73,40.55,40.72,27588.0
CDNS,2018-05-04 18:00:00+00:00,40.71,40.87,40.675,40.75,32682.0
CDNS,2018-05-04 19:00:00+00:00,40.77,40.85,40.67,40.79,180767.0
CDNS,2018-05-04 20:00:00+00:00,40.8,40.8,40.8,40.8,133715.0
CDNS,2018-05-07 13:00:00+00:00,40.85,41.21,40.84,41.17,55729.0
CDNS,2018-05-07 14:00:00+00:00,41.18,41.27,41.0,41.13,63333.0
CDNS,2018-05-07 15:00:00+00:00,41.13,41.15,41.07,41.12,50740.0
CDNS,2018-05-07 16:00:00+00:00,41.11,41.12,41.01,41.04,39779.0
CDNS,2018-05-07 17:00:00+00:00,41.05,41.09,41.03,41.04,31271.0
CDNS,2018-05-07 18:00:00+00:00,41.03,41.08,41.0,41.02,64284.0
CDNS,2018-05-07 19:00:00+00:00,41.02,41.09,40.96,41.06,188416.0
CDNS,2018-05-07 20:00:00+00:00,41.07,41.07,41.07,41.07,571441.0
CDNS,2018-05-08 13:00:00+00:00,40.96,41.2,40.89,40.94,46443.0
CDNS,2018-05-08 14:00:00+00:00,40.95,41.01,40.84,40.92,60505.0
CDNS,2018-05-08 15:00:00+00:00,40.91,41.08,40.79,40.86,85186.0
CDNS,2018-05-08 16:00:00+00:00,40.86,40.87,40.76,40.82,64950.0
CDNS,2018-05-08 17:00:00+00:00,40.81,40.86,40.66,40.765,77594.0
CDNS,2018-05-08 18:00:00+00:00,40.77,40.95,40.69,40.87,125098.0
CDNS,2018-05-08 19:00:00+00:00,40.875,40.93,40.72,40.91,243905.0
CDNS,2018-05-08 20:00:00+00:00,40.9,40.9,40.9,40.9,250606.0
CDNS,2018-05-09 13:00:00+00:00,41.0,41.14,40.96,41.05,50730.0
CDNS,2018-05-09 14:00:00+00:00,41.05,41.21,40.99,41.01,47892.0
CDNS,2018-05-09 15:00:00+00:00,41.01,41.33,41.01,41.3,42299.0
CDNS,2018-05-09 16:00:00+00:00,41.3,41.555,41.3,41.53,45305.0
CDNS,2018-05-09 17:00:00+00:00,41.53,41.75,41.53,41.68,40364.0
CDNS,2018-05-09 18:00:00+00:00,41.67,41.89,41.66,41.87,81707.0
CDNS,2018-05-09 19:00:00+00:00,41.87,41.87,41.725,41.76,172161.0
CDNS,2018-05-09 20:00:00+00:00,41.76,41.77,41.76,41.77,209256.0
CDNS,2018-05-09 21:00:00+00:00,41.91,41.91,41.91,41.91,4.0
CDNS,2018-05-10 13:00:00+00:00,41.47,41.96,41.47,41.93,43485.0
CDNS,2018-05-10 14:00:00+00:00,41.93,41.99,41.81,41.96,49071.0
CDNS,2018-05-10 15:00:00+00:00,41.96,42.23,41.94,42.1,86345.0
CDNS,2018-05-10 16:00:00+00:00,42.09,42.25,42.05,42.24,33324.0
CDNS,2018-05-10 17:00:00+00:00,42.24,42.28,42.08,42.1,32015.0
CDNS,2018-05-10 18:00:00+00:00,42.1,42.27,42.05,42.21,37773.0
CDNS,2018-05-10 19:00:00+00:00,42.22,42.24,42.15,42.24,170773.0
CDNS,2018-05-10 20:00:00+00:00,42.23,42.23,42.23,42.23,393642.0
CDNS,2018-05-11 13:00:00+00:00,42.25,42.42,42.14,42.29,53973.0
CDNS,2018-05-11 14:00:00+00:00,42.27,42.47,42.22,42.26,47440.0
CDNS,2018-05-11 15:00:00+00:00,42.26,42.32,42.07,42.2,29587.0
CDNS,2018-05-11 16:00:00+00:00,42.2,42.42,42.09,42.24,64431.0
CDNS,2018-05-11 17:00:00+00:00,42.22,42.28,42.16,42.2,19252.0
CDNS,2018-05-11 18:00:00+00:00,42.2,42.22,42.11,42.22,19085.0
CDNS,2018-05-11 19:00:00+00:00,42.21,42.28,42.21,42.25,123258.0
CDNS,2018-05-11 20:00:00+00:00,42.25,42.25,42.25,42.25,347947.0
CDNS,2018-05-14 13:00:00+00:00,42.24,42.53,42.24,42.3,68923.0
CDNS,2018-05-14 14:00:00+00:00,42.3,42.32,42.14,42.27,71882.0
CDNS,2018-05-14 15:00:00+00:00,42.24,42.35,42.1,42.18,41133.0
CDNS,2018-05-14 16:00:00+00:00,42.185,42.4,42.13,42.18,42283.0
CDNS,2018-05-14 17:00:00+00:00,42.17,42.21,42.005,42.11,104303.0
CDNS,2018-05-14 18:00:00+00:00,42.1,42.14,42.01,42.1,68865.0
CDNS,2018-05-14 19:00:00+00:00,42.1,42.22,42.1,42.19,181231.0
CDNS,2018-05-14 20:00:00+00:00,42.19,42.19,42.18,42.18,254424.0
CDNS,2018-05-15 13:00:00+00:00,41.83,41.96,41.34,41.38,39984.0
CDNS,2018-05-15 14:00:00+00:00,41.33,41.45,41.25,41.33,84299.0
CDNS,2018-05-15 15:00:00+00:00,41.33,41.4,41.22,41.23,79068.0
CDNS,2018-05-15 16:00:00+00:00,41.22,41.25,41.07,41.16,78991.0
CDNS,2018-05-15 17:00:00+00:00,41.16,41.24,41.05,41.05,61909.0
CDNS,2018-05-15 18:00:00+00:00,41.07,41.22,40.95,41.08,64695.0
CDNS,2018-05-15 19:00:00+00:00,41.09,41.11,40.925,41.09,194803.0
CDNS,2018-05-15 20:00:00+00:00,41.08,41.09,41.08,41.09,299547.0
CDNS,2018-05-16 13:00:00+00:00,41.16,41.26,40.94,41.03,33111.0
CDNS,2018-05-16 14:00:00+00:00,41.04,41.12,40.89,40.955,34863.0
CDNS,2018-05-16 15:00:00+00:00,40.95,41.09,40.92,41.09,39128.0
CDNS,2018-05-16 16:00:00+00:00,41.1,41.28,41.1,41.19,31268.0
CDNS,2018-05-16 17:00:00+00:00,41.21,41.24,41.175,41.24,34851.0
CDNS,2018-05-16 18:00:00+00:00,41.235,41.27,41.05,41.08,46192.0
CDNS,2018-05-16 19:00:00+00:00,41.075,41.11,40.945,41.04,168922.0
CDNS,2018-05-16 20:00:00+00:00,41.03,41.03,41.03,41.03,243351.0
CDNS,2018-05-17 13:00:00+00:00,40.97,41.05,40.9,40.93,24222.0
CDNS,2018-05-17 14:00:00+00:00,40.94,41.4,40.94,41.4,33720.0
CDNS,2018-05-17 15:00:00+00:00,41.4,41.525,41.37,41.495,44351.0
CDNS,2018-05-17 16:00:00+00:00,41.5,41.65,41.38,41.46,74228.0
CDNS,2018-05-17 17:00:00+00:00,41.455,41.58,41.4,41.43,83529.0
CDNS,2018-05-17 18:00:00+00:00,41.42,41.74,41.31,41.73,77400.0
CDNS,2018-05-17 19:00:00+00:00,41.73,41.75,41.5,41.52,131184.0
CDNS,2018-05-17 20:00:00+00:00,41.52,41.52,41.52,41.52,195755.0
CDNS,2018-05-18 13:00:00+00:00,41.45,41.5,41.24,41.36,100874.0
CDNS,2018-05-18 14:00:00+00:00,41.36,41.83,41.35,41.77,77274.0
CDNS,2018-05-18 15:00:00+00:00,41.77,41.89,41.74,41.83,43528.0
CDNS,2018-05-18 16:00:00+00:00,41.84,41.85,41.71,41.73,33374.0
CDNS,2018-05-18 17:00:00+00:00,41.72,41.79,41.66,41.78,30107.0
CDNS,2018-05-18 18:00:00+00:00,41.77,41.87,41.75,41.84,39135.0
CDNS,2018-05-18 19:00:00+00:00,41.835,41.87,41.775,41.81,138656.0
CDNS,2018-05-18 20:00:00+00:00,41.8,41.8,41.8,41.8,236691.0
CDNS,2018-05-21 13:00:00+00:00,42.07,42.07,41.88,41.99,49257.0
CDNS,2018-05-21 14:00:00+00:00,41.99,42.09,41.82,42.08,45530.0
CDNS,2018-05-21 15:00:00+00:00,42.09,42.13,41.78,41.92,78649.0
CDNS,2018-05-21 16:00:00+00:00,41.9,42.03,41.86,41.88,33321.0
CDNS,2018-05-21 17:00:00+00:00,41.88,42.0,41.85,41.9,31973.0
CDNS,2018-05-21 18:00:00+00:00,41.905,41.92,41.78,41.88,40986.0
CDNS,2018-05-21 19:00:00+00:00,41.87,42.03,41.85,42.015,110519.0
CDNS,2018-05-21 20:00:00+00:00,42.01,42.01,42.01,42.01,110602.0
CDNS,2018-05-22 13:00:00+00:00,42.0,42.57,42.0,42.53,87454.0
CDNS,2018-05-22 14:00:00+00:00,42.52,42.63,42.15,42.4,134957.0
CDNS,2018-05-22 15:00:00+00:00,42.41,42.54,42.26,42.3,64906.0
CDNS,2018-05-22 16:00:00+00:00,42.3,42.41,42.29,42.33,55399.0
CDNS,2018-05-22 17:00:00+00:00,42.34,42.41,42.33,42.37,43244.0
CDNS,2018-05-22 18:00:00+00:00,42.37,42.49,42.27,42.27,71046.0
CDNS,2018-05-22 19:00:00+00:00,42.275,42.3,42.01,42.06,203257.0
CDNS,2018-05-22 20:00:00+00:00,42.05,42.12,42.05,42.12,249081.0
CDNS,2018-05-23 13:00:00+00:00,41.72,42.08,41.6,41.97,54610.0
CDNS,2018-05-23 14:00:00+00:00,41.98,42.09,41.83,42.07,52162.0
CDNS,2018-05-23 15:00:00+00:00,42.06,42.3,42.06,42.17,33406.0
CDNS,2018-05-23 16:00:00+00:00,42.16,42.22,42.11,42.18,25815.0
CDNS,2018-05-23 17:00:00+00:00,42.18,42.18,42.02,42.1,35272.0
CDNS,2018-05-23 18:00:00+00:00,42.11,42.27,42.08,42.24,43734.0
CDNS,2018-05-23 19:00:00+00:00,42.24,42.34,42.21,42.33,127471.0
CDNS,2018-05-23 20:00:00+00:00,42.33,42.33,42.32,42.32,294420.0
CDNS,2018-05-24 13:00:00+00:00,41.84,42.4,41.84,41.98,79739.0
CDNS,2018-05-24 14:00:00+00:00,41.99,42.08,41.84,41.96,100236.0
CDNS,2018-05-24 15:00:00+00:00,41.96,42.31,41.89,42.31,47395.0
CDNS,2018-05-24 16:00:00+00:00,42.32,42.34,42.235,42.31,37503.0
CDNS,2018-05-24 17:00:00+00:00,42.31,42.43,42.3,42.39,28723.0
CDNS,2018-05-24 18:00:00+00:00,42.385,42.42,42.3,42.36,34668.0
CDNS,2018-05-24 19:00:00+00:00,42.35,42.39,42.14,42.23,155462.0
