symbol,ts,open,high,low,close,volume
CDW,2018-05-01 13:00:00+00:00,71.39,72.19,71.28,72.18,17720.0
CDW,2018-05-01 14:00:00+00:00,72.17,72.425,71.92,72.13,39058.0
CDW,2018-05-01 15:00:00+00:00,72.09,72.41,71.94,72.24,29062.0
CDW,2018-05-01 16:00:00+00:00,72.25,72.535,72.17,72.33,36409.0
CDW,2018-05-01 17:00:00+00:00,72.31,72.55,72.12,72.46,36836.0
CDW,2018-05-01 18:00:00+00:00,72.43,72.79,72.32,72.575,47343.0
CDW,2018-05-01 19:00:00+00:00,72.56,72.7,72.24,72.34,145672.0
CDW,2018-05-01 20:00:00+00:00,72.37,72.37,72.37,72.37,19300.0
CDW,2018-05-02 13:00:00+00:00,74.23,78.79,74.23,77.97,88410.0
CDW,2018-05-02 14:00:00+00:00,77.75,78.45,77.07,77.09,86122.0
CDW,2018-05-02 15:00:00+00:00,77.12,77.24,75.69,75.81,44057.0
CDW,2018-05-02 16:00:00+00:00,75.82,76.13,75.58,75.64,34483.0
CDW,2018-05-02 17:00:00+00:00,75.62,76.0,75.62,75.95,40166.0
CDW,2018-05-02 18:00:00+00:00,75.955,76.5,75.86,76.14,75944.0
CDW,2018-05-02 19:00:00+00:00,76.14,76.33,75.6,76.06,191346.0
CDW,2018-05-02 20:00:00+00:00,76.06,76.06,76.04,76.05,64588.0
CDW,2018-05-03 13:00:00+00:00,76.11,76.55,74.84,74.91,29123.0
CDW,2018-05-03 14:00:00+00:00,74.9,74.98,74.12,74.66,40850.0
CDW,2018-05-03 15:00:00+00:00,74.725,75.26,74.44,75.19,25733.0
CDW,2018-05-03 16:00:00+00:00,75.19,75.63,74.925,75.63,28242.0
CDW,2018-05-03 17:00:00+00:00,75.63,75.69,75.36,75.45,20586.0
CDW,2018-05-03 18:00:00+00:00,75.42,75.44,74.28,74.28,39460.0
CDW,2018-05-03 19:00:00+00:00,74.32,74.65,74.26,74.51,97716.0
CDW,2018-05-03 20:00:00+00:00,74.5,74.51,74.5,74.51,86251.0
CDW,2018-05-04 13:00:00+00:00,74.76,74.9,74.3,74.48,21768.0
CDW,2018-05-04 14:00:00+00:00,74.46,74.55,74.18,74.21,27301.0
CDW,2018-05-04 15:00:00+00:00,74.23,74.99,74.19,74.97,25435.0
CDW,2018-05-04 16:00:00+00:00,75.0,75.2,74.79,75.13,20082.0
CDW,2018-05-04 17:00:00+00:00,75.19,75.805,75.17,75.805,16746.0
