symbol,ts,open,high,low,close,volume
CFG,2018-05-01 13:00:00+00:00,41.2,41.2,40.69,40.79,51257.0
CFG,2018-05-01 14:00:00+00:00,40.76,40.99,40.49,40.52,125418.0
CFG,2018-05-01 15:00:00+00:00,40.52,40.62,40.4,40.4,136769.0
CFG,2018-05-01 16:00:00+00:00,40.4,40.62,40.33,40.6,105589.0
CFG,2018-05-01 17:00:00+00:00,40.6,40.74,40.46,40.735,82693.0
CFG,2018-05-01 18:00:00+00:00,40.74,40.88,40.65,40.81,133282.0
CFG,2018-05-01 19:00:00+00:00,40.815,40.95,40.595,40.95,394998.0
CFG,2018-05-02 13:00:00+00:00,40.95,41.45,40.91,41.2,139471.0
CFG,2018-05-02 14:00:00+00:00,41.2,41.33,41.0,41.29,178661.0
CFG,2018-05-02 15:00:00+00:00,41.28,41.76,41.28,41.76,78604.0
CFG,2018-05-02 16:00:00+00:00,41.76,41.865,41.59,41.63,62150.0
CFG,2018-05-02 17:00:00+00:00,41.62,41.78,41.61,41.7,43744.0
CFG,2018-05-02 18:00:00+00:00,41.69,41.78,41.4,41.41,76781.0
CFG,2018-05-02 19:00:00+00:00,41.42,41.43,40.92,41.0,126216.0
CFG,2018-05-03 13:00:00+00:00,40.73,40.96,40.46,40.96,39042.0
CFG,2018-05-03 14:00:00+00:00,40.98,40.98,40.12,40.21,153818.0
CFG,2018-05-03 15:00:00+00:00,40.21,40.33,39.98,40.31,94762.0
CFG,2018-05-03 16:00:00+00:00,40.31,40.67,40.19,40.62,70167.0
CFG,2018-05-03 17:00:00+00:00,40.64,40.655,40.355,40.57,75207.0
CFG,2018-05-03 18:00:00+00:00,40.57,40.75,40.34,40.36,81817.0
CFG,2018-05-03 19:00:00+00:00,40.37,40.575,40.335,40.42,168385.0
CFG,2018-05-04 13:00:00+00:00,40.04,40.44,39.935,40.42,38656.0
CFG,2018-05-04 14:00:00+00:00,40.4,40.89,40.38,40.83,108314.0
CFG,2018-05-04 15:00:00+00:00,40.82,41.03,40.79,40.91,44613.0
CFG,2018-05-04 16:00:00+00:00,40.92,41.1,40.85,41.07,41554.0
CFG,2018-05-04 17:00:00+00:00,41.08,41.26,41.04,41.26,45409.0
CFG,2018-05-04 18:00:00+00:00,41.25,41.34,41.1,41.1,59742.0
CFG,2018-05-04 19:00:00+00:00,41.105,41.21,40.965,41.03,131757.0
CFG,2018-05-07 13:00:00+00:00,41.07,41.15,40.82,41.02,23731.0
CFG,2018-05-07 14:00:00+00:00,41.03,41.065,40.7,41.0,70605.0
CFG,2018-05-07 15:00:00+00:00,41.01,41.21,40.995,41.05,56221.0
CFG,2018-05-07 16:00:00+00:00,41.08,41.19,41.07,41.15,42566.0
CFG,2018-05-07 17:00:00+00:00,41.15,41.27,41.08,41.2,35719.0
CFG,2018-05-07 18:00:00+00:00,41.2,41.37,41.08,41.09,49847.0
CFG,2018-05-07 19:00:00+00:00,41.09,41.195,40.985,41.06,107457.0
CFG,2018-05-08 13:00:00+00:00,41.12,41.47,41.1,41.47,26923.0
CFG,2018-05-08 14:00:00+00:00,41.5,41.85,41.46,41.76,99706.0
CFG,2018-05-08 15:00:00+00:00,41.75,41.89,41.39,41.39,125242.0
CFG,2018-05-08 16:00:00+00:00,41.395,41.44,41.1,41.18,57528.0
CFG,2018-05-08 17:00:00+00:00,41.16,41.33,41.1,41.12,60318.0
CFG,2018-05-08 18:00:00+00:00,41.14,41.24,40.93,41.06,75940.0
CFG,2018-05-08 19:00:00+00:00,41.06,41.37,41.0,41.33,104599.0
CFG,2018-05-09 12:00:00+00:00,41.56,41.56,41.56,41.56,14.0
CFG,2018-05-09 13:00:00+00:00,41.57,41.69,41.42,41.57,29199.0
CFG,2018-05-09 14:00:00+00:00,41.58,41.9,41.55,41.57,83857.0
