symbol,ts,open,high,low,close,volume
CHRW,2018-05-01 13:00:00+00:00,92.04,92.49,91.63,91.78,37962.0
CHRW,2018-05-01 14:00:00+00:00,91.76,91.8,90.66,90.9,53200.0
CHRW,2018-05-01 15:00:00+00:00,90.9,91.74,90.81,91.15,37995.0
CHRW,2018-05-01 16:00:00+00:00,91.2,91.38,91.04,91.07,31544.0
CHRW,2018-05-01 17:00:00+00:00,91.04,91.04,90.13,90.71,47028.0
CHRW,2018-05-01 18:00:00+00:00,90.74,91.08,90.48,90.65,62973.0
CHRW,2018-05-01 19:00:00+00:00,90.69,90.99,90.21,90.67,213895.0
CHRW,2018-05-01 20:00:00+00:00,90.65,90.66,90.63,90.63,45330.0
CHRW,2018-05-02 13:00:00+00:00,84.5,86.64,83.9,83.94,321376.0
CHRW,2018-05-02 14:00:00+00:00,83.91,85.26,83.8,85.03,283257.0
CHRW,2018-05-02 15:00:00+00:00,85.01,85.37,84.77,85.0,122736.0
CHRW,2018-05-02 16:00:00+00:00,85.06,85.15,83.9,83.9,113065.0
CHRW,2018-05-02 17:00:00+00:00,83.93,84.49,83.52,84.17,123003.0
CHRW,2018-05-02 18:00:00+00:00,84.16,84.38,83.12,83.44,168833.0
CHRW,2018-05-02 19:00:00+00:00,83.46,83.69,82.5,82.89,354398.0
CHRW,2018-05-02 20:00:00+00:00,82.9,82.9,82.75,82.75,110497.0
CHRW,2018-05-03 13:00:00+00:00,82.34,82.91,81.48,82.35,105071.0
CHRW,2018-05-03 14:00:00+00:00,82.38,82.39,81.12,81.63,154907.0
CHRW,2018-05-03 15:00:00+00:00,81.66,82.07,80.82,81.52,98942.0
CHRW,2018-05-03 16:00:00+00:00,81.535,82.49,81.45,82.43,97972.0
CHRW,2018-05-03 17:00:00+00:00,82.45,83.26,82.31,83.07,83041.0
CHRW,2018-05-03 18:00:00+00:00,83.05,83.8,82.9,83.17,101785.0
CHRW,2018-05-03 19:00:00+00:00,83.17,83.3,82.48,82.6,225740.0
CHRW,2018-05-03 20:00:00+00:00,82.6,82.62,82.6,82.62,113480.0
CHRW,2018-05-04 13:00:00+00:00,82.26,82.26,81.06,81.44,58349.0
CHRW,2018-05-04 14:00:00+00:00,81.37,82.01,80.88,81.92,61463.0
CHRW,2018-05-04 15:00:00+00:00,81.93,82.5,81.735,82.38,55594.0
CHRW,2018-05-04 16:00:00+00:00,82.4,82.67,82.26,82.46,55854.0
CHRW,2018-05-04 17:00:00+00:00,82.47,82.73,82.38,82.71,45474.0
CHRW,2018-05-04 18:00:00+00:00,82.7,82.85,82.59,82.59,41382.0
CHRW,2018-05-04 19:00:00+00:00,82.61,82.75,82.43,82.54,131446.0
CHRW,2018-05-04 20:00:00+00:00,82.54,82.54,82.54,82.54,85826.0
CHRW,2018-05-07 13:00:00+00:00,82.56,83.04,82.39,82.64,38454.0
CHRW,2018-05-07 14:00:00+00:00,82.625,82.87,82.32,82.87,35348.0
CHRW,2018-05-07 15:00:00+00:00,82.84,83.22,82.61,83.15,39536.0
CHRW,2018-05-07 16:00:00+00:00,83.13,83.23,82.86,82.92,23320.0
CHRW,2018-05-07 17:00:00+00:00,82.91,82.93,82.67,82.76,23135.0
CHRW,2018-05-07 18:00:00+00:00,82.76,82.86,82.5,82.56,44097.0
CHRW,2018-05-07 19:00:00+00:00,82.555,82.6,81.99,82.42,151993.0
CHRW,2018-05-07 20:00:00+00:00,82.43,82.43,82.43,82.43,79611.0
CHRW,2018-05-08 13:00:00+00:00,82.58,84.23,82.37,83.88,63593.0
CHRW,2018-05-08 14:00:00+00:00,83.88,84.46,83.72,84.3,54732.0
CHRW,2018-05-08 15:00:00+00:00,84.29,84.29,83.72,83.91,64854.0
CHRW,2018-05-08 16:00:00+00:00,83.93,84.11,83.88,83.96,40389.0
CHRW,2018-05-08 17:00:00+00:00,83.99,84.22,83.92,84.0,42436.0
CHRW,2018-05-08 18:00:00+00:00,84.01,84.09,83.51,83.57,47412.0
CHRW,2018-05-08 19:00:00+00:00,83.57,84.09,83.4,83.95,216470.0
CHRW,2018-05-08 20:00:00+00:00,83.93,83.93,83.9,83.9,110815.0
CHRW,2018-05-09 13:00:00+00:00,84.12,84.56,83.57,84.1,27062.0
CHRW,2018-05-09 14:00:00+00:00,84.1,84.2,83.58,83.74,39351.0
CHRW,2018-05-09 15:00:00+00:00,83.77,83.95,83.47,83.82,28596.0
CHRW,2018-05-09 16:00:00+00:00,83.85,83.87,83.54,83.76,27779.0
CHRW,2018-05-09 17:00:00+00:00,83.76,83.88,83.59,83.69,33128.0
CHRW,2018-05-09 18:00:00+00:00,83.74,83.77,83.52,83.62,37875.0
CHRW,2018-05-09 19:00:00+00:00,83.61,83.69,83.25,83.49,116056.0
CHRW,2018-05-09 20:00:00+00:00,83.49,83.49,83.49,83.49,92264.0
CHRW,2018-05-10 13:00:00+00:00,83.81,84.54,83.56,84.28,28089.0
CHRW,2018-05-10 14:00:00+00:00,84.15,84.39,83.94,84.18,30467.0
CHRW,2018-05-10 15:00:00+00:00,84.16,84.63,84.16,84.62,24284.0
CHRW,2018-05-10 16:00:00+00:00,84.61,84.73,84.49,84.62,22110.0
CHRW,2018-05-10 17:00:00+00:00,84.66,84.67,84.29,84.48,23235.0
CHRW,2018-05-10 18:00:00+00:00,84.5,84.5,84.27,84.48,40777.0
CHRW,2018-05-10 19:00:00+00:00,84.49,84.71,84.44,84.58,122200.0
CHRW,2018-05-10 20:00:00+00:00,84.58,85.12,84.56,85.12,178295.0
CHRW,2018-05-11 13:00:00+00:00,84.77,86.22,84.58,86.22,42792.0
CHRW,2018-05-11 14:00:00+00:00,86.22,86.75,86.22,86.63,73324.0
CHRW,2018-05-11 15:00:00+00:00,86.59,86.81,86.05,86.62,57160.0
CHRW,2018-05-11 16:00:00+00:00,86.65,86.71,86.33,86.37,52779.0
CHRW,2018-05-11 17:00:00+00:00,86.35,86.42,86.06,86.19,48754.0
CHRW,2018-05-11 18:00:00+00:00,86.18,86.45,86.02,86.34,61805.0
CHRW,2018-05-11 19:00:00+00:00,86.33,86.53,86.32,86.43,119828.0
CHRW,2018-05-11 20:00:00+00:00,86.44,86.44,86.44,86.44,46178.0
CHRW,2018-05-14 13:00:00+00:00,86.6,86.96,86.26,86.38,25933.0
CHRW,2018-05-14 14:00:00+00:00,86.34,86.34,85.86,85.94,41896.0
CHRW,2018-05-14 15:00:00+00:00,85.9,86.05,85.5,85.58,34351.0
CHRW,2018-05-14 16:00:00+00:00,85.55,85.73,85.35,85.37,27095.0
CHRW,2018-05-14 17:00:00+00:00,85.34,85.63,85.28,85.55,37497.0
CHRW,2018-05-14 18:00:00+00:00,85.56,85.63,85.39,85.48,33908.0
CHRW,2018-05-14 19:00:00+00:00,85.51,85.69,85.4,85.69,120385.0
CHRW,2018-05-14 20:00:00+00:00,85.68,85.68,85.65,85.65,62711.0
CHRW,2018-05-15 13:00:00+00:00,85.35,85.68,85.0,85.56,39261.0
CHRW,2018-05-15 14:00:00+00:00,85.495,85.5,84.77,84.97,49105.0
CHRW,2018-05-15 15:00:00+00:00,85.0,85.34,84.94,85.1,38663.0
CHRW,2018-05-15 16:00:00+00:00,85.11,85.36,85.0,85.22,50014.0
CHRW,2018-05-15 17:00:00+00:00,85.25,85.25,84.89,84.94,42753.0
CHRW,2018-05-15 18:00:00+00:00,84.92,85.15,84.91,85.0,50307.0
CHRW,2018-05-15 19:00:00+00:00,85.0,85.21,84.9,85.19,109398.0
CHRW,2018-05-15 20:00:00+00:00,85.18,85.18,85.18,85.18,189181.0
CHRW,2018-05-16 13:00:00+00:00,85.22,85.77,85.06,85.585,21882.0
CHRW,2018-05-16 14:00:00+00:00,85.56,85.99,85.35,85.65,55439.0
CHRW,2018-05-16 15:00:00+00:00,85.66,85.79,85.38,85.77,25254.0
CHRW,2018-05-16 16:00:00+00:00,85.79,85.99,85.735,85.75,27217.0
CHRW,2018-05-16 17:00:00+00:00,85.75,85.99,85.67,85.99,24141.0
CHRW,2018-05-16 18:00:00+00:00,86.0,86.09,85.87,85.95,31053.0
CHRW,2018-05-16 19:00:00+00:00,85.93,85.93,85.59,85.74,96780.0
CHRW,2018-05-16 20:00:00+00:00,85.74,85.75,85.74,85.75,75266.0
CHRW,2018-05-17 13:00:00+00:00,85.86,86.4,85.86,86.35,26932.0
CHRW,2018-05-17 14:00:00+00:00,86.4,87.42,86.4,87.28,63546.0
CHRW,2018-05-17 15:00:00+00:00,87.32,87.76,87.21,87.76,48444.0
CHRW,2018-05-17 16:00:00+00:00,87.77,87.91,87.55,87.64,63013.0
CHRW,2018-05-17 17:00:00+00:00,87.64,87.83,87.51,87.57,42467.0
CHRW,2018-05-17 18:00:00+00:00,87.55,87.96,87.41,87.93,77299.0
CHRW,2018-05-17 19:00:00+00:00,87.94,87.97,87.52,87.55,163699.0
CHRW,2018-05-17 20:00:00+00:00,87.56,87.6,87.56,87.6,81631.0
CHRW,2018-05-18 13:00:00+00:00,87.49,87.62,87.27,87.57,53625.0
CHRW,2018-05-18 14:00:00+00:00,87.58,87.79,87.47,87.7,56660.0
CHRW,2018-05-18 15:00:00+00:00,87.72,88.15,87.64,88.13,36409.0
CHRW,2018-05-18 16:00:00+00:00,88.12,88.61,88.08,88.61,37264.0
CHRW,2018-05-18 17:00:00+00:00,88.57,89.23,88.55,88.68,94446.0
CHRW,2018-05-18 18:00:00+00:00,88.67,88.88,88.38,88.88,46678.0
CHRW,2018-05-18 19:00:00+00:00,88.88,88.91,88.49,88.5,129943.0
CHRW,2018-05-18 20:00:00+00:00,88.5,88.5,88.5,88.5,118414.0
CHRW,2018-05-21 13:00:00+00:00,88.77,89.69,88.53,89.01,20078.0
CHRW,2018-05-21 14:00:00+00:00,88.93,90.18,88.93,90.03,36808.0
CHRW,2018-05-21 15:00:00+00:00,89.98,90.015,89.53,89.76,26705.0
CHRW,2018-05-21 16:00:00+00:00,89.74,89.99,89.69,89.76,20363.0
CHRW,2018-05-21 17:00:00+00:00,89.77,90.05,89.77,90.02,18150.0
CHRW,2018-05-21 18:00:00+00:00,90.0,90.19,89.87,90.14,38048.0
CHRW,2018-05-21 19:00:00+00:00,90.13,90.16,89.77,89.92,59937.0
CHRW,2018-05-21 20:00:00+00:00,89.91,89.91,89.91,89.91,130432.0
CHRW,2018-05-22 13:00:00+00:00,89.77,90.27,89.75,90.18,26864.0
CHRW,2018-05-22 14:00:00+00:00,90.13,90.16,89.16,89.32,68374.0
CHRW,2018-05-22 15:00:00+00:00,89.32,89.47,89.12,89.35,48003.0
CHRW,2018-05-22 16:00:00+00:00,89.34,89.43,88.68,88.68,45459.0
CHRW,2018-05-22 17:00:00+00:00,88.67,88.68,88.27,88.27,73954.0
CHRW,2018-05-22 18:00:00+00:00,88.27,88.66,88.19,88.62,85498.0
CHRW,2018-05-22 19:00:00+00:00,88.61,88.64,88.3,88.36,96441.0
CHRW,2018-05-22 20:00:00+00:00,88.35,88.35,88.35,88.35,55078.0
CHRW,2018-05-23 13:00:00+00:00,88.04,88.42,87.18,87.18,25246.0
CHRW,2018-05-23 14:00:00+00:00,87.18,87.59,87.02,87.16,63709.0
CHRW,2018-05-23 15:00:00+00:00,87.16,87.44,86.94,86.94,44790.0
CHRW,2018-05-23 16:00:00+00:00,86.94,87.23,86.85,87.08,47620.0
CHRW,2018-05-23 17:00:00+00:00,87.08,87.09,86.99,87.02,72021.0
CHRW,2018-05-23 18:00:00+00:00,87.02,87.34,87.02,87.27,79767.0
CHRW,2018-05-23 19:00:00+00:00,87.27,87.47,87.17,87.46,171924.0
CHRW,2018-05-23 20:00:00+00:00,87.44,87.44,87.35,87.35,170715.0
CHRW,2018-05-24 13:00:00+00:00,87.49,88.14,87.49,87.81,28203.0
CHRW,2018-05-24 14:00:00+00:00,87.82,88.11,87.42,87.52,47126.0
CHRW,2018-05-24 15:00:00+00:00,87.51,88.03,87.49,87.98,21732.0
CHRW,2018-05-24 16:00:00+00:00,88.0,88.14,87.85,88.13,21707.0
CHRW,2018-05-24 17:00:00+00:00,88.15,88.245,88.03,88.15,28326.0
CHRW,2018-05-24 18:00:00+00:00,88.13,88.16,87.92,88.14,29983.0
CHRW,2018-05-24 19:00:00+00:00,88.13,88.13,87.9,87.98,89549.0
CHRW,2018-05-24 20:00:00+00:00,88.0,88.0,88.0,88.0,52369.0
CHRW,2018-05-25 13:00:00+00:00,87.81,88.34,87.81,87.9,11144.0
CHRW,2018-05-25 14:00:00+00:00,87.88,88.09,87.68,88.01,16264.0
CHRW,2018-05-25 15:00:00+00:00,87.995,88.35,87.94,88.31,20019.0
CHRW,2018-05-25 16:00:00+00:00,88.29,88.39,88.14,88.32,19771.0
CHRW,2018-05-25 17:00:00+00:00,88.34,88.38,88.23,88.3,15694.0
CHRW,2018-05-25 18:00:00+00:00,88.3,88.33,88.19,88.27,12922.0
CHRW,2018-05-25 19:00:00+00:00,88.26,88.32,88.19,88.23,40267.0
CHRW,2018-05-25 20:00:00+00:00,88.23,88.23,88.08,88.08,55423.0
CHRW,2018-05-29 13:00:00+00:00,87.91,88.11,86.82,88.11,19343.0
CHRW,2018-05-29 14:00:00+00:00,88.07,88.27,87.83,88.13,28027.0
CHRW,2018-05-29 15:00:00+00:00,88.16,88.24,87.97,88.03,26559.0
CHRW,2018-05-29 16:00:00+00:00,88.02,88.02,87.31,87.87,26091.0
CHRW,2018-05-29 17:00:00+00:00,87.86,87.89,87.66,87.7,23519.0
CHRW,2018-05-29 18:00:00+00:00,87.7,87.85,87.46,87.57,33779.0
CHRW,2018-05-29 19:00:00+00:00,87.55,88.02,87.35,87.93,69855.0
CHRW,2018-05-29 20:00:00+00:00,87.93,87.93,87.93,87.93,125405.0
CHRW,2018-05-30 13:00:00+00:00,88.35,88.8,88.23,88.6,31758.0
CHRW,2018-05-30 14:00:00+00:00,88.65,88.99,88.5,88.97,28096.0
CHRW,2018-05-30 15:00:00+00:00,88.96,89.58,88.91,89.49,29356.0
CHRW,2018-05-30 16:00:00+00:00,89.53,89.84,89.31,89.44,26495.0
CHRW,2018-05-30 17:00:00+00:00,89.41,89.94,89.41,89.94,24256.0
CHRW,2018-05-30 18:00:00+00:00,89.95,90.05,89.5,89.5,32195.0
