symbol,ts,open,high,low,close,volume
CI,2018-05-01 13:00:00+00:00,172.0,172.87,171.41,172.47,13411.0
CI,2018-05-01 14:00:00+00:00,172.42,172.93,171.83,172.39,46747.0
CI,2018-05-01 15:00:00+00:00,172.34,172.78,171.68,172.35,41841.0
CI,2018-05-01 16:00:00+00:00,172.26,172.33,171.04,171.27,35246.0
CI,2018-05-01 17:00:00+00:00,171.24,172.09,170.81,172.05,22965.0
CI,2018-05-01 18:00:00+00:00,172.02,172.33,171.8,172.15,29135.0
CI,2018-05-01 19:00:00+00:00,172.13,172.15,170.87,171.03,67193.0
CI,2018-05-01 21:00:00+00:00,172.73,172.75,171.45,171.45,1200.0
CI,2018-05-02 12:00:00+00:00,171.6,171.6,171.6,171.6,81.0
CI,2018-05-02 13:00:00+00:00,170.62,172.07,169.43,171.59,29590.0
CI,2018-05-02 14:00:00+00:00,171.59,172.69,171.4,172.18,43185.0
CI,2018-05-02 15:00:00+00:00,172.45,172.72,171.4,171.77,32875.0
CI,2018-05-02 16:00:00+00:00,171.8,172.71,171.54,172.68,25018.0
CI,2018-05-02 17:00:00+00:00,172.73,173.27,172.62,173.04,28953.0
CI,2018-05-02 18:00:00+00:00,173.03,173.61,172.78,173.405,39265.0
CI,2018-05-02 19:00:00+00:00,173.38,173.41,172.08,172.33,96089.0
CI,2018-05-03 11:00:00+00:00,173.5,174.9,173.5,174.9,240.0
CI,2018-05-03 12:00:00+00:00,174.5,174.8,170.0,173.0,1904.0
CI,2018-05-03 13:00:00+00:00,174.3,174.3,169.66,169.71,33601.0
CI,2018-05-03 14:00:00+00:00,169.8,171.26,166.38,167.52,63301.0
CI,2018-05-03 15:00:00+00:00,167.51,170.4,167.38,170.34,62047.0
CI,2018-05-03 16:00:00+00:00,170.195,171.69,169.6,171.43,51860.0
CI,2018-05-03 17:00:00+00:00,171.5,172.08,170.25,171.25,50186.0
CI,2018-05-03 18:00:00+00:00,171.25,171.62,170.63,170.8,72282.0
CI,2018-05-03 19:00:00+00:00,170.82,172.98,170.58,172.89,162040.0
CI,2018-05-03 21:00:00+00:00,172.9,172.9,172.88,172.88,25.0
CI,2018-05-04 12:00:00+00:00,172.85,172.85,172.85,172.85,100.0
CI,2018-05-04 13:00:00+00:00,172.74,173.33,170.97,171.35,28135.0
CI,2018-05-04 14:00:00+00:00,171.23,172.56,170.24,171.99,30054.0
CI,2018-05-04 15:00:00+00:00,172.0,172.12,171.23,171.44,27407.0
CI,2018-05-04 16:00:00+00:00,171.49,171.7,171.27,171.32,28821.0
CI,2018-05-04 17:00:00+00:00,171.325,172.025,171.21,171.89,22058.0
CI,2018-05-04 18:00:00+00:00,171.95,172.24,171.24,171.34,40668.0
CI,2018-05-04 19:00:00+00:00,171.34,172.29,171.0,171.17,87276.0
CI,2018-05-07 13:00:00+00:00,171.5,171.64,169.94,170.12,13570.0
CI,2018-05-07 14:00:00+00:00,170.08,170.13,168.44,168.92,31210.0
CI,2018-05-07 15:00:00+00:00,168.96,169.42,168.63,169.09,24363.0
CI,2018-05-07 16:00:00+00:00,169.08,170.23,168.34,170.23,39979.0
CI,2018-05-07 17:00:00+00:00,170.24,171.475,170.2,171.17,41884.0
CI,2018-05-07 18:00:00+00:00,171.16,172.045,170.84,171.855,62134.0
CI,2018-05-07 19:00:00+00:00,171.82,172.67,170.98,172.55,97253.0
CI,2018-05-08 13:00:00+00:00,172.55,172.55,170.39,170.95,16530.0
CI,2018-05-08 14:00:00+00:00,170.95,171.315,170.47,170.72,27974.0
CI,2018-05-08 15:00:00+00:00,170.66,170.66,169.79,169.99,29780.0
