symbol,ts,open,high,low,close,volume
CL,2018-05-01 13:00:00+00:00,64.78,65.33,64.73,65.3,73555.0
CL,2018-05-01 14:00:00+00:00,65.29,65.38,64.815,64.89,128522.0
CL,2018-05-01 15:00:00+00:00,64.88,64.95,64.68,64.79,84606.0
CL,2018-05-01 16:00:00+00:00,64.79,64.96,64.78,64.8,72816.0
CL,2018-05-01 17:00:00+00:00,64.8,64.91,64.64,64.85,67843.0
CL,2018-05-01 18:00:00+00:00,64.85,64.96,64.69,64.945,72276.0
CL,2018-05-01 19:00:00+00:00,64.95,64.98,64.65,64.86,189422.0
CL,2018-05-02 13:00:00+00:00,64.77,64.85,64.44,64.51,66370.0
CL,2018-05-02 14:00:00+00:00,64.5,64.65,64.34,64.4,112046.0
CL,2018-05-02 15:00:00+00:00,64.4,64.46,64.0,64.12,144110.0
CL,2018-05-02 16:00:00+00:00,64.11,64.16,63.95,63.97,102657.0
CL,2018-05-02 17:00:00+00:00,63.96,64.045,63.88,63.92,105096.0
CL,2018-05-02 18:00:00+00:00,63.91,63.98,63.59,63.66,155404.0
CL,2018-05-02 19:00:00+00:00,63.655,63.655,63.02,63.15,296097.0
CL,2018-05-02 20:00:00+00:00,63.14,63.14,63.14,63.14,100.0
CL,2018-05-03 11:00:00+00:00,62.75,62.75,62.75,62.75,400.0
CL,2018-05-03 12:00:00+00:00,63.19,63.19,63.19,63.19,1.0
CL,2018-05-03 13:00:00+00:00,63.01,63.41,62.87,63.15,59795.0
CL,2018-05-03 14:00:00+00:00,63.16,63.34,62.91,63.04,182338.0
CL,2018-05-03 15:00:00+00:00,63.04,63.33,62.96,63.275,104507.0
CL,2018-05-03 16:00:00+00:00,63.28,63.37,63.05,63.37,116103.0
CL,2018-05-03 17:00:00+00:00,63.37,63.74,63.24,63.57,141563.0
CL,2018-05-03 18:00:00+00:00,63.56,63.63,63.16,63.24,93552.0
CL,2018-05-03 19:00:00+00:00,63.25,63.33,63.14,63.3,172699.0
CL,2018-05-04 13:00:00+00:00,63.43,63.89,63.34,63.86,42911.0
CL,2018-05-04 14:00:00+00:00,63.84,64.0,63.7,63.7,95710.0
CL,2018-05-04 15:00:00+00:00,63.69,63.92,63.66,63.76,87863.0
CL,2018-05-04 16:00:00+00:00,63.75,63.84,63.65,63.77,59493.0
CL,2018-05-04 17:00:00+00:00,63.77,63.84,63.71,63.74,52365.0
CL,2018-05-04 18:00:00+00:00,63.74,64.02,63.74,63.93,66674.0
CL,2018-05-04 19:00:00+00:00,63.93,63.98,63.64,63.72,142480.0
CL,2018-05-07 13:00:00+00:00,63.75,64.0,63.57,63.84,11534.0
CL,2018-05-07 14:00:00+00:00,63.86,63.87,63.06,63.21,65235.0
CL,2018-05-07 15:00:00+00:00,63.22,63.25,63.04,63.09,58320.0
CL,2018-05-07 16:00:00+00:00,63.09,63.11,62.93,62.96,45330.0
CL,2018-05-07 17:00:00+00:00,62.96,63.02,62.91,62.96,52185.0
CL,2018-05-07 18:00:00+00:00,62.97,63.11,62.94,62.97,62226.0
CL,2018-05-07 19:00:00+00:00,62.96,62.97,62.79,62.82,120099.0
CL,2018-05-08 13:00:00+00:00,62.82,63.32,62.49,62.65,61612.0
CL,2018-05-08 14:00:00+00:00,62.65,62.68,62.41,62.45,75142.0
CL,2018-05-08 15:00:00+00:00,62.42,62.68,62.41,62.47,45568.0
CL,2018-05-08 16:00:00+00:00,62.46,62.64,62.44,62.53,48356.0
CL,2018-05-08 17:00:00+00:00,62.53,62.58,62.39,62.41,30344.0
CL,2018-05-08 18:00:00+00:00,62.43,62.44,62.24,62.28,93970.0
CL,2018-05-08 19:00:00+00:00,62.29,62.39,62.24,62.29,137158.0
CL,2018-05-08 20:00:00+00:00,62.35,62.35,62.35,62.35,1900.0
CL,2018-05-09 13:00:00+00:00,62.54,62.65,62.44,62.55,40493.0
CL,2018-05-09 14:00:00+00:00,62.56,62.58,62.02,62.19,63723.0
CL,2018-05-09 15:00:00+00:00,62.2,62.2,61.81,61.81,63482.0
CL,2018-05-09 16:00:00+00:00,61.83,62.05,61.83,62.04,63346.0
CL,2018-05-09 17:00:00+00:00,62.05,62.08,61.79,61.85,75545.0
CL,2018-05-09 18:00:00+00:00,61.85,61.97,61.76,61.86,56108.0
CL,2018-05-09 19:00:00+00:00,61.86,61.99,61.8,61.88,148603.0
CL,2018-05-09 20:00:00+00:00,61.98,62.0,61.98,62.0,17.0
CL,2018-05-10 13:00:00+00:00,62.33,62.61,62.16,62.6,39049.0
CL,2018-05-10 14:00:00+00:00,62.61,62.74,62.07,62.13,86713.0
CL,2018-05-10 15:00:00+00:00,62.13,62.6,62.12,62.59,69862.0
CL,2018-05-10 16:00:00+00:00,62.58,62.75,62.54,62.715,59324.0
CL,2018-05-10 17:00:00+00:00,62.72,62.75,62.59,62.63,53521.0
CL,2018-05-10 18:00:00+00:00,62.63,62.68,62.46,62.56,69468.0
CL,2018-05-10 19:00:00+00:00,62.55,62.61,62.41,62.49,108361.0
CL,2018-05-11 08:00:00+00:00,63.11,63.11,63.11,63.11,2.0
CL,2018-05-11 13:00:00+00:00,62.795,63.49,62.795,63.09,73459.0
CL,2018-05-11 14:00:00+00:00,63.11,63.12,62.62,62.67,92410.0
CL,2018-05-11 15:00:00+00:00,62.68,62.72,62.55,62.59,58982.0
CL,2018-05-11 16:00:00+00:00,62.59,62.7,62.51,62.685,63093.0
CL,2018-05-11 17:00:00+00:00,62.685,62.89,62.675,62.78,60659.0
CL,2018-05-11 18:00:00+00:00,62.78,62.8,62.67,62.76,54372.0
CL,2018-05-11 19:00:00+00:00,62.75,62.76,62.62,62.69,90340.0
CL,2018-05-14 13:00:00+00:00,62.71,62.79,62.23,62.53,58421.0
CL,2018-05-14 14:00:00+00:00,62.54,62.57,62.12,62.12,88540.0
CL,2018-05-14 15:00:00+00:00,62.11,62.21,61.95,62.16,84612.0
CL,2018-05-14 16:00:00+00:00,62.165,62.255,61.97,61.98,61444.0
CL,2018-05-14 17:00:00+00:00,61.97,62.07,61.91,61.96,76626.0
CL,2018-05-14 18:00:00+00:00,61.96,61.99,61.87,61.96,79918.0
CL,2018-05-14 19:00:00+00:00,61.97,62.04,61.88,62.04,198425.0
CL,2018-05-15 12:00:00+00:00,61.78,61.78,61.78,61.78,33.0
CL,2018-05-15 13:00:00+00:00,61.79,61.89,61.29,61.39,79653.0
CL,2018-05-15 14:00:00+00:00,61.39,61.66,61.34,61.63,128377.0
CL,2018-05-15 15:00:00+00:00,61.62,61.67,61.38,61.38,95047.0
CL,2018-05-15 16:00:00+00:00,61.38,61.57,61.38,61.53,76253.0
CL,2018-05-15 17:00:00+00:00,61.52,61.56,61.4,61.52,81217.0
CL,2018-05-15 18:00:00+00:00,61.52,61.59,61.36,61.47,99067.0
CL,2018-05-15 19:00:00+00:00,61.47,61.69,61.425,61.65,182257.0
CL,2018-05-15 22:00:00+00:00,61.85,61.85,61.85,61.85,20.0
CL,2018-05-16 11:00:00+00:00,61.86,61.86,61.86,61.86,10.0
CL,2018-05-16 13:00:00+00:00,61.66,62.13,61.51,62.13,33838.0
CL,2018-05-16 14:00:00+00:00,62.09,62.17,61.69,61.89,63379.0
CL,2018-05-16 15:00:00+00:00,61.88,62.4,61.87,62.36,130872.0
CL,2018-05-16 16:00:00+00:00,62.36,62.41,62.25,62.28,64228.0
CL,2018-05-16 17:00:00+00:00,62.28,62.28,62.155,62.26,69757.0
CL,2018-05-16 18:00:00+00:00,62.26,62.34,62.2,62.32,57334.0
CL,2018-05-16 19:00:00+00:00,62.31,62.31,62.045,62.09,94047.0
CL,2018-05-16 22:00:00+00:00,62.1,62.1,62.1,62.1,50.0
CL,2018-05-17 13:00:00+00:00,62.22,62.38,62.08,62.11,43236.0
CL,2018-05-17 14:00:00+00:00,62.11,62.32,62.0,62.18,45557.0
CL,2018-05-17 15:00:00+00:00,62.18,62.2,62.02,62.09,33018.0
CL,2018-05-17 16:00:00+00:00,62.08,62.15,62.0,62.14,36130.0
CL,2018-05-17 17:00:00+00:00,62.13,62.13,61.86,61.86,37501.0
CL,2018-05-17 18:00:00+00:00,61.85,62.01,61.82,61.99,52836.0
CL,2018-05-17 19:00:00+00:00,61.98,62.32,61.975,62.29,135458.0
CL,2018-05-18 11:00:00+00:00,62.66,62.66,62.66,62.66,100.0
CL,2018-05-18 13:00:00+00:00,62.29,62.32,61.87,62.08,42053.0
CL,2018-05-18 14:00:00+00:00,62.08,62.32,61.81,62.32,78808.0
CL,2018-05-18 15:00:00+00:00,62.32,62.36,62.14,62.265,110467.0
CL,2018-05-18 16:00:00+00:00,62.26,62.355,62.18,62.24,68150.0
CL,2018-05-18 17:00:00+00:00,62.235,62.32,62.14,62.26,54382.0
CL,2018-05-18 18:00:00+00:00,62.25,62.36,62.225,62.27,51475.0
CL,2018-05-18 19:00:00+00:00,62.27,62.27,62.06,62.2,140761.0
CL,2018-05-21 13:00:00+00:00,62.57,62.57,62.19,62.41,34410.0
CL,2018-05-21 14:00:00+00:00,62.42,62.73,62.37,62.38,81624.0
CL,2018-05-21 15:00:00+00:00,62.38,62.52,62.32,62.35,63106.0
CL,2018-05-21 16:00:00+00:00,62.34,62.51,62.34,62.42,29579.0
CL,2018-05-21 17:00:00+00:00,62.42,62.47,62.36,62.41,27409.0
CL,2018-05-21 18:00:00+00:00,62.42,62.42,62.27,62.34,46101.0
CL,2018-05-21 19:00:00+00:00,62.35,62.35,62.19,62.265,110223.0
CL,2018-05-22 13:00:00+00:00,62.44,62.71,62.36,62.71,27689.0
CL,2018-05-22 14:00:00+00:00,62.72,62.92,62.64,62.67,67678.0
CL,2018-05-22 15:00:00+00:00,62.66,62.7,62.52,62.53,54652.0
CL,2018-05-22 16:00:00+00:00,62.53,62.635,62.5,62.585,69269.0
CL,2018-05-22 17:00:00+00:00,62.58,62.62,62.52,62.54,50725.0
CL,2018-05-22 18:00:00+00:00,62.53,62.575,62.49,62.545,48446.0
CL,2018-05-22 19:00:00+00:00,62.54,62.55,62.28,62.39,99070.0
CL,2018-05-23 13:00:00+00:00,62.37,62.86,62.37,62.86,51943.0
CL,2018-05-23 14:00:00+00:00,62.87,62.87,62.7,62.8,85225.0
CL,2018-05-23 15:00:00+00:00,62.79,63.01,62.64,62.675,80294.0
CL,2018-05-23 16:00:00+00:00,62.68,62.78,62.66,62.7,74515.0
CL,2018-05-23 17:00:00+00:00,62.7,62.71,62.41,62.43,52765.0
CL,2018-05-23 18:00:00+00:00,62.44,62.75,62.44,62.59,79108.0
CL,2018-05-23 19:00:00+00:00,62.6,62.755,62.6,62.7,151410.0
CL,2018-05-24 13:00:00+00:00,62.82,63.11,62.7,62.79,61994.0
CL,2018-05-24 14:00:00+00:00,62.81,62.85,62.6,62.68,61270.0
CL,2018-05-24 15:00:00+00:00,62.69,62.77,62.44,62.53,55016.0
CL,2018-05-24 16:00:00+00:00,62.52,62.58,62.46,62.55,55285.0
CL,2018-05-24 17:00:00+00:00,62.56,62.65,62.54,62.57,24594.0
CL,2018-05-24 18:00:00+00:00,62.56,62.56,62.35,62.42,34404.0
CL,2018-05-24 19:00:00+00:00,62.41,62.51,62.39,62.49,81071.0
CL,2018-05-25 11:00:00+00:00,62.6,63.0,62.6,62.84,936.0
CL,2018-05-25 13:00:00+00:00,62.87,63.84,62.85,63.63,89754.0
CL,2018-05-25 14:00:00+00:00,63.63,64.04,63.48,63.89,171323.0
CL,2018-05-25 15:00:00+00:00,63.88,64.0,63.77,63.795,112961.0
