symbol,ts,open,high,low,close,volume
CME,2018-05-01 13:00:00+00:00,157.68,158.34,156.68,157.65,57682.0
CME,2018-05-01 14:00:00+00:00,157.56,157.59,156.9,157.22,68218.0
CME,2018-05-01 15:00:00+00:00,157.17,157.18,155.84,155.84,47271.0
CME,2018-05-01 16:00:00+00:00,155.88,155.91,155.05,155.25,56107.0
CME,2018-05-01 17:00:00+00:00,155.26,155.87,154.44,155.77,57446.0
CME,2018-05-01 18:00:00+00:00,155.81,156.28,155.5,155.99,46092.0
CME,2018-05-01 19:00:00+00:00,156.12,156.63,155.26,156.5,197192.0
CME,2018-05-01 20:00:00+00:00,156.5,156.5,155.0,155.0,186021.0
CME,2018-05-02 13:00:00+00:00,156.42,157.0,156.16,156.33,52240.0
CME,2018-05-02 14:00:00+00:00,156.44,156.67,155.7,156.12,64350.0
CME,2018-05-02 15:00:00+00:00,156.18,157.0,156.1,157.0,58256.0
CME,2018-05-02 16:00:00+00:00,156.95,157.765,156.87,157.62,46271.0
CME,2018-05-02 17:00:00+00:00,157.66,158.18,157.66,157.87,42507.0
CME,2018-05-02 18:00:00+00:00,157.86,158.2,157.43,157.49,46055.0
CME,2018-05-02 19:00:00+00:00,157.53,157.59,156.01,156.37,137492.0
CME,2018-05-02 20:00:00+00:00,156.38,156.38,156.33,156.33,154849.0
CME,2018-05-03 13:00:00+00:00,155.7,156.08,154.4,156.08,46653.0
CME,2018-05-03 14:00:00+00:00,156.0,156.01,153.87,154.31,122616.0
CME,2018-05-03 15:00:00+00:00,154.31,155.93,154.19,155.9,107268.0
CME,2018-05-03 16:00:00+00:00,155.9,157.72,155.79,157.6,96711.0
CME,2018-05-03 17:00:00+00:00,157.52,158.4,156.63,158.15,85010.0
CME,2018-05-03 18:00:00+00:00,158.15,158.32,157.15,157.29,85001.0
CME,2018-05-03 19:00:00+00:00,157.29,157.67,156.72,157.02,177806.0
CME,2018-05-03 20:00:00+00:00,157.02,157.02,157.02,157.02,114657.0
