symbol,ts,open,high,low,close,volume
CMG,2018-05-01 11:00:00+00:00,422.26,422.26,422.26,422.26,10.0
CMG,2018-05-01 12:00:00+00:00,422.51,422.51,422.51,422.51,3.0
CMG,2018-05-01 13:00:00+00:00,423.0,430.85,422.0,429.41,18444.0
CMG,2018-05-01 14:00:00+00:00,429.12,429.17,426.36,427.28,18194.0
CMG,2018-05-01 15:00:00+00:00,426.91,426.91,422.64,423.22,17545.0
CMG,2018-05-01 16:00:00+00:00,423.25,423.84,420.48,421.48,14182.0
CMG,2018-05-01 17:00:00+00:00,421.33,424.0,420.02,424.0,11012.0
CMG,2018-05-01 18:00:00+00:00,424.0,425.1,423.1,423.81,8319.0
CMG,2018-05-01 19:00:00+00:00,424.36,426.3,423.55,426.01,29081.0
CMG,2018-05-01 20:00:00+00:00,426.0,426.0,426.0,426.0,1.0
CMG,2018-05-02 13:00:00+00:00,425.0,425.0,420.64,421.7,11368.0
CMG,2018-05-02 14:00:00+00:00,421.48,423.1,418.11,418.14,35392.0
CMG,2018-05-02 15:00:00+00:00,418.39,422.8,417.68,421.92,25777.0
CMG,2018-05-02 16:00:00+00:00,421.77,422.09,420.39,420.7,11455.0
CMG,2018-05-02 17:00:00+00:00,420.69,421.22,419.9,420.81,9615.0
CMG,2018-05-02 18:00:00+00:00,421.19,425.09,421.19,423.31,21804.0
CMG,2018-05-02 19:00:00+00:00,423.25,424.21,420.59,421.26,32065.0
CMG,2018-05-02 22:00:00+00:00,422.0,422.0,422.0,422.0,10.0
CMG,2018-05-02 23:00:00+00:00,422.0,422.0,422.0,422.0,25.0
CMG,2018-05-03 13:00:00+00:00,420.98,423.0,417.05,422.01,11711.0
CMG,2018-05-03 14:00:00+00:00,421.51,422.34,417.81,418.14,21580.0
CMG,2018-05-03 15:00:00+00:00,418.87,420.59,418.22,419.48,10952.0
CMG,2018-05-03 16:00:00+00:00,419.89,420.19,418.31,419.26,11717.0
CMG,2018-05-03 17:00:00+00:00,419.72,420.55,418.71,418.71,14503.0
CMG,2018-05-03 18:00:00+00:00,418.71,420.48,418.39,419.22,11523.0
CMG,2018-05-03 19:00:00+00:00,419.46,420.44,418.32,419.17,27750.0
CMG,2018-05-03 20:00:00+00:00,419.4,419.5,419.4,419.5,30.0
CMG,2018-05-04 12:00:00+00:00,419.36,419.36,419.36,419.36,110.0
CMG,2018-05-04 13:00:00+00:00,418.5,420.03,417.54,419.26,10193.0
CMG,2018-05-04 14:00:00+00:00,419.23,420.0,418.18,419.24,12800.0
CMG,2018-05-04 15:00:00+00:00,419.01,422.55,418.25,422.55,16713.0
CMG,2018-05-04 16:00:00+00:00,422.75,423.81,420.79,421.17,12499.0
CMG,2018-05-04 17:00:00+00:00,421.18,422.92,421.18,422.17,10087.0
CMG,2018-05-04 18:00:00+00:00,422.05,422.3,420.39,420.97,11998.0
CMG,2018-05-04 19:00:00+00:00,420.92,423.09,419.8,420.41,32212.0
CMG,2018-05-04 20:00:00+00:00,420.04,420.99,420.04,420.99,106.0
CMG,2018-05-07 12:00:00+00:00,423.0,423.0,423.0,423.0,5.0
CMG,2018-05-07 13:00:00+00:00,421.98,422.0,418.0,418.49,7124.0
CMG,2018-05-07 14:00:00+00:00,418.47,420.87,418.17,418.78,11514.0
CMG,2018-05-07 15:00:00+00:00,418.89,419.54,417.73,418.31,8023.0
CMG,2018-05-07 16:00:00+00:00,418.365,418.365,417.15,417.34,7696.0
CMG,2018-05-07 17:00:00+00:00,417.445,417.93,415.26,417.61,15454.0
CMG,2018-05-07 18:00:00+00:00,417.9,420.28,417.9,419.32,11697.0
CMG,2018-05-07 19:00:00+00:00,419.345,421.11,419.15,419.6,26148.0
CMG,2018-05-08 13:00:00+00:00,418.86,424.3,418.03,424.3,7607.0
CMG,2018-05-08 14:00:00+00:00,424.35,428.24,423.94,425.15,17734.0
CMG,2018-05-08 15:00:00+00:00,424.27,424.49,421.23,421.73,9579.0
CMG,2018-05-08 16:00:00+00:00,422.07,422.23,419.9,421.04,5184.0
CMG,2018-05-08 17:00:00+00:00,421.145,422.64,420.99,421.33,4592.0
CMG,2018-05-08 18:00:00+00:00,421.75,422.05,419.75,421.95,9405.0
CMG,2018-05-08 19:00:00+00:00,421.58,424.84,421.58,424.18,20536.0
CMG,2018-05-08 20:00:00+00:00,424.19,424.19,424.19,424.19,3.0
CMG,2018-05-08 23:00:00+00:00,422.72,422.72,422.72,422.72,1.0
CMG,2018-05-09 13:00:00+00:00,426.0,429.58,425.425,425.74,10719.0
CMG,2018-05-09 14:00:00+00:00,425.85,426.49,423.56,424.12,12497.0
CMG,2018-05-09 15:00:00+00:00,423.69,424.9,422.66,424.19,6120.0
CMG,2018-05-09 16:00:00+00:00,424.56,427.3,424.31,426.31,6868.0
CMG,2018-05-09 17:00:00+00:00,426.27,427.19,425.75,426.01,6775.0
CMG,2018-05-09 18:00:00+00:00,426.01,426.28,424.1,424.64,6395.0
CMG,2018-05-09 19:00:00+00:00,424.46,425.1,423.38,424.66,11297.0
CMG,2018-05-09 22:00:00+00:00,424.5,424.5,424.5,424.5,25.0
CMG,2018-05-10 13:00:00+00:00,424.58,426.02,424.13,425.84,2243.0
CMG,2018-05-10 14:00:00+00:00,425.99,425.99,420.6,423.3,13668.0
CMG,2018-05-10 15:00:00+00:00,423.26,424.38,421.27,423.35,7081.0
CMG,2018-05-10 16:00:00+00:00,423.22,424.4,422.13,422.25,3352.0
CMG,2018-05-10 17:00:00+00:00,422.68,424.18,422.36,422.76,4108.0
CMG,2018-05-10 18:00:00+00:00,422.55,424.3,422.19,424.1,5717.0
CMG,2018-05-10 19:00:00+00:00,424.23,424.29,421.98,422.55,8095.0
CMG,2018-05-10 22:00:00+00:00,423.0,423.0,423.0,423.0,94.0
CMG,2018-05-10 23:00:00+00:00,422.0,422.0,422.0,422.0,50.0
CMG,2018-05-11 13:00:00+00:00,422.67,427.21,422.67,425.5,6030.0
CMG,2018-05-11 14:00:00+00:00,425.86,427.44,423.83,426.43,17114.0
CMG,2018-05-11 15:00:00+00:00,426.32,428.24,425.18,425.64,8608.0
CMG,2018-05-11 16:00:00+00:00,425.59,425.67,421.72,423.14,12791.0
CMG,2018-05-11 17:00:00+00:00,422.98,425.18,422.57,424.92,10312.0
CMG,2018-05-11 18:00:00+00:00,425.02,426.15,424.65,425.16,4424.0
CMG,2018-05-11 19:00:00+00:00,425.25,425.44,424.0,424.75,12610.0
CMG,2018-05-11 22:00:00+00:00,425.55,425.55,425.55,425.55,50.0
CMG,2018-05-14 12:00:00+00:00,428.0,428.44,428.0,428.44,53.0
CMG,2018-05-14 13:00:00+00:00,428.33,428.33,424.29,428.17,8122.0
CMG,2018-05-14 14:00:00+00:00,428.68,432.75,428.31,428.5,37206.0
CMG,2018-05-14 15:00:00+00:00,428.6,429.3,423.7,425.34,17388.0
CMG,2018-05-14 16:00:00+00:00,425.35,427.63,425.25,425.74,12706.0
CMG,2018-05-14 17:00:00+00:00,425.72,426.1,424.44,425.52,6436.0
CMG,2018-05-14 18:00:00+00:00,425.76,426.15,425.04,425.45,6525.0
CMG,2018-05-14 19:00:00+00:00,425.14,425.75,424.97,424.97,16129.0
CMG,2018-05-14 20:00:00+00:00,425.01,425.01,424.76,424.76,10.0
CMG,2018-05-15 13:00:00+00:00,422.06,431.23,422.06,430.3,15671.0
CMG,2018-05-15 14:00:00+00:00,429.85,429.99,426.93,428.59,18218.0
CMG,2018-05-15 15:00:00+00:00,428.89,430.25,426.02,426.02,13514.0
CMG,2018-05-15 16:00:00+00:00,425.69,426.3,425.01,425.36,11969.0
CMG,2018-05-15 17:00:00+00:00,425.41,425.41,424.01,424.33,11472.0
CMG,2018-05-15 18:00:00+00:00,424.36,425.935,424.36,424.9,10209.0
CMG,2018-05-15 19:00:00+00:00,424.86,426.67,424.2,426.5,25035.0
CMG,2018-05-15 20:00:00+00:00,426.76,426.76,426.76,426.76,20.0
CMG,2018-05-16 11:00:00+00:00,430.13,430.96,430.13,430.96,40.0
CMG,2018-05-16 12:00:00+00:00,430.0,430.0,430.0,430.0,76.0
CMG,2018-05-16 13:00:00+00:00,429.57,439.79,429.32,437.5,33112.0
CMG,2018-05-16 14:00:00+00:00,437.12,438.69,437.11,437.39,20248.0
CMG,2018-05-16 15:00:00+00:00,437.42,437.63,434.49,434.95,18115.0
CMG,2018-05-16 16:00:00+00:00,434.99,439.0,433.87,438.21,15614.0
CMG,2018-05-16 17:00:00+00:00,438.18,444.27,437.64,443.62,21228.0
CMG,2018-05-16 18:00:00+00:00,443.79,447.62,442.11,446.32,26716.0
CMG,2018-05-16 19:00:00+00:00,446.32,446.69,444.05,444.72,37263.0
CMG,2018-05-16 20:00:00+00:00,444.67,445.0,444.4,445.0,250.0
CMG,2018-05-16 21:00:00+00:00,445.1,445.1,445.1,445.1,40.0
CMG,2018-05-17 12:00:00+00:00,444.55,444.55,444.55,444.55,20.0
CMG,2018-05-17 13:00:00+00:00,444.93,445.75,438.45,439.09,30010.0
CMG,2018-05-17 14:00:00+00:00,439.42,440.86,436.09,440.82,56434.0
CMG,2018-05-17 15:00:00+00:00,440.8,441.81,437.64,439.12,18900.0
CMG,2018-05-17 16:00:00+00:00,439.33,441.33,438.88,439.7,18487.0
CMG,2018-05-17 17:00:00+00:00,439.73,440.03,438.75,438.75,19356.0
CMG,2018-05-17 18:00:00+00:00,438.73,439.36,437.47,439.12,18315.0
CMG,2018-05-17 19:00:00+00:00,438.97,439.31,437.6,438.46,35547.0
CMG,2018-05-17 23:00:00+00:00,438.5,438.5,438.5,438.5,936.0
CMG,2018-05-18 13:00:00+00:00,438.5,439.19,432.61,435.89,14960.0
CMG,2018-05-18 14:00:00+00:00,435.51,437.51,434.06,434.11,18340.0
CMG,2018-05-18 15:00:00+00:00,434.16,434.79,433.49,433.67,6284.0
CMG,2018-05-18 16:00:00+00:00,433.64,434.12,433.1,433.38,5802.0
CMG,2018-05-18 17:00:00+00:00,433.35,433.35,431.17,431.27,14026.0
CMG,2018-05-18 18:00:00+00:00,431.48,432.7,431.06,431.44,10072.0
CMG,2018-05-18 19:00:00+00:00,431.83,433.09,431.12,431.8,16541.0
CMG,2018-05-18 20:00:00+00:00,431.73,431.73,431.08,431.08,250.0
CMG,2018-05-18 23:00:00+00:00,431.45,431.45,431.45,431.45,5.0
CMG,2018-05-21 13:00:00+00:00,435.97,435.97,431.22,431.22,5810.0
CMG,2018-05-21 14:00:00+00:00,430.96,435.63,430.96,435.3,8653.0
CMG,2018-05-21 15:00:00+00:00,435.29,435.64,431.82,433.31,7505.0
CMG,2018-05-21 16:00:00+00:00,433.32,434.5,433.12,434.19,6327.0
CMG,2018-05-21 17:00:00+00:00,434.23,434.9,433.62,433.84,2749.0
CMG,2018-05-21 18:00:00+00:00,433.72,434.38,432.55,434.0,3160.0
CMG,2018-05-21 19:00:00+00:00,434.08,434.39,433.04,433.67,4835.0
CMG,2018-05-22 13:00:00+00:00,435.68,435.77,433.31,433.45,4442.0
CMG,2018-05-22 14:00:00+00:00,433.12,434.8,430.9,431.87,14887.0
CMG,2018-05-22 15:00:00+00:00,432.07,434.19,431.19,431.19,5562.0
CMG,2018-05-22 16:00:00+00:00,431.22,433.16,430.77,432.46,9797.0
CMG,2018-05-22 17:00:00+00:00,432.25,432.61,431.11,432.22,3333.0
CMG,2018-05-22 18:00:00+00:00,432.34,433.84,432.34,432.93,2616.0
CMG,2018-05-22 19:00:00+00:00,433.03,434.46,432.16,433.48,14509.0
CMG,2018-05-23 11:00:00+00:00,431.82,431.82,431.82,431.82,4.0
CMG,2018-05-23 13:00:00+00:00,433.0,434.5,430.56,434.5,5019.0
CMG,2018-05-23 14:00:00+00:00,434.1,434.1,431.51,432.02,6911.0
CMG,2018-05-23 15:00:00+00:00,431.8,433.57,431.7,433.0,4988.0
CMG,2018-05-23 16:00:00+00:00,433.22,434.39,432.3,434.36,4904.0
CMG,2018-05-23 17:00:00+00:00,434.35,435.76,434.11,434.11,8162.0
CMG,2018-05-23 18:00:00+00:00,433.91,436.22,433.81,435.71,6030.0
CMG,2018-05-23 19:00:00+00:00,435.89,436.14,435.1,435.45,10472.0
CMG,2018-05-23 20:00:00+00:00,436.0,436.0,436.0,436.0,2.0
CMG,2018-05-24 13:00:00+00:00,435.47,435.59,430.87,431.93,5126.0
CMG,2018-05-24 14:00:00+00:00,432.0,433.72,431.33,432.5,8845.0
CMG,2018-05-24 15:00:00+00:00,432.67,433.83,432.11,433.21,8046.0
CMG,2018-05-24 16:00:00+00:00,433.6,433.61,432.66,433.03,4590.0
CMG,2018-05-24 17:00:00+00:00,433.13,434.05,433.1,433.94,3808.0
CMG,2018-05-24 18:00:00+00:00,433.71,433.96,433.01,433.01,2914.0
CMG,2018-05-24 19:00:00+00:00,433.03,433.6,432.64,433.41,8545.0
CMG,2018-05-25 13:00:00+00:00,433.96,436.58,432.64,434.96,4562.0
CMG,2018-05-25 14:00:00+00:00,434.59,434.59,433.12,434.49,5510.0
CMG,2018-05-25 15:00:00+00:00,434.0,434.06,432.4,433.22,5024.0
CMG,2018-05-25 16:00:00+00:00,433.15,433.83,432.43,432.43,2708.0
CMG,2018-05-25 17:00:00+00:00,432.42,432.42,429.8,429.97,5451.0
CMG,2018-05-25 18:00:00+00:00,429.97,430.97,427.54,429.3,7734.0
CMG,2018-05-25 19:00:00+00:00,429.14,430.39,428.0,428.78,16501.0
CMG,2018-05-25 23:00:00+00:00,429.5,429.5,429.5,429.5,75.0
CMG,2018-05-29 13:00:00+00:00,428.0,431.77,427.225,431.77,15684.0
CMG,2018-05-29 14:00:00+00:00,431.33,434.13,429.08,433.67,25358.0
CMG,2018-05-29 15:00:00+00:00,433.42,434.9,431.18,432.01,21090.0
CMG,2018-05-29 16:00:00+00:00,431.82,433.84,431.32,432.58,6679.0
CMG,2018-05-29 17:00:00+00:00,433.17,433.3,431.29,433.0,6127.0
CMG,2018-05-29 18:00:00+00:00,432.91,432.91,430.29,430.9,8052.0
CMG,2018-05-29 19:00:00+00:00,430.85,433.53,430.69,433.17,13633.0
CMG,2018-05-30 13:00:00+00:00,434.0,435.16,433.4,434.67,6096.0
CMG,2018-05-30 14:00:00+00:00,434.07,436.89,433.39,435.76,9903.0
CMG,2018-05-30 15:00:00+00:00,436.13,437.0,435.32,436.22,4952.0
