symbol,ts,open,high,low,close,volume
CNP,2018-05-01 13:00:00+00:00,25.3,25.4,25.27,25.36,39667.0
CNP,2018-05-01 14:00:00+00:00,25.36,25.46,25.35,25.44,92123.0
CNP,2018-05-01 15:00:00+00:00,25.43,25.47,25.375,25.41,39852.0
CNP,2018-05-01 16:00:00+00:00,25.41,25.41,25.33,25.34,28442.0
CNP,2018-05-01 17:00:00+00:00,25.33,25.44,25.32,25.425,43927.0
CNP,2018-05-01 18:00:00+00:00,25.43,25.45,25.37,25.45,51606.0
CNP,2018-05-01 19:00:00+00:00,25.445,25.455,25.36,25.44,150052.0
CNP,2018-05-02 13:00:00+00:00,25.48,25.585,25.38,25.38,46332.0
CNP,2018-05-02 14:00:00+00:00,25.38,25.59,25.35,25.59,136887.0
CNP,2018-05-02 15:00:00+00:00,25.59,25.59,25.39,25.395,68436.0
CNP,2018-05-02 16:00:00+00:00,25.39,25.48,25.38,25.46,65584.0
CNP,2018-05-02 17:00:00+00:00,25.46,25.535,25.44,25.51,70380.0
CNP,2018-05-02 18:00:00+00:00,25.52,25.6,25.5,25.52,99054.0
CNP,2018-05-02 19:00:00+00:00,25.52,25.535,25.39,25.46,192518.0
CNP,2018-05-03 13:00:00+00:00,25.42,25.42,25.19,25.245,48624.0
CNP,2018-05-03 14:00:00+00:00,25.25,25.25,25.0,25.06,144767.0
CNP,2018-05-03 15:00:00+00:00,25.07,25.185,25.03,25.18,108173.0
CNP,2018-05-03 16:00:00+00:00,25.18,25.26,25.135,25.26,87333.0
CNP,2018-05-03 17:00:00+00:00,25.26,25.33,25.185,25.3,96487.0
CNP,2018-05-03 18:00:00+00:00,25.29,25.38,25.27,25.35,105912.0
CNP,2018-05-03 19:00:00+00:00,25.34,25.46,25.3,25.42,224100.0
CNP,2018-05-04 12:00:00+00:00,26.35,26.35,26.35,26.35,100.0
CNP,2018-05-04 13:00:00+00:00,26.88,27.12,26.04,26.09,173459.0
CNP,2018-05-04 14:00:00+00:00,26.09,26.36,26.085,26.33,205662.0
CNP,2018-05-04 15:00:00+00:00,26.335,26.49,26.29,26.46,117110.0
CNP,2018-05-04 16:00:00+00:00,26.455,26.47,26.37,26.37,71050.0
CNP,2018-05-04 17:00:00+00:00,26.365,26.39,26.195,26.21,76840.0
CNP,2018-05-04 18:00:00+00:00,26.205,26.38,26.19,26.31,92939.0
CNP,2018-05-04 19:00:00+00:00,26.305,26.47,26.305,26.41,185816.0
CNP,2018-05-07 13:00:00+00:00,26.57,27.03,26.48,26.89,147095.0
CNP,2018-05-07 14:00:00+00:00,26.89,26.985,26.81,26.81,125690.0
CNP,2018-05-07 15:00:00+00:00,26.815,26.9,26.765,26.84,83710.0
CNP,2018-05-07 16:00:00+00:00,26.84,26.91,26.765,26.765,95361.0
CNP,2018-05-07 17:00:00+00:00,26.76,26.76,26.685,26.735,86831.0
CNP,2018-05-07 18:00:00+00:00,26.735,26.755,26.59,26.59,84259.0
CNP,2018-05-07 19:00:00+00:00,26.585,26.63,26.51,26.63,209203.0
CNP,2018-05-08 13:00:00+00:00,26.49,26.54,26.28,26.3,63622.0
CNP,2018-05-08 14:00:00+00:00,26.29,26.52,26.2,26.44,136768.0
CNP,2018-05-08 15:00:00+00:00,26.44,26.47,26.32,26.41,94473.0
CNP,2018-05-08 16:00:00+00:00,26.405,26.445,26.38,26.405,71979.0
CNP,2018-05-08 17:00:00+00:00,26.405,26.415,26.325,26.38,79859.0
CNP,2018-05-08 18:00:00+00:00,26.37,26.37,26.28,26.345,109408.0
CNP,2018-05-08 19:00:00+00:00,26.34,26.57,26.335,26.54,415744.0
CNP,2018-05-09 13:00:00+00:00,26.78,26.86,26.59,26.83,73178.0
CNP,2018-05-09 14:00:00+00:00,26.82,26.88,26.6,26.65,90679.0
CNP,2018-05-09 15:00:00+00:00,26.66,26.695,26.52,26.595,56075.0
CNP,2018-05-09 16:00:00+00:00,26.595,26.595,26.35,26.36,62645.0
CNP,2018-05-09 17:00:00+00:00,26.36,26.38,26.305,26.32,45935.0
CNP,2018-05-09 18:00:00+00:00,26.31,26.345,26.27,26.345,90143.0
CNP,2018-05-09 19:00:00+00:00,26.345,26.375,26.25,26.27,157656.0
CNP,2018-05-09 20:00:00+00:00,26.25,26.25,26.25,26.25,1.0
CNP,2018-05-10 13:00:00+00:00,26.38,26.51,26.34,26.39,41610.0
CNP,2018-05-10 14:00:00+00:00,26.39,26.53,26.375,26.445,66890.0
CNP,2018-05-10 15:00:00+00:00,26.44,26.565,26.44,26.56,75137.0
CNP,2018-05-10 16:00:00+00:00,26.56,26.59,26.52,26.52,57506.0
CNP,2018-05-10 17:00:00+00:00,26.525,26.64,26.5,26.595,66233.0
CNP,2018-05-10 18:00:00+00:00,26.595,26.63,26.55,26.615,42637.0
CNP,2018-05-10 19:00:00+00:00,26.62,26.675,26.565,26.66,108091.0
CNP,2018-05-11 13:00:00+00:00,26.69,26.76,26.625,26.65,14230.0
CNP,2018-05-11 14:00:00+00:00,26.64,26.735,26.57,26.73,53365.0
CNP,2018-05-11 15:00:00+00:00,26.73,26.79,26.705,26.75,53096.0
CNP,2018-05-11 16:00:00+00:00,26.76,26.78,26.685,26.77,35910.0
CNP,2018-05-11 17:00:00+00:00,26.77,26.78,26.735,26.775,22031.0
CNP,2018-05-11 18:00:00+00:00,26.775,26.78,26.665,26.69,44865.0
CNP,2018-05-11 19:00:00+00:00,26.69,26.71,26.64,26.69,55819.0
CNP,2018-05-14 13:00:00+00:00,26.78,26.81,26.69,26.71,11672.0
CNP,2018-05-14 14:00:00+00:00,26.71,26.76,26.63,26.63,29700.0
CNP,2018-05-14 15:00:00+00:00,26.62,26.62,26.48,26.51,28126.0
CNP,2018-05-14 16:00:00+00:00,26.5,26.5,26.4,26.485,30206.0
CNP,2018-05-14 17:00:00+00:00,26.49,26.5,26.39,26.425,38573.0
CNP,2018-05-14 18:00:00+00:00,26.43,26.47,26.39,26.46,30906.0
CNP,2018-05-14 19:00:00+00:00,26.45,26.5,26.415,26.485,97188.0
CNP,2018-05-15 13:00:00+00:00,26.41,26.48,25.91,25.92,76096.0
CNP,2018-05-15 14:00:00+00:00,25.92,26.07,25.845,26.055,100774.0
CNP,2018-05-15 15:00:00+00:00,26.05,26.155,26.015,26.085,73941.0
CNP,2018-05-15 16:00:00+00:00,26.09,26.18,26.08,26.135,48207.0
CNP,2018-05-15 17:00:00+00:00,26.14,26.16,26.055,26.1,59456.0
CNP,2018-05-15 18:00:00+00:00,26.1,26.15,26.065,26.075,93442.0
CNP,2018-05-15 19:00:00+00:00,26.08,26.1,25.935,26.06,141003.0
CNP,2018-05-16 13:00:00+00:00,25.88,25.89,25.76,25.77,27136.0
CNP,2018-05-16 14:00:00+00:00,25.78,25.8,25.545,25.61,33406.0
CNP,2018-05-16 15:00:00+00:00,25.605,25.665,25.525,25.545,45928.0
CNP,2018-05-16 16:00:00+00:00,25.545,25.58,25.47,25.5,84944.0
CNP,2018-05-16 17:00:00+00:00,25.505,25.58,25.475,25.565,151097.0
