symbol,ts,open,high,low,close,volume
COP,2018-05-01 13:00:00+00:00,65.44,65.44,64.56,65.04,39386.0
COP,2018-05-01 14:00:00+00:00,65.06,65.12,64.68,64.71,133967.0
COP,2018-05-01 15:00:00+00:00,64.73,65.07,64.59,64.78,136269.0
COP,2018-05-01 16:00:00+00:00,64.78,65.3,64.72,65.27,83940.0
COP,2018-05-01 17:00:00+00:00,65.28,65.28,64.95,65.17,95798.0
COP,2018-05-01 18:00:00+00:00,65.17,65.61,65.17,65.6,92266.0
COP,2018-05-01 19:00:00+00:00,65.61,65.77,65.46,65.71,195856.0
COP,2018-05-02 13:00:00+00:00,65.17,65.72,65.17,65.54,74545.0
COP,2018-05-02 14:00:00+00:00,65.54,65.99,65.27,65.97,167837.0
COP,2018-05-02 15:00:00+00:00,65.97,65.98,65.6,65.72,131899.0
COP,2018-05-02 16:00:00+00:00,65.72,65.81,65.5,65.52,126762.0
COP,2018-05-02 17:00:00+00:00,65.53,65.89,65.53,65.65,104521.0
COP,2018-05-02 18:00:00+00:00,65.64,65.96,65.51,65.52,157857.0
COP,2018-05-02 19:00:00+00:00,65.52,65.69,65.16,65.43,245472.0
COP,2018-05-03 08:00:00+00:00,64.34,64.34,64.34,64.34,1.0
COP,2018-05-03 13:00:00+00:00,64.91,65.03,64.55,64.87,48883.0
COP,2018-05-03 14:00:00+00:00,64.9,64.91,64.32,64.78,172514.0
COP,2018-05-03 15:00:00+00:00,64.79,65.14,64.71,65.05,130785.0
COP,2018-05-03 16:00:00+00:00,65.04,65.81,64.99,65.8,136403.0
COP,2018-05-03 17:00:00+00:00,65.82,66.16,65.66,66.01,158076.0
COP,2018-05-03 18:00:00+00:00,66.02,66.16,65.87,65.92,139794.0
COP,2018-05-03 19:00:00+00:00,65.92,66.01,65.76,66.005,226155.0
COP,2018-05-03 22:00:00+00:00,66.04,66.04,66.04,66.04,100.0
COP,2018-05-04 13:00:00+00:00,65.87,66.19,65.61,66.1,75680.0
COP,2018-05-04 14:00:00+00:00,66.09,66.6,65.96,66.47,136474.0
COP,2018-05-04 15:00:00+00:00,66.48,67.02,66.39,67.02,108205.0
COP,2018-05-04 16:00:00+00:00,67.03,67.08,66.8,66.82,112309.0
COP,2018-05-04 17:00:00+00:00,66.83,67.08,66.75,67.0,88581.0
COP,2018-05-04 18:00:00+00:00,67.0,67.025,66.87,66.88,77012.0
COP,2018-05-04 19:00:00+00:00,66.87,66.945,66.67,66.86,194882.0
COP,2018-05-07 12:00:00+00:00,67.45,67.45,67.45,67.45,4.0
COP,2018-05-07 13:00:00+00:00,67.4,68.5,67.23,68.31,106307.0
COP,2018-05-07 14:00:00+00:00,68.31,68.64,68.14,68.53,144440.0
COP,2018-05-07 15:00:00+00:00,68.52,68.595,68.07,68.07,109474.0
COP,2018-05-07 16:00:00+00:00,68.06,68.19,67.97,68.14,82793.0
COP,2018-05-07 17:00:00+00:00,68.15,68.16,67.92,68.0,55612.0
COP,2018-05-07 18:00:00+00:00,68.0,68.0,67.17,67.19,101021.0
COP,2018-05-07 19:00:00+00:00,67.2,67.2,66.7,66.77,246242.0
COP,2018-05-08 13:00:00+00:00,66.77,66.86,66.12,66.48,57377.0
COP,2018-05-08 14:00:00+00:00,66.5,66.53,66.07,66.15,111526.0
COP,2018-05-08 15:00:00+00:00,66.13,66.78,65.48,66.56,119362.0
COP,2018-05-08 16:00:00+00:00,66.51,66.66,66.27,66.46,101721.0
COP,2018-05-08 17:00:00+00:00,66.46,66.64,66.27,66.305,91386.0
COP,2018-05-08 18:00:00+00:00,66.29,67.67,66.22,67.14,195275.0
COP,2018-05-08 19:00:00+00:00,67.155,67.74,67.155,67.74,229007.0
COP,2018-05-09 11:00:00+00:00,68.68,68.71,68.68,68.71,700.0
COP,2018-05-09 12:00:00+00:00,68.79,68.8,68.71,68.71,1280.0
COP,2018-05-09 13:00:00+00:00,68.75,69.52,68.55,69.32,115335.0
COP,2018-05-09 14:00:00+00:00,69.32,70.15,69.1,69.13,271633.0
COP,2018-05-09 15:00:00+00:00,69.15,69.48,68.88,69.14,111574.0
COP,2018-05-09 16:00:00+00:00,69.15,69.59,69.15,69.27,114529.0
COP,2018-05-09 17:00:00+00:00,69.26,69.39,69.15,69.23,98166.0
COP,2018-05-09 18:00:00+00:00,69.23,69.34,68.95,69.23,104981.0
COP,2018-05-09 19:00:00+00:00,69.23,69.25,68.505,68.7,272788.0
COP,2018-05-09 20:00:00+00:00,68.71,68.76,68.71,68.76,300.0
COP,2018-05-09 22:00:00+00:00,68.78,68.78,68.78,68.78,200.0
COP,2018-05-10 13:00:00+00:00,69.17,69.68,68.82,68.89,118517.0
COP,2018-05-10 14:00:00+00:00,68.9,69.41,68.65,68.92,138398.0
COP,2018-05-10 15:00:00+00:00,68.91,69.265,68.85,69.16,135926.0
COP,2018-05-10 16:00:00+00:00,69.2,69.38,69.1,69.37,97885.0
COP,2018-05-10 17:00:00+00:00,69.38,69.495,69.28,69.34,85039.0
COP,2018-05-10 18:00:00+00:00,69.35,69.705,69.31,69.51,128100.0
COP,2018-05-10 19:00:00+00:00,69.51,69.53,69.18,69.34,240691.0
