symbol,ts,open,high,low,close,volume
COR,2018-05-01 13:00:00+00:00,104.02,104.56,103.93,104.27,4163.0
COR,2018-05-01 14:00:00+00:00,104.57,104.86,104.13,104.13,4467.0
COR,2018-05-01 15:00:00+00:00,104.055,104.18,103.81,103.83,3343.0
COR,2018-05-01 16:00:00+00:00,103.855,104.0,103.69,103.91,3751.0
COR,2018-05-01 17:00:00+00:00,103.865,104.85,103.865,104.83,5461.0
COR,2018-05-01 18:00:00+00:00,104.75,105.38,104.68,105.38,5172.0
COR,2018-05-01 19:00:00+00:00,105.41,105.86,105.08,105.48,17532.0
COR,2018-05-02 13:00:00+00:00,105.3,105.49,104.78,105.21,2340.0
COR,2018-05-02 14:00:00+00:00,104.98,106.32,104.97,105.46,5916.0
COR,2018-05-02 15:00:00+00:00,105.42,105.42,104.53,104.58,10302.0
COR,2018-05-02 16:00:00+00:00,104.57,104.57,103.87,104.17,5516.0
COR,2018-05-02 17:00:00+00:00,104.11,104.8,103.92,104.8,4736.0
COR,2018-05-02 18:00:00+00:00,104.82,104.84,104.41,104.61,8225.0
COR,2018-05-02 19:00:00+00:00,104.56,104.71,104.34,104.59,11471.0
COR,2018-05-03 13:00:00+00:00,104.57,104.57,102.51,102.51,5835.0
COR,2018-05-03 14:00:00+00:00,102.67,104.36,102.46,104.19,5961.0
COR,2018-05-03 15:00:00+00:00,104.39,104.39,103.78,104.27,5092.0
COR,2018-05-03 16:00:00+00:00,104.37,104.37,103.74,104.25,4022.0
COR,2018-05-03 17:00:00+00:00,104.18,104.4,103.91,104.25,5272.0
COR,2018-05-03 18:00:00+00:00,104.17,104.36,103.99,104.05,3205.0
COR,2018-05-03 19:00:00+00:00,104.11,104.2,103.49,103.69,13831.0
COR,2018-05-04 13:00:00+00:00,103.93,104.05,103.79,103.91,1963.0
COR,2018-05-04 14:00:00+00:00,103.99,104.14,103.71,103.96,6487.0
COR,2018-05-04 15:00:00+00:00,103.86,104.4,103.86,103.99,5674.0
COR,2018-05-04 16:00:00+00:00,103.98,104.31,103.98,104.12,2273.0
COR,2018-05-04 17:00:00+00:00,104.11,104.26,104.03,104.1,798.0
COR,2018-05-04 18:00:00+00:00,104.1,104.88,104.03,104.58,8002.0
COR,2018-05-04 19:00:00+00:00,104.62,104.82,104.48,104.7,17800.0
COR,2018-05-04 20:00:00+00:00,104.71,104.71,104.71,104.71,100.0
COR,2018-05-07 13:00:00+00:00,104.99,104.99,104.97,104.97,121.0
COR,2018-05-07 14:00:00+00:00,104.92,105.03,104.05,104.23,5972.0
