symbol,ts,open,high,low,close,volume
CPB,2018-05-01 13:00:00+00:00,40.78,40.78,40.48,40.71,16437.0
CPB,2018-05-01 14:00:00+00:00,40.72,40.8,40.47,40.49,46123.0
CPB,2018-05-01 15:00:00+00:00,40.48,40.67,40.41,40.51,23000.0
CPB,2018-05-01 16:00:00+00:00,40.51,40.62,40.48,40.57,21019.0
CPB,2018-05-01 17:00:00+00:00,40.56,40.75,40.48,40.72,22179.0
CPB,2018-05-01 18:00:00+00:00,40.72,40.93,40.65,40.84,36976.0
CPB,2018-05-01 19:00:00+00:00,40.84,40.95,40.72,40.945,96488.0
CPB,2018-05-02 13:00:00+00:00,40.93,40.93,40.145,40.23,19667.0
CPB,2018-05-02 14:00:00+00:00,40.22,40.31,40.05,40.1,58869.0
CPB,2018-05-02 15:00:00+00:00,40.1,40.15,39.97,40.05,38802.0
CPB,2018-05-02 16:00:00+00:00,40.03,40.15,40.01,40.06,22969.0
CPB,2018-05-02 17:00:00+00:00,40.05,40.09,39.9,40.015,39820.0
CPB,2018-05-02 18:00:00+00:00,40.03,40.13,39.88,39.92,76164.0
CPB,2018-05-02 19:00:00+00:00,39.92,40.18,39.89,39.95,127934.0
CPB,2018-05-03 13:00:00+00:00,40.0,40.2,39.79,40.15,62300.0
CPB,2018-05-03 14:00:00+00:00,40.14,40.19,39.95,40.09,43021.0
CPB,2018-05-03 15:00:00+00:00,40.06,40.36,40.05,40.35,88745.0
CPB,2018-05-03 16:00:00+00:00,40.37,40.43,40.13,40.34,55959.0
CPB,2018-05-03 17:00:00+00:00,40.34,40.52,40.3,40.4,42453.0
CPB,2018-05-03 18:00:00+00:00,40.4,40.4,40.27,40.39,78529.0
CPB,2018-05-03 19:00:00+00:00,40.4,40.4,40.295,40.39,98216.0
CPB,2018-05-03 20:00:00+00:00,40.45,40.45,40.45,40.45,50.0
CPB,2018-05-04 13:00:00+00:00,40.34,40.76,40.17,40.695,34443.0
CPB,2018-05-04 14:00:00+00:00,40.67,41.11,40.53,41.07,56135.0
CPB,2018-05-04 15:00:00+00:00,41.05,41.1,40.87,40.96,41410.0
CPB,2018-05-04 16:00:00+00:00,40.96,41.16,40.92,41.14,27466.0
CPB,2018-05-04 17:00:00+00:00,41.13,41.26,41.13,41.18,30675.0
CPB,2018-05-04 18:00:00+00:00,41.18,41.23,41.1,41.19,23528.0
CPB,2018-05-04 19:00:00+00:00,41.2,41.22,40.935,41.01,50404.0
CPB,2018-05-07 13:00:00+00:00,41.05,41.22,40.86,40.93,9983.0
CPB,2018-05-07 14:00:00+00:00,40.94,41.01,40.77,40.78,21579.0
CPB,2018-05-07 15:00:00+00:00,40.77,40.8,40.58,40.63,37291.0
CPB,2018-05-07 16:00:00+00:00,40.62,40.83,40.61,40.66,50394.0
CPB,2018-05-07 17:00:00+00:00,40.68,40.95,40.62,40.93,40542.0
CPB,2018-05-07 18:00:00+00:00,40.93,41.07,40.92,41.01,29782.0
CPB,2018-05-07 19:00:00+00:00,41.02,41.035,40.91,41.02,67988.0
CPB,2018-05-08 13:00:00+00:00,40.88,41.3,40.87,40.96,18258.0
