symbol,ts,open,high,low,close,volume
CPRT,2018-05-01 13:00:00+00:00,51.34,51.63,50.98,51.09,26149.0
CPRT,2018-05-01 14:00:00+00:00,51.09,51.09,50.9,50.96,41331.0
CPRT,2018-05-01 15:00:00+00:00,50.95,51.29,50.86,51.17,26895.0
CPRT,2018-05-01 16:00:00+00:00,51.15,51.31,51.03,51.08,29891.0
CPRT,2018-05-01 17:00:00+00:00,51.07,51.41,50.93,51.37,31709.0
CPRT,2018-05-01 18:00:00+00:00,51.41,51.62,51.4,51.61,48677.0
CPRT,2018-05-01 19:00:00+00:00,51.61,51.76,51.47,51.66,117641.0
CPRT,2018-05-01 20:00:00+00:00,51.66,51.66,51.65,51.65,153130.0
CPRT,2018-05-02 13:00:00+00:00,51.71,52.06,51.41,52.05,22345.0
CPRT,2018-05-02 14:00:00+00:00,52.06,52.36,52.02,52.13,43766.0
CPRT,2018-05-02 15:00:00+00:00,52.11,52.18,51.89,51.92,37328.0
CPRT,2018-05-02 16:00:00+00:00,51.91,51.91,51.71,51.8,23812.0
CPRT,2018-05-02 17:00:00+00:00,51.79,52.05,51.79,51.94,23570.0
CPRT,2018-05-02 18:00:00+00:00,51.95,52.25,51.95,52.15,38393.0
CPRT,2018-05-02 19:00:00+00:00,52.15,52.155,51.75,51.785,91448.0
CPRT,2018-05-02 20:00:00+00:00,51.79,51.8,51.78,51.78,52020.0
CPRT,2018-05-03 13:00:00+00:00,51.48,51.85,51.48,51.75,18024.0
CPRT,2018-05-03 14:00:00+00:00,51.76,51.76,51.39,51.51,40365.0
CPRT,2018-05-03 15:00:00+00:00,51.5,51.85,51.4,51.84,43435.0
CPRT,2018-05-03 16:00:00+00:00,51.84,52.23,51.75,52.22,45733.0
CPRT,2018-05-03 17:00:00+00:00,52.225,52.23,51.91,52.08,31523.0
CPRT,2018-05-03 18:00:00+00:00,52.06,52.25,51.98,52.09,29235.0
CPRT,2018-05-03 19:00:00+00:00,52.1,52.34,52.07,52.285,150340.0
