symbol,ts,open,high,low,close,volume
CRH,2018-05-01 08:00:00+00:00,35.38,35.54,35.38,35.54,2065.0
CRH,2018-05-01 09:00:00+00:00,35.49,35.59,35.49,35.59,614.0
CRH,2018-05-01 11:00:00+00:00,35.58,35.58,35.58,35.58,100.0
CRH,2018-05-01 13:00:00+00:00,35.44,35.44,35.34,35.35,6698.0
CRH,2018-05-01 14:00:00+00:00,35.34,35.35,35.1,35.11,15121.0
CRH,2018-05-01 15:00:00+00:00,35.05,35.18,34.98,35.05,24533.0
CRH,2018-05-01 16:00:00+00:00,35.04,35.11,35.035,35.06,1821.0
CRH,2018-05-01 17:00:00+00:00,35.05,35.16,35.03,35.16,1906.0
CRH,2018-05-01 18:00:00+00:00,35.2,35.23,35.15,35.19,3167.0
CRH,2018-05-01 19:00:00+00:00,35.22,35.295,35.185,35.29,8582.0
CRH,2018-05-02 08:00:00+00:00,36.01,36.01,36.0,36.0,702.0
CRH,2018-05-02 10:00:00+00:00,36.13,36.13,36.13,36.13,803.0
CRH,2018-05-02 11:00:00+00:00,36.08,36.08,36.07,36.07,500.0
CRH,2018-05-02 12:00:00+00:00,36.07,36.09,36.07,36.09,2600.0
CRH,2018-05-02 13:00:00+00:00,36.07,36.08,35.885,35.9,20362.0
CRH,2018-05-02 14:00:00+00:00,35.88,35.93,35.76,35.78,7313.0
CRH,2018-05-02 15:00:00+00:00,35.82,35.91,35.75,35.78,8167.0
CRH,2018-05-02 16:00:00+00:00,35.8,35.85,35.79,35.85,2451.0
CRH,2018-05-02 17:00:00+00:00,35.865,35.87,35.81,35.81,2328.0
CRH,2018-05-02 18:00:00+00:00,35.81,35.91,35.76,35.76,3304.0
CRH,2018-05-02 19:00:00+00:00,35.745,35.77,35.61,35.65,10169.0
CRH,2018-05-03 08:00:00+00:00,35.89,35.89,35.89,35.89,300.0
CRH,2018-05-03 09:00:00+00:00,35.77,35.77,35.67,35.67,600.0
CRH,2018-05-03 11:00:00+00:00,35.52,35.52,35.52,35.52,200.0
CRH,2018-05-03 12:00:00+00:00,35.78,35.78,35.78,35.78,210.0
CRH,2018-05-03 13:00:00+00:00,35.67,35.79,35.62,35.62,7833.0
CRH,2018-05-03 14:00:00+00:00,35.67,35.69,35.42,35.46,7997.0
CRH,2018-05-03 15:00:00+00:00,35.475,35.66,35.47,35.66,15411.0
CRH,2018-05-03 16:00:00+00:00,35.67,35.87,35.6,35.86,1700.0
CRH,2018-05-03 17:00:00+00:00,35.85,35.89,35.8,35.86,1553.0
CRH,2018-05-03 18:00:00+00:00,35.85,35.89,35.81,35.84,2144.0
CRH,2018-05-03 19:00:00+00:00,35.85,35.89,35.82,35.87,7231.0
CRH,2018-05-04 12:00:00+00:00,36.03,36.03,36.03,36.03,100.0
CRH,2018-05-04 13:00:00+00:00,35.81,35.84,35.76,35.79,3170.0
CRH,2018-05-04 14:00:00+00:00,35.8,36.03,35.8,36.01,3073.0
CRH,2018-05-04 15:00:00+00:00,35.94,36.055,35.9,36.03,4500.0
CRH,2018-05-04 16:00:00+00:00,36.0,36.08,36.0,36.04,2026.0
CRH,2018-05-04 17:00:00+00:00,36.045,36.11,36.04,36.11,903.0
CRH,2018-05-04 18:00:00+00:00,36.12,36.17,36.11,36.11,1654.0
CRH,2018-05-04 19:00:00+00:00,36.12,36.15,36.04,36.07,5311.0
CRH,2018-05-07 13:00:00+00:00,36.13,36.22,36.12,36.21,1995.0
CRH,2018-05-07 14:00:00+00:00,36.22,36.29,36.18,36.28,2284.0
CRH,2018-05-07 15:00:00+00:00,36.26,36.32,36.25,36.28,1805.0
CRH,2018-05-07 16:00:00+00:00,36.29,36.33,36.29,36.31,1000.0
CRH,2018-05-07 17:00:00+00:00,36.34,36.34,36.31,36.33,800.0
CRH,2018-05-07 18:00:00+00:00,36.34,36.34,36.28,36.29,1792.0
CRH,2018-05-07 19:00:00+00:00,36.29,36.29,36.19,36.27,5025.0
CRH,2018-05-08 13:00:00+00:00,35.97,36.14,35.94,36.13,14840.0
