symbol,ts,open,high,low,close,volume
CSCO,2018-05-01 12:00:00+00:00,44.15,44.15,44.15,44.15,50.0
CSCO,2018-05-01 13:00:00+00:00,44.15,44.36,43.85,44.33,955517.0
CSCO,2018-05-01 14:00:00+00:00,44.33,44.335,43.995,44.18,768420.0
CSCO,2018-05-01 15:00:00+00:00,44.17,44.25,43.94,43.95,713997.0
CSCO,2018-05-01 16:00:00+00:00,43.96,44.32,43.96,44.31,460102.0
CSCO,2018-05-01 17:00:00+00:00,44.315,44.48,44.205,44.48,587969.0
CSCO,2018-05-01 18:00:00+00:00,44.47,44.77,44.46,44.71,572891.0
CSCO,2018-05-01 19:00:00+00:00,44.71,44.95,44.59,44.83,1316789.0
CSCO,2018-05-01 20:00:00+00:00,44.83,45.32,44.8,44.92,1162964.0
CSCO,2018-05-01 21:00:00+00:00,45.1,45.1,44.83,44.83,1810.0
CSCO,2018-05-01 22:00:00+00:00,44.78,44.78,44.78,44.78,5.0
CSCO,2018-05-02 11:00:00+00:00,44.9,44.9,44.9,44.9,6376.0
CSCO,2018-05-02 12:00:00+00:00,44.85,45.05,44.85,44.9,3596.0
CSCO,2018-05-02 13:00:00+00:00,44.84,45.05,44.32,44.505,1037081.0
CSCO,2018-05-02 14:00:00+00:00,44.505,44.615,44.33,44.36,635034.0
CSCO,2018-05-02 15:00:00+00:00,44.36,44.425,43.94,44.1,597398.0
CSCO,2018-05-02 16:00:00+00:00,44.095,44.14,44.025,44.11,396769.0
CSCO,2018-05-02 17:00:00+00:00,44.115,44.26,44.1,44.16,359443.0
CSCO,2018-05-02 18:00:00+00:00,44.17,44.46,44.15,44.2,803206.0
CSCO,2018-05-02 19:00:00+00:00,44.21,44.34,43.8,43.86,1532511.0
CSCO,2018-05-02 20:00:00+00:00,43.86,43.88,43.7,43.7,2229677.0
CSCO,2018-05-02 21:00:00+00:00,43.71,43.84,43.71,43.84,588.0
CSCO,2018-05-03 09:00:00+00:00,44.0,44.07,44.0,44.06,2698.0
