symbol,ts,open,high,low,close,volume
CSGP,2018-05-01 13:00:00+00:00,366.44,366.44,363.6,363.62,1302.0
CSGP,2018-05-01 14:00:00+00:00,364.81,369.96,363.49,369.28,6394.0
CSGP,2018-05-01 15:00:00+00:00,368.67,371.05,367.27,370.49,4254.0
CSGP,2018-05-01 16:00:00+00:00,370.67,371.71,369.68,369.92,5031.0
CSGP,2018-05-01 17:00:00+00:00,370.14,370.14,367.68,368.81,6923.0
CSGP,2018-05-01 18:00:00+00:00,368.56,369.5,368.04,368.84,6713.0
CSGP,2018-05-01 19:00:00+00:00,369.07,369.43,368.54,369.31,13204.0
CSGP,2018-05-01 20:00:00+00:00,368.98,369.3,368.98,369.3,6829.0
CSGP,2018-05-02 13:00:00+00:00,368.75,370.12,366.0,368.5,5515.0
CSGP,2018-05-02 14:00:00+00:00,368.81,369.99,367.79,368.49,4949.0
CSGP,2018-05-02 15:00:00+00:00,369.0,369.26,366.52,367.3,3593.0
CSGP,2018-05-02 16:00:00+00:00,367.75,368.0,367.13,367.74,3850.0
CSGP,2018-05-02 17:00:00+00:00,367.99,369.1,367.57,369.05,5971.0
CSGP,2018-05-02 18:00:00+00:00,369.61,371.94,368.94,370.34,5414.0
CSGP,2018-05-02 19:00:00+00:00,370.38,370.61,367.96,368.08,12644.0
CSGP,2018-05-02 20:00:00+00:00,368.3,368.3,368.3,368.3,9031.0
CSGP,2018-05-03 13:00:00+00:00,368.02,369.89,368.0,369.89,2077.0
CSGP,2018-05-03 14:00:00+00:00,370.53,370.91,369.14,369.98,7417.0
CSGP,2018-05-03 15:00:00+00:00,369.56,369.56,365.36,367.77,4412.0
CSGP,2018-05-03 16:00:00+00:00,367.4,369.74,367.4,369.74,1819.0
CSGP,2018-05-03 17:00:00+00:00,369.76,370.54,369.01,370.54,3331.0
CSGP,2018-05-03 18:00:00+00:00,370.55,371.85,370.36,370.85,5570.0
CSGP,2018-05-03 19:00:00+00:00,371.33,373.98,371.33,373.04,10203.0
CSGP,2018-05-03 20:00:00+00:00,373.27,373.27,373.27,373.27,42751.0
CSGP,2018-05-04 13:00:00+00:00,372.53,373.97,370.29,370.29,2190.0
CSGP,2018-05-04 14:00:00+00:00,368.82,370.84,368.66,370.35,5338.0
CSGP,2018-05-04 15:00:00+00:00,370.47,372.97,370.47,372.76,2052.0
CSGP,2018-05-04 16:00:00+00:00,372.725,373.27,371.77,372.16,2168.0
CSGP,2018-05-04 17:00:00+00:00,372.48,374.35,372.48,374.26,2741.0
CSGP,2018-05-04 18:00:00+00:00,374.58,376.73,374.52,376.11,8462.0
CSGP,2018-05-04 19:00:00+00:00,376.37,378.29,375.78,377.88,25512.0
CSGP,2018-05-04 20:00:00+00:00,377.87,377.87,377.87,377.87,4927.0
CSGP,2018-05-07 13:00:00+00:00,377.5,378.68,375.07,378.45,5458.0
CSGP,2018-05-07 14:00:00+00:00,378.53,379.98,378.41,379.86,1865.0
CSGP,2018-05-07 15:00:00+00:00,379.65,382.68,379.63,382.68,3368.0
CSGP,2018-05-07 16:00:00+00:00,382.81,383.65,382.31,382.75,3638.0
CSGP,2018-05-07 17:00:00+00:00,382.94,384.13,382.41,384.13,6796.0
CSGP,2018-05-07 18:00:00+00:00,384.21,385.8,384.09,384.46,4292.0
CSGP,2018-05-07 19:00:00+00:00,384.48,386.55,383.57,386.01,21707.0
CSGP,2018-05-07 20:00:00+00:00,386.01,386.01,386.01,386.01,8397.0
CSGP,2018-05-08 13:00:00+00:00,384.05,385.53,382.93,385.47,3656.0
CSGP,2018-05-08 14:00:00+00:00,385.36,387.69,385.0,386.96,7539.0
CSGP,2018-05-08 15:00:00+00:00,386.5,387.66,384.97,384.97,2935.0
CSGP,2018-05-08 16:00:00+00:00,385.0,386.33,383.66,385.13,2005.0
CSGP,2018-05-08 17:00:00+00:00,385.18,386.51,385.02,385.02,1634.0
CSGP,2018-05-08 18:00:00+00:00,385.25,386.45,384.89,385.48,2537.0
CSGP,2018-05-08 19:00:00+00:00,386.07,386.91,385.14,386.9,9631.0
CSGP,2018-05-08 20:00:00+00:00,386.53,386.53,386.53,386.53,8398.0
CSGP,2018-05-09 13:00:00+00:00,387.19,387.7,386.0,387.32,3316.0
CSGP,2018-05-09 14:00:00+00:00,386.72,387.84,385.04,385.205,5222.0
CSGP,2018-05-09 15:00:00+00:00,384.97,386.84,384.97,385.9,1888.0
CSGP,2018-05-09 16:00:00+00:00,385.91,387.08,385.91,386.68,601.0
CSGP,2018-05-09 17:00:00+00:00,386.77,388.69,386.76,388.05,931.0
CSGP,2018-05-09 18:00:00+00:00,388.47,389.35,387.91,388.48,2369.0
CSGP,2018-05-09 19:00:00+00:00,388.44,390.72,388.43,390.28,10281.0
CSGP,2018-05-09 20:00:00+00:00,390.28,390.28,390.28,390.28,7202.0
CSGP,2018-05-10 13:00:00+00:00,391.0,392.85,388.42,391.62,2799.0
CSGP,2018-05-10 14:00:00+00:00,392.03,393.76,392.03,393.46,2598.0
CSGP,2018-05-10 15:00:00+00:00,392.82,393.3,392.28,392.28,2533.0
CSGP,2018-05-10 16:00:00+00:00,392.7,394.82,392.53,394.82,689.0
CSGP,2018-05-10 17:00:00+00:00,394.665,394.665,392.01,392.98,3722.0
CSGP,2018-05-10 18:00:00+00:00,393.71,394.15,391.41,392.74,1393.0
CSGP,2018-05-10 19:00:00+00:00,392.59,394.07,391.87,393.74,11983.0
CSGP,2018-05-10 20:00:00+00:00,393.45,393.45,393.45,393.45,10343.0
CSGP,2018-05-11 13:00:00+00:00,394.44,394.95,392.45,392.58,1654.0
CSGP,2018-05-11 14:00:00+00:00,393.69,393.69,392.57,392.76,3603.0
CSGP,2018-05-11 15:00:00+00:00,392.83,393.13,391.29,392.47,3719.0
CSGP,2018-05-11 16:00:00+00:00,393.36,393.36,390.45,391.37,1641.0
