symbol,ts,open,high,low,close,volume
CTRA,2018-11-09 14:00:00+00:00,78.0,78.0,77.0,77.0,2150.0
CTRA,2018-11-09 18:00:00+00:00,76.5,76.5,76.5,76.5,5.0
CTRA,2018-11-12 16:00:00+00:00,74.75,74.75,74.75,74.75,10.0
CTRA,2018-11-12 18:00:00+00:00,74.74,74.74,74.74,74.74,100.0
CTRA,2018-11-12 19:00:00+00:00,74.98,74.98,74.98,74.98,100.0
CTRA,2018-11-12 20:00:00+00:00,74.89,74.99,74.89,74.99,110.0
CTRA,2018-11-13 14:00:00+00:00,75.73,75.73,73.11,73.11,150.0
CTRA,2018-11-13 15:00:00+00:00,74.51,75.47,74.26,74.26,488.0
CTRA,2018-11-13 16:00:00+00:00,75.0,75.0,75.0,75.0,200.0
CTRA,2018-11-13 17:00:00+00:00,75.0,75.0,75.0,75.0,400.0
CTRA,2018-11-13 18:00:00+00:00,75.0,75.0,75.0,75.0,200.0
CTRA,2018-11-13 19:00:00+00:00,74.98,75.5,74.86,75.0,1300.0
CTRA,2018-11-14 14:00:00+00:00,74.05,74.05,72.61,72.61,186.0
CTRA,2018-11-14 15:00:00+00:00,73.37,73.51,72.5,72.5,479.0
CTRA,2018-11-14 16:00:00+00:00,72.5,72.74,72.5,72.5,1312.0
CTRA,2018-11-14 17:00:00+00:00,72.47,73.03,72.47,73.03,416.0
CTRA,2018-11-14 18:00:00+00:00,72.99,73.0,72.99,72.99,307.0
CTRA,2018-11-14 19:00:00+00:00,72.79,72.99,72.5,72.99,1055.0
CTRA,2018-11-14 20:00:00+00:00,73.0,73.0,72.5,72.98,503.0
CTRA,2018-11-15 14:00:00+00:00,72.0,72.0,71.75,71.75,1074.0
CTRA,2018-11-15 15:00:00+00:00,71.74,71.98,71.74,71.98,362.0
CTRA,2018-11-15 16:00:00+00:00,71.79,73.19,71.67,72.14,2354.0
CTRA,2018-11-15 17:00:00+00:00,72.13,72.13,71.96,71.96,16.0
CTRA,2018-11-15 19:00:00+00:00,71.73,71.73,71.67,71.67,130.0
CTRA,2018-11-16 14:00:00+00:00,71.67,71.67,71.1,71.1,651.0
CTRA,2018-11-16 15:00:00+00:00,70.8,70.8,70.65,70.8,320.0
CTRA,2018-11-16 16:00:00+00:00,70.5,70.5,70.5,70.5,3000.0
CTRA,2018-11-16 17:00:00+00:00,70.5,70.5,70.5,70.5,400.0
CTRA,2018-11-16 18:00:00+00:00,70.5,70.5,70.2,70.2,466.0
CTRA,2018-11-16 19:00:00+00:00,70.5,70.5,70.38,70.5,404.0
CTRA,2018-11-16 20:00:00+00:00,70.5,70.65,70.4,70.65,1220.0
CTRA,2018-11-19 14:00:00+00:00,69.55,70.64,69.55,70.64,300.0
CTRA,2018-11-19 15:00:00+00:00,70.24,70.34,69.54,69.55,863.0
CTRA,2018-11-19 16:00:00+00:00,68.8,69.21,67.24,68.63,674.0
CTRA,2018-11-19 17:00:00+00:00,68.2,69.0,68.0,68.6,1534.0
CTRA,2018-11-19 18:00:00+00:00,68.51,68.51,68.45,68.45,400.0
CTRA,2018-11-19 20:00:00+00:00,68.0,68.45,67.7,67.7,800.0
CTRA,2018-11-20 14:00:00+00:00,65.3,67.29,65.15,66.5,587.0
CTRA,2018-11-20 15:00:00+00:00,65.5,67.41,65.0,66.0,1808.0
CTRA,2018-11-20 16:00:00+00:00,66.0,66.0,65.02,65.02,2040.0
CTRA,2018-11-20 18:00:00+00:00,64.62,64.62,64.62,64.62,50.0
CTRA,2018-11-20 19:00:00+00:00,64.99,64.99,64.98,64.98,1020.0
CTRA,2018-11-20 20:00:00+00:00,64.96,64.99,64.84,64.88,3410.0
CTRA,2018-11-21 15:00:00+00:00,65.76,66.17,65.55,65.55,610.0
CTRA,2018-11-21 16:00:00+00:00,65.17,65.17,65.0,65.0,400.0
CTRA,2018-11-21 17:00:00+00:00,64.75,64.75,64.75,64.75,270.0
CTRA,2018-11-21 18:00:00+00:00,64.7,64.7,64.5,64.5,228.0
CTRA,2018-11-21 19:00:00+00:00,64.87,65.18,64.8,65.18,500.0
CTRA,2018-11-23 15:00:00+00:00,63.75,63.75,63.75,63.75,496.0
CTRA,2018-11-23 16:00:00+00:00,63.25,63.25,62.75,62.89,2552.0
CTRA,2018-11-23 17:00:00+00:00,62.25,63.41,62.25,63.23,1573.0
CTRA,2018-11-26 14:00:00+00:00,65.02,65.02,65.02,65.02,20.0
CTRA,2018-11-26 15:00:00+00:00,66.25,66.25,64.75,64.75,32.0
CTRA,2018-11-26 16:00:00+00:00,64.67,64.67,64.0,64.0,141.0
CTRA,2018-11-26 17:00:00+00:00,63.5,63.94,63.48,63.94,114.0
CTRA,2018-11-26 20:00:00+00:00,63.32,63.78,63.32,63.45,286.0
CTRA,2018-11-27 15:00:00+00:00,63.0,63.0,63.0,63.0,100.0
CTRA,2018-11-27 16:00:00+00:00,62.0,62.5,61.51,61.75,3649.0
CTRA,2018-11-27 17:00:00+00:00,61.76,62.01,61.05,62.01,3062.0
CTRA,2018-11-27 20:00:00+00:00,61.75,61.94,61.74,61.75,724.0
CTRA,2018-11-28 14:00:00+00:00,61.8,62.15,61.7,62.15,933.0
CTRA,2018-11-28 15:00:00+00:00,62.14,62.49,62.14,62.49,430.0
CTRA,2018-11-28 16:00:00+00:00,62.09,62.1,61.13,61.13,989.0
CTRA,2018-11-28 17:00:00+00:00,61.42,61.42,60.78,61.1,796.0
CTRA,2018-11-28 18:00:00+00:00,61.19,61.19,61.19,61.19,10.0
CTRA,2018-11-28 19:00:00+00:00,61.9,61.9,61.89,61.89,317.0
CTRA,2018-11-28 20:00:00+00:00,61.96,62.13,61.66,61.96,1308.0
CTRA,2018-11-29 14:00:00+00:00,60.9,60.9,60.87,60.87,124.0
CTRA,2018-11-29 15:00:00+00:00,61.45,61.88,61.45,61.88,101.0
CTRA,2018-11-29 16:00:00+00:00,61.7,62.0,61.4,62.0,1489.0
CTRA,2018-11-29 17:00:00+00:00,61.7,62.06,61.7,62.06,597.0
CTRA,2018-11-29 18:00:00+00:00,62.0,62.22,62.0,62.22,186.0
CTRA,2018-11-29 19:00:00+00:00,62.36,63.36,62.36,63.36,1319.0
CTRA,2018-11-29 20:00:00+00:00,63.56,63.75,63.34,63.75,822.0
CTRA,2018-11-30 15:00:00+00:00,63.76,63.76,63.75,63.75,485.0
CTRA,2018-11-30 16:00:00+00:00,63.45,63.92,63.0,63.66,646.0
CTRA,2018-11-30 17:00:00+00:00,63.66,63.96,63.0,63.0,900.0
CTRA,2018-11-30 18:00:00+00:00,63.25,64.2,63.25,64.0,1550.0
CTRA,2018-11-30 19:00:00+00:00,63.97,64.0,63.97,64.0,455.0
CTRA,2018-11-30 20:00:00+00:00,63.69,64.0,63.53,63.95,1334.0
CTRA,2018-12-03 14:00:00+00:00,65.08,65.08,65.08,65.08,100.0
CTRA,2018-12-03 15:00:00+00:00,65.18,65.25,65.18,65.25,766.0
CTRA,2018-12-03 16:00:00+00:00,64.925,65.1,64.62,64.785,2107.0
CTRA,2018-12-03 17:00:00+00:00,64.785,64.785,64.17,64.22,702.0
CTRA,2018-12-03 18:00:00+00:00,64.21,64.695,64.21,64.44,841.0
CTRA,2018-12-03 19:00:00+00:00,64.63,64.63,64.32,64.47,1912.0
CTRA,2018-12-03 20:00:00+00:00,64.47,64.79,64.47,64.685,575.0
CTRA,2018-12-04 14:00:00+00:00,64.92,64.96,64.92,64.96,28.0
CTRA,2018-12-04 15:00:00+00:00,64.95,65.9,64.87,65.9,722.0
CTRA,2018-12-04 16:00:00+00:00,65.49,65.5,65.47,65.5,300.0
CTRA,2018-12-04 17:00:00+00:00,65.51,65.51,65.48,65.48,1100.0
CTRA,2018-12-04 19:00:00+00:00,65.0,65.0,65.0,65.0,100.0
CTRA,2018-12-04 20:00:00+00:00,64.83,64.87,64.45,64.47,2004.0
CTRA,2018-12-06 14:00:00+00:00,62.5,64.55,61.99,64.2,564.0
CTRA,2018-12-06 15:00:00+00:00,63.86,63.97,63.3,63.89,1000.0
CTRA,2018-12-06 16:00:00+00:00,63.89,64.14,63.75,64.0,2000.0
CTRA,2018-12-06 17:00:00+00:00,64.0,64.0,63.92,63.92,200.0
CTRA,2018-12-06 18:00:00+00:00,63.8,63.94,63.77,63.8,1197.0
CTRA,2018-12-06 19:00:00+00:00,63.8,63.98,63.8,63.85,2743.0
CTRA,2018-12-06 20:00:00+00:00,63.81,64.03,63.81,64.0,2038.0
CTRA,2018-12-07 15:00:00+00:00,64.14,64.51,64.14,64.51,200.0
CTRA,2018-12-07 16:00:00+00:00,64.415,64.5,64.21,64.5,1819.0
CTRA,2018-12-07 17:00:00+00:00,64.75,64.75,64.54,64.54,550.0
CTRA,2018-12-07 18:00:00+00:00,64.6,64.6,64.23,64.45,2400.0
CTRA,2018-12-07 19:00:00+00:00,64.99,64.99,64.975,64.975,200.0
CTRA,2018-12-07 20:00:00+00:00,64.95,65.0,64.83,64.97,1200.0
CTRA,2018-12-10 14:00:00+00:00,64.82,65.0,64.82,64.95,2795.0
CTRA,2018-12-10 15:00:00+00:00,64.98,65.0,64.86,65.0,5231.0
CTRA,2018-12-10 16:00:00+00:00,64.98,65.24,64.96,65.03,3442.0
CTRA,2018-12-10 17:00:00+00:00,65.0,65.25,64.96,65.17,3068.0
CTRA,2018-12-10 18:00:00+00:00,65.2,65.43,65.01,65.22,4807.0
CTRA,2018-12-10 19:00:00+00:00,65.22,65.25,65.12,65.12,3014.0
CTRA,2018-12-10 20:00:00+00:00,65.2,65.25,65.19,65.19,3823.0
CTRA,2018-12-11 14:00:00+00:00,65.16,66.13,65.16,66.13,914.0
CTRA,2018-12-11 15:00:00+00:00,66.2,67.25,66.14,67.01,3691.0
CTRA,2018-12-11 16:00:00+00:00,67.25,67.32,66.93,67.31,4006.0
CTRA,2018-12-11 17:00:00+00:00,67.34,67.42,66.87,67.17,3329.0
CTRA,2018-12-11 18:00:00+00:00,67.17,67.51,67.03,67.42,3140.0
CTRA,2018-12-11 19:00:00+00:00,67.21,67.425,67.19,67.425,1440.0
CTRA,2018-12-11 20:00:00+00:00,67.47,67.6,67.4,67.52,6779.0
CTRA,2018-12-12 14:00:00+00:00,67.97,68.76,67.97,68.61,3510.0
CTRA,2018-12-12 15:00:00+00:00,68.69,69.0,68.56,68.65,8317.0
CTRA,2018-12-12 16:00:00+00:00,68.63,68.72,68.02,68.02,4100.0
CTRA,2018-12-12 17:00:00+00:00,68.47,68.47,68.21,68.39,3696.0
CTRA,2018-12-12 18:00:00+00:00,68.5,68.52,68.43,68.45,3579.0
CTRA,2018-12-12 19:00:00+00:00,68.47,68.5,68.07,68.11,3638.0
CTRA,2018-12-12 20:00:00+00:00,68.16,68.3,67.94,67.94,5413.0
CTRA,2018-12-13 15:00:00+00:00,68.75,68.75,68.15,68.26,2894.0
CTRA,2018-12-13 16:00:00+00:00,68.13,68.38,68.13,68.33,3426.0
CTRA,2018-12-13 17:00:00+00:00,68.1,68.2,68.03,68.03,2609.0
CTRA,2018-12-13 18:00:00+00:00,68.03,68.03,68.0,68.0,1848.0
CTRA,2018-12-13 19:00:00+00:00,68.01,68.16,68.01,68.16,2496.0
CTRA,2018-12-13 20:00:00+00:00,68.14,68.2,68.01,68.11,3712.0
CTRA,2018-12-14 14:00:00+00:00,68.56,68.6,68.44,68.44,952.0
CTRA,2018-12-14 15:00:00+00:00,69.29,69.29,68.28,68.44,2944.0
