symbol,ts,open,high,low,close,volume
CTSH,2018-05-01 13:00:00+00:00,81.82,82.03,81.63,81.99,55462.0
CTSH,2018-05-01 14:00:00+00:00,81.99,82.1,81.71,81.8,71257.0
CTSH,2018-05-01 15:00:00+00:00,81.78,81.87,81.57,81.59,76370.0
CTSH,2018-05-01 16:00:00+00:00,81.61,81.76,81.56,81.62,49936.0
CTSH,2018-05-01 17:00:00+00:00,81.61,81.86,81.46,81.85,49367.0
CTSH,2018-05-01 18:00:00+00:00,81.84,81.9,81.69,81.73,88217.0
CTSH,2018-05-01 19:00:00+00:00,81.74,82.07,81.57,81.79,213674.0
CTSH,2018-05-01 20:00:00+00:00,81.82,81.9,81.77,81.9,151376.0
CTSH,2018-05-02 13:00:00+00:00,81.68,82.18,81.59,81.75,115465.0
CTSH,2018-05-02 14:00:00+00:00,81.75,81.89,81.57,81.7,92782.0
CTSH,2018-05-02 15:00:00+00:00,81.7,81.82,81.13,81.26,76563.0
CTSH,2018-05-02 16:00:00+00:00,81.25,81.68,81.19,81.64,82432.0
CTSH,2018-05-02 17:00:00+00:00,81.65,81.92,81.65,81.73,83714.0
CTSH,2018-05-02 18:00:00+00:00,81.73,82.11,81.72,81.79,119513.0
CTSH,2018-05-02 19:00:00+00:00,81.8,81.98,81.23,81.38,226807.0
CTSH,2018-05-02 20:00:00+00:00,81.38,81.38,81.38,81.38,316411.0
CTSH,2018-05-03 13:00:00+00:00,80.95,81.2,80.8,81.07,60706.0
CTSH,2018-05-03 14:00:00+00:00,81.04,81.12,80.2,80.38,104621.0
CTSH,2018-05-03 15:00:00+00:00,80.4,80.7,80.08,80.47,155697.0
CTSH,2018-05-03 16:00:00+00:00,80.48,81.19,80.32,81.1,130360.0
CTSH,2018-05-03 17:00:00+00:00,81.09,81.28,80.94,81.16,85627.0
CTSH,2018-05-03 18:00:00+00:00,81.15,81.57,81.05,81.3,58996.0
CTSH,2018-05-03 19:00:00+00:00,81.32,81.53,81.02,81.36,181443.0
CTSH,2018-05-03 20:00:00+00:00,81.36,81.38,81.36,81.38,255256.0
CTSH,2018-05-04 13:00:00+00:00,80.73,81.12,80.57,80.95,77251.0
CTSH,2018-05-04 14:00:00+00:00,80.94,81.5,80.82,81.44,202362.0
CTSH,2018-05-04 15:00:00+00:00,81.46,81.93,81.44,81.88,162407.0
CTSH,2018-05-04 16:00:00+00:00,81.89,81.97,81.79,81.83,107382.0
CTSH,2018-05-04 17:00:00+00:00,81.82,82.27,81.82,82.24,116440.0
CTSH,2018-05-04 18:00:00+00:00,82.23,82.61,82.22,82.49,144791.0
CTSH,2018-05-04 19:00:00+00:00,82.49,82.55,82.09,82.17,396288.0
CTSH,2018-05-04 20:00:00+00:00,82.17,82.18,82.17,82.18,261852.0
CTSH,2018-05-07 10:00:00+00:00,82.17,82.17,82.0,82.0,100.0
CTSH,2018-05-07 11:00:00+00:00,80.27,80.27,80.27,80.27,37.0
CTSH,2018-05-07 12:00:00+00:00,80.3,80.3,78.99,78.99,3004.0
CTSH,2018-05-07 13:00:00+00:00,78.88,78.88,77.46,77.57,306698.0
CTSH,2018-05-07 14:00:00+00:00,77.59,77.64,76.83,77.31,382209.0
CTSH,2018-05-07 15:00:00+00:00,77.31,78.08,77.17,77.92,298518.0
CTSH,2018-05-07 16:00:00+00:00,77.93,78.35,77.89,78.0,230728.0
CTSH,2018-05-07 17:00:00+00:00,78.0,78.4,77.93,78.07,154778.0
CTSH,2018-05-07 18:00:00+00:00,78.1,78.33,77.91,78.18,187919.0
CTSH,2018-05-07 19:00:00+00:00,78.15,78.22,77.7,77.85,571859.0
CTSH,2018-05-07 20:00:00+00:00,77.86,77.86,77.86,77.86,263317.0
CTSH,2018-05-08 13:00:00+00:00,77.71,77.89,76.1,76.1,207170.0
CTSH,2018-05-08 14:00:00+00:00,76.12,76.77,76.12,76.19,234819.0
CTSH,2018-05-08 15:00:00+00:00,76.18,76.36,75.65,75.74,260253.0
CTSH,2018-05-08 16:00:00+00:00,75.74,75.75,75.18,75.22,202431.0
