symbol,ts,open,high,low,close,volume
CVNA,2018-05-01 13:00:00+00:00,26.24,26.43,25.75,26.43,3587.0
CVNA,2018-05-01 14:00:00+00:00,26.37,27.22,26.36,26.98,15243.0
CVNA,2018-05-01 15:00:00+00:00,26.99,27.1,26.29,26.41,10253.0
CVNA,2018-05-01 16:00:00+00:00,26.34,26.5,26.24,26.25,5662.0
CVNA,2018-05-01 17:00:00+00:00,26.235,26.42,26.17,26.42,5350.0
CVNA,2018-05-01 18:00:00+00:00,26.42,27.0,26.42,26.91,7226.0
CVNA,2018-05-01 19:00:00+00:00,26.91,27.0,26.86,27.0,18359.0
CVNA,2018-05-02 13:00:00+00:00,27.05,27.25,26.49,26.84,1776.0
CVNA,2018-05-02 14:00:00+00:00,26.82,27.11,26.75,27.11,6437.0
CVNA,2018-05-02 15:00:00+00:00,27.1,27.31,26.85,26.93,6277.0
CVNA,2018-05-02 16:00:00+00:00,26.92,27.06,26.69,26.69,6138.0
CVNA,2018-05-02 17:00:00+00:00,26.655,26.9,26.45,26.45,5706.0
CVNA,2018-05-02 18:00:00+00:00,26.47,26.51,26.24,26.32,4450.0
CVNA,2018-05-02 19:00:00+00:00,26.34,26.69,26.32,26.69,14046.0
CVNA,2018-05-03 13:00:00+00:00,26.92,27.36,26.52,27.03,10689.0
CVNA,2018-05-03 14:00:00+00:00,26.9,27.1,26.07,26.24,20836.0
CVNA,2018-05-03 15:00:00+00:00,26.19,26.35,26.11,26.17,7004.0
CVNA,2018-05-03 16:00:00+00:00,26.15,26.38,26.07,26.35,11279.0
CVNA,2018-05-03 17:00:00+00:00,26.25,26.51,26.08,26.39,7602.0
CVNA,2018-05-03 18:00:00+00:00,26.35,26.41,25.96,26.12,11229.0
CVNA,2018-05-03 19:00:00+00:00,26.17,26.24,26.02,26.2,19323.0
CVNA,2018-05-04 13:00:00+00:00,26.19,26.34,26.09,26.34,6185.0
CVNA,2018-05-04 14:00:00+00:00,26.41,26.75,26.41,26.62,11981.0
CVNA,2018-05-04 15:00:00+00:00,26.6,26.63,26.33,26.4,14592.0
CVNA,2018-05-04 16:00:00+00:00,26.4,26.4,25.69,25.85,11379.0
CVNA,2018-05-04 17:00:00+00:00,25.855,25.855,25.36,25.53,14393.0
CVNA,2018-05-04 18:00:00+00:00,25.555,26.07,25.54,25.88,10149.0
CVNA,2018-05-04 19:00:00+00:00,25.76,25.82,25.36,25.5,39451.0
CVNA,2018-05-07 13:00:00+00:00,25.82,25.82,24.82,24.92,7768.0
CVNA,2018-05-07 14:00:00+00:00,24.94,25.35,24.76,25.12,15918.0
CVNA,2018-05-07 15:00:00+00:00,25.14,25.59,25.115,25.45,11561.0
CVNA,2018-05-07 16:00:00+00:00,25.44,25.61,24.88,25.1,13824.0
CVNA,2018-05-07 17:00:00+00:00,25.13,25.54,25.13,25.45,11314.0
CVNA,2018-05-07 18:00:00+00:00,25.45,25.6,25.29,25.32,9906.0
CVNA,2018-05-07 19:00:00+00:00,25.29,25.4,25.2,25.23,21177.0
CVNA,2018-05-08 13:00:00+00:00,25.23,25.75,25.23,25.41,4798.0
CVNA,2018-05-08 14:00:00+00:00,25.45,25.58,25.38,25.43,6829.0
CVNA,2018-05-08 15:00:00+00:00,25.41,25.66,25.325,25.66,4704.0
CVNA,2018-05-08 16:00:00+00:00,25.66,25.66,25.3,25.32,6597.0
CVNA,2018-05-08 17:00:00+00:00,25.36,25.48,25.36,25.43,4669.0
CVNA,2018-05-08 18:00:00+00:00,25.4,25.65,25.27,25.5,9247.0
CVNA,2018-05-08 19:00:00+00:00,25.51,25.53,24.87,24.97,43748.0
CVNA,2018-05-09 13:00:00+00:00,25.005,25.24,24.72,24.85,15308.0
CVNA,2018-05-09 14:00:00+00:00,24.775,25.2,24.06,24.45,31033.0
CVNA,2018-05-09 15:00:00+00:00,24.48,24.64,24.185,24.21,18214.0
CVNA,2018-05-09 16:00:00+00:00,24.195,24.57,24.195,24.57,13571.0
CVNA,2018-05-09 17:00:00+00:00,24.56,24.75,24.49,24.55,18634.0
CVNA,2018-05-09 18:00:00+00:00,24.56,24.65,24.22,24.4,31712.0
CVNA,2018-05-09 19:00:00+00:00,24.39,25.04,24.37,24.77,51833.0
CVNA,2018-05-09 20:00:00+00:00,24.77,27.8,24.77,26.0,49594.0
CVNA,2018-05-09 21:00:00+00:00,26.0,26.0,26.0,26.0,231.0
CVNA,2018-05-10 11:00:00+00:00,27.5,28.55,27.5,28.55,2200.0
CVNA,2018-05-10 12:00:00+00:00,29.0,29.39,28.65,28.97,5015.0
CVNA,2018-05-10 13:00:00+00:00,28.98,29.69,26.83,27.39,60518.0
CVNA,2018-05-10 14:00:00+00:00,27.23,28.8,27.01,27.75,52700.0
CVNA,2018-05-10 15:00:00+00:00,27.67,27.73,26.75,26.78,38750.0
CVNA,2018-05-10 16:00:00+00:00,26.76,27.21,26.75,26.76,23255.0
CVNA,2018-05-10 17:00:00+00:00,26.79,27.01,26.75,26.76,29562.0
CVNA,2018-05-10 18:00:00+00:00,26.75,28.44,26.75,27.94,28674.0
CVNA,2018-05-10 19:00:00+00:00,27.95,27.95,26.75,26.75,52146.0
CVNA,2018-05-11 13:00:00+00:00,26.81,26.81,26.09,26.66,9002.0
CVNA,2018-05-11 14:00:00+00:00,26.7,27.72,26.61,26.82,15410.0
CVNA,2018-05-11 15:00:00+00:00,26.82,27.8,26.8,27.5,9274.0
CVNA,2018-05-11 16:00:00+00:00,27.5,27.57,27.1,27.45,7968.0
CVNA,2018-05-11 17:00:00+00:00,27.45,27.45,27.0,27.27,7030.0
CVNA,2018-05-11 18:00:00+00:00,27.25,27.55,27.22,27.41,4534.0
CVNA,2018-05-11 19:00:00+00:00,27.43,27.8,27.35,27.5,21676.0
CVNA,2018-05-14 13:00:00+00:00,27.75,28.5,27.75,28.37,16155.0
CVNA,2018-05-14 14:00:00+00:00,28.32,28.48,27.77,27.79,18308.0
CVNA,2018-05-14 15:00:00+00:00,27.74,27.77,27.55,27.56,11006.0
CVNA,2018-05-14 16:00:00+00:00,27.56,27.65,27.33,27.33,10480.0
CVNA,2018-05-14 17:00:00+00:00,27.29,27.52,27.16,27.37,8382.0
CVNA,2018-05-14 18:00:00+00:00,27.37,27.59,27.25,27.5,11328.0
CVNA,2018-05-14 19:00:00+00:00,27.5,27.53,27.15,27.16,31981.0
CVNA,2018-05-15 13:00:00+00:00,26.72,26.84,25.92,25.92,6017.0
CVNA,2018-05-15 14:00:00+00:00,25.86,26.62,25.63,25.78,31838.0
CVNA,2018-05-15 15:00:00+00:00,25.79,26.12,25.08,25.29,25485.0
CVNA,2018-05-15 16:00:00+00:00,25.3,25.76,25.1,25.74,15487.0
CVNA,2018-05-15 17:00:00+00:00,25.77,26.26,25.77,25.95,12229.0
CVNA,2018-05-15 18:00:00+00:00,25.86,25.95,25.56,25.88,18726.0
CVNA,2018-05-15 19:00:00+00:00,25.87,26.54,25.79,26.475,52554.0
CVNA,2018-05-16 13:00:00+00:00,26.66,26.66,26.13,26.45,5684.0
CVNA,2018-05-16 14:00:00+00:00,26.44,26.6,26.17,26.2,13726.0
CVNA,2018-05-16 15:00:00+00:00,26.16,26.8,26.155,26.8,10566.0
CVNA,2018-05-16 16:00:00+00:00,26.83,27.71,26.8,27.32,22828.0
CVNA,2018-05-16 17:00:00+00:00,27.33,27.34,26.81,26.94,10357.0
CVNA,2018-05-16 18:00:00+00:00,26.95,27.07,26.77,26.77,5940.0
CVNA,2018-05-16 19:00:00+00:00,26.72,26.92,26.64,26.775,27698.0
CVNA,2018-05-17 13:00:00+00:00,26.76,26.76,26.3,26.6,6285.0
CVNA,2018-05-17 14:00:00+00:00,26.59,26.81,26.22,26.81,9806.0
