symbol,ts,open,high,low,close,volume
CVX,2018-05-01 10:00:00+00:00,124.1,124.1,124.1,124.1,10.0
CVX,2018-05-01 12:00:00+00:00,124.75,124.75,124.75,124.75,25.0
CVX,2018-05-01 13:00:00+00:00,124.54,124.54,123.25,123.87,53288.0
CVX,2018-05-01 14:00:00+00:00,123.89,124.05,123.16,123.26,108514.0
CVX,2018-05-01 15:00:00+00:00,123.24,124.35,123.09,123.68,75411.0
CVX,2018-05-01 16:00:00+00:00,123.71,124.23,123.63,124.19,70580.0
CVX,2018-05-01 17:00:00+00:00,124.21,124.44,123.88,124.38,79564.0
CVX,2018-05-01 18:00:00+00:00,124.39,124.82,124.16,124.59,87316.0
CVX,2018-05-01 19:00:00+00:00,124.59,124.91,124.17,124.8,167058.0
CVX,2018-05-02 11:00:00+00:00,125.4,125.4,125.4,125.4,1000.0
CVX,2018-05-02 13:00:00+00:00,124.52,125.33,124.09,125.21,118181.0
CVX,2018-05-02 14:00:00+00:00,125.23,126.42,125.21,126.22,202948.0
CVX,2018-05-02 15:00:00+00:00,126.23,126.31,125.67,125.81,70119.0
CVX,2018-05-02 16:00:00+00:00,125.81,126.31,125.64,126.2,71926.0
CVX,2018-05-02 17:00:00+00:00,126.22,126.3,125.77,125.77,37925.0
CVX,2018-05-02 18:00:00+00:00,125.74,126.47,125.65,126.36,77505.0
CVX,2018-05-02 19:00:00+00:00,126.39,126.44,125.09,125.47,131716.0
CVX,2018-05-03 12:00:00+00:00,124.81,125.02,124.77,125.02,345.0
CVX,2018-05-03 13:00:00+00:00,124.6,125.33,124.53,125.33,56437.0
CVX,2018-05-03 14:00:00+00:00,125.31,125.36,124.24,124.68,92585.0
CVX,2018-05-03 15:00:00+00:00,124.68,124.77,123.83,124.38,98997.0
CVX,2018-05-03 16:00:00+00:00,124.38,125.25,124.28,125.21,63286.0
CVX,2018-05-03 17:00:00+00:00,125.25,125.53,124.99,125.37,61754.0
CVX,2018-05-03 18:00:00+00:00,125.39,125.75,125.21,125.28,56195.0
CVX,2018-05-03 19:00:00+00:00,125.29,126.12,125.13,126.01,151891.0
CVX,2018-05-03 20:00:00+00:00,126.78,126.78,126.0,126.0,86.0
CVX,2018-05-03 21:00:00+00:00,126.0,126.0,126.0,126.0,9.0
CVX,2018-05-04 13:00:00+00:00,126.01,126.01,124.74,125.0,54340.0
CVX,2018-05-04 14:00:00+00:00,124.985,126.03,124.795,125.74,155487.0
CVX,2018-05-04 15:00:00+00:00,125.76,126.47,125.58,126.47,58331.0
CVX,2018-05-04 16:00:00+00:00,126.48,126.84,126.18,126.2,47928.0
CVX,2018-05-04 17:00:00+00:00,126.22,126.315,125.91,125.97,61963.0
CVX,2018-05-04 18:00:00+00:00,125.98,126.01,125.42,125.42,95460.0
CVX,2018-05-04 19:00:00+00:00,125.43,125.78,125.3,125.56,186502.0
