symbol,ts,open,high,low,close,volume
DAL,2018-05-01 13:00:00+00:00,52.26,52.44,52.01,52.4,63258.0
DAL,2018-05-01 14:00:00+00:00,52.4,52.4,51.99,52.01,137746.0
DAL,2018-05-01 15:00:00+00:00,52.01,52.23,51.85,52.05,120814.0
DAL,2018-05-01 16:00:00+00:00,52.07,52.29,52.06,52.17,72243.0
DAL,2018-05-01 17:00:00+00:00,52.16,52.52,51.855,52.51,130644.0
DAL,2018-05-01 18:00:00+00:00,52.5,52.845,52.42,52.74,101410.0
DAL,2018-05-01 19:00:00+00:00,52.75,52.8,52.54,52.71,157088.0
DAL,2018-05-02 13:00:00+00:00,52.77,53.02,52.55,52.98,61763.0
DAL,2018-05-02 14:00:00+00:00,52.99,53.16,52.76,52.89,97563.0
DAL,2018-05-02 15:00:00+00:00,52.88,53.09,52.65,52.91,97260.0
DAL,2018-05-02 16:00:00+00:00,52.91,53.03,52.85,53.03,114756.0
DAL,2018-05-02 17:00:00+00:00,53.03,53.11,52.98,52.99,76475.0
DAL,2018-05-02 18:00:00+00:00,52.99,53.14,52.85,52.88,92372.0
DAL,2018-05-02 19:00:00+00:00,52.88,52.9,52.285,52.35,270407.0
DAL,2018-05-03 13:00:00+00:00,52.04,52.04,51.74,51.82,87520.0
DAL,2018-05-03 14:00:00+00:00,51.82,51.82,51.14,51.2,180091.0
DAL,2018-05-03 15:00:00+00:00,51.21,51.53,51.1,51.4,125458.0
DAL,2018-05-03 16:00:00+00:00,51.41,52.02,51.3,52.0,217528.0
DAL,2018-05-03 17:00:00+00:00,51.99,52.115,51.75,51.96,108703.0
DAL,2018-05-03 18:00:00+00:00,51.96,52.05,51.82,51.85,97287.0
DAL,2018-05-03 19:00:00+00:00,51.86,51.93,51.66,51.78,217551.0
DAL,2018-05-04 12:00:00+00:00,51.8,51.85,51.79,51.85,5300.0
DAL,2018-05-04 13:00:00+00:00,51.79,51.99,51.59,51.74,75330.0
DAL,2018-05-04 14:00:00+00:00,51.75,52.01,51.7,51.91,106562.0
DAL,2018-05-04 15:00:00+00:00,51.92,52.32,51.85,52.18,75763.0
DAL,2018-05-04 16:00:00+00:00,52.19,52.21,52.03,52.19,68843.0
DAL,2018-05-04 17:00:00+00:00,52.2,52.28,52.11,52.155,73983.0
DAL,2018-05-04 18:00:00+00:00,52.15,52.49,52.14,52.35,63148.0
DAL,2018-05-04 19:00:00+00:00,52.35,52.47,52.285,52.35,182436.0
DAL,2018-05-04 21:00:00+00:00,52.24,52.24,52.24,52.24,376.0
DAL,2018-05-04 23:00:00+00:00,52.41,52.41,52.41,52.41,4.0
DAL,2018-05-07 13:00:00+00:00,52.71,52.71,51.56,51.79,84855.0
DAL,2018-05-07 14:00:00+00:00,51.8,51.92,51.465,51.585,82749.0
DAL,2018-05-07 15:00:00+00:00,51.585,51.77,51.56,51.61,67853.0
DAL,2018-05-07 16:00:00+00:00,51.62,51.745,51.6,51.64,43100.0
DAL,2018-05-07 17:00:00+00:00,51.65,51.84,51.57,51.825,51283.0
DAL,2018-05-07 18:00:00+00:00,51.82,51.98,51.8,51.84,67306.0
DAL,2018-05-07 19:00:00+00:00,51.85,51.9,51.7,51.89,155190.0
DAL,2018-05-08 11:00:00+00:00,51.83,51.83,51.83,51.83,101.0
DAL,2018-05-08 12:00:00+00:00,51.83,51.83,51.83,51.83,200.0
DAL,2018-05-08 13:00:00+00:00,51.83,52.34,51.83,52.18,56615.0
DAL,2018-05-08 14:00:00+00:00,52.19,52.38,52.11,52.3,82101.0
DAL,2018-05-08 15:00:00+00:00,52.3,53.05,52.24,52.46,195548.0
DAL,2018-05-08 16:00:00+00:00,52.45,52.47,52.19,52.28,109231.0
DAL,2018-05-08 17:00:00+00:00,52.27,52.39,52.18,52.21,67660.0
DAL,2018-05-08 18:00:00+00:00,52.23,52.31,51.99,52.04,116434.0
DAL,2018-05-08 19:00:00+00:00,52.045,52.39,52.0,52.37,155582.0
DAL,2018-05-08 20:00:00+00:00,52.39,52.39,52.06,52.37,1420.0
DAL,2018-05-08 22:00:00+00:00,52.4,52.4,52.4,52.4,20.0
DAL,2018-05-09 13:00:00+00:00,52.07,52.28,52.02,52.17,71098.0
DAL,2018-05-09 14:00:00+00:00,52.17,52.2,51.64,51.75,193588.0
DAL,2018-05-09 15:00:00+00:00,51.76,51.9,51.65,51.72,128631.0
DAL,2018-05-09 16:00:00+00:00,51.72,51.845,51.67,51.78,92891.0
DAL,2018-05-09 17:00:00+00:00,51.78,51.8,51.65,51.78,78514.0
DAL,2018-05-09 18:00:00+00:00,51.785,51.84,51.645,51.655,132464.0
DAL,2018-05-09 19:00:00+00:00,51.65,51.665,51.46,51.61,188252.0
DAL,2018-05-09 20:00:00+00:00,51.7,51.7,51.7,51.7,20.0
DAL,2018-05-10 12:00:00+00:00,51.56,51.56,51.56,51.56,100.0
DAL,2018-05-10 13:00:00+00:00,51.57,51.59,51.37,51.4,73762.0
DAL,2018-05-10 14:00:00+00:00,51.41,51.59,51.32,51.42,61682.0
DAL,2018-05-10 15:00:00+00:00,51.42,51.78,51.42,51.76,96596.0
DAL,2018-05-10 16:00:00+00:00,51.75,52.18,51.73,52.03,71043.0
DAL,2018-05-10 17:00:00+00:00,52.0,52.31,51.95,52.08,94128.0
DAL,2018-05-10 18:00:00+00:00,52.08,52.19,51.97,52.1,69081.0
DAL,2018-05-10 19:00:00+00:00,52.1,52.115,51.9,52.05,158918.0
DAL,2018-05-10 20:00:00+00:00,52.05,52.05,52.05,52.05,300.0
DAL,2018-05-11 12:00:00+00:00,52.1,52.1,52.1,52.1,50.0
DAL,2018-05-11 13:00:00+00:00,52.05,52.41,51.88,52.23,76816.0
DAL,2018-05-11 14:00:00+00:00,52.24,52.84,52.21,52.795,116090.0
DAL,2018-05-11 15:00:00+00:00,52.79,52.86,52.62,52.67,98432.0
DAL,2018-05-11 16:00:00+00:00,52.67,52.815,52.65,52.69,123031.0
DAL,2018-05-11 17:00:00+00:00,52.68,53.08,52.615,52.97,142249.0
DAL,2018-05-11 18:00:00+00:00,52.98,53.0,52.735,52.84,91032.0
DAL,2018-05-11 19:00:00+00:00,52.84,52.92,52.745,52.9,163891.0
DAL,2018-05-11 20:00:00+00:00,52.89,52.89,52.85,52.85,2600.0
DAL,2018-05-14 13:00:00+00:00,52.89,53.11,52.67,53.05,97680.0
DAL,2018-05-14 14:00:00+00:00,53.06,53.25,52.89,52.975,189689.0
DAL,2018-05-14 15:00:00+00:00,52.97,52.97,52.38,52.46,152115.0
DAL,2018-05-14 16:00:00+00:00,52.47,52.6,52.41,52.43,93530.0
DAL,2018-05-14 17:00:00+00:00,52.43,52.44,52.17,52.19,115459.0
DAL,2018-05-14 18:00:00+00:00,52.2,52.29,52.03,52.2,149969.0
DAL,2018-05-14 19:00:00+00:00,52.21,52.22,51.85,52.07,370261.0
DAL,2018-05-15 12:00:00+00:00,52.0,52.0,52.0,52.0,47.0
DAL,2018-05-15 13:00:00+00:00,51.99,52.71,51.77,52.0,133666.0
DAL,2018-05-15 14:00:00+00:00,52.0,52.13,51.84,52.03,154411.0
DAL,2018-05-15 15:00:00+00:00,52.03,52.46,52.03,52.25,108258.0
DAL,2018-05-15 16:00:00+00:00,52.28,52.51,52.21,52.42,58073.0
DAL,2018-05-15 17:00:00+00:00,52.39,52.45,52.22,52.23,83584.0
DAL,2018-05-15 18:00:00+00:00,52.23,52.36,52.11,52.18,95864.0
DAL,2018-05-15 19:00:00+00:00,52.19,52.395,52.14,52.39,220057.0
DAL,2018-05-15 20:00:00+00:00,52.4,52.51,52.4,52.51,150.0
DAL,2018-05-16 13:00:00+00:00,52.5,52.93,52.48,52.82,55595.0
DAL,2018-05-16 14:00:00+00:00,52.82,52.94,52.75,52.9,112173.0
DAL,2018-05-16 15:00:00+00:00,52.91,53.65,52.91,53.63,154301.0
DAL,2018-05-16 16:00:00+00:00,53.645,53.99,53.63,53.91,125555.0
DAL,2018-05-16 17:00:00+00:00,53.91,53.96,53.8,53.93,124960.0
DAL,2018-05-16 18:00:00+00:00,53.925,53.95,53.66,53.7,98204.0
DAL,2018-05-16 19:00:00+00:00,53.7,53.7,53.36,53.5,179669.0
DAL,2018-05-16 20:00:00+00:00,53.59,53.59,53.59,53.59,10.0
DAL,2018-05-17 13:00:00+00:00,53.42,53.65,53.28,53.47,84914.0
DAL,2018-05-17 14:00:00+00:00,53.53,53.92,53.35,53.87,89187.0
DAL,2018-05-17 15:00:00+00:00,53.86,53.96,53.57,53.59,70627.0
DAL,2018-05-17 16:00:00+00:00,53.6,53.605,53.28,53.31,74130.0
DAL,2018-05-17 17:00:00+00:00,53.3,53.43,53.19,53.21,49964.0
