symbol,ts,open,high,low,close,volume
DASH,2020-12-09 17:00:00+00:00,163.81,195.5,163.81,182.47,1026468.0
DASH,2020-12-09 18:00:00+00:00,182.47,187.77,175.7,177.35,880532.0
DASH,2020-12-09 19:00:00+00:00,177.27,179.7,173.2,174.95,335088.0
DASH,2020-12-09 20:00:00+00:00,174.92,192.0,174.59,190.1,419321.0
DASH,2020-12-09 21:00:00+00:00,188.7,189.77,183.57,185.75,43253.0
DASH,2020-12-09 22:00:00+00:00,186.0,186.73,183.4,185.07,1381.0
DASH,2020-12-09 23:00:00+00:00,184.14,184.86,181.1,183.98,6070.0
DASH,2020-12-10 09:00:00+00:00,184.0,187.5,181.0,181.14,4500.0
DASH,2020-12-10 10:00:00+00:00,181.15,184.87,181.15,184.72,1041.0
DASH,2020-12-10 11:00:00+00:00,184.72,184.95,183.33,184.0,1707.0
DASH,2020-12-10 12:00:00+00:00,183.44,184.45,178.01,181.0,7829.0
DASH,2020-12-10 13:00:00+00:00,180.65,183.5,178.43,179.43,19962.0
DASH,2020-12-10 14:00:00+00:00,179.05,181.63,172.71,179.2,235762.0
DASH,2020-12-10 15:00:00+00:00,179.13,186.0,175.2,179.32,140340.0
DASH,2020-12-10 16:00:00+00:00,179.19,181.83,174.55,174.99,102059.0
DASH,2020-12-10 17:00:00+00:00,174.75,176.84,174.0,175.0,89161.0
DASH,2020-12-10 18:00:00+00:00,175.13,180.93,175.13,176.99,67398.0
DASH,2020-12-10 19:00:00+00:00,177.16,177.16,173.48,176.3,51443.0
DASH,2020-12-10 20:00:00+00:00,176.82,187.5,175.57,186.0,95871.0
DASH,2020-12-10 21:00:00+00:00,183.2,186.02,183.2,184.5,2983.0
DASH,2020-12-10 22:00:00+00:00,184.98,185.0,184.35,184.35,459.0
DASH,2020-12-10 23:00:00+00:00,182.77,183.97,182.75,183.92,493.0
DASH,2020-12-11 09:00:00+00:00,180.0,182.01,180.0,180.0,3663.0
DASH,2020-12-11 10:00:00+00:00,180.0,182.0,180.0,180.26,2032.0
DASH,2020-12-11 11:00:00+00:00,180.3,180.33,177.0,178.88,1862.0
DASH,2020-12-11 12:00:00+00:00,178.88,181.98,178.0,181.0,3090.0
DASH,2020-12-11 13:00:00+00:00,180.6,181.98,179.8,180.34,3341.0
DASH,2020-12-11 14:00:00+00:00,180.22,182.0,168.5,172.68,80752.0
DASH,2020-12-11 15:00:00+00:00,172.68,175.45,169.95,173.6,103624.0
DASH,2020-12-11 16:00:00+00:00,174.14,174.15,171.33,171.7,33421.0
DASH,2020-12-11 17:00:00+00:00,171.37,175.25,170.5,173.84,51072.0
DASH,2020-12-11 18:00:00+00:00,173.77,175.0,170.8,174.51,43674.0
DASH,2020-12-11 19:00:00+00:00,174.75,176.0,171.29,172.82,51609.0
DASH,2020-12-11 20:00:00+00:00,172.82,176.97,172.25,174.835,55285.0
DASH,2020-12-11 21:00:00+00:00,174.5,175.55,174.5,175.5,1106.0
DASH,2020-12-11 22:00:00+00:00,175.0,175.0,174.58,175.0,142.0
DASH,2020-12-11 23:00:00+00:00,174.75,174.95,174.73,174.95,34.0
DASH,2020-12-14 09:00:00+00:00,175.0,175.0,175.0,175.0,101.0
DASH,2020-12-14 10:00:00+00:00,175.0,175.0,173.0,173.0,227.0
DASH,2020-12-14 11:00:00+00:00,173.0,173.0,172.22,172.22,286.0
DASH,2020-12-14 12:00:00+00:00,172.25,173.0,170.97,171.5,10691.0
DASH,2020-12-14 13:00:00+00:00,171.96,172.85,170.01,170.89,13039.0
DASH,2020-12-14 14:00:00+00:00,170.59,171.0,152.6,154.73,141382.0
DASH,2020-12-14 15:00:00+00:00,154.73,162.69,154.73,161.92,155910.0
DASH,2020-12-14 16:00:00+00:00,161.95,163.45,155.17,155.35,83022.0
DASH,2020-12-14 17:00:00+00:00,155.28,155.71,151.26,152.36,75691.0
DASH,2020-12-14 18:00:00+00:00,152.31,156.44,152.3,156.17,47849.0
DASH,2020-12-14 19:00:00+00:00,155.9,159.87,155.75,158.86,55115.0
DASH,2020-12-14 20:00:00+00:00,158.9,160.87,156.71,159.36,68862.0
DASH,2020-12-14 21:00:00+00:00,159.1,159.1,157.01,157.02,490.0
DASH,2020-12-14 22:00:00+00:00,158.14,158.2,158.02,158.02,19.0
DASH,2020-12-14 23:00:00+00:00,158.02,158.5,157.12,158.5,1489.0
DASH,2020-12-15 10:00:00+00:00,158.5,158.5,157.04,157.04,51.0
DASH,2020-12-15 11:00:00+00:00,156.17,156.17,153.6,154.33,2385.0
DASH,2020-12-15 12:00:00+00:00,155.52,156.0,155.0,155.91,3112.0
DASH,2020-12-15 13:00:00+00:00,155.55,155.55,153.51,154.52,38733.0
DASH,2020-12-15 14:00:00+00:00,154.52,159.0,153.8,156.05,48197.0
DASH,2020-12-15 15:00:00+00:00,156.13,161.17,155.2,156.11,70174.0
DASH,2020-12-15 16:00:00+00:00,155.91,156.32,155.0,155.56,41053.0
DASH,2020-12-15 17:00:00+00:00,155.56,157.27,154.2,156.65,51003.0
DASH,2020-12-15 18:00:00+00:00,156.645,156.74,153.83,154.5,22663.0
DASH,2020-12-15 19:00:00+00:00,154.5,155.91,154.28,154.48,35667.0
DASH,2020-12-15 20:00:00+00:00,154.42,159.38,154.42,158.71,88348.0
DASH,2020-12-15 21:00:00+00:00,157.93,157.98,157.75,157.77,197.0
DASH,2020-12-15 22:00:00+00:00,157.75,158.0,157.75,158.0,2997.0
DASH,2020-12-15 23:00:00+00:00,158.0,158.0,157.65,158.0,135.0
DASH,2020-12-16 09:00:00+00:00,158.0,158.0,158.0,158.0,100.0
DASH,2020-12-16 10:00:00+00:00,158.0,158.0,158.0,158.0,5.0
DASH,2020-12-16 11:00:00+00:00,158.0,158.0,158.0,158.0,91.0
DASH,2020-12-16 12:00:00+00:00,158.5,159.97,157.74,158.9,666.0
DASH,2020-12-16 13:00:00+00:00,159.5,161.5,159.24,161.0,5604.0
DASH,2020-12-16 14:00:00+00:00,161.0,163.99,157.43,161.66,81769.0
DASH,2020-12-16 15:00:00+00:00,161.2,167.19,158.37,165.3,57415.0
