symbol,ts,open,high,low,close,volume
DD,2019-06-03 13:00:00+00:00,65.0,68.53,64.61,67.96,49300.0
DD,2019-06-03 14:00:00+00:00,67.95,70.38,67.86,70.29,159964.0
DD,2019-06-03 15:00:00+00:00,70.34,70.7,69.39,70.31,138127.0
DD,2019-06-03 16:00:00+00:00,70.31,70.7,70.28,70.47,75150.0
DD,2019-06-03 17:00:00+00:00,70.47,71.71,70.4,71.68,100321.0
DD,2019-06-03 18:00:00+00:00,71.69,72.11,71.47,72.09,130537.0
DD,2019-06-03 19:00:00+00:00,72.09,75.04,71.97,74.7,300852.0
DD,2019-06-03 20:00:00+00:00,74.94,76.1,74.94,75.52,38930.0
DD,2019-06-03 21:00:00+00:00,75.83,75.99,75.83,75.99,650.0
DD,2019-06-03 22:00:00+00:00,75.99,75.99,75.97,75.97,65.0
DD,2019-06-03 23:00:00+00:00,75.82,75.89,75.81,75.89,187.0
DD,2019-06-04 11:00:00+00:00,74.85,74.85,74.85,74.85,10.0
DD,2019-06-04 12:00:00+00:00,76.18,76.18,76.16,76.16,503.0
DD,2019-06-04 13:00:00+00:00,76.7,76.7,73.37,74.26,155715.0
DD,2019-06-04 14:00:00+00:00,74.25,74.67,73.84,74.15,201801.0
DD,2019-06-04 15:00:00+00:00,74.13,74.28,73.94,74.06,168778.0
DD,2019-06-04 16:00:00+00:00,74.07,74.405,73.74,74.16,131469.0
DD,2019-06-04 17:00:00+00:00,74.16,74.33,73.81,74.09,93861.0
DD,2019-06-04 18:00:00+00:00,74.105,74.37,73.83,73.99,143874.0
DD,2019-06-04 19:00:00+00:00,73.99,74.22,73.55,74.18,224527.0
DD,2019-06-04 20:00:00+00:00,74.1,74.1,74.1,74.1,33.0
DD,2019-06-05 13:00:00+00:00,74.39,74.44,72.66,73.485,96326.0
DD,2019-06-05 14:00:00+00:00,73.52,74.5,73.52,74.4,131082.0
DD,2019-06-05 15:00:00+00:00,74.38,75.13,74.37,75.0,85803.0
DD,2019-06-05 16:00:00+00:00,75.0,75.31,74.76,75.29,56441.0
DD,2019-06-05 17:00:00+00:00,75.3,75.48,74.81,74.81,44270.0
DD,2019-06-05 18:00:00+00:00,74.8,74.8,74.15,74.46,72567.0
DD,2019-06-05 19:00:00+00:00,74.44,74.92,74.13,74.92,143627.0
DD,2019-06-05 20:00:00+00:00,74.11,74.11,74.11,74.11,1.0
DD,2019-06-05 21:00:00+00:00,74.51,74.51,74.51,74.51,6.0
DD,2019-06-06 13:00:00+00:00,74.86,74.86,73.73,74.1,48453.0
