symbol,ts,open,high,low,close,volume
DECK,2018-05-01 13:00:00+00:00,93.3,93.38,92.27,93.12,3757.0
DECK,2018-05-01 14:00:00+00:00,93.09,93.09,92.25,92.34,11865.0
DECK,2018-05-01 15:00:00+00:00,92.29,93.04,92.0,92.62,14574.0
DECK,2018-05-01 16:00:00+00:00,92.6,93.13,92.57,92.79,13696.0
DECK,2018-05-01 17:00:00+00:00,92.72,93.61,92.61,93.61,16607.0
DECK,2018-05-01 18:00:00+00:00,93.57,94.39,93.54,94.16,20334.0
DECK,2018-05-01 19:00:00+00:00,94.23,94.39,94.03,94.13,30095.0
DECK,2018-05-02 13:00:00+00:00,93.09,93.19,92.32,93.17,4146.0
DECK,2018-05-02 14:00:00+00:00,93.17,93.81,92.83,93.8,10676.0
DECK,2018-05-02 15:00:00+00:00,93.73,94.04,93.39,93.62,7373.0
DECK,2018-05-02 16:00:00+00:00,93.585,93.66,93.39,93.52,5358.0
DECK,2018-05-02 17:00:00+00:00,93.53,94.0,93.53,93.96,10822.0
DECK,2018-05-02 18:00:00+00:00,93.96,94.23,93.74,94.04,15728.0
DECK,2018-05-02 19:00:00+00:00,94.08,94.14,93.37,93.49,29555.0
DECK,2018-05-03 13:00:00+00:00,92.82,93.43,92.54,93.43,5697.0
DECK,2018-05-03 14:00:00+00:00,93.525,93.525,91.86,91.96,11699.0
DECK,2018-05-03 15:00:00+00:00,92.07,92.47,91.77,92.25,10021.0
DECK,2018-05-03 16:00:00+00:00,92.31,92.8,92.1,92.8,6828.0
DECK,2018-05-03 17:00:00+00:00,92.73,92.95,92.43,92.68,12502.0
DECK,2018-05-03 18:00:00+00:00,92.68,92.88,92.21,92.31,11749.0
DECK,2018-05-03 19:00:00+00:00,92.36,92.36,91.95,92.24,30935.0
DECK,2018-05-04 13:00:00+00:00,92.07,92.26,91.64,91.69,6003.0
DECK,2018-05-04 14:00:00+00:00,91.6,92.97,91.43,92.97,20752.0
DECK,2018-05-04 15:00:00+00:00,92.98,94.21,92.79,94.17,20205.0
DECK,2018-05-04 16:00:00+00:00,94.2,94.2,93.29,93.35,11478.0
DECK,2018-05-04 17:00:00+00:00,93.33,93.52,92.91,93.04,9201.0
DECK,2018-05-04 18:00:00+00:00,93.04,93.57,93.0,93.42,14725.0
DECK,2018-05-04 19:00:00+00:00,93.43,93.48,93.24,93.35,25406.0
DECK,2018-05-07 13:00:00+00:00,93.45,93.92,93.22,93.38,2913.0
DECK,2018-05-07 14:00:00+00:00,93.55,94.1,92.84,93.3,18441.0
DECK,2018-05-07 15:00:00+00:00,93.32,93.63,92.96,93.11,9982.0
DECK,2018-05-07 16:00:00+00:00,93.26,94.01,93.23,94.01,18682.0
DECK,2018-05-07 17:00:00+00:00,94.05,94.21,93.99,94.07,11513.0
DECK,2018-05-07 18:00:00+00:00,94.09,94.55,94.05,94.31,21461.0
DECK,2018-05-07 19:00:00+00:00,94.32,94.87,94.32,94.76,43222.0
DECK,2018-05-08 13:00:00+00:00,94.99,95.8,94.96,95.51,2789.0
DECK,2018-05-08 14:00:00+00:00,95.54,96.67,95.13,95.39,12623.0
DECK,2018-05-08 15:00:00+00:00,95.37,95.83,95.32,95.69,18050.0
DECK,2018-05-08 16:00:00+00:00,95.62,95.62,94.93,95.18,10881.0
DECK,2018-05-08 17:00:00+00:00,95.22,96.09,95.22,95.84,14627.0
DECK,2018-05-08 18:00:00+00:00,95.9,96.64,95.77,96.03,26097.0
DECK,2018-05-08 19:00:00+00:00,96.11,96.33,95.86,96.19,25686.0
DECK,2018-05-09 13:00:00+00:00,96.61,97.37,96.61,97.26,4973.0
DECK,2018-05-09 14:00:00+00:00,97.115,97.56,96.37,96.83,12188.0
DECK,2018-05-09 15:00:00+00:00,96.9,97.0,96.44,97.0,13167.0
DECK,2018-05-09 16:00:00+00:00,97.02,97.46,96.87,97.39,14360.0
DECK,2018-05-09 17:00:00+00:00,97.38,97.91,97.38,97.8,15271.0
DECK,2018-05-09 18:00:00+00:00,97.76,97.87,97.34,97.78,11643.0
DECK,2018-05-09 19:00:00+00:00,97.74,97.75,97.49,97.63,25207.0
DECK,2018-05-10 13:00:00+00:00,97.84,98.16,97.43,97.65,4180.0
DECK,2018-05-10 14:00:00+00:00,97.83,97.86,96.06,96.75,15408.0
DECK,2018-05-10 15:00:00+00:00,96.73,96.97,96.28,96.71,10195.0
DECK,2018-05-10 16:00:00+00:00,96.74,97.32,96.69,97.24,4809.0
DECK,2018-05-10 17:00:00+00:00,97.33,97.5,97.22,97.37,6807.0
DECK,2018-05-10 18:00:00+00:00,97.38,97.78,97.23,97.67,10163.0
DECK,2018-05-10 19:00:00+00:00,97.78,97.87,97.49,97.61,21143.0
DECK,2018-05-11 13:00:00+00:00,97.61,97.85,97.25,97.29,1478.0
DECK,2018-05-11 14:00:00+00:00,97.26,98.15,97.2,98.15,7494.0
DECK,2018-05-11 15:00:00+00:00,98.13,98.47,97.96,98.31,5445.0
DECK,2018-05-11 16:00:00+00:00,98.37,98.5,98.09,98.21,4213.0
DECK,2018-05-11 17:00:00+00:00,98.16,98.29,97.9,98.01,8975.0
DECK,2018-05-11 18:00:00+00:00,97.99,98.18,97.72,97.91,4220.0
DECK,2018-05-11 19:00:00+00:00,97.91,98.1,97.61,97.64,16591.0
DECK,2018-05-14 13:00:00+00:00,97.87,98.64,97.87,98.635,3300.0
DECK,2018-05-14 14:00:00+00:00,98.57,98.6,98.05,98.26,15632.0
DECK,2018-05-14 15:00:00+00:00,98.34,98.57,98.24,98.46,13610.0
DECK,2018-05-14 16:00:00+00:00,98.47,98.7,98.3,98.3,14859.0
DECK,2018-05-14 17:00:00+00:00,98.34,98.74,98.25,98.52,12957.0
DECK,2018-05-14 18:00:00+00:00,98.6,99.45,98.47,98.99,15807.0
DECK,2018-05-14 19:00:00+00:00,99.02,99.36,98.84,98.93,26230.0
DECK,2018-05-15 12:00:00+00:00,97.97,97.97,97.97,97.97,100.0
DECK,2018-05-15 13:00:00+00:00,98.43,98.86,98.19,98.5,2665.0
DECK,2018-05-15 14:00:00+00:00,98.47,99.46,98.17,99.46,17061.0
DECK,2018-05-15 15:00:00+00:00,99.5,99.8,99.47,99.5,10257.0
DECK,2018-05-15 16:00:00+00:00,99.52,99.75,99.35,99.6,9048.0
DECK,2018-05-15 17:00:00+00:00,99.67,99.67,99.21,99.25,10085.0
DECK,2018-05-15 18:00:00+00:00,99.21,99.22,98.82,98.97,15210.0
DECK,2018-05-15 19:00:00+00:00,98.94,99.11,98.74,99.07,39561.0
