symbol,ts,open,high,low,close,volume
DELL,2018-12-28 14:00:00+00:00,46.3,46.45,45.825,45.98,15400.0
DELL,2018-12-28 15:00:00+00:00,45.995,46.09,44.87,44.87,23405.0
DELL,2018-12-28 16:00:00+00:00,44.95,45.24,44.89,45.11,14999.0
DELL,2018-12-28 17:00:00+00:00,45.12,45.24,44.77,44.805,19503.0
DELL,2018-12-28 18:00:00+00:00,44.8,45.44,44.79,45.235,24313.0
DELL,2018-12-28 19:00:00+00:00,45.24,45.24,45.17,45.18,45044.0
DELL,2018-12-28 20:00:00+00:00,45.17,45.73,45.14,45.41,117143.0
DELL,2018-12-28 21:00:00+00:00,45.43,45.44,45.43,45.44,520.0
DELL,2018-12-28 22:00:00+00:00,45.54,45.54,45.54,45.54,660.0
DELL,2018-12-31 14:00:00+00:00,45.6,46.18,45.5,46.16,15930.0
DELL,2018-12-31 15:00:00+00:00,46.14,46.73,46.14,46.65,55069.0
DELL,2018-12-31 16:00:00+00:00,46.65,46.66,45.65,45.76,28535.0
DELL,2018-12-31 17:00:00+00:00,45.79,46.64,45.78,46.53,25455.0
DELL,2018-12-31 18:00:00+00:00,46.5,47.92,46.38,47.83,57010.0
DELL,2018-12-31 19:00:00+00:00,47.84,48.53,47.77,47.93,83003.0
DELL,2018-12-31 20:00:00+00:00,47.965,48.58,47.82,48.58,90170.0
DELL,2018-12-31 21:00:00+00:00,48.55,48.69,48.55,48.69,330.0
DELL,2018-12-31 22:00:00+00:00,48.65,48.65,48.65,48.65,5.0
DELL,2018-12-31 23:00:00+00:00,48.65,48.65,48.65,48.65,189.0
DELL,2019-01-02 12:00:00+00:00,48.25,48.25,48.0,48.0,600.0
DELL,2019-01-02 13:00:00+00:00,48.0,48.0,48.0,48.0,500.0
DELL,2019-01-02 14:00:00+00:00,48.26,48.28,47.8,48.15,42624.0
DELL,2019-01-02 15:00:00+00:00,48.15,49.09,47.16,47.18,74518.0
DELL,2019-01-02 16:00:00+00:00,47.09,47.28,46.16,46.86,94288.0
DELL,2019-01-02 17:00:00+00:00,46.87,47.93,46.86,47.93,68211.0
DELL,2019-01-02 18:00:00+00:00,47.93,48.6,47.3,47.36,60257.0
