symbol,ts,open,high,low,close,volume
DHI,2018-05-01 13:00:00+00:00,43.99,44.45,43.81,44.43,22922.0
DHI,2018-05-01 14:00:00+00:00,44.43,44.43,43.695,43.7,88434.0
DHI,2018-05-01 15:00:00+00:00,43.68,44.05,43.62,43.83,67689.0
DHI,2018-05-01 16:00:00+00:00,43.84,44.07,43.81,43.95,81504.0
DHI,2018-05-01 17:00:00+00:00,43.945,44.2,43.88,44.17,59870.0
DHI,2018-05-01 18:00:00+00:00,44.17,44.43,44.13,44.26,63690.0
DHI,2018-05-01 19:00:00+00:00,44.27,44.4,44.15,44.25,96697.0
DHI,2018-05-02 13:00:00+00:00,44.29,44.29,43.65,43.68,23820.0
DHI,2018-05-02 14:00:00+00:00,43.67,44.34,43.64,44.28,54302.0
DHI,2018-05-02 15:00:00+00:00,44.26,44.37,43.93,43.99,37436.0
DHI,2018-05-02 16:00:00+00:00,43.99,44.23,43.99,44.16,36179.0
DHI,2018-05-02 17:00:00+00:00,44.16,44.2,44.06,44.1,22415.0
DHI,2018-05-02 18:00:00+00:00,44.09,44.58,44.0,44.0,100549.0
DHI,2018-05-02 19:00:00+00:00,44.01,44.03,43.52,43.62,167617.0
DHI,2018-05-03 13:00:00+00:00,43.71,43.95,43.5,43.9,58405.0
DHI,2018-05-03 14:00:00+00:00,43.91,43.91,43.06,43.32,106609.0
DHI,2018-05-03 15:00:00+00:00,43.32,43.65,43.16,43.59,78745.0
DHI,2018-05-03 16:00:00+00:00,43.6,44.07,43.5,44.06,99058.0
DHI,2018-05-03 17:00:00+00:00,44.05,44.25,43.82,44.14,71229.0
DHI,2018-05-03 18:00:00+00:00,44.15,44.3,44.01,44.23,59813.0
DHI,2018-05-03 19:00:00+00:00,44.24,44.56,44.24,44.37,151546.0
DHI,2018-05-04 13:00:00+00:00,44.18,44.28,43.79,44.22,25177.0
DHI,2018-05-04 14:00:00+00:00,44.22,44.46,44.12,44.36,32787.0
DHI,2018-05-04 15:00:00+00:00,44.39,44.47,44.27,44.42,23646.0
DHI,2018-05-04 16:00:00+00:00,44.41,44.58,44.38,44.49,17923.0
DHI,2018-05-04 17:00:00+00:00,44.49,44.63,44.49,44.62,19747.0
DHI,2018-05-04 18:00:00+00:00,44.62,44.89,44.62,44.83,62542.0
DHI,2018-05-04 19:00:00+00:00,44.83,44.85,44.6,44.7,65975.0
DHI,2018-05-07 13:00:00+00:00,44.96,45.07,44.74,45.05,38581.0
DHI,2018-05-07 14:00:00+00:00,45.06,45.2,44.62,44.82,64158.0
DHI,2018-05-07 15:00:00+00:00,44.82,45.03,44.8,44.85,38482.0
DHI,2018-05-07 16:00:00+00:00,44.85,44.88,44.7,44.73,34103.0
DHI,2018-05-07 17:00:00+00:00,44.72,44.97,44.67,44.85,44778.0
DHI,2018-05-07 18:00:00+00:00,44.84,45.01,44.78,44.86,57626.0
DHI,2018-05-07 19:00:00+00:00,44.86,45.0,44.78,44.985,99736.0
DHI,2018-05-08 13:00:00+00:00,44.77,45.21,44.77,45.02,20081.0
DHI,2018-05-08 14:00:00+00:00,45.09,45.29,44.96,45.04,41309.0
DHI,2018-05-08 15:00:00+00:00,45.02,45.09,44.86,44.94,41305.0
DHI,2018-05-08 16:00:00+00:00,44.93,44.94,44.68,44.79,25575.0
DHI,2018-05-08 17:00:00+00:00,44.8,44.85,44.67,44.7,44109.0
DHI,2018-05-08 18:00:00+00:00,44.72,44.81,44.5,44.64,51743.0
DHI,2018-05-08 19:00:00+00:00,44.64,44.92,44.61,44.92,77728.0
DHI,2018-05-09 13:00:00+00:00,45.0,45.12,44.08,44.29,53335.0
DHI,2018-05-09 14:00:00+00:00,44.2,44.27,43.25,43.4,134246.0
DHI,2018-05-09 15:00:00+00:00,43.4,43.79,43.28,43.66,89587.0
DHI,2018-05-09 16:00:00+00:00,43.68,44.0,43.68,43.97,47499.0
DHI,2018-05-09 17:00:00+00:00,44.0,44.22,43.92,44.17,49867.0
DHI,2018-05-09 18:00:00+00:00,44.16,44.165,43.85,43.85,49435.0
DHI,2018-05-09 19:00:00+00:00,43.84,43.84,43.515,43.63,129033.0
DHI,2018-05-09 20:00:00+00:00,43.81,43.81,43.81,43.81,4.0
DHI,2018-05-10 13:00:00+00:00,43.63,44.38,43.63,44.2,40380.0
DHI,2018-05-10 14:00:00+00:00,44.24,44.42,44.0,44.16,76378.0
DHI,2018-05-10 15:00:00+00:00,44.15,44.175,43.77,44.08,58476.0
DHI,2018-05-10 16:00:00+00:00,44.06,44.25,44.05,44.21,35518.0
DHI,2018-05-10 17:00:00+00:00,44.22,44.27,43.89,43.91,38260.0
DHI,2018-05-10 18:00:00+00:00,43.92,44.04,43.82,43.9,41627.0
DHI,2018-05-10 19:00:00+00:00,43.91,43.95,43.795,43.86,59718.0
DHI,2018-05-11 13:00:00+00:00,43.89,44.21,43.89,43.96,18740.0
DHI,2018-05-11 14:00:00+00:00,43.99,44.4,43.99,44.25,83350.0
DHI,2018-05-11 15:00:00+00:00,44.25,44.25,43.99,44.07,33076.0
DHI,2018-05-11 16:00:00+00:00,44.07,44.12,43.99,44.07,27949.0
DHI,2018-05-11 17:00:00+00:00,44.06,44.07,43.71,43.74,41361.0
DHI,2018-05-11 18:00:00+00:00,43.73,43.83,43.68,43.83,29464.0
DHI,2018-05-11 19:00:00+00:00,43.84,43.92,43.795,43.87,58217.0
DHI,2018-05-14 13:00:00+00:00,43.56,44.2,43.56,43.82,26806.0
DHI,2018-05-14 14:00:00+00:00,43.81,43.87,43.57,43.7,43332.0
DHI,2018-05-14 15:00:00+00:00,43.68,43.81,43.62,43.76,25379.0
DHI,2018-05-14 16:00:00+00:00,43.77,43.86,43.71,43.75,30674.0
DHI,2018-05-14 17:00:00+00:00,43.75,43.85,43.7,43.73,36857.0
DHI,2018-05-14 18:00:00+00:00,43.74,43.79,43.7,43.73,25345.0
DHI,2018-05-14 19:00:00+00:00,43.75,43.76,43.42,43.49,104805.0
DHI,2018-05-14 20:00:00+00:00,44.21,44.27,44.21,44.27,282.0
DHI,2018-05-15 12:00:00+00:00,43.26,43.26,43.26,43.26,50.0
DHI,2018-05-15 13:00:00+00:00,42.81,42.95,41.63,41.63,138575.0
DHI,2018-05-15 14:00:00+00:00,41.62,42.1,41.59,41.73,215369.0
