symbol,ts,open,high,low,close,volume
DOV,2018-05-01 13:00:00+00:00,92.32,92.62,91.69,92.45,16619.0
DOV,2018-05-01 14:00:00+00:00,92.33,92.35,91.03,91.03,51459.0
DOV,2018-05-01 15:00:00+00:00,91.02,91.47,90.72,91.0,41686.0
DOV,2018-05-01 16:00:00+00:00,91.01,91.34,90.87,91.05,51468.0
DOV,2018-05-01 17:00:00+00:00,91.01,91.49,90.43,91.4,51379.0
DOV,2018-05-01 18:00:00+00:00,91.39,91.92,91.39,91.87,44165.0
DOV,2018-05-01 19:00:00+00:00,91.89,92.17,91.39,91.86,109945.0
DOV,2018-05-02 13:00:00+00:00,91.66,92.37,91.31,91.8,19079.0
DOV,2018-05-02 14:00:00+00:00,91.77,91.96,91.07,91.78,45355.0
DOV,2018-05-02 15:00:00+00:00,91.8,92.0,91.32,91.57,37620.0
DOV,2018-05-02 16:00:00+00:00,91.55,91.84,91.39,91.44,38046.0
DOV,2018-05-02 17:00:00+00:00,91.45,91.5,90.98,91.01,54170.0
DOV,2018-05-02 18:00:00+00:00,91.0,91.13,90.26,90.32,115979.0
DOV,2018-05-02 19:00:00+00:00,90.32,90.35,89.63,89.78,143138.0
DOV,2018-05-03 13:00:00+00:00,89.47,89.97,89.26,89.91,32756.0
DOV,2018-05-03 14:00:00+00:00,89.9,89.9,87.96,88.17,60517.0
DOV,2018-05-03 15:00:00+00:00,88.22,89.12,88.16,88.97,44154.0
DOV,2018-05-03 16:00:00+00:00,88.9,89.62,88.55,89.57,73924.0
DOV,2018-05-03 17:00:00+00:00,89.57,89.6,88.98,89.29,45710.0
DOV,2018-05-03 18:00:00+00:00,89.28,89.65,89.11,89.52,70871.0
DOV,2018-05-03 19:00:00+00:00,89.53,89.8,89.31,89.5,105219.0
DOV,2018-05-04 13:00:00+00:00,88.97,89.51,88.96,89.28,10165.0
DOV,2018-05-04 14:00:00+00:00,89.28,90.56,89.17,90.44,45085.0
DOV,2018-05-04 15:00:00+00:00,90.45,91.18,90.39,91.17,39263.0
DOV,2018-05-04 16:00:00+00:00,91.16,91.24,90.92,91.15,24900.0
DOV,2018-05-04 17:00:00+00:00,91.13,91.66,91.13,91.59,28269.0
DOV,2018-05-04 18:00:00+00:00,91.59,92.12,91.59,91.85,26419.0
DOV,2018-05-04 19:00:00+00:00,91.86,92.15,91.44,91.5,68875.0
DOV,2018-05-07 13:00:00+00:00,91.72,92.37,91.63,92.3,10041.0
DOV,2018-05-07 14:00:00+00:00,92.35,93.01,91.81,93.01,17121.0
DOV,2018-05-07 15:00:00+00:00,93.01,93.09,92.61,93.08,14854.0
DOV,2018-05-07 16:00:00+00:00,93.08,93.17,92.94,92.98,20775.0
DOV,2018-05-07 17:00:00+00:00,92.97,93.03,92.72,92.98,13370.0
DOV,2018-05-07 18:00:00+00:00,92.95,93.2,92.79,92.89,27569.0
DOV,2018-05-07 19:00:00+00:00,92.89,92.93,92.31,92.54,72727.0
DOV,2018-05-08 13:00:00+00:00,92.43,93.08,92.43,92.665,4379.0
DOV,2018-05-08 14:00:00+00:00,92.67,92.76,92.26,92.26,17892.0
DOV,2018-05-08 15:00:00+00:00,92.2,93.01,92.03,92.88,24620.0
DOV,2018-05-08 16:00:00+00:00,92.77,92.77,92.41,92.57,21360.0
DOV,2018-05-08 17:00:00+00:00,92.58,92.905,92.58,92.61,23536.0
DOV,2018-05-08 18:00:00+00:00,92.64,93.4,92.64,93.08,79516.0
DOV,2018-05-08 19:00:00+00:00,93.02,93.88,92.94,93.75,129996.0
DOV,2018-05-08 20:00:00+00:00,93.95,94.0,93.95,94.0,444.0
DOV,2018-05-09 13:00:00+00:00,75.54,76.89,75.54,76.81,41722.0
DOV,2018-05-09 14:00:00+00:00,76.68,77.37,76.48,76.85,100998.0
DOV,2018-05-09 15:00:00+00:00,76.87,77.11,76.77,76.9,62051.0
DOV,2018-05-09 16:00:00+00:00,76.94,77.0,76.61,76.78,63492.0
DOV,2018-05-09 17:00:00+00:00,76.8,77.2,76.745,77.02,55328.0
DOV,2018-05-09 18:00:00+00:00,77.02,77.02,76.59,76.76,56796.0
DOV,2018-05-09 19:00:00+00:00,76.76,77.0,76.35,76.88,136980.0
DOV,2018-05-09 20:00:00+00:00,76.83,76.83,76.82,76.82,626.0
DOV,2018-05-09 21:00:00+00:00,76.82,76.82,76.82,76.82,186.0
DOV,2018-05-10 13:00:00+00:00,76.87,77.33,76.87,77.02,21260.0
DOV,2018-05-10 14:00:00+00:00,76.98,77.27,76.71,76.84,51688.0
DOV,2018-05-10 15:00:00+00:00,76.8,76.97,76.33,76.675,33089.0
DOV,2018-05-10 16:00:00+00:00,76.665,76.92,76.665,76.69,33992.0
DOV,2018-05-10 17:00:00+00:00,76.68,76.81,76.57,76.81,35231.0
DOV,2018-05-10 18:00:00+00:00,76.81,76.88,76.59,76.77,33416.0
DOV,2018-05-10 19:00:00+00:00,76.79,76.83,76.54,76.69,72898.0
DOV,2018-05-11 13:00:00+00:00,76.49,76.72,76.0,76.22,15474.0
DOV,2018-05-11 14:00:00+00:00,76.21,77.08,76.02,77.08,47676.0
DOV,2018-05-11 15:00:00+00:00,77.08,77.08,76.63,76.9,21314.0
DOV,2018-05-11 16:00:00+00:00,76.92,77.06,76.8,76.81,17069.0
DOV,2018-05-11 17:00:00+00:00,76.81,77.0,76.8,76.89,20253.0
DOV,2018-05-11 18:00:00+00:00,76.92,77.04,76.79,76.94,26144.0
DOV,2018-05-11 19:00:00+00:00,76.91,77.22,76.77,77.11,66432.0
DOV,2018-05-14 13:00:00+00:00,77.2,78.19,77.2,78.08,14319.0
DOV,2018-05-14 14:00:00+00:00,78.09,78.8,77.9,78.38,61024.0
DOV,2018-05-14 15:00:00+00:00,78.37,78.82,78.04,78.38,58896.0
DOV,2018-05-14 16:00:00+00:00,78.42,78.53,77.95,78.0,46606.0
DOV,2018-05-14 17:00:00+00:00,78.0,78.14,77.86,78.01,47334.0
DOV,2018-05-14 18:00:00+00:00,78.0,78.03,77.61,77.69,35442.0
DOV,2018-05-14 19:00:00+00:00,77.69,77.87,77.59,77.77,123879.0
DOV,2018-05-15 13:00:00+00:00,77.17,77.315,76.87,77.04,9986.0
DOV,2018-05-15 14:00:00+00:00,77.03,77.14,76.79,77.03,29015.0
DOV,2018-05-15 15:00:00+00:00,77.06,77.11,76.85,77.0,34039.0
DOV,2018-05-15 16:00:00+00:00,76.99,77.3,76.81,77.17,21230.0
DOV,2018-05-15 17:00:00+00:00,77.16,77.18,76.6,76.64,21305.0
DOV,2018-05-15 18:00:00+00:00,76.64,77.08,76.64,76.88,36990.0
DOV,2018-05-15 19:00:00+00:00,76.9,76.99,76.67,76.97,66309.0
DOV,2018-05-16 13:00:00+00:00,77.06,77.68,77.06,77.68,8635.0
DOV,2018-05-16 14:00:00+00:00,77.63,77.85,77.42,77.72,23835.0
DOV,2018-05-16 15:00:00+00:00,77.65,77.73,77.44,77.715,18707.0
DOV,2018-05-16 16:00:00+00:00,77.74,78.06,77.74,78.0,15596.0
DOV,2018-05-16 17:00:00+00:00,78.01,78.03,77.69,77.91,16356.0
DOV,2018-05-16 18:00:00+00:00,77.92,77.92,77.66,77.85,18317.0
DOV,2018-05-16 19:00:00+00:00,77.83,77.83,77.44,77.6,46865.0
DOV,2018-05-17 13:00:00+00:00,77.34,77.7,77.03,77.32,14079.0
DOV,2018-05-17 14:00:00+00:00,77.37,78.31,77.3,78.25,30887.0
DOV,2018-05-17 15:00:00+00:00,78.29,78.34,77.76,77.83,23363.0
DOV,2018-05-17 16:00:00+00:00,77.83,78.27,77.83,77.96,33249.0
DOV,2018-05-17 17:00:00+00:00,77.94,78.1,77.62,77.66,29478.0
DOV,2018-05-17 18:00:00+00:00,77.68,77.9,77.58,77.87,30979.0
DOV,2018-05-17 19:00:00+00:00,77.84,77.91,77.66,77.77,60796.0
DOV,2018-05-18 13:00:00+00:00,77.72,78.51,77.63,78.47,11287.0
DOV,2018-05-18 14:00:00+00:00,78.5,79.19,78.5,78.79,33209.0
DOV,2018-05-18 15:00:00+00:00,78.82,79.54,78.74,79.19,54626.0
DOV,2018-05-18 16:00:00+00:00,79.18,79.18,78.66,78.79,21165.0
DOV,2018-05-18 17:00:00+00:00,78.76,79.145,78.74,79.04,20482.0
DOV,2018-05-18 18:00:00+00:00,79.03,79.17,78.98,79.17,32618.0
DOV,2018-05-18 19:00:00+00:00,79.18,79.21,79.01,79.03,77321.0
DOV,2018-05-21 13:00:00+00:00,79.74,80.47,79.74,79.83,20875.0
DOV,2018-05-21 14:00:00+00:00,79.8,80.75,79.75,80.63,52553.0
DOV,2018-05-21 15:00:00+00:00,80.63,80.63,80.13,80.36,29726.0
DOV,2018-05-21 16:00:00+00:00,80.36,80.38,80.16,80.24,31515.0
DOV,2018-05-21 17:00:00+00:00,80.25,80.42,80.21,80.42,30568.0
DOV,2018-05-21 18:00:00+00:00,80.4,80.57,80.3,80.52,49151.0
DOV,2018-05-21 19:00:00+00:00,80.51,80.56,80.25,80.38,128520.0
DOV,2018-05-22 13:00:00+00:00,80.49,80.54,80.29,80.5,7647.0
DOV,2018-05-22 14:00:00+00:00,80.53,80.65,80.21,80.22,26584.0
DOV,2018-05-22 15:00:00+00:00,80.28,80.42,79.95,80.12,14010.0
DOV,2018-05-22 16:00:00+00:00,80.12,80.15,79.89,80.06,14571.0
DOV,2018-05-22 17:00:00+00:00,80.03,80.12,79.68,79.74,13507.0
DOV,2018-05-22 18:00:00+00:00,79.73,79.87,79.63,79.64,23207.0
DOV,2018-05-22 19:00:00+00:00,79.63,79.65,79.1,79.12,61052.0
DOV,2018-05-23 13:00:00+00:00,78.75,79.48,78.73,79.3,18829.0
DOV,2018-05-23 14:00:00+00:00,79.33,79.98,79.24,79.57,87785.0
DOV,2018-05-23 15:00:00+00:00,79.54,79.76,79.26,79.29,41113.0
DOV,2018-05-23 16:00:00+00:00,79.31,79.31,78.61,79.225,42047.0
DOV,2018-05-23 17:00:00+00:00,79.2,79.21,78.88,79.09,24847.0
DOV,2018-05-23 18:00:00+00:00,79.12,79.67,79.1,79.65,30281.0
DOV,2018-05-23 19:00:00+00:00,79.65,79.84,79.62,79.75,126700.0
DOV,2018-05-24 13:00:00+00:00,79.26,79.93,79.25,79.73,12101.0
DOV,2018-05-24 14:00:00+00:00,79.75,79.88,79.15,79.19,27436.0
DOV,2018-05-24 15:00:00+00:00,79.155,80.05,79.14,80.045,27938.0
DOV,2018-05-24 16:00:00+00:00,80.04,80.13,79.83,80.04,19392.0
DOV,2018-05-24 17:00:00+00:00,80.035,80.5,80.035,80.4,32004.0
DOV,2018-05-24 18:00:00+00:00,80.335,80.43,80.1,80.28,49235.0
DOV,2018-05-24 19:00:00+00:00,80.26,80.4,80.04,80.22,65775.0
DOV,2018-05-25 13:00:00+00:00,80.0,80.0,79.67,79.87,11967.0
DOV,2018-05-25 14:00:00+00:00,79.89,80.01,79.27,79.42,27942.0
DOV,2018-05-25 15:00:00+00:00,79.41,79.53,79.18,79.18,22847.0
DOV,2018-05-25 16:00:00+00:00,79.15,79.25,79.08,79.13,32758.0
DOV,2018-05-25 17:00:00+00:00,79.15,79.22,79.07,79.17,27293.0
DOV,2018-05-25 18:00:00+00:00,79.16,79.28,79.01,79.04,27879.0
DOV,2018-05-25 19:00:00+00:00,79.04,79.2,79.0,79.16,115960.0
DOV,2018-05-29 13:00:00+00:00,78.37,78.77,78.19,78.66,18057.0
DOV,2018-05-29 14:00:00+00:00,78.74,78.96,78.3,78.6,64169.0
DOV,2018-05-29 15:00:00+00:00,78.6,78.74,77.96,78.04,25128.0
