symbol,ts,open,high,low,close,volume
DOW,2019-04-02 11:00:00+00:00,53.9,53.9,53.9,53.9,300.0
DOW,2019-04-02 12:00:00+00:00,54.0,54.71,54.0,54.36,1512.0
DOW,2019-04-02 13:00:00+00:00,54.36,56.15,54.36,55.76,310658.0
DOW,2019-04-02 14:00:00+00:00,55.75,57.38,55.4,55.97,349227.0
DOW,2019-04-02 15:00:00+00:00,55.94,56.35,55.35,55.91,176136.0
DOW,2019-04-02 16:00:00+00:00,55.94,56.2,55.58,55.66,160787.0
DOW,2019-04-02 17:00:00+00:00,55.66,56.04,55.6,55.91,102669.0
DOW,2019-04-02 18:00:00+00:00,55.9,56.94,55.85,56.43,113863.0
DOW,2019-04-02 19:00:00+00:00,56.43,56.65,55.71,56.04,253817.0
DOW,2019-04-02 20:00:00+00:00,56.0,56.18,55.86,56.0,2294.0
DOW,2019-04-02 21:00:00+00:00,56.0,56.0,56.0,56.0,97.0
DOW,2019-04-02 22:00:00+00:00,56.04,56.05,56.04,56.05,171.0
DOW,2019-04-02 23:00:00+00:00,56.05,56.05,56.05,56.05,50.0
DOW,2019-04-03 11:00:00+00:00,56.69,56.69,56.69,56.69,500.0
DOW,2019-04-03 12:00:00+00:00,56.51,56.89,56.51,56.8,786.0
DOW,2019-04-03 13:00:00+00:00,56.92,57.24,55.55,55.92,160507.0
DOW,2019-04-03 14:00:00+00:00,55.85,56.25,55.52,56.05,175558.0
DOW,2019-04-03 15:00:00+00:00,56.05,56.83,55.78,56.8,233528.0
DOW,2019-04-03 16:00:00+00:00,56.8,57.0,56.22,56.45,112231.0
DOW,2019-04-03 17:00:00+00:00,56.41,56.73,56.26,56.4,133490.0
DOW,2019-04-03 18:00:00+00:00,56.39,56.99,56.23,56.9,101636.0
DOW,2019-04-03 19:00:00+00:00,56.89,56.97,56.59,56.89,333604.0
DOW,2019-04-03 20:00:00+00:00,56.95,56.95,56.6,56.6,101.0
DOW,2019-04-04 12:00:00+00:00,56.88,57.03,56.88,57.03,75.0
DOW,2019-04-04 13:00:00+00:00,57.01,59.45,57.01,58.98,136368.0
DOW,2019-04-04 14:00:00+00:00,59.0,60.47,58.28,59.78,222650.0
DOW,2019-04-04 15:00:00+00:00,59.78,60.05,58.51,58.99,249465.0
DOW,2019-04-04 16:00:00+00:00,59.01,59.51,58.87,59.25,115719.0
DOW,2019-04-04 17:00:00+00:00,59.22,59.67,59.11,59.57,93924.0
DOW,2019-04-04 18:00:00+00:00,59.57,60.27,59.54,59.96,199347.0
DOW,2019-04-04 19:00:00+00:00,59.95,60.16,59.18,59.68,266475.0
DOW,2019-04-04 20:00:00+00:00,59.71,59.97,59.71,59.89,191.0
DOW,2019-04-04 21:00:00+00:00,59.89,59.89,59.85,59.89,104.0
DOW,2019-04-04 23:00:00+00:00,59.72,59.72,59.72,59.72,100.0
DOW,2019-04-05 11:00:00+00:00,59.4,59.4,58.99,58.99,217.0
DOW,2019-04-05 12:00:00+00:00,59.08,59.12,58.9,59.12,4679.0
DOW,2019-04-05 13:00:00+00:00,59.12,59.12,57.65,58.46,207058.0
DOW,2019-04-05 14:00:00+00:00,58.48,58.5,57.21,57.21,206710.0
DOW,2019-04-05 15:00:00+00:00,57.21,57.56,56.9,57.22,210206.0
DOW,2019-04-05 16:00:00+00:00,57.19,57.29,56.51,56.54,102088.0
DOW,2019-04-05 17:00:00+00:00,56.55,57.05,56.28,57.05,200456.0
DOW,2019-04-05 18:00:00+00:00,57.05,57.31,56.81,57.255,104804.0
DOW,2019-04-05 19:00:00+00:00,57.26,57.7,57.07,57.25,226348.0
DOW,2019-04-05 20:00:00+00:00,57.24,57.24,57.24,57.24,1.0
DOW,2019-04-05 22:00:00+00:00,57.25,57.25,57.25,57.25,1.0
DOW,2019-04-08 11:00:00+00:00,56.75,56.75,56.75,56.75,10.0
DOW,2019-04-08 13:00:00+00:00,57.2,57.24,56.28,56.81,84071.0
DOW,2019-04-08 14:00:00+00:00,56.81,58.36,56.79,58.11,197841.0
DOW,2019-04-08 15:00:00+00:00,58.08,58.1,57.81,58.0,150982.0
