symbol,ts,open,high,low,close,volume
DPZ,2018-05-01 13:00:00+00:00,241.82,246.08,241.46,245.5,17445.0
DPZ,2018-05-01 14:00:00+00:00,246.0,246.8,244.04,245.41,26098.0
DPZ,2018-05-01 15:00:00+00:00,245.32,246.85,244.59,246.41,19832.0
DPZ,2018-05-01 16:00:00+00:00,246.05,246.25,244.92,246.25,14810.0
DPZ,2018-05-01 17:00:00+00:00,246.07,248.28,246.03,248.28,25978.0
DPZ,2018-05-01 18:00:00+00:00,248.22,248.78,247.8,248.37,19109.0
DPZ,2018-05-01 19:00:00+00:00,248.37,248.67,247.14,247.63,31065.0
DPZ,2018-05-02 13:00:00+00:00,246.37,246.37,244.53,244.76,4845.0
DPZ,2018-05-02 14:00:00+00:00,244.78,245.78,243.69,244.07,13335.0
DPZ,2018-05-02 15:00:00+00:00,244.04,244.62,243.9,244.5,5779.0
DPZ,2018-05-02 16:00:00+00:00,244.36,245.04,244.2,244.56,7557.0
DPZ,2018-05-02 17:00:00+00:00,244.63,245.29,244.32,244.32,5710.0
DPZ,2018-05-02 18:00:00+00:00,244.43,245.65,244.26,244.26,8640.0
DPZ,2018-05-02 19:00:00+00:00,244.35,244.49,243.4,244.26,29558.0
DPZ,2018-05-02 20:00:00+00:00,244.28,244.28,244.28,244.28,10.0
DPZ,2018-05-02 21:00:00+00:00,244.5,244.5,244.5,244.5,13.0
DPZ,2018-05-03 13:00:00+00:00,243.36,243.93,242.85,243.71,2645.0
DPZ,2018-05-03 14:00:00+00:00,243.52,243.87,241.77,241.77,7238.0
DPZ,2018-05-03 15:00:00+00:00,241.73,242.69,241.48,242.69,4850.0
DPZ,2018-05-03 16:00:00+00:00,242.64,244.45,242.5,244.32,7270.0
DPZ,2018-05-03 17:00:00+00:00,244.4,245.25,243.56,244.8,6392.0
DPZ,2018-05-03 18:00:00+00:00,244.81,246.27,244.61,245.37,8619.0
DPZ,2018-05-03 19:00:00+00:00,245.39,246.28,244.97,245.83,18898.0
DPZ,2018-05-04 13:00:00+00:00,245.42,245.74,244.69,245.31,2501.0
DPZ,2018-05-04 14:00:00+00:00,245.26,247.89,244.87,247.6,5868.0
DPZ,2018-05-04 15:00:00+00:00,247.65,249.04,247.2,248.95,5778.0
DPZ,2018-05-04 16:00:00+00:00,248.71,248.78,247.48,247.75,3989.0
