symbol,ts,open,high,low,close,volume
DRI,2018-05-01 13:00:00+00:00,92.5,92.95,92.19,92.81,5784.0
DRI,2018-05-01 14:00:00+00:00,92.7,92.92,92.26,92.64,33797.0
DRI,2018-05-01 15:00:00+00:00,92.62,92.94,92.47,92.52,24667.0
DRI,2018-05-01 16:00:00+00:00,92.52,92.97,92.48,92.89,20202.0
DRI,2018-05-01 17:00:00+00:00,92.86,93.25,92.53,93.25,14127.0
DRI,2018-05-01 18:00:00+00:00,93.25,93.41,92.98,93.17,33330.0
DRI,2018-05-01 19:00:00+00:00,93.18,93.32,92.78,93.29,74467.0
DRI,2018-05-02 13:00:00+00:00,92.8,92.8,91.96,92.27,11115.0
DRI,2018-05-02 14:00:00+00:00,92.31,93.02,92.22,92.78,27920.0
DRI,2018-05-02 15:00:00+00:00,92.79,93.36,92.72,93.17,25868.0
DRI,2018-05-02 16:00:00+00:00,93.16,93.3,93.06,93.19,11837.0
DRI,2018-05-02 17:00:00+00:00,93.16,93.22,92.93,92.95,14765.0
DRI,2018-05-02 18:00:00+00:00,92.94,93.29,92.78,92.78,20427.0
DRI,2018-05-02 19:00:00+00:00,92.8,92.82,91.79,91.98,80914.0
DRI,2018-05-03 13:00:00+00:00,91.65,91.89,91.41,91.69,9995.0
DRI,2018-05-03 14:00:00+00:00,91.64,92.09,91.17,91.37,23296.0
DRI,2018-05-03 15:00:00+00:00,91.41,91.61,91.27,91.44,19875.0
DRI,2018-05-03 16:00:00+00:00,91.46,91.69,91.29,91.69,31251.0
DRI,2018-05-03 17:00:00+00:00,91.69,92.14,91.45,91.93,20807.0
DRI,2018-05-03 18:00:00+00:00,91.9,91.95,91.49,91.56,28254.0
DRI,2018-05-03 19:00:00+00:00,91.59,91.97,91.5,91.84,50107.0
DRI,2018-05-04 13:00:00+00:00,91.9,92.8,91.89,92.7,16810.0
DRI,2018-05-04 14:00:00+00:00,92.75,93.17,92.34,93.15,29362.0
DRI,2018-05-04 15:00:00+00:00,93.14,93.55,92.98,93.51,31344.0
DRI,2018-05-04 16:00:00+00:00,93.53,93.64,93.04,93.09,18580.0
DRI,2018-05-04 17:00:00+00:00,93.09,93.28,92.99,93.13,21235.0
DRI,2018-05-04 18:00:00+00:00,93.1,93.26,93.03,93.03,30454.0
DRI,2018-05-04 19:00:00+00:00,93.02,93.1,92.67,92.82,60193.0
DRI,2018-05-07 13:00:00+00:00,92.56,92.56,91.87,92.07,22282.0
DRI,2018-05-07 14:00:00+00:00,92.06,92.5,91.8,91.9,68216.0
DRI,2018-05-07 15:00:00+00:00,91.87,92.09,91.81,92.03,38624.0
DRI,2018-05-07 16:00:00+00:00,92.04,92.06,91.45,91.48,35449.0
DRI,2018-05-07 17:00:00+00:00,91.5,91.6,91.44,91.51,43317.0
DRI,2018-05-07 18:00:00+00:00,91.5,91.76,91.48,91.68,55220.0
DRI,2018-05-07 19:00:00+00:00,91.7,91.98,91.59,91.89,119101.0
DRI,2018-05-08 13:00:00+00:00,92.14,92.95,92.14,92.85,12415.0
DRI,2018-05-08 14:00:00+00:00,92.84,92.98,92.49,92.71,29150.0
DRI,2018-05-08 15:00:00+00:00,92.75,92.89,92.67,92.67,15952.0
DRI,2018-05-08 16:00:00+00:00,92.63,92.67,92.05,92.13,18554.0
DRI,2018-05-08 17:00:00+00:00,92.12,92.65,92.12,92.52,11920.0
DRI,2018-05-08 18:00:00+00:00,92.53,92.66,91.9,91.95,34541.0
DRI,2018-05-08 19:00:00+00:00,91.96,92.45,91.95,92.25,65480.0
DRI,2018-05-09 13:00:00+00:00,92.27,92.27,91.66,92.14,6462.0
DRI,2018-05-09 14:00:00+00:00,92.11,92.11,91.35,91.46,17196.0
DRI,2018-05-09 15:00:00+00:00,91.465,91.52,91.11,91.26,21946.0
DRI,2018-05-09 16:00:00+00:00,91.275,91.92,91.25,91.87,17841.0
DRI,2018-05-09 17:00:00+00:00,91.87,91.93,91.75,91.79,17393.0
DRI,2018-05-09 18:00:00+00:00,91.76,91.84,91.64,91.68,18494.0
DRI,2018-05-09 19:00:00+00:00,91.65,91.83,91.61,91.8,44213.0
DRI,2018-05-10 13:00:00+00:00,91.43,91.59,91.04,91.59,8611.0
DRI,2018-05-10 14:00:00+00:00,91.61,91.71,91.2,91.43,20341.0
DRI,2018-05-10 15:00:00+00:00,91.41,91.54,91.37,91.49,17583.0
DRI,2018-05-10 16:00:00+00:00,91.44,91.59,91.36,91.41,21844.0
DRI,2018-05-10 17:00:00+00:00,91.42,91.46,91.26,91.26,15726.0
DRI,2018-05-10 18:00:00+00:00,91.25,91.41,91.14,91.26,21993.0
DRI,2018-05-10 19:00:00+00:00,91.27,91.38,91.11,91.31,53471.0
DRI,2018-05-11 13:00:00+00:00,91.32,92.22,91.07,91.6,42766.0
DRI,2018-05-11 14:00:00+00:00,91.605,91.78,91.0,91.16,79416.0
DRI,2018-05-11 15:00:00+00:00,91.18,91.38,91.0,91.01,39417.0
DRI,2018-05-11 16:00:00+00:00,91.02,91.14,90.56,90.74,20970.0
DRI,2018-05-11 17:00:00+00:00,90.78,90.94,90.5,90.57,17724.0
DRI,2018-05-11 18:00:00+00:00,90.57,90.79,90.54,90.74,22228.0
DRI,2018-05-11 19:00:00+00:00,90.75,90.77,90.27,90.34,114584.0
DRI,2018-05-14 13:00:00+00:00,90.33,90.33,86.76,88.48,68686.0
DRI,2018-05-14 14:00:00+00:00,88.5,88.5,87.63,88.13,51522.0
DRI,2018-05-14 15:00:00+00:00,88.1,88.12,87.32,87.36,54088.0
DRI,2018-05-14 16:00:00+00:00,87.36,87.46,86.92,87.18,40762.0
DRI,2018-05-14 17:00:00+00:00,87.16,87.45,87.135,87.35,26589.0
DRI,2018-05-14 18:00:00+00:00,87.36,87.36,86.67,87.02,50224.0
DRI,2018-05-14 19:00:00+00:00,87.02,87.08,86.78,86.95,76470.0
DRI,2018-05-15 13:00:00+00:00,86.97,87.4,86.61,86.9,21461.0
DRI,2018-05-15 14:00:00+00:00,86.9,86.96,86.3,86.72,51403.0
DRI,2018-05-15 15:00:00+00:00,86.73,87.195,86.67,86.88,45610.0
DRI,2018-05-15 16:00:00+00:00,86.89,87.15,86.76,87.09,28397.0
DRI,2018-05-15 17:00:00+00:00,87.07,87.16,86.87,86.87,31480.0
DRI,2018-05-15 18:00:00+00:00,86.85,87.36,86.85,87.31,42999.0
