symbol,ts,open,high,low,close,volume
DVA,2018-05-01 13:00:00+00:00,62.82,63.26,62.53,62.54,25314.0
DVA,2018-05-01 14:00:00+00:00,62.52,62.57,62.05,62.05,54011.0
DVA,2018-05-01 15:00:00+00:00,62.05,62.91,61.98,62.68,60333.0
DVA,2018-05-01 16:00:00+00:00,62.7,62.81,62.59,62.68,33489.0
DVA,2018-05-01 17:00:00+00:00,62.68,63.025,62.34,62.9,31460.0
DVA,2018-05-01 18:00:00+00:00,62.91,63.34,62.89,63.23,40324.0
DVA,2018-05-01 19:00:00+00:00,63.24,63.25,62.85,63.11,67129.0
DVA,2018-05-02 13:00:00+00:00,63.05,64.03,62.88,63.97,17023.0
DVA,2018-05-02 14:00:00+00:00,63.9,63.99,63.47,63.57,32204.0
DVA,2018-05-02 15:00:00+00:00,63.6,63.86,63.53,63.68,31929.0
DVA,2018-05-02 16:00:00+00:00,63.68,63.81,63.66,63.8,28185.0
DVA,2018-05-02 17:00:00+00:00,63.81,64.01,63.81,63.98,24178.0
DVA,2018-05-02 18:00:00+00:00,63.97,64.13,63.92,63.96,37734.0
DVA,2018-05-02 19:00:00+00:00,63.96,63.96,63.31,63.39,93658.0
DVA,2018-05-03 13:00:00+00:00,63.06,63.06,62.54,62.93,15834.0
DVA,2018-05-03 14:00:00+00:00,62.905,63.16,62.45,62.59,63958.0
DVA,2018-05-03 15:00:00+00:00,62.69,63.37,62.65,63.34,48740.0
DVA,2018-05-03 16:00:00+00:00,63.3,64.0,63.24,63.79,56033.0
DVA,2018-05-03 17:00:00+00:00,63.76,64.07,63.5,63.84,53483.0
DVA,2018-05-03 18:00:00+00:00,63.83,63.87,63.54,63.63,55798.0
DVA,2018-05-03 19:00:00+00:00,63.64,63.76,63.19,63.27,111729.0
DVA,2018-05-03 20:00:00+00:00,63.59,63.59,63.55,63.55,101.0
DVA,2018-05-04 13:00:00+00:00,64.11,64.11,62.26,63.26,31400.0
DVA,2018-05-04 14:00:00+00:00,63.31,66.21,63.25,66.155,84233.0
DVA,2018-05-04 15:00:00+00:00,66.15,67.32,65.82,67.32,75767.0
DVA,2018-05-04 16:00:00+00:00,67.315,68.66,67.23,68.04,101496.0
DVA,2018-05-04 17:00:00+00:00,68.04,68.42,66.94,67.35,78169.0
DVA,2018-05-04 18:00:00+00:00,67.37,67.46,66.54,66.62,100457.0
DVA,2018-05-04 19:00:00+00:00,66.63,66.86,66.165,66.35,174899.0
