symbol,ts,open,high,low,close,volume
ED,2018-05-01 13:00:00+00:00,80.13,80.16,79.84,79.98,16775.0
ED,2018-05-01 14:00:00+00:00,79.98,80.19,79.79,80.15,38402.0
ED,2018-05-01 15:00:00+00:00,80.14,80.18,80.0,80.06,28992.0
ED,2018-05-01 16:00:00+00:00,80.04,80.04,79.82,79.91,18882.0
ED,2018-05-01 17:00:00+00:00,79.91,80.13,79.82,80.08,20964.0
ED,2018-05-01 18:00:00+00:00,80.11,80.14,79.87,79.96,21189.0
ED,2018-05-01 19:00:00+00:00,79.97,80.01,79.75,79.95,67592.0
ED,2018-05-02 13:00:00+00:00,80.16,80.16,79.33,79.33,11673.0
ED,2018-05-02 14:00:00+00:00,79.345,79.77,79.28,79.74,50377.0
ED,2018-05-02 15:00:00+00:00,79.78,79.8,79.17,79.18,42432.0
ED,2018-05-02 16:00:00+00:00,79.19,79.32,79.02,79.31,29077.0
ED,2018-05-02 17:00:00+00:00,79.3,79.49,79.25,79.39,26008.0
ED,2018-05-02 18:00:00+00:00,79.38,79.63,79.38,79.41,38757.0
ED,2018-05-02 19:00:00+00:00,79.41,79.41,79.05,79.25,104245.0
ED,2018-05-03 13:00:00+00:00,79.05,79.05,78.46,78.57,13491.0
ED,2018-05-03 14:00:00+00:00,78.56,78.56,78.01,78.485,39771.0
ED,2018-05-03 15:00:00+00:00,78.5,78.87,78.3,78.75,37428.0
ED,2018-05-03 16:00:00+00:00,78.75,78.98,78.58,78.96,24171.0
ED,2018-05-03 17:00:00+00:00,78.98,79.35,78.8,79.3,31424.0
ED,2018-05-03 18:00:00+00:00,79.28,79.28,78.79,78.92,42712.0
ED,2018-05-03 19:00:00+00:00,78.92,79.05,78.86,78.93,66123.0
ED,2018-05-04 13:00:00+00:00,78.94,79.31,78.86,79.04,11933.0
ED,2018-05-04 14:00:00+00:00,79.09,79.49,78.9,79.22,43444.0
ED,2018-05-04 15:00:00+00:00,79.25,79.48,78.99,79.27,47960.0
ED,2018-05-04 16:00:00+00:00,79.28,79.57,79.28,79.44,33315.0
ED,2018-05-04 17:00:00+00:00,79.45,79.65,79.44,79.56,27384.0
ED,2018-05-04 18:00:00+00:00,79.52,79.85,79.39,79.405,38476.0
ED,2018-05-04 19:00:00+00:00,79.42,79.69,79.24,79.25,91545.0
ED,2018-05-07 12:00:00+00:00,78.7,78.7,78.7,78.7,70.0
ED,2018-05-07 13:00:00+00:00,79.35,79.38,79.1,79.18,15458.0
ED,2018-05-07 14:00:00+00:00,79.18,79.225,78.54,78.57,32053.0
ED,2018-05-07 15:00:00+00:00,78.57,78.67,78.5,78.61,26823.0
ED,2018-05-07 16:00:00+00:00,78.62,78.83,78.59,78.69,22493.0
ED,2018-05-07 17:00:00+00:00,78.68,78.7,78.56,78.68,18580.0
ED,2018-05-07 18:00:00+00:00,78.69,78.84,78.66,78.79,25142.0
ED,2018-05-07 19:00:00+00:00,78.79,78.79,78.26,78.37,78755.0
ED,2018-05-07 20:00:00+00:00,78.37,78.37,78.36,78.36,11.0
ED,2018-05-08 13:00:00+00:00,78.12,78.12,77.06,77.13,16308.0
ED,2018-05-08 14:00:00+00:00,77.11,77.26,76.76,76.95,32786.0
ED,2018-05-08 15:00:00+00:00,76.95,77.34,76.87,77.03,31870.0
ED,2018-05-08 16:00:00+00:00,77.05,77.05,76.72,76.72,29221.0
ED,2018-05-08 17:00:00+00:00,76.73,76.74,76.41,76.46,27430.0
ED,2018-05-08 18:00:00+00:00,76.45,76.45,76.13,76.27,32159.0
ED,2018-05-08 19:00:00+00:00,76.26,76.605,76.1,76.21,92667.0
ED,2018-05-09 13:00:00+00:00,76.41,76.42,75.72,75.72,18843.0
ED,2018-05-09 14:00:00+00:00,75.72,75.855,75.04,75.2,53608.0
ED,2018-05-09 15:00:00+00:00,75.22,75.26,74.89,75.03,67245.0
ED,2018-05-09 16:00:00+00:00,75.04,75.15,74.91,74.99,45997.0
ED,2018-05-09 17:00:00+00:00,75.0,75.16,74.9,75.01,39564.0
ED,2018-05-09 18:00:00+00:00,75.0,75.37,74.99,75.37,62832.0
ED,2018-05-09 19:00:00+00:00,75.37,75.48,75.2,75.39,136745.0
ED,2018-05-10 13:00:00+00:00,75.94,76.045,75.55,75.59,12688.0
ED,2018-05-10 14:00:00+00:00,75.59,76.01,75.5,75.78,40132.0
ED,2018-05-10 15:00:00+00:00,75.77,76.04,75.76,76.02,31471.0
ED,2018-05-10 16:00:00+00:00,76.005,76.09,75.93,76.01,23282.0
ED,2018-05-10 17:00:00+00:00,76.0,76.3,76.0,76.26,23457.0
ED,2018-05-10 18:00:00+00:00,76.26,76.38,76.09,76.27,33980.0
ED,2018-05-10 19:00:00+00:00,76.27,76.6,76.2,76.57,82803.0
ED,2018-05-11 13:00:00+00:00,76.72,76.82,76.53,76.57,6307.0
